sequence,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiB6rBcs?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsB6r?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcByiBcmBTiBWw?BFsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFyiBFhBGnBXnBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFeiBzdBFhBcsBXm?BSwB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdB8qBCnBXs?BFrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdBFhBcsBCr?B3rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBFhB3iBWsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBlmBcsBzq?BCsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFzdBFhB/nBumB8q?BywB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBGhB3iB8qBFs?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhF0cB3iBTmBuqBln?BywB
IZTOSLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
IZTOSJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZLTJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
IZLTJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IZLTSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
IZLTSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
IZLTOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
IZLJTSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
IZLJTOS,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
IZLJSTO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
IZLJSOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
IZLJOTS,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZLJOST,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
IZLSTJO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZLSJOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLSOJT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZLOTJS,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
IZLOTSJ,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZLOJTS,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
IZLOJST,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X
IZLOSTJ,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLOSJT,O,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X
IZJTLSO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X
IZJTLOS,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
IZJTSLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
IZJTSOL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
IZJTOLS,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
IZJTOSL,O,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X
IZJLTSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
IZJLTOS,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
IZJLSTO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
IZJLSOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
IZJLOTS,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZJLOST,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
IZJSTLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
IZJSTOL,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X
IZJSLTO,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJSOTL,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJSOLT,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
IZJOTLS,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
IZJOTSL,O,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X
IZJOLTS,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X
IZJOLST,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IZJOSTL,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJOSLT,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
IZSTLJO,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IZSTLOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IZSTJOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
IZSTOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZSTOJL,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
IZSLTJO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,O,X
IZSLTOJ,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X
IZSLJTO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSLJOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSLOJT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IZSJTLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
IZSJTOL,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X
IZSJLTO,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZSJLOT,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
IZSJOTL,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IZSJOLT,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSOTJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZSOLTJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IZSOJTL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IZSOJLT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IZOTLJS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
IZOTJLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IZOTJSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X
IZOTSLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IZOTSJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZOLTJS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IZOLTSJ,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
IZOLJTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IZOLJST,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IZOLSTJ,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X
IZOLSJT,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X
IZOJTLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IZOJTSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X
IZOJLTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IZOJLST,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IZOJSTL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IZOJSLT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOSTJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IZOSLTJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSLJT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IZOSJTL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IZOSJLT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IOTLJSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTLJZS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTLZJS,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTJLZS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTSLJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IOTSJLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTSZJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZLJS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
IOTZJLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOTZJSL,O,O,X,X,O,X,X,X,X,O,O,X,O,X,O,X
IOTZSLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
IOTZSJL,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOLTJSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOLTJZS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLTZJS,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOLJTZS,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
IOLJSZT,O,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
IOLJZTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOLJZST,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOLSTJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOLSJZT,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOLSZTJ,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOLSZJT,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X
IOLZTJS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOLZTSJ,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
IOLZJTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOLZJST,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOLZSTJ,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X
IOLZSJT,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X
IOJTLSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOJTLZS,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IOJTZLS,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
IOJLTSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOJLTZS,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
IOJLSZT,O,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
IOJLZTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOJLZST,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOJSTLZ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJSLTZ,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOJSLZT,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOJSZTL,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
IOJSZLT,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X
IOJZTLS,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X
IOJZTSL,O,O,O,X,O,X,X,O,X,O,O,X,O,X,O,X
IOJZLTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOJZLST,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
IOJZSTL,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X
IOJZSLT,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X
IOSTLJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X
IOSTLZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IOSTJLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X
IOSTZLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOSTZJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLTJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X
IOSLTZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IOSLJTZ,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOSLJZT,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOSLZTJ,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOSLZJT,O,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X
IOSJTLZ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSJLTZ,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X
IOSJZTL,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
IOSJZLT,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSZTJL,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IOSZLTJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IOSZJTL,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IOSZJLT,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
IOZTLJS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
IOZTJLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOZTJSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X
IOZTSLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IOZTSJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IOZLTJS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOZLTSJ,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
IOZLJTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOZLJST,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOZLSTJ,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X
IOZLSJT,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X
IOZJTLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IOZJTSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X
IOZJLTS,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
IOZJLST,O,O,X,X,O,O,O,O,X,O,X,O,O,X,X,X
IOZJSTL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IOZJSLT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZSTJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
IOZSLTJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X
IOZSJTL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IOZSJLT,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X
LTIJSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIJZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTISZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTISZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTISOJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTIZJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIZSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTIZSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTIZOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTJISZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJIZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTJSZIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
LTJSOZI,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X
LTJZISO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJZIOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJZSIO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTJZSOI,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJZOIS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJZOSI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSIJOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTSIZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTSIZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTSIOJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSJIOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJZOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
LTSJOIZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
LTSJOZI,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
LTSZIJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTSZIOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTSZJIO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTSZJOI,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O,X
LTSZOIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTSZOJI,O,X,O,X,X,O,X,O,X,O,X,X,X,O,O,X
LTSOIJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTSOIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJIZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O
LTSOJZI,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O
LTSOZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTZIJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZIJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZISJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZISOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTZIOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZJIOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZJSIO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZJSOI,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X
LTZJOIS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZJOSI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZSIJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZSIOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTZSJIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
LTZSJOI,O,O,O,X,O,O,X,O,X,O,X,O,X,X,O,X
LTZSOIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
LTZSOJI,O,X,O,X,X,O,X,O,X,O,X,X,X,O,O,X
LTZOIJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZOISJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZOJIS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZOJSI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZOSJI,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTOIJSZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTOIJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOISJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
LTOISZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOIZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTOJIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTOJZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJZSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
