sequence,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFlcBCeBUhBenBXj?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFVhBciBTeB3hBat?BGsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFXcBTeBGiBlmBys?B0sB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhF3dBcjBFhBCnBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFCeBFhB8mBXjBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFWjBUhBanBXjBlm?BzsB
TOILZJS,X,O,O,O,X,O
TOILZSJ,X,O,O,O,O,X
TOIJLSZ,O,O,O,X,X,X
TOIJLZS,X,O,O,O,X,O
TOIJSLZ,O,X,O,X,X,X
TOIJSZL,O,O,X,X,X,X
TOIJZLS,O,O,X,O,X,O
TOIJZSL,O,O,X,O,O,X
TOISLJZ,O,O,O,X,X,X
TOISLZJ,X,O,O,O,O,X
TOISJLZ,O,X,O,X,X,X
TOISJZL,O,O,X,X,X,X
TOISZLJ,X,X,O,O,O,X
TOISZJL,O,X,X,O,O,X
TOIZLJS,O,O,O,O,X,O
TOIZLSJ,X,O,O,O,O,X
TOIZJLS,O,O,X,O,X,O
TOIZJSL,O,O,X,O,O,X
TOIZSLJ,X,X,O,O,O,X
TOIZSJL,O,X,X,O,O,X
TOLIJSZ,X,O,O,X,X,X
TOLIJZS,X,O,O,O,X,O
TOLISJZ,X,O,O,X,X,X
TOLISZJ,X,O,O,O,X,X
TOLIZJS,X,O,O,O,X,O
TOLIZSJ,X,O,O,O,O,X
TOLJISZ,X,O,O,X,X,X
TOLJIZS,X,O,O,O,X,O
TOLJSIZ,X,O,O,X,X,X
TOLJSZI,X,O,O,X,X,X
TOLJZIS,X,O,O,O,X,O
TOLJZSI,X,O,O,O,X,O
TOLSIJZ,X,O,O,X,X,X
TOLSIZJ,X,O,O,O,X,X
TOLSJIZ,X,O,O,X,X,X
TOLSJZI,X,O,O,X,X,X
TOLSZIJ,X,O,O,O,X,X
TOLSZJI,X,O,O,O,X,X
TOLZIJS,X,O,O,O,X,O
TOLZISJ,X,O,O,O,O,X
TOLZJIS,X,O,O,O,X,O
TOLZJSI,X,O,O,O,X,O
TOLZSIJ,X,O,O,O,O,X
TOLZSJI,X,O,O,O,O,X
TOJILSZ,O,O,O,X,X,X
TOJILZS,X,O,O,O,X,O
TOJISLZ,O,X,O,X,X,X
TOJISZL,O,O,X,X,X,X
TOJIZLS,O,O,X,O,X,O
TOJIZSL,O,O,X,O,O,X
TOJLISZ,O,O,O,X,X,X
TOJLIZS,X,O,O,O,X,O
TOJLSIZ,O,O,O,X,X,X
TOJLSZI,O,O,O,X,X,X
TOJLZIS,X,O,O,O,X,O
TOJLZSI,X,O,O,O,X,O
TOJSILZ,O,X,O,X,X,X
TOJSIZL,O,O,X,X,X,X
TOJSLIZ,O,X,O,X,X,X
TOJSLZI,O,X,O,X,X,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,X,X,X
TOJZILS,O,O,X,O,X,O
TOJZISL,O,O,X,O,O,X
TOJZLIS,O,O,X,O,X,O
TOJZLSI,O,O,X,O,X,O
TOJZSIL,O,O,X,O,O,X
TOJZSLI,O,O,X,O,O,X
TOSILJZ,O,O,O,X,X,X
TOSILZJ,X,O,O,O,O,X
TOSIJLZ,O,X,O,X,X,X
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,X,X,O,O,O,X
TOSIZJL,O,X,X,O,O,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,X,O,O,O,O,X
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,X,O,O,O,O,X
TOSLZJI,X,O,O,O,O,X
TOSJILZ,O,X,O,X,X,X
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,O,X,O,X,X,X
TOSJLZI,O,X,O,X,X,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,X,X
TOSZILJ,X,X,O,O,O,X
TOSZIJL,O,X,X,O,O,X
TOSZLIJ,X,X,O,O,O,X
TOSZLJI,X,X,O,O,O,X
TOSZJIL,O,X,X,O,O,X
TOSZJLI,O,X,X,O,O,X
TOZILJS,O,O,O,O,X,O
TOZILSJ,X,O,O,O,O,X
TOZIJLS,O,O,X,O,X,O
TOZIJSL,O,O,X,O,O,X
TOZISLJ,X,X,O,O,O,X
TOZISJL,O,X,X,O,O,X
TOZLIJS,O,O,O,O,X,O
TOZLISJ,X,O,O,O,O,X
TOZLJIS,O,O,O,O,X,O
TOZLJSI,O,O,O,O,X,O
TOZLSIJ,X,O,O,O,O,X
TOZLSJI,X,O,O,O,O,X
TOZJILS,O,O,X,O,X,O
TOZJISL,O,O,X,O,O,X
TOZJLIS,O,O,X,O,X,O
TOZJLSI,O,O,X,O,X,O
TOZJSIL,O,O,X,O,O,X
TOZJSLI,O,O,X,O,O,X
TOZSILJ,X,X,O,O,O,X
TOZSIJL,O,X,X,O,O,X
TOZSLIJ,X,X,O,O,O,X
TOZSLJI,X,X,O,O,O,X
TOZSJIL,O,X,X,O,O,X
TOZSJLI,O,X,X,O,O,X
ITLJSZO,X,O,O,X,X,X
ITLJSOZ,X,O,O,X,X,X
ITLJZSO,X,O,O,O,X,O
ITLJZOS,X,O,O,X,X,X
ITLJOSZ,X,O,O,X,X,X
ITLJOZS,X,O,O,X,X,X
ITLSJZO,X,O,O,X,X,X
ITLSJOZ,X,O,O,X,X,X
ITLSZJO,X,X,X,O,O,X
ITLSZOJ,X,O,O,O,O,X
ITLSOJZ,X,O,O,X,X,X
ITLSOZJ,X,O,O,X,X,X
ITLZJSO,X,O,O,O,X,O
ITLZJOS,X,O,O,X,X,X
ITLZSJO,X,X,X,O,O,X
ITLZSOJ,X,O,O,O,O,X
ITLZOJS,X,O,O,X,X,O
ITLZOSJ,X,O,O,O,O,X
ITLOJSZ,X,O,O,X,X,X
ITLOJZS,X,O,O,O,X,O
ITLOSJZ,X,O,O,X,X,X
ITLOSZJ,X,O,O,O,X,X
ITLOZJS,X,O,O,O,X,O
ITLOZSJ,X,O,O,O,O,X
ITJLSZO,O,O,O,X,X,X
ITJLSOZ,O,O,O,X,X,X
ITJLZSO,X,O,O,O,X,O
ITJLZOS,X,O,O,X,X,X
ITJLOSZ,O,O,O,X,X,X
ITJLOZS,X,O,O,X,X,X
ITJSLZO,O,O,X,X,X,X
ITJSLOZ,O,O,O,X,X,X
ITJSZLO,O,X,X,X,O,X
ITJSZOL,O,O,X,X,X,X
ITJSOLZ,O,X,O,X,X,X
ITJSOZL,O,O,X,X,X,X
ITJZLSO,O,O,X,O,X,O
ITJZLOS,O,O,X,X,X,X
ITJZSLO,O,X,X,O,O,X
ITJZSOL,O,O,X,X,X,X
ITJZOLS,O,O,X,X,X,X
ITJZOSL,O,O,X,X,O,X
ITJOLSZ,O,O,O,X,X,X
ITJOLZS,X,O,O,O,X,O
ITJOSLZ,O,X,O,X,X,X
ITJOSZL,O,O,X,X,X,X
ITJOZLS,O,O,X,O,X,O
ITJOZSL,O,O,X,O,O,X
ITSLJZO,O,O,O,X,X,X
ITSLJOZ,O,O,O,X,X,X
ITSLZJO,X,X,X,O,O,X
ITSLZOJ,X,O,O,O,O,X
ITSLOJZ,X,O,O,X,X,X
ITSLOZJ,X,O,O,X,X,X
ITSJLZO,O,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X
ITSJZLO,O,X,X,X,O,X
ITSJZOL,O,O,X,X,X,X
ITSJOLZ,O,X,O,X,X,X
ITSJOZL,X,O,X,X,X,X
ITSZLJO,X,X,X,O,O,X
ITSZLOJ,X,X,O,O,O,X
ITSZJLO,O,X,X,O,O,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,X,X,O,O,O,X
ITSZOJL,X,X,X,X,O,X
ITSOLJZ,X,O,O,X,X,X
ITSOLZJ,X,O,O,O,X,X
ITSOJLZ,X,X,O,X,X,X
ITSOJZL,X,O,X,X,X,X
ITSOZLJ,X,X,O,O,O,X
ITSOZJL,X,X,X,O,O,X
ITZLJSO,O,O,O,O,X,O
ITZLJOS,O,O,O,X,X,X
ITZLSJO,X,X,X,O,O,X
ITZLSOJ,X,O,O,O,O,X
ITZLOJS,O,O,O,X,X,O
ITZLOSJ,X,O,O,O,O,X
ITZJLSO,O,O,X,O,X,O
ITZJLOS,O,O,X,X,X,X
ITZJSLO,O,X,X,O,O,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,O,X,X,X,X
ITZJOSL,O,O,X,X,O,X
ITZSLJO,X,X,X,O,O,X
ITZSLOJ,X,X,O,O,O,X
ITZSJLO,O,X,X,O,O,X
ITZSJOL,O,X,X,X,X,X
ITZSOLJ,X,X,O,O,O,X
ITZSOJL,O,X,X,X,O,X
ITZOLJS,O,O,O,O,X,O
ITZOLSJ,X,O,O,O,O,X
ITZOJLS,O,O,X,O,X,O
ITZOJSL,O,O,X,O,O,X
ITZOSLJ,X,X,O,O,O,X
ITZOSJL,O,X,X,O,O,X
ITOLJSZ,X,O,O,X,X,X
ITOLJZS,X,O,O,O,X,O
ITOLSJZ,X,O,O,X,X,X
ITOLSZJ,X,O,O,O,X,X
ITOLZJS,X,O,O,O,X,O
ITOLZSJ,X,O,O,O,O,X
ITOJLSZ,O,O,O,X,X,X
ITOJLZS,X,O,O,O,X,O
ITOJSLZ,O,X,O,X,X,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,O,O,X,O,X,O
ITOJZSL,O,O,X,O,O,X
ITOSLJZ,O,O,O,X,X,X
ITOSLZJ,X,O,O,O,O,X
ITOSJLZ,O,X,O,X,X,X
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,X,X,O,O,O,X
ITOSZJL,O,X,X,O,O,X
ITOZLJS,O,O,O,O,X,O
ITOZLSJ,X,O,O,O,O,X
ITOZJLS,O,O,X,O,X,O
ITOZJSL,O,O,X,O,O,X
ITOZSLJ,X,X,O,O,O,X
ITOZSJL,O,X,X,O,O,X
ILTJSZO,X,O,O,X,X,X
ILTJSOZ,X,O,O,X,X,X
ILTJZSO,X,O,O,O,X,O
ILTJZOS,X,O,O,X,X,X
ILTJOSZ,X,O,O,X,X,X
ILTJOZS,X,O,O,X,X,X
ILTSJZO,X,O,O,X,X,X
ILTSJOZ,X,O,O,X,X,X
ILTSZJO,X,X,X,O,O,X
ILTSZOJ,X,O,O,O,O,X
ILTSOJZ,X,O,O,X,X,X
ILTSOZJ,X,O,O,X,X,X
ILTZJSO,X,O,O,O,X,O
ILTZJOS,X,O,O,X,X,X
ILTZSJO,X,X,X,O,O,X
ILTZSOJ,X,O,O,O,O,X
ILTZOJS,X,O,O,X,X,O
ILTZOSJ,X,O,O,O,O,X
ILTOJSZ,X,O,O,X,X,X
ILTOJZS,X,O,O,O,X,O
ILTOSJZ,X,O,O,X,X,X
ILTOSZJ,X,O,O,O,X,X
ILTOZJS,X,O,O,O,X,O
ILTOZSJ,X,O,O,O,O,X
ILJTSZO,O,O,O,X,X,X
ILJTSOZ,O,O,O,X,X,X
ILJTZSO,X,O,O,O,X,O
ILJTZOS,X,O,O,X,X,X
ILJTOSZ,O,O,O,X,X,X
ILJTOZS,X,O,O,X,X,X
ILJSTZO,O,O,X,X,X,X
ILJSTOZ,O,O,O,X,X,X
ILJSZTO,O,O,X,X,X,O
ILJSZOT,O,O,X,X,X,O
ILJSOTZ,O,O,O,X,X,X
ILJSOZT,O,O,X,X,X,X
ILJZTSO,O,O,X,O,X,O
ILJZTOS,O,O,X,X,X,X
ILJZSTO,O,O,X,O,X,O
ILJZSOT,O,O,X,X,X,O
ILJZOTS,O,O,X,X,X,O
ILJZOST,O,O,X,X,X,O
ILJOTSZ,O,O,O,X,X,X
ILJOTZS,X,O,O,X,X,O
ILJOSTZ,O,O,O,X,X,X
ILJOSZT,O,O,X,X,X,O
ILJOZTS,O,O,X,X,X,O
ILJOZST,O,O,X,X,X,O
ILSTJZO,O,O,O,X,X,X
ILSTJOZ,O,O,O,X,X,X
ILSTZJO,X,X,X,O,O,X
ILSTZOJ,X,O,O,O,O,X
ILSTOJZ,X,O,O,X,X,X
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,O,X,X,X
ILSJZTO,O,X,X,X,O,O
ILSJZOT,O,X,X,X,X,O
ILSJOTZ,O,X,O,X,X,X
ILSJOZT,O,X,X,X,X,X
ILSZTJO,X,X,X,O,O,X
ILSZTOJ,X,O,O,O,O,X
ILSZJTO,O,X,X,O,O,O
ILSZJOT,O,X,X,X,X,O
ILSZOTJ,X,O,O,O,O,X
ILSZOJT,X,X,X,X,X,O
ILSOTJZ,X,O,O,X,X,X
ILSOTZJ,X,O,O,X,X,X
ILSOJTZ,O,X,O,X,X,X
ILSOJZT,O,X,X,X,X,O
ILSOZTJ,X,O,O,X,O,X
ILSOZJT,X,X,X,X,X,O
ILZTJSO,O,O,O,O,X,O
ILZTJOS,O,O,O,X,X,X
ILZTSJO,X,X,X,O,O,X
ILZTSOJ,X,O,O,O,O,X
ILZTOJS,O,O,O,X,X,O
ILZTOSJ,X,O,O,O,O,X
ILZJTSO,O,X,X,O,X,O
ILZJTOS,O,O,X,X,X,X
ILZJSTO,O,X,X,O,X,O
ILZJSOT,O,X,X,X,X,O
ILZJOTS,O,O,X,X,X,O
ILZJOST,O,X,X,X,X,O
ILZSTJO,X,X,X,O,O,X
ILZSTOJ,X,O,O,O,O,X
ILZSJTO,O,X,X,O,O,O
ILZSJOT,O,X,X,X,X,O
ILZSOTJ,X,O,O,O,O,X
ILZSOJT,X,X,X,X,X,O
ILZOTJS,O,O,O,X,X,O
ILZOTSJ,X,O,O,O,O,X
ILZOJTS,O,O,X,X,X,O
ILZOJST,O,X,X,X,X,O
ILZOSTJ,X,O,O,O,O,X
ILZOSJT,O,X,X,X,O,O
ILOTJSZ,X,O,O,X,X,X
ILOTJZS,X,O,O,O,X,O
ILOTSJZ,X,O,O,X,X,X
ILOTSZJ,X,O,O,O,X,X
ILOTZJS,X,O,O,O,X,O
ILOTZSJ,X,O,O,O,O,X
ILOJTSZ,O,O,O,X,X,X
ILOJTZS,X,O,O,O,X,O
ILOJSTZ,O,X,O,X,X,X
ILOJSZT,O,X,X,X,X,O
ILOJZTS,O,O,X,O,X,O
ILOJZST,O,X,X,O,X,O
ILOSTJZ,O,O,O,X,X,X
ILOSTZJ,X,O,O,O,O,X
ILOSJTZ,O,X,O,X,X,X
ILOSJZT,O,X,X,X,O,O
ILOSZTJ,X,O,O,O,O,X
ILOSZJT,O,X,X,O,O,O
ILOZTJS,O,O,O,O,X,O
ILOZTSJ,X,O,O,O,O,X
ILOZJTS,O,O,X,O,X,O
ILOZJST,O,X,X,O,X,O
ILOZSTJ,X,O,O,O,O,X
ILOZSJT,O,X,X,O,O,O
IJTLSZO,O,O,O,X,X,X
IJTLSOZ,O,O,O,X,X,X
IJTLZSO,X,O,O,O,X,O
IJTLZOS,X,O,O,X,X,X
IJTLOSZ,O,O,O,X,X,X
IJTLOZS,X,O,O,X,X,X
IJTSLZO,O,O,X,X,X,X
IJTSLOZ,O,O,O,X,X,X
IJTSZLO,O,X,X,X,O,X
IJTSZOL,O,O,X,X,X,X
IJTSOLZ,O,X,O,X,X,X
IJTSOZL,O,O,X,X,X,X
IJTZLSO,O,O,X,O,X,O
IJTZLOS,O,O,X,X,X,X
IJTZSLO,O,X,X,O,O,X
IJTZSOL,O,O,X,X,X,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,O,X,X,O,X
IJTOLSZ,O,O,O,X,X,X
IJTOLZS,X,O,O,O,X,O
IJTOSLZ,O,X,O,X,X,X
IJTOSZL,O,O,X,X,X,X
IJTOZLS,O,O,X,O,X,O
IJTOZSL,O,O,X,O,O,X
IJLTSZO,O,O,O,X,X,X
IJLTSOZ,O,O,O,X,X,X
IJLTZSO,X,O,O,O,X,O
IJLTZOS,X,O,O,X,X,X
IJLTOSZ,O,O,O,X,X,X
IJLTOZS,X,O,O,X,X,X
IJLSTZO,O,O,X,X,X,X
IJLSTOZ,O,O,O,X,X,X
IJLSZTO,O,O,X,X,X,O
IJLSZOT,O,O,X,X,X,O
IJLSOTZ,O,O,O,X,X,X
IJLSOZT,O,O,X,X,X,X
IJLZTSO,O,O,X,O,X,O
IJLZTOS,O,O,X,X,X,X
IJLZSTO,O,O,X,O,X,O
IJLZSOT,O,O,X,X,X,O
IJLZOTS,O,O,X,X,X,O
IJLZOST,O,O,X,X,X,O
IJLOTSZ,O,O,O,X,X,X
IJLOTZS,X,O,O,X,X,O
IJLOSTZ,O,O,O,X,X,X
IJLOSZT,O,O,X,X,X,O
IJLOZTS,O,O,X,X,X,O
IJLOZST,O,O,X,X,X,O
IJSTLZO,O,O,X,X,X,X
IJSTLOZ,O,O,O,X,X,X
IJSTZLO,O,X,X,X,O,X
IJSTZOL,O,O,X,X,X,X
IJSTOLZ,O,X,O,X,X,X
IJSTOZL,O,O,X,X,X,X
IJSLTZO,O,O,X,X,X,X
IJSLTOZ,O,O,O,X,X,X
IJSLZTO,O,O,X,X,O,O
IJSLZOT,O,O,X,X,X,O
IJSLOTZ,O,O,O,X,X,X
IJSLOZT,O,O,X,X,X,X
IJSZTLO,O,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X
IJSZLTO,O,X,X,X,O,O
IJSZLOT,O,X,X,X,X,O
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,X
IJSOTZL,O,O,X,X,X,X
IJSOLTZ,O,X,O,X,X,X
IJSOLZT,O,X,X,X,X,O
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,X,X,X,X,O
IJZTLSO,O,O,X,O,X,O
IJZTLOS,O,O,X,X,X,X
IJZTSLO,O,X,X,O,O,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,O,X,X,X,X
IJZTOSL,O,O,X,X,O,X
IJZLTSO,O,O,X,O,X,O
IJZLTOS,O,O,X,X,X,X
IJZLSTO,O,O,X,O,X,O
IJZLSOT,O,O,X,X,X,O
IJZLOTS,O,O,X,X,X,O
IJZLOST,O,O,X,X,X,O
IJZSTLO,O,X,X,O,O,X
IJZSTOL,O,O,X,X,X,X
IJZSLTO,O,X,X,O,O,O
IJZSLOT,O,X,X,X,X,O
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,X,X,X,X,X
IJZOTLS,O,O,X,X,X,O
IJZOTSL,O,O,X,X,O,X
IJZOLTS,O,O,X,X,X,O
IJZOLST,O,X,X,X,X,O
IJZOSTL,O,O,X,X,O,X
IJZOSLT,O,X,X,X,O,O
IJOTLSZ,O,O,O,X,X,X
IJOTLZS,X,O,O,O,X,O
IJOTSLZ,O,X,O,X,X,X
IJOTSZL,O,O,X,X,X,X
IJOTZLS,O,O,X,O,X,O
IJOTZSL,O,O,X,O,O,X
IJOLTSZ,O,O,O,X,X,X
IJOLTZS,X,O,O,O,X,O
IJOLSTZ,O,O,O,X,X,X
IJOLSZT,O,O,X,X,X,O
IJOLZTS,O,O,X,O,X,O
IJOLZST,O,O,X,O,X,O
IJOSTLZ,O,X,O,X,X,X
IJOSTZL,O,O,X,X,X,X
IJOSLTZ,O,X,O,X,X,X
IJOSLZT,O,X,X,X,O,O
IJOSZTL,O,O,X,X,O,X
IJOSZLT,O,X,X,X,O,O
IJOZTLS,O,O,X,O,X,O
IJOZTSL,O,O,X,O,O,X
IJOZLTS,O,O,X,O,X,O
IJOZLST,O,X,X,O,X,O
IJOZSTL,O,O,X,O,O,X
IJOZSLT,O,X,X,O,O,O
ISTLJZO,O,O,O,X,X,X
ISTLJOZ,O,O,O,X,X,X
ISTLZJO,X,X,X,O,O,X
ISTLZOJ,X,O,O,O,O,X
ISTLOJZ,X,O,O,X,X,X
ISTLOZJ,X,O,O,X,X,X
ISTJLZO,O,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X
ISTJZLO,O,X,X,X,O,X
ISTJZOL,O,O,X,X,X,X
ISTJOLZ,O,X,O,X,X,X
ISTJOZL,X,O,X,X,X,X
ISTZLJO,X,X,X,O,O,X
ISTZLOJ,X,X,O,O,O,X
ISTZJLO,O,X,X,O,O,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,X,X,O,O,O,X
ISTZOJL,X,X,X,X,O,X
ISTOLJZ,X,O,O,X,X,X
ISTOLZJ,X,O,O,O,X,X
ISTOJLZ,X,X,O,X,X,X
ISTOJZL,X,O,X,X,X,X
ISTOZLJ,X,X,O,O,O,X
ISTOZJL,X,X,X,O,O,X
ISLTJZO,O,O,O,X,X,X
ISLTJOZ,O,O,O,X,X,X
ISLTZJO,X,X,X,O,O,X
ISLTZOJ,X,O,O,O,O,X
ISLTOJZ,X,O,O,X,X,X
ISLTOZJ,X,O,O,X,X,X
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,X,O,X,X,X
ISLJZTO,O,X,X,X,O,O
ISLJZOT,O,X,X,X,X,O
ISLJOTZ,O,X,O,X,X,X
ISLJOZT,O,X,X,X,X,X
ISLZTJO,X,X,X,O,O,X
ISLZTOJ,X,O,O,O,O,X
ISLZJTO,O,X,X,O,O,O
ISLZJOT,O,X,X,X,X,O
ISLZOTJ,X,O,O,O,O,X
ISLZOJT,X,X,X,X,X,O
ISLOTJZ,X,O,O,X,X,X
ISLOTZJ,X,O,O,X,X,X
ISLOJTZ,O,X,O,X,X,X
ISLOJZT,O,X,X,X,X,O
ISLOZTJ,X,O,O,X,O,X
ISLOZJT,X,X,X,X,X,O
ISJTLZO,O,O,X,X,X,X
ISJTLOZ,O,O,O,X,X,X
ISJTZLO,O,X,X,X,O,X
ISJTZOL,O,O,X,X,X,X
ISJTOLZ,O,X,O,X,X,X
ISJTOZL,O,O,X,X,X,X
ISJLTZO,O,O,X,X,X,X
ISJLTOZ,O,O,O,X,X,X
ISJLZTO,O,O,X,X,O,O
ISJLZOT,O,O,X,X,X,O
ISJLOTZ,O,O,O,X,X,X
ISJLOZT,O,O,X,X,X,X
ISJZTLO,O,X,X,X,O,X
ISJZTOL,O,O,X,X,X,X
ISJZLTO,O,X,X,X,O,O
ISJZLOT,O,X,X,X,X,O
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,X
ISJOTZL,O,O,X,X,X,X
ISJOLTZ,O,X,O,X,X,X
ISJOLZT,O,X,X,X,X,O
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,X,X,X,X,O
ISZTLJO,X,X,X,O,O,X
ISZTLOJ,X,X,O,O,O,X
ISZTJLO,O,X,X,O,O,X
ISZTJOL,O,X,X,X,X,X
ISZTOLJ,X,X,O,O,O,X
ISZTOJL,O,X,X,X,O,X
ISZLTJO,X,X,X,O,O,X
ISZLTOJ,X,X,O,O,O,X
ISZLJTO,O,X,X,O,O,O
ISZLJOT,O,X,X,X,X,O
ISZLOTJ,X,X,O,O,O,X
ISZLOJT,X,X,X,X,X,O
ISZJTLO,O,X,X,O,O,X
ISZJTOL,O,X,X,X,X,X
ISZJLTO,O,X,X,O,O,O
ISZJLOT,O,X,X,X,X,O
ISZJOTL,O,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X
ISZOTLJ,X,X,O,O,O,X
ISZOTJL,O,X,X,X,O,X
ISZOLTJ,X,X,O,O,O,X
ISZOLJT,O,X,X,X,O,O
ISZOJTL,O,X,X,X,O,X
ISZOJLT,O,X,X,X,O,O
ISOTLJZ,O,O,O,X,X,X
ISOTLZJ,X,O,O,O,O,X
ISOTJLZ,O,X,O,X,X,X
ISOTJZL,O,O,X,X,X,X
ISOTZLJ,X,X,O,O,O,X
ISOTZJL,O,X,X,O,O,X
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,X,O,O,O,O,X
ISOLJTZ,O,X,O,X,X,X
ISOLJZT,O,X,X,X,O,O
ISOLZTJ,X,O,O,O,O,X
ISOLZJT,O,X,X,O,O,O
ISOJTLZ,O,X,O,X,X,X
ISOJTZL,O,O,X,X,X,X
ISOJLTZ,O,X,O,X,X,X
ISOJLZT,O,X,X,X,O,O
ISOJZTL,O,O,X,X,O,X
ISOJZLT,O,X,X,X,O,O
ISOZTLJ,X,X,O,O,O,X
ISOZTJL,O,X,X,O,O,X
ISOZLTJ,X,X,O,O,O,X
ISOZLJT,O,X,X,O,O,O
ISOZJTL,O,X,X,O,O,X
ISOZJLT,O,X,X,O,O,O
IZTLJSO,O,O,O,O,X,O
IZTLJOS,O,O,O,X,X,X
IZTLSJO,X,X,X,O,O,X
IZTLSOJ,X,O,O,O,O,X
IZTLOJS,O,O,O,X,X,O
IZTLOSJ,X,O,O,O,O,X
IZTJLSO,O,O,X,O,X,O
IZTJLOS,O,O,X,X,X,X
IZTJSLO,O,X,X,O,O,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,O,X,X,X,X
IZTJOSL,O,O,X,X,O,X
IZTSLJO,X,X,X,O,O,X
IZTSLOJ,X,X,O,O,O,X
IZTSJLO,O,X,X,O,O,X
IZTSJOL,O,X,X,X,X,X
IZTSOLJ,X,X,O,O,O,X
IZTSOJL,O,X,X,X,O,X
IZTOLJS,O,O,O,O,X,O
IZTOLSJ,X,O,O,O,O,X
IZTOJLS,O,O,X,O,X,O
IZTOJSL,O,O,X,O,O,X
IZTOSLJ,X,X,O,O,O,X
IZTOSJL,O,X,X,O,O,X
IZLTJSO,O,O,O,O,X,O
IZLTJOS,O,O,O,X,X,X
IZLTSJO,X,X,X,O,O,X
IZLTSOJ,X,O,O,O,O,X
IZLTOJS,O,O,O,X,X,O
IZLTOSJ,X,O,O,O,O,X
IZLJTSO,O,X,X,O,X,O
IZLJTOS,O,O,X,X,X,X
IZLJSTO,O,X,X,O,X,O
IZLJSOT,O,X,X,X,X,O
IZLJOTS,O,O,X,X,X,O
IZLJOST,O,X,X,X,X,O
IZLSTJO,X,X,X,O,O,X
IZLSTOJ,X,O,O,O,O,X
IZLSJTO,O,X,X,O,O,O
IZLSJOT,O,X,X,X,X,O
IZLSOTJ,X,O,O,O,O,X
IZLSOJT,X,X,X,X,X,O
IZLOTJS,O,O,O,X,X,O
IZLOTSJ,X,O,O,O,O,X
IZLOJTS,O,O,X,X,X,O
IZLOJST,O,X,X,X,X,O
IZLOSTJ,X,O,O,O,O,X
IZLOSJT,O,X,X,X,O,O
IZJTLSO,O,O,X,O,X,O
IZJTLOS,O,O,X,X,X,X
IZJTSLO,O,X,X,O,O,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,O,X,X,X,X
IZJTOSL,O,O,X,X,O,X
IZJLTSO,O,O,X,O,X,O
IZJLTOS,O,O,X,X,X,X
IZJLSTO,O,O,X,O,X,O
IZJLSOT,O,O,X,X,X,O
IZJLOTS,O,O,X,X,X,O
IZJLOST,O,O,X,X,X,O
IZJSTLO,O,X,X,O,O,X
IZJSTOL,O,O,X,X,X,X
IZJSLTO,O,X,X,O,O,O
IZJSLOT,O,X,X,X,X,O
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,O
IZJOTSL,O,O,X,X,O,X
IZJOLTS,O,O,X,X,X,O
IZJOLST,O,X,X,X,X,O
IZJOSTL,O,O,X,X,O,X
IZJOSLT,O,X,X,X,O,O
IZSTLJO,X,X,X,O,O,X
IZSTLOJ,X,X,O,O,O,X
IZSTJLO,O,X,X,O,O,X
IZSTJOL,O,X,X,X,X,X
IZSTOLJ,X,X,O,O,O,X
IZSTOJL,O,X,X,X,O,X
IZSLTJO,X,X,X,O,O,X
