sequence,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBigB0?kBFmB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFzbBFdBcmBx?kB3kByuB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBOpB8?pBFmBiqB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFygBFdBcmBx?kBXlB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFzbBFdBcmBx?kBmpB3pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBckBigBF?mBzpBOpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFFdBRgBcmB3?gBOpBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBTfBigBF?mB0kB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFZkBUgBamBl?fBGhBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jez6IvhFXdBamBFlB0?pBZkBGrB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je+/IvhFKgBXdBUhBZ?kBFmBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2AJvhFXdBTfBxlBF?mBipB0pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFXdBUhBxkBa?qBFmBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBclBO?mBikB1uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBlgBc?mBaqBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBOmBi?pBcqBlpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBcmBF?lBTpBiqB
TILJSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILJOZS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TILSOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILZJSO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TILOJZS,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X
TILOSJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TILOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
