sequence,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFZhBfiB8iB+?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFxdBfmBSnBT?jBUsBtrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFCeBfmB5mBN?nBToBUsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhFyhBGeBfmBU?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhF0cBxdBTjBm?rB/rB9sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF8iB+jBChBd?nB/rBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF9jBzgBfnB0?rB6sBmsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBGiBTjBX?hB9rBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBTjBmrBt?rB6sBXrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8JeU9IvhF9jBzgB5mBi?nBmlB3sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFXdBTeBWoBd?mB5mBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFxdBNmBTjBX?nBGsB0rB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFUdB9jBfmB5?mBziBKsB
TILJSZO,O,X,X,X,X,O,X,X,X,X,X,X,O
TILJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TILSJZO,O,X,X,X,X,O,X,X,X,X,X,X,O
TILSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TILSZJO,O,X,X,X,X,O,X,X,X,X,X,X,O
TILSZOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TILSOJZ,O,X,O,X,X,O,X,X,X,X,X,O,O
TILSOZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
TILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TILZJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X,X,O
TILZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TILZOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,X,O,X,X,O
TILOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X,O,O
TILOSZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
TILOZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,O,X,X,X,O,X,X,O,X,X,O
TIJLSZO,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,X,X,X,X,X,X,O
TISLJOZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TISLZJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TISLZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
TISLOJZ,O,X,O,O,X,X,X,X,X,X,X,O,O
TISLOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
TISJLZO,O,X,X,O,X,X,X,X,X,X,X,X,O
TISJLOZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TISJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
