sequence,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehB3dBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Jei6IvhFRdBckB?mgBTiB3gBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehBUdB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?3dBzfBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFVgBahB?RdBTiB3kBcqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFufBahB?3dBTgBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?UdBzfB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbB3dB?zgBUiBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbBUdB?zgB3iBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFRdB8lB?TiB3kBFlBiqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeaBJvhFRdBOkB?XgBTiBcqBlpB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFzbB3dB?ukBUiBllBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFlbBRdB?8lBTiB3kBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFlbBaiB?uiB8lBzkBfqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeK/IvhFfgBlbB?RdB8lBTiBmpB
TILJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TILJZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TILJOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TILJOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TILSJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TILSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TILSOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
TILZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TILZOSJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TILOJZS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TILOSJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TILOSZJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILOZJS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TILOZSJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TIJLSOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIJLZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TIJLZOS,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIJLOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIJLOZS,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIJSLZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIJSZLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJSOLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TIJZLOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TIJZSLO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJZOLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIJZOSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOLSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIJOLZS,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIJOSLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIJOSZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOZLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIJOZSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TISLJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TISLZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TISLOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TISJZLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
TISJZOL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TISJOLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TISZLOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
TISZJOL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TISZOLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
TISOLJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TISOLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TISOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZLJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
TIZLSJO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TIZLOSJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZJLSO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TIZJLOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZJSLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZJSOL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
TIZJOLS,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X
TIZJOSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZSLJO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TIZSLOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZSJOL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
TIZOLJS,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TIZOLSJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZOJLS,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X
TIZOJSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZOSLJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X
TIOLJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TIOLJZS,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TIOLSJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
TIOLSZJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TIOLZSJ,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIOJLZS,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOJSLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIOJSZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOJZLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOJZSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIOSJZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZLJS,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X
TIOZLSJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOZJSL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZSLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
TLIJZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TLIJOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
TLIJOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
