sequence,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBOkBlgBSoBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFTeBflBlgBWoBCl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFCbBlgBGjBXjBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTeBKkBflBlgBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBlgBSoBmkBTk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFFbBTeBqkB3gBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTfBlgBGjBXjByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFOkBlgBUjBzkBft?B6tB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFflBlgBunBcoBCl?BTtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhF6jBukB3gBziBFl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeT6IvhF1gBGjBXjBxkByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFufB1gB6jBXlBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF6jBlfB3gB2pBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Le1/IvhF0bBCjBxkBXoB2p?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBWoBikB0kBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFKkBflBlgBunBco?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF0fBlgBCjB2pBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBUjBmkBftBTk?B6tB
TILJSZO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TILJSOZ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJZOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TILSJOZ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TILSZOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TILZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TIJLSOZ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLZOS,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TIJSZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TIJSOLZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZLOS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZSLO,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TIJZSOL,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIJZOLS,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
