sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TLISZOJ,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,O,X
TLIZSJO,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,O,X
TLIOSJZ,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X
TLIOZSJ,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,O,X
TLJSIZO,O,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,O,X
TLJOSIZ,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,O,X
TLJOZSI,X,X,O,X,X,O,X
TLSIJZO,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,O,X
TLZISJO,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,O,X
TLZJSIO,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X
TLZJOSI,X,X,X,X,X,O,X
TLZSIJO,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O,X
TLZOJSI,X,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,O,X
TLOISJZ,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,O,X
TLOIZSJ,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,O,X
TLOJSIZ,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,O,X
TLOJZSI,X,X,O,X,X,O,X
TLOSIJZ,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X
