sequence,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFUbBFcBXdBWlBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeT6IvhF0bBxcBykB3hBWr?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex7IvhFXdBOkBlgB0fBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufB3bBFdB6mB8p?BzqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBXdBlgB8pBTr?BCrB,v115@7gB8GeC8FeD8FeE8AeH8JeO/IvhF0bBxcBzfBCmB3m?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeK/IvhFzaBfhBxcBumB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jey/IvhFfhBxcBumBTfB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex6IvhFXdBTfBmgB6mB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex8IvhFTfBlgB3hB8pBip?BWwB,v115@7gB8GeC8FeD8FeE8AeH8Jem7IvhFxfB3hBTfB0lBCn?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBlgB3hB8pBzq?BCsB
TILJSZO,O,O,X,X,X,O,X,X,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,X,O,X,O,O,X,X,X,X,X
TILJZOS,O,O,X,O,X,O,O,X,X,X,X,X
TILJOSZ,O,O,X,X,X,O,X,X,X,X,X,X
TILJOZS,O,O,X,O,X,O,O,X,X,X,X,X
TILSJZO,O,O,X,X,X,O,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,O,O,X,X,X,X,X
TILZJOS,X,O,X,O,X,O,O,X,X,X,X,X
TILZSJO,X,O,X,O,X,O,O,X,X,X,X,X
TILZSOJ,X,O,X,O,X,O,O,X,X,X,X,X
TILZOJS,X,O,X,O,X,O,O,X,X,X,X,X
TILZOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TILOJSZ,O,O,X,X,X,O,X,X,X,X,X,X
