sequence,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8JeZ/IvhFufB3bB?zcB8lBSnBlrB,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8JeZ/IvhFufB3cB?6lBTiBUhBlrB,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8JeZ/IvhFufB3bB?UdBzlBFnB6rB,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8JeZ/IvhFufB/iB?6lBThB8rBFrB,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8Jei6IvhFckBxgB?TiBulB3hBlrB,v115@6gC8HeB8BeA8EeB8AeB8DeH8AeD8Jei6IvhF/iBckB?lgBmmB5mBzqB
TILJSZO,O,X,X,O,X,X
TILJSOZ,O,O,X,X,X,X
TILJZSO,O,X,X,X,X,X
TILJZOS,O,O,O,X,X,X
TILJOSZ,O,O,O,X,X,X
TILJOZS,O,O,O,X,X,X
TILSJZO,O,X,X,O,X,X
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,X,X,O,X,X
TILSZOJ,O,X,X,O,X,X
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X
TILZJSO,O,X,X,X,X,X
TILZJOS,O,O,O,X,X,X
TILZSJO,O,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X
TILZOJS,O,O,O,X,X,X
TILZOSJ,O,O,O,X,X,X
TILOJSZ,O,O,O,X,X,X
TILOJZS,O,O,O,X,X,X
TILOSJZ,O,O,O,X,X,X
TILOSZJ,O,O,O,X,X,X
TILOZJS,O,O,O,X,X,X
TILOZSJ,O,O,O,X,X,X
TIJLSZO,O,X,X,O,X,X
TIJLSOZ,O,O,X,X,X,X
TIJLZSO,O,X,X,X,X,X
TIJLZOS,O,O,O,X,X,X
TIJLOSZ,O,O,O,X,X,X
TIJLOZS,O,O,O,X,X,X
TIJSLZO,O,X,X,O,X,X
TIJSLOZ,O,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X
TIJSZOL,O,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X
TIJSOZL,X,X,O,X,X,X
TIJZLSO,O,X,X,X,X,X
TIJZLOS,O,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X
TIJZOLS,O,X,O,X,X,X
TIJZOSL,O,X,O,X,X,X
TIJOLSZ,O,O,O,X,X,X
TIJOLZS,O,O,O,X,X,X
TIJOSLZ,X,O,O,X,X,X
TIJOSZL,X,X,O,X,X,X
TIJOZLS,O,X,O,X,X,X
TIJOZSL,O,X,O,X,X,X
TISLJZO,O,X,X,O,X,X
TISLJOZ,O,O,X,X,X,X
TISLZJO,O,X,X,O,X,X
TISLZOJ,O,X,X,O,X,X
