sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TIZJLOS,X,X,X,X,X,O,X,X,X,O,X,X
TIZJSLO,X,X,X,X,O,O,X,X,X,O,X,X
TIZJSOL,X,X,X,X,O,O,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,X,X,O,X,X
TIZJOSL,X,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,O,O,X,X,X,X,X,X
TIZSJLO,X,X,X,X,O,O,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,O,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,X,O,X,O
TIZOLSJ,X,X,O,X,O,X,X,X,X,X,X,O
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X,O
TIZOJSL,X,X,X,X,O,X,X,X,X,O,X,O
TIZOSLJ,X,X,X,X,O,X,X,X,X,X,X,O
TIZOSJL,X,X,X,X,O,X,X,X,X,X,X,O
TIOLJSZ,O,O,O,O,X,X,X,X,X,O,X,X
TIOLJZS,X,O,O,O,X,X,X,X,X,O,X,O
TIOLSJZ,O,O,O,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,O,X,X,X,X,X,X,X,O
TIOLZJS,X,X,O,O,X,X,X,X,X,X,X,O
TIOLZSJ,O,X,O,O,O,X,X,X,X,X,X,O
TIOJLSZ,O,X,O,O,X,X,X,X,X,O,X,X
