sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TJZILSO,O,X,X,X,O,O,X,X,X,O,X,X
TJZILOS,O,X,X,X,O,O,X,X,X,O,X,X
TJZISLO,O,X,X,X,O,O,X,X,X,O,X,X
TJZISOL,O,X,X,X,O,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,O,X,X,X,O,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X,X,X
TJZLISO,O,X,O,X,O,O,X,X,X,O,X,X
TJZLIOS,O,X,O,X,O,O,X,X,X,O,X,X
TJZLSIO,O,X,X,X,O,O,X,X,X,O,X,X
TJZLSOI,O,X,X,X,O,O,O,X,X,X,X,X
TJZLOIS,O,X,O,X,O,O,O,O,X,O,X,X
TJZLOSI,O,X,X,X,O,O,O,O,X,X,X,X
TJZSILO,O,X,X,X,O,O,X,X,X,O,X,X
TJZSIOL,O,X,X,X,O,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,O,O,X,X,X,O,X,X
TJZSLOI,O,X,X,X,O,O,O,X,X,X,X,X
TJZSOIL,O,X,X,X,O,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,O,O,X,X,X,X,X,X
TJZOILS,O,X,X,X,O,O,X,X,X,O,X,X
TJZOISL,O,X,X,X,O,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,O,O,X,X,X,O,X,X
TJZOLSI,O,X,X,X,O,O,X,X,X,X,X,X
TJZOSIL,O,X,X,X,O,O,X,X,X,X,X,X
TJZOSLI,O,X,X,X,O,O,X,X,X,X,X,X
TJOILSZ,O,X,O,O,X,O,X,X,X,O,X,X
TJOILZS,O,X,O,O,O,O,X,X,X,O,X,O
TJOISLZ,O,X,X,X,X,O,X,X,X,O,X,X
TJOISZL,O,X,X,X,O,X,X,X,X,X,O,X
TJOIZLS,X,X,X,X,O,O,X,X,X,O,X,O
TJOIZSL,X,X,X,X,O,O,X,X,X,O,X,O
TJOLISZ,O,O,O,O,X,O,O,O,X,O,X,X
TJOLIZS,O,O,O,O,O,O,O,O,X,O,X,O
TJOLSIZ,O,O,X,O,X,O,O,O,X,O,X,X
TJOLSZI,O,O,X,X,X,O,O,O,X,O,X,X
TJOLZIS,O,O,O,X,O,O,O,O,X,O,X,O
TJOLZSI,O,O,X,X,O,O,O,O,X,O,X,X
TJOSILZ,O,O,X,X,X,O,X,X,X,O,X,X
TJOSIZL,O,X,X,X,O,X,X,X,X,X,O,X
TJOSLIZ,O,O,X,O,X,O,O,X,X,O,X,X
TJOSLZI,O,O,X,X,X,O,O,X,X,O,X,X
TJOSZIL,O,X,X,X,O,O,X,X,X,O,X,X
TJOSZLI,O,X,X,X,O,O,X,X,X,O,X,X
TJOZILS,O,X,X,X,O,O,X,X,X,O,X,O
TJOZISL,O,X,X,X,O,O,X,X,X,O,X,O
TJOZLIS,O,X,O,X,O,O,X,X,X,O,X,O
TJOZLSI,O,X,X,X,O,O,X,X,X,O,X,X
TJOZSIL,O,X,X,X,O,O,X,X,X,O,X,X
TJOZSLI,O,X,X,X,O,O,X,X,X,O,X,X
TSILJZO,X,O,X,O,X,X,X,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,O,X,X,X,X,X
TSILZJO,X,O,X,O,X,X,X,X,O,X,X,X
TSILZOJ,O,O,X,O,X,X,X,X,O,X,X,X
TSILOJZ,O,O,X,O,X,X,O,X,X,X,X,X
TSILOZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,O,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X,X,O,X
TSIJZOL,O,X,X,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X,X,X,O,X
TSIZLJO,X,X,X,X,O,X,X,X,O,X,X,X
TSIZLOJ,X,X,X,X,O,X,X,X,O,X,X,X
TSIZJLO,X,X,X,X,O,X,X,X,O,X,X,X
TSIZJOL,O,X,X,X,O,X,X,X,O,X,X,X
TSIZOLJ,O,O,X,X,O,X,X,X,O,X,X,X
TSIZOJL,O,X,X,X,O,X,X,X,O,X,X,X
TSIOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X,X,O,X
TSIOZLJ,O,O,X,X,O,X,X,X,O,X,X,X
TSIOZJL,O,O,X,X,O,X,X,X,O,X,X,X
TSLIJZO,X,O,O,O,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,O,O,X,X,O,X,X,X,X,X
TSLIZJO,X,O,O,O,X,X,X,X,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,X,X,O,X,X,X
TSLIOJZ,O,O,O,O,X,X,O,X,X,X,X,X
TSLIOZJ,O,O,O,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,O,X,O,X,X,X,O,X,X
TSLJIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TSLJZIO,O,O,X,X,X,O,X,X,O,O,X,X
TSLJZOI,O,O,X,X,X,O,O,X,O,X,X,X
TSLJOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TSLJOZI,O,O,X,X,X,X,O,O,X,X,X,X
TSLZIJO,X,O,O,O,X,O,X,X,O,X,X,X
TSLZIOJ,O,O,O,O,X,O,X,X,O,X,X,X
TSLZJIO,X,O,X,X,X,O,X,X,O,X,X,X
TSLZJOI,X,O,X,X,X,O,O,X,O,X,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,O,X,X,X
TSLZOJI,O,O,X,X,X,O,O,O,O,X,X,X
TSLOIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TSLOJIZ,O,O,X,O,X,X,O,O,X,O,X,X
TSLOJZI,O,O,X,X,X,X,O,O,X,O,X,X
TSLOZIJ,O,O,O,O,X,X,X,X,O,X,X,O
TSLOZJI,O,O,X,X,X,X,O,O,O,X,X,X
TSJILZO,O,X,X,X,X,O,X,X,X,O,X,X
TSJILOZ,O,X,X,X,X,X,O,X,X,X,X,X
TSJIZLO,X,X,X,X,O,X,X,X,X,X,O,X
TSJIZOL,O,X,X,X,O,X,X,X,X,X,O,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,O,X,X,X,X,X,O,X
TSJLIZO,O,O,X,O,X,O,X,X,X,O,X,X
TSJLIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TSJLZIO,O,O,X,X,X,O,X,X,O,O,X,X
TSJLZOI,O,O,X,X,X,O,O,X,O,X,X,X
TSJLOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TSJLOZI,O,O,X,X,X,X,O,O,X,X,X,X
TSJZILO,X,X,X,X,O,O,X,X,O,O,X,X
TSJZIOL,O,X,X,X,O,O,X,X,O,X,X,X
TSJZLIO,O,X,X,X,O,O,X,X,O,O,X,X
TSJZLOI,O,X,X,X,O,O,O,X,O,X,X,X
TSJZOIL,O,X,X,X,O,O,X,X,O,X,X,X
TSJZOLI,O,X,X,X,O,O,X,X,O,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,O,X,X,X,X,X,O,X
TSJOLIZ,O,O,X,O,X,X,O,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,O,X,X,X,X,X
TSJOZIL,O,X,X,X,O,X,X,X,O,X,X,X
TSJOZLI,O,X,X,X,O,X,X,X,O,X,X,X
TSZILJO,X,X,X,X,O,O,X,X,O,X,X,X
TSZILOJ,X,X,X,X,O,O,X,X,O,X,X,X
TSZIJLO,X,X,X,X,O,O,X,X,O,X,X,X
TSZIJOL,O,O,X,X,O,O,X,X,O,X,X,X
TSZIOLJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZIOJL,O,O,X,X,O,O,X,X,O,X,X,X
TSZLIJO,X,O,O,O,X,O,X,X,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,X,X,O,X,X,X
TSZLJIO,X,O,X,X,X,O,X,X,O,X,X,X
TSZLJOI,X,O,X,X,O,O,O,X,O,X,X,X
TSZLOIJ,O,O,O,O,O,O,X,X,O,X,X,X
TSZLOJI,O,O,X,X,O,O,O,O,O,X,X,X
TSZJILO,X,X,X,X,X,O,X,X,O,X,X,X
TSZJIOL,O,O,X,X,X,O,X,X,O,X,X,X
TSZJLIO,O,X,X,X,X,O,X,X,O,X,X,X
TSZJLOI,O,X,X,X,O,O,O,X,O,X,X,X
TSZJOIL,O,O,X,X,X,O,X,X,O,X,X,X
TSZJOLI,O,O,X,X,O,O,X,X,O,X,X,X
TSZOILJ,O,O,X,X,O,O,X,X,O,X,X,X
TSZOIJL,O,O,X,X,O,O,X,X,O,X,X,X
TSZOLIJ,O,O,O,O,O,O,X,X,O,X,X,X
TSZOLJI,O,O,X,X,O,O,X,X,O,X,X,X
TSZOJIL,O,O,X,X,X,O,X,X,O,X,X,X
TSZOJLI,O,O,X,X,O,O,X,X,O,X,X,X
TSOILJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,O,X,X,X,X,X,X,X,O
TSOIJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X,X,X,X,X,O,X
TSOIZLJ,O,O,X,X,O,X,X,X,O,X,X,O
TSOIZJL,O,O,X,X,O,X,X,X,O,X,X,O
TSOLIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TSOLJIZ,O,O,X,O,X,X,O,X,X,O,X,X
TSOLJZI,O,O,X,X,X,X,O,X,X,O,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,O,X,X,O
TSOLZJI,O,O,X,X,X,X,O,X,O,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X,X,O,X,X
TSOJIZL,O,X,X,X,O,X,X,X,X,X,O,X
TSOJLIZ,O,O,X,O,X,X,O,X,X,O,X,X
TSOJLZI,O,O,X,X,X,X,O,X,X,O,X,X
TSOJZIL,O,X,X,X,O,X,X,X,O,O,X,X
TSOJZLI,O,X,X,X,O,X,X,X,O,O,X,X
TSOZILJ,O,O,X,X,O,X,X,X,O,X,X,O
TSOZIJL,O,O,X,X,O,X,X,X,O,X,X,O
TSOZLIJ,O,O,O,O,O,X,X,X,O,X,X,O
TSOZLJI,O,O,X,X,O,X,X,X,O,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X,O,X,X,X
TSOZJLI,O,O,X,X,O,X,X,X,O,X,X,X
TZILJSO,O,O,O,X,X,O,X,X,X,O,X,X
TZILJOS,O,O,O,X,X,O,X,X,X,O,X,X
TZILSJO,O,O,O,X,O,O,X,X,X,X,X,X
TZILSOJ,O,O,O,X,O,O,X,X,X,X,X,X
TZILOJS,O,O,O,X,X,X,X,O,X,O,X,O
TZILOSJ,O,O,O,X,O,X,X,X,X,X,X,O
TZIJLSO,O,O,X,X,X,O,X,X,X,O,X,X
TZIJLOS,O,O,X,X,X,O,X,X,X,O,X,X
TZIJSLO,O,O,X,X,O,O,X,X,X,O,X,X
TZIJSOL,O,O,X,X,O,O,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,O,X,X,X,O,X,X
TZIJOSL,O,O,X,X,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,X,O,O,X,X,X,X,X,X
TZISJLO,O,O,X,X,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,O,O,X,X,X,X,X,X
TZISOLJ,O,O,X,X,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,O,O,X,X,X,X,X,X
TZIOLJS,O,O,O,X,X,X,X,X,X,O,X,O
TZIOLSJ,O,O,O,X,O,X,X,X,X,X,X,O
TZIOJLS,O,O,X,X,X,X,X,X,X,O,X,O
TZIOJSL,O,O,X,X,O,X,X,X,X,O,X,O
TZIOSLJ,O,O,X,X,O,X,X,X,X,X,X,O
TZIOSJL,O,O,X,X,O,X,X,X,X,X,X,O
TZLIJSO,O,O,O,O,X,O,X,X,X,O,X,X
TZLIJOS,O,O,O,O,X,O,X,X,X,O,X,X
TZLISJO,O,O,O,O,O,O,X,X,X,X,X,X
TZLISOJ,O,O,O,O,O,O,X,X,X,X,X,X
TZLIOJS,O,O,O,O,X,X,X,O,X,O,X,O
TZLIOSJ,O,O,O,O,O,X,X,X,X,X,X,O
TZLJISO,O,O,O,X,X,O,X,X,X,O,X,X
TZLJIOS,O,O,O,X,X,O,X,X,X,O,X,X
TZLJSIO,O,O,X,X,X,O,X,X,X,O,X,X
TZLJSOI,O,O,X,X,X,O,O,X,X,X,X,X
TZLJOIS,O,O,O,X,X,O,O,O,X,O,X,X
TZLJOSI,O,O,X,X,X,O,O,O,X,X,X,X
TZLSIJO,O,O,O,O,X,O,X,X,O,X,X,X
TZLSIOJ,O,O,O,O,O,O,X,X,O,X,X,X
TZLSJIO,O,O,X,X,X,O,X,X,O,X,X,X
TZLSJOI,O,O,X,X,O,O,O,X,O,X,X,X
TZLSOIJ,O,O,O,O,O,O,X,X,O,X,X,X
TZLSOJI,O,O,X,X,O,O,O,O,O,X,X,X
TZLOIJS,O,O,O,O,X,X,X,O,X,O,X,O
TZLOISJ,O,O,O,O,O,X,X,X,X,X,X,O
TZLOJIS,O,O,O,X,X,O,O,O,X,O,X,O
TZLOJSI,O,O,X,X,X,O,O,O,X,O,X,X
TZLOSIJ,O,O,O,O,O,O,X,X,X,X,X,O
TZLOSJI,O,O,X,X,O,O,O,O,X,X,X,X
TZJILSO,O,O,X,X,O,O,X,X,X,O,X,X
TZJILOS,O,O,X,X,O,O,X,X,X,O,X,X
TZJISLO,O,O,X,X,O,O,X,X,X,O,X,X
TZJISOL,O,O,X,X,O,O,X,X,X,X,X,X
TZJIOLS,O,O,X,X,O,O,X,X,X,O,X,X
TZJIOSL,O,O,X,X,O,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,O,O,X,X,X,O,X,X
TZJLIOS,O,O,O,X,O,O,X,X,X,O,X,X
TZJLSIO,O,O,X,X,O,O,X,X,X,O,X,X
TZJLSOI,O,O,X,X,O,O,O,X,X,X,X,X
TZJLOIS,O,O,O,X,O,O,O,O,X,O,X,X
TZJLOSI,O,O,X,X,O,O,O,O,X,X,X,X
TZJSILO,O,O,X,X,O,O,X,X,X,O,X,X
TZJSIOL,O,O,X,X,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,O,O,X,X,X,O,X,X
TZJSLOI,O,O,X,X,O,O,O,X,X,X,X,X
TZJSOIL,O,O,X,X,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,O,O,X,X,X,X,X,X
TZJOILS,O,O,X,X,O,O,X,X,X,O,X,X
TZJOISL,O,O,X,X,O,X,X,X,X,X,X,X
TZJOLIS,O,O,O,X,O,O,X,X,X,O,X,X
TZJOLSI,O,O,X,X,O,O,X,X,X,X,X,X
TZJOSIL,O,O,X,X,O,O,X,X,X,X,X,X
TZJOSLI,O,O,X,X,O,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,O,O,X,X,O,X,X,X
TZSILOJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSIJLO,O,O,X,X,O,O,X,X,O,X,X,X
TZSIJOL,O,O,X,X,O,O,X,X,O,X,X,X
TZSIOLJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSIOJL,O,O,X,X,O,O,X,X,O,X,X,X
TZSLIJO,O,O,O,O,O,O,X,X,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,X,X,O,X,X,X
TZSLJIO,O,O,X,X,O,O,X,X,O,X,X,X
TZSLJOI,O,O,X,X,O,O,O,X,O,X,X,X
TZSLOIJ,O,O,O,O,O,O,X,X,O,X,X,X
TZSLOJI,O,O,X,X,O,O,O,O,O,X,X,X
TZSJILO,O,O,X,X,O,O,X,X,O,X,X,X
TZSJIOL,O,O,X,X,O,O,X,X,O,X,X,X
TZSJLIO,O,O,X,X,O,O,X,X,O,X,X,X
TZSJLOI,O,O,X,X,O,O,O,X,O,X,X,X
TZSJOIL,O,O,X,X,O,O,X,X,O,X,X,X
TZSJOLI,O,O,X,X,O,O,X,X,O,X,X,X
TZSOILJ,O,O,X,X,O,O,X,X,O,X,X,X
TZSOIJL,O,O,X,X,O,O,X,X,O,X,X,X
TZSOLIJ,O,O,O,O,O,O,X,X,O,X,X,X
TZSOLJI,O,O,X,X,O,O,X,X,O,X,X,X
TZSOJIL,O,O,X,X,O,O,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,O,X,X,O,X,X,X
TZOILJS,O,O,O,X,X,X,X,X,X,O,X,O
TZOILSJ,O,O,O,X,O,X,X,X,X,X,X,O
TZOIJLS,O,O,X,X,X,X,X,X,X,O,X,O
TZOIJSL,O,O,X,X,O,X,X,X,X,O,X,O
TZOISLJ,O,O,X,X,O,X,X,X,X,X,X,O
TZOISJL,O,O,X,X,O,X,X,X,X,X,X,O
TZOLIJS,O,O,O,O,X,X,X,O,X,O,X,O
TZOLISJ,O,O,O,O,O,X,X,X,X,X,X,O
TZOLJIS,O,O,O,X,X,O,X,O,X,O,X,O
TZOLJSI,O,O,X,X,X,O,X,O,X,O,X,X
TZOLSIJ,O,O,O,O,O,O,X,X,X,X,X,O
TZOLSJI,O,O,X,X,O,O,X,O,X,X,X,X
TZOJILS,O,O,X,X,O,O,X,X,X,O,X,O
TZOJISL,O,O,X,X,O,X,X,X,X,O,X,O
TZOJLIS,O,O,O,X,O,O,X,X,X,O,X,O
TZOJLSI,O,O,X,X,O,O,X,X,X,O,X,X
TZOJSIL,O,O,X,X,O,O,X,X,X,O,X,X
TZOJSLI,O,O,X,X,O,O,X,X,X,O,X,X
TZOSILJ,O,O,X,X,O,O,X,X,X,X,X,O
TZOSIJL,O,O,X,X,O,O,X,X,X,X,X,O
TZOSLIJ,O,O,O,O,O,O,X,X,X,X,X,O
TZOSLJI,O,O,X,X,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,X,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,O,O,X,X,X,X,X,X
TOILJSZ,O,O,O,O,X,O,X,X,X,O,X,X
TOILJZS,X,O,O,O,X,O,X,X,X,O,X,O
TOILSJZ,O,O,O,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,O,O,X,X,X,X,X,X,X,O
TOILZJS,X,X,O,O,X,O,X,X,X,X,X,O
TOILZSJ,O,X,O,O,O,O,X,X,X,X,X,O
TOIJLSZ,O,X,O,O,X,O,X,X,X,O,X,X
TOIJLZS,O,X,O,O,O,O,X,X,X,O,X,O
TOIJSLZ,O,X,X,X,X,O,X,X,X,O,X,X
TOIJSZL,O,X,X,X,O,X,X,X,X,X,O,X
TOIJZLS,X,X,X,X,O,O,X,X,X,O,X,O
TOIJZSL,X,X,X,X,O,O,X,X,X,O,X,O
TOISLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X,X,X,X,O
TOISJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,X,X,X,X,X,X,X,O,X
TOISZLJ,O,O,X,X,O,X,X,X,X,X,X,O
TOISZJL,O,X,X,X,O,X,X,X,X,X,X,O
TOIZLJS,X,X,O,X,X,O,X,X,X,X,X,O
TOIZLSJ,X,X,O,X,O,O,X,X,X,X,X,O
TOIZJLS,X,X,X,X,X,O,X,X,X,X,X,O
TOIZJSL,X,X,X,X,O,O,X,X,X,X,X,O
TOIZSLJ,X,X,X,X,O,O,X,X,X,X,X,O
TOIZSJL,X,X,X,X,O,O,X,X,X,X,X,O
TOLIJSZ,O,O,O,O,X,O,O,O,X,O,X,X
TOLIJZS,O,O,O,O,X,O,O,O,X,O,X,O
TOLISJZ,O,O,O,O,X,X,O,X,X,X,X,X
TOLISZJ,O,O,O,O,X,X,X,X,X,X,X,O
TOLIZJS,X,X,O,O,X,O,X,O,X,X,X,O
TOLIZSJ,O,X,O,O,O,O,X,X,X,X,X,O
TOLJISZ,O,O,O,O,X,O,O,O,X,O,X,X
TOLJIZS,O,O,O,O,O,O,O,O,X,O,X,O
TOLJSIZ,O,O,X,O,X,O,O,O,X,O,X,X
TOLJSZI,O,O,X,X,X,O,O,O,X,O,X,X
TOLJZIS,O,O,O,X,O,O,O,O,X,O,X,O
TOLJZSI,O,O,X,X,O,O,O,O,X,O,X,X
TOLSIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TOLSIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TOLSJIZ,O,O,X,O,X,O,O,O,X,O,X,X
TOLSJZI,O,O,X,X,X,O,O,O,X,O,X,X
TOLSZIJ,O,O,O,O,X,O,X,X,X,X,X,O
TOLSZJI,O,O,X,X,X,O,O,O,X,X,X,X
TOLZIJS,O,O,O,O,X,O,X,O,X,O,X,O
TOLZISJ,O,O,O,O,O,O,X,X,X,X,X,O
TOLZJIS,O,O,O,X,X,O,O,O,X,O,X,O
TOLZJSI,O,O,X,X,X,O,O,O,X,O,X,X
TOLZSIJ,O,O,O,O,O,O,X,X,X,X,X,O
TOLZSJI,O,O,X,X,O,O,O,O,X,X,X,X
TOJILSZ,O,X,O,O,X,O,X,X,X,O,X,X
TOJILZS,O,X,O,O,O,O,X,X,X,O,X,O
TOJISLZ,O,X,X,X,X,O,X,X,X,O,X,X
TOJISZL,O,X,X,X,O,X,X,X,X,X,O,X
TOJIZLS,X,X,X,X,O,O,X,X,X,O,X,O
TOJIZSL,X,X,X,X,O,O,X,X,X,O,X,O
TOJLISZ,O,O,O,O,X,O,O,O,X,O,X,X
TOJLIZS,O,O,O,O,O,O,O,O,X,O,X,O
TOJLSIZ,O,O,X,O,X,O,O,O,X,O,X,X
TOJLSZI,O,O,X,X,X,O,O,O,X,O,X,X
TOJLZIS,O,O,O,X,O,O,O,O,X,O,X,O
TOJLZSI,O,O,X,X,O,O,O,O,X,O,X,X
TOJSILZ,O,O,X,X,X,O,X,X,X,O,X,X
TOJSIZL,O,X,X,X,O,X,X,X,X,X,O,X
TOJSLIZ,O,O,X,O,X,O,O,X,X,O,X,X
TOJSLZI,O,O,X,X,X,O,O,X,X,O,X,X
TOJSZIL,O,X,X,X,O,O,X,X,X,O,X,X
TOJSZLI,O,X,X,X,O,O,X,X,X,O,X,X
TOJZILS,O,X,X,X,O,O,X,X,X,O,X,O
TOJZISL,O,X,X,X,O,O,X,X,X,O,X,O
TOJZLIS,O,X,O,X,O,O,X,X,X,O,X,O
TOJZLSI,O,X,X,X,O,O,X,X,X,O,X,X
TOJZSIL,O,X,X,X,O,O,X,X,X,O,X,X
TOJZSLI,O,X,X,X,O,O,X,X,X,O,X,X
TOSILJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,O,X,X,X,X,X,X,X,O
TOSIJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSIJZL,O,X,X,X,X,X,X,X,X,X,O,X
TOSIZLJ,O,O,X,X,O,X,X,X,X,X,X,O
TOSIZJL,O,O,X,X,O,X,X,X,X,X,X,O
TOSLIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TOSLIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TOSLJIZ,O,O,X,O,X,O,O,X,X,O,X,X
TOSLJZI,O,O,X,X,X,O,O,X,X,O,X,X
TOSLZIJ,O,O,O,O,X,O,X,X,X,X,X,O
TOSLZJI,O,O,X,X,X,O,O,X,X,X,X,X
TOSJILZ,O,O,X,X,X,O,X,X,X,O,X,X
TOSJIZL,O,X,X,X,O,X,X,X,X,X,O,X
TOSJLIZ,O,O,X,O,X,O,O,X,X,O,X,X
TOSJLZI,O,O,X,X,X,O,O,X,X,O,X,X
TOSJZIL,O,X,X,X,O,O,X,X,X,O,X,X
TOSJZLI,O,X,X,X,O,O,X,X,X,O,X,X
TOSZILJ,O,O,X,X,O,O,X,X,X,X,X,O
TOSZIJL,O,O,X,X,O,O,X,X,X,X,X,O
TOSZLIJ,O,O,O,O,O,O,X,X,X,X,X,O
TOSZLJI,O,O,X,X,O,O,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,O,O,X,X,X,X,X,X
TOZILJS,O,O,O,X,X,O,X,X,X,O,X,O
TOZILSJ,O,O,O,X,O,O,X,X,X,X,X,O
TOZIJLS,O,O,X,X,X,O,X,X,X,O,X,O
TOZIJSL,O,O,X,X,O,O,X,X,X,O,X,O
TOZISLJ,O,O,X,X,O,O,X,X,X,X,X,O
TOZISJL,O,O,X,X,O,O,X,X,X,X,X,O
TOZLIJS,O,O,O,O,X,O,X,O,X,O,X,O
TOZLISJ,O,O,O,O,O,O,X,X,X,X,X,O
TOZLJIS,O,O,O,X,X,O,X,O,X,O,X,O
TOZLJSI,O,O,X,X,X,O,X,O,X,O,X,X
TOZLSIJ,O,O,O,O,O,O,X,X,X,X,X,O
TOZLSJI,O,O,X,X,O,O,X,O,X,X,X,X
TOZJILS,O,O,X,X,O,O,X,X,X,O,X,O
TOZJISL,O,O,X,X,O,O,X,X,X,O,X,O
TOZJLIS,O,O,O,X,O,O,X,X,X,O,X,O
TOZJLSI,O,O,X,X,O,O,X,X,X,O,X,X
TOZJSIL,O,O,X,X,O,O,X,X,X,O,X,X
TOZJSLI,O,O,X,X,O,O,X,X,X,O,X,X
TOZSILJ,O,O,X,X,O,O,X,X,X,X,X,O
TOZSIJL,O,O,X,X,O,O,X,X,X,X,X,O
TOZSLIJ,O,O,O,O,O,O,X,X,X,X,X,O
TOZSLJI,O,O,X,X,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,O,O,X,X,X,X,X,X
ITLJSZO,X,O,O,O,X,O,X,X,X,O,X,X
ITLJSOZ,O,O,O,O,X,X,O,X,X,X,X,X
ITLJZSO,X,O,O,O,X,O,X,X,X,O,X,X
ITLJZOS,X,O,O,O,X,O,X,X,X,O,X,X
ITLJOSZ,O,O,O,O,X,X,O,O,X,X,X,X
ITLJOZS,X,O,O,O,X,O,O,O,X,O,X,X
ITLSJZO,X,O,O,O,X,X,X,X,X,X,X,X
ITLSJOZ,O,O,O,O,X,X,O,X,X,X,X,X
