sequence,v115@EhD8EeF8DeI8BeC8JeT6IvhFegBCcBxdBlhB3lB0rB,v115@EhD8EeF8DeI8BeC8Jei6IvhFFcBxdBzfB+lB3hB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhF0cBxdBmgBXgB1qBqrB,v115@EhD8EeF8DeI8BeC8JeT6IvhFxdBSlBXmBOlBlmB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhFibBxdBUhBFlBGrBfsB,v115@EhD8EeF8DeI8BeC8JeT6IvhF2gBxdB3hBFlBCmB0rB,v115@EhD8EeF8DeI8BeC8Je//IvhFFbBOhBxdBclBSrBzrB,v115@EhD8EeF8DeI8BeC8Jei6IvhFfhBxdBzfBumB1qB0rB
TILJSZO,O,O,O,X,X,X,O,X
TILJSOZ,O,O,O,X,X,O,X,X
TILJZSO,X,O,O,X,O,X,O,X
TILJZOS,O,O,O,X,O,X,X,X
TILJOSZ,O,O,O,X,X,O,X,O
TILJOZS,O,O,O,X,O,X,X,O
TILSJZO,O,O,O,O,X,X,O,X
TILSJOZ,O,O,O,O,X,O,X,X
TILSZJO,O,O,O,O,X,X,O,X
TILSZOJ,X,X,O,O,X,X,O,X
TILSOJZ,O,O,O,O,X,O,X,X
TILSOZJ,X,X,O,O,X,X,X,X
TILZJSO,X,X,O,X,O,O,O,X
TILZJOS,O,X,O,X,O,O,X,X
TILZSJO,O,X,O,X,X,O,O,X
TILZSOJ,X,X,O,X,X,O,O,X
TILZOJS,X,X,O,X,O,O,X,X
TILZOSJ,X,X,O,X,X,O,X,X
TILOJSZ,O,O,O,X,X,O,X,O
TILOJZS,O,O,O,X,O,X,X,O
TILOSJZ,O,O,O,O,X,O,X,X
TILOSZJ,X,X,O,O,X,X,X,X
TILOZJS,X,X,O,X,O,O,X,X
TILOZSJ,X,X,O,X,X,O,X,X
TIJLSZO,O,O,O,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,O,X,O
TIJLZSO,X,O,O,X,O,X,X,X
TIJLZOS,O,O,O,X,O,X,X,X
TIJLOSZ,O,O,O,X,X,O,X,O
TIJLOZS,O,O,O,X,O,X,X,O
TIJSLZO,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,O
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,O,X,O
TIJSOLZ,O,O,X,X,X,O,X,O
TIJSOZL,O,O,X,X,X,O,X,O
