sequence,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?CeBTjB0nBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?0dB6jBZnBzsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bBxcB?TeBCiBOsBXtB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xdBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBXeB?CgBcoBTnBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bB6hB?+iBTeBXoBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBTeB?CgBcnBXoBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xnBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9jB?xhBzhBaoBcsB
TILJSZO,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X
