sequence,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBGcB3gBqpB0m?BlqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufB3bBchB6qB1r?BzpB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hB0fBlgB/pB2r?BTqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBTfBlgB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhFTcBOkB0gBqpB/q?B1wB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFUbBFcBflBqmBzl?BWvB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBUhBupB1qBqm?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufBchBTgB1rBCq?B3qB,v115@5gD8FeD8FeD8GeD8CeF8Jem6IvhFCcBTfBxlB0mBlp?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBWhBClBXmB0m?BVvB,v115@5gD8FeD8FeD8GeD8CeF8Jei6IvhFzbB+hB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFFcB0gBqmBzkB3q?BupB,v115@5gD8FeD8FeD8GeD8CeF8Je2/IvhFCcBThB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBlgBTkB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8JeT6IvhFGcBUhB/pBFlBRr?BKqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhF3bBchBWlB1rBzk?BSvB,v115@5gD8FeD8FeD8GeD8CeF8JeO/IvhF8fBzbBxlBqmBlp?B3qB
TILJSZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TILJSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TILJZOS,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TILJOSZ,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O,X
TILSJZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TILSJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TILSZOJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILZJSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILZJOS,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,O
TILZSJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILZSOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILZOJS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TILZOSJ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TILOJSZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TILOSJZ,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TILOZSJ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIJLSZO,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TIJLSOZ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TIJLZOS,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TIJSLZO,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O
TIJSZOL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TIJSOLZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
TIJZLOS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O
TIJZSLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJZSOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
TIJZOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X
TISLJOZ,O,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TISLZJO,O,O,X,X,O,X,X,X,O,O,O,X,X,X,O,O,O
TISLZOJ,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X
TISLOJZ,O,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
TISJZLO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O
TISJZOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O
TISJOLZ,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TISZLJO,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,O,O
TISZLOJ,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X
TISZJLO,X,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O
TISZJOL,X,O,X,X,O,X,O,X,X,X,O,X,O,X,O,X,O
TISZOLJ,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TISZOJL,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O
