sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
TSZOJLI,O,O,X,O,O,X,X,X,X
TSOILJZ,O,O,O,O,O,O,X,X,X
TSOILZJ,X,X,O,O,X,O,X,X,X
TSOIJLZ,O,O,O,O,O,O,X,X,X
TSOIJZL,O,O,X,O,O,X,X,X,X
TSOIZLJ,O,O,O,O,X,O,X,X,O
TSOIZJL,O,O,X,O,O,X,X,X,O
TSOLIJZ,O,O,O,O,O,O,X,X,X
TSOLIZJ,X,X,O,O,X,O,X,X,X
TSOLJIZ,O,O,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,O,O,X,X,X
TSOLZIJ,X,O,O,O,X,O,X,X,O
TSOLZJI,X,O,O,O,X,O,X,X,X
TSOJILZ,O,O,O,O,O,O,X,X,X
TSOJIZL,O,O,X,O,O,X,X,X,X
TSOJLIZ,O,O,O,O,O,O,X,X,X
TSOJLZI,O,O,O,O,O,O,X,X,X
TSOJZIL,O,O,X,O,O,X,X,X,X
TSOJZLI,O,O,X,O,O,X,X,X,X
TSOZILJ,O,O,O,O,X,O,X,X,O
TSOZIJL,O,O,X,O,O,X,X,X,O
TSOZLIJ,O,O,O,O,X,O,X,X,O
TSOZLJI,O,O,O,O,X,O,X,X,X
TSOZJIL,O,O,X,O,O,X,X,X,X
TSOZJLI,O,O,X,O,O,X,X,X,X
TZILJSO,O,O,O,X,X,O,X,X,X
TZILJOS,O,O,O,X,X,X,X,X,X
TZILSJO,O,O,O,X,X,O,X,X,X
TZILSOJ,O,O,O,O,X,X,X,X,X
TZILOJS,X,O,O,O,X,X,X,X,X
TZILOSJ,O,O,O,O,X,X,X,X,X
TZIJLSO,O,O,X,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,O,X,O,X,X
TZIJOLS,O,O,X,X,O,X,O,X,X
TZIJOSL,O,O,X,X,O,X,O,X,X
TZISLJO,O,O,O,X,X,O,X,X,X
TZISLOJ,O,O,O,O,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,O,X,O,X,X
TZISOLJ,O,O,O,O,X,O,X,X,X
TZISOJL,O,O,X,O,O,X,X,X,X
TZIOLJS,X,O,O,O,X,O,X,X,X
TZIOLSJ,O,O,O,O,X,O,X,X,X
TZIOJLS,O,O,X,O,O,X,X,X,X
TZIOJSL,O,O,X,O,O,X,X,X,X
TZIOSLJ,O,O,O,O,X,O,X,X,X
TZIOSJL,O,O,X,O,O,X,X,X,X
TZLIJSO,O,O,O,X,X,O,X,X,X
TZLIJOS,O,O,O,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,O,X,X,X
TZLISOJ,O,O,O,O,X,X,X,X,X
TZLIOJS,X,O,O,O,X,X,X,X,X
TZLIOSJ,O,O,O,O,X,X,X,X,X
TZLJISO,O,O,O,X,X,O,X,X,X
TZLJIOS,O,O,O,X,X,X,X,X,X
TZLJSIO,O,O,O,X,X,O,X,X,X
TZLJSOI,O,O,O,X,X,O,X,X,X
TZLJOIS,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,X,X,O,X,X,X
TZLSIJO,O,O,O,X,X,O,X,X,X
TZLSIOJ,O,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,O,X,X,X
TZLSJOI,O,O,O,X,X,O,X,X,X
TZLSOIJ,O,O,O,O,X,O,X,X,X
TZLSOJI,O,O,O,O,X,O,X,X,X
TZLOIJS,X,O,O,O,X,O,X,X,X
TZLOISJ,O,O,O,O,X,O,X,X,X
TZLOJIS,O,O,O,O,X,O,X,X,X
TZLOJSI,O,O,O,O,X,O,X,X,X
TZLOSIJ,O,O,O,O,X,O,X,X,X
TZLOSJI,O,O,O,O,X,O,X,X,X
TZJILSO,O,O,X,X,X,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,O,X,O,X,X
TZJIOLS,O,O,X,X,O,X,O,X,X
TZJIOSL,O,O,X,X,O,X,O,X,X
TZJLISO,O,O,X,X,X,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,O,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X,X,X
TZJLOSI,O,O,X,X,O,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,O,X,O,X,X
TZJSLIO,O,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X,X
TZJSOIL,O,O,X,X,O,X,O,X,X
TZJSOLI,O,O,X,X,O,X,O,X,X
TZJOILS,O,O,X,X,O,X,O,X,X
TZJOISL,O,O,X,X,O,X,O,X,X
TZJOLIS,O,O,X,X,O,X,O,X,X
TZJOLSI,O,O,X,X,O,X,O,X,X
TZJOSIL,O,O,X,X,O,X,O,X,X
TZJOSLI,O,O,X,X,O,X,O,X,X
TZSILJO,O,O,O,X,X,O,X,X,X
TZSILOJ,O,O,O,O,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X,X
TZSIJOL,O,O,X,X,O,X,O,X,X
TZSIOLJ,O,O,O,O,X,O,X,X,X
TZSIOJL,O,O,X,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,O,X,X,X
TZSLIOJ,O,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,X,X,O,X,X,X
TZSLJOI,O,O,O,X,X,O,X,X,X
TZSLOIJ,O,O,O,O,X,O,X,X,X
TZSLOJI,O,O,O,O,X,O,X,X,X
TZSJILO,O,O,X,X,X,X,X,X,X
TZSJIOL,O,O,X,X,O,X,O,X,X
TZSJLIO,O,O,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X,X
TZSJOIL,O,O,X,X,O,X,O,X,X
TZSJOLI,O,O,X,X,O,X,O,X,X
TZSOILJ,O,O,O,O,X,O,X,X,X
TZSOIJL,O,O,X,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,X,O,X,X,X
TZSOLJI,O,O,O,O,X,O,X,X,X
TZSOJIL,O,O,X,O,O,X,X,X,X
TZSOJLI,O,O,X,O,O,X,X,X,X
TZOILJS,X,O,O,O,X,O,X,X,X
TZOILSJ,O,O,O,O,X,O,X,X,X
TZOIJLS,O,O,X,O,O,X,X,X,X
TZOIJSL,O,O,X,O,O,X,X,X,X
TZOISLJ,O,O,O,O,X,O,X,X,X
TZOISJL,O,O,X,O,O,X,X,X,X
TZOLIJS,X,O,O,O,X,O,X,X,X
TZOLISJ,O,O,O,O,X,O,X,X,X
TZOLJIS,O,O,O,O,X,O,X,X,X
TZOLJSI,O,O,O,O,X,O,X,X,X
TZOLSIJ,O,O,O,O,X,O,X,X,X
TZOLSJI,O,O,O,O,X,O,X,X,X
TZOJILS,O,O,X,O,O,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X
TZOJLIS,O,O,X,O,O,X,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X
TZOSILJ,O,O,O,O,X,O,X,X,X
TZOSIJL,O,O,X,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,O,X,O,X,X,X
TZOSJIL,O,O,X,O,O,X,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X,X
TOILJSZ,O,O,O,O,O,O,X,X,X
TOILJZS,O,O,O,O,O,O,X,X,X
TOILSJZ,O,O,O,O,O,O,X,X,X
TOILSZJ,X,X,O,O,X,O,X,X,X
TOILZJS,X,X,O,O,X,O,X,X,X
TOILZSJ,X,X,O,O,X,O,X,X,X
TOIJLSZ,O,O,O,O,O,O,X,X,X
TOIJLZS,O,O,O,O,O,O,X,X,X
TOIJSLZ,O,O,O,O,O,O,X,X,X
TOIJSZL,O,O,X,O,O,X,X,X,X
TOIJZLS,O,O,X,O,O,X,X,X,X
TOIJZSL,O,O,X,O,O,X,X,X,X
TOISLJZ,O,O,O,O,O,O,X,X,X
TOISLZJ,X,X,O,O,X,O,X,X,X
TOISJLZ,O,O,O,O,O,O,X,X,X
TOISJZL,O,O,X,O,O,X,X,X,X
TOISZLJ,O,O,O,O,X,O,X,X,O
TOISZJL,O,O,X,O,O,X,X,X,O
TOIZLJS,X,O,O,O,X,O,X,X,O
TOIZLSJ,O,O,O,O,X,O,X,X,O
TOIZJLS,O,O,X,O,O,X,X,X,O
TOIZJSL,O,O,X,O,O,X,X,X,O
TOIZSLJ,O,O,O,O,X,O,X,X,O
TOIZSJL,O,O,X,O,O,X,X,X,O
TOLIJSZ,O,O,O,O,O,O,X,X,X
TOLIJZS,O,O,O,O,O,O,X,X,X
TOLISJZ,O,O,O,O,O,O,X,X,X
TOLISZJ,X,X,O,O,X,O,X,X,X
TOLIZJS,X,X,O,O,X,O,X,X,X
TOLIZSJ,X,X,O,O,X,O,X,X,X
TOLJISZ,O,O,O,O,O,O,X,X,X
TOLJIZS,O,O,O,O,O,O,X,X,X
TOLJSIZ,O,O,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,O,O,X,X,X
TOLJZIS,O,O,O,O,O,O,X,X,X
TOLJZSI,O,O,O,O,O,O,X,X,X
TOLSIJZ,O,O,O,O,O,O,X,X,X
TOLSIZJ,X,X,O,O,X,O,X,X,X
TOLSJIZ,O,O,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,O,X,X,X
TOLSZIJ,X,O,O,O,X,O,X,X,O
TOLSZJI,X,O,O,O,X,O,X,X,X
TOLZIJS,X,O,O,O,X,O,X,X,O
TOLZISJ,X,O,O,O,X,O,X,X,O
TOLZJIS,X,O,O,O,X,O,X,X,X
TOLZJSI,X,O,O,O,X,O,X,X,X
TOLZSIJ,X,O,O,O,X,O,X,X,O
TOLZSJI,X,O,O,O,X,O,X,X,X
TOJILSZ,O,O,O,O,O,O,X,X,X
TOJILZS,O,O,O,O,O,O,X,X,X
TOJISLZ,O,O,O,O,O,O,X,X,X
TOJISZL,O,O,X,O,O,X,X,X,X
TOJIZLS,O,O,X,O,O,X,X,X,X
TOJIZSL,O,O,X,O,O,X,X,X,X
TOJLISZ,O,O,O,O,O,O,X,X,X
TOJLIZS,O,O,O,O,O,O,X,X,X
TOJLSIZ,O,O,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,O,O,X,X,X
TOJLZIS,O,O,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,O,O,X,X,X
TOJSILZ,O,O,O,O,O,O,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,X
TOJSLIZ,O,O,O,O,O,O,X,X,X
TOJSLZI,O,O,O,O,O,O,X,X,X
TOJSZIL,O,O,X,O,O,X,X,X,X
TOJSZLI,O,O,X,O,O,X,X,X,X
TOJZILS,O,O,X,O,O,X,X,X,X
TOJZISL,O,O,X,O,O,X,X,X,X
TOJZLIS,O,O,X,O,O,X,X,X,X
TOJZLSI,O,O,X,O,O,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,X
TOJZSLI,O,O,X,O,O,X,X,X,X
TOSILJZ,O,O,O,O,O,O,X,X,X
TOSILZJ,X,X,O,O,X,O,X,X,X
TOSIJLZ,O,O,O,O,O,O,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X
TOSIZLJ,O,O,O,O,X,O,X,X,O
TOSIZJL,O,O,X,O,O,X,X,X,O
TOSLIJZ,O,O,O,O,O,O,X,X,X
TOSLIZJ,X,X,O,O,X,O,X,X,X
TOSLJIZ,O,O,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,O,O,X,X,X
TOSLZIJ,X,O,O,O,X,O,X,X,O
TOSLZJI,X,O,O,O,X,O,X,X,X
TOSJILZ,O,O,O,O,O,O,X,X,X
TOSJIZL,O,O,X,O,O,X,X,X,X
TOSJLIZ,O,O,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,O,O,X,X,X
TOSJZIL,O,O,X,O,O,X,X,X,X
TOSJZLI,O,O,X,O,O,X,X,X,X
TOSZILJ,O,O,O,O,X,O,X,X,O
TOSZIJL,O,O,X,O,O,X,X,X,O
TOSZLIJ,O,O,O,O,X,O,X,X,O
TOSZLJI,O,O,O,O,X,O,X,X,X
TOSZJIL,O,O,X,O,O,X,X,X,X
TOSZJLI,O,O,X,O,O,X,X,X,X
TOZILJS,X,O,O,O,X,O,X,X,O
TOZILSJ,O,O,O,O,X,O,X,X,O
TOZIJLS,O,O,X,O,O,X,X,X,O
TOZIJSL,O,O,X,O,O,X,X,X,O
TOZISLJ,O,O,O,O,X,O,X,X,O
TOZISJL,O,O,X,O,O,X,X,X,O
TOZLIJS,X,O,O,O,X,O,X,X,O
TOZLISJ,O,O,O,O,X,O,X,X,O
TOZLJIS,O,O,O,O,X,O,X,X,X
TOZLJSI,O,O,O,O,X,O,X,X,X
TOZLSIJ,O,O,O,O,X,O,X,X,O
TOZLSJI,O,O,O,O,X,O,X,X,X
TOZJILS,O,O,X,O,O,X,X,X,X
TOZJISL,O,O,X,O,O,X,X,X,X
TOZJLIS,O,O,X,O,O,X,X,X,X
TOZJLSI,O,O,X,O,O,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X,X
TOZSILJ,O,O,O,O,X,O,X,X,O
TOZSIJL,O,O,X,O,O,X,X,X,O
TOZSLIJ,O,O,O,O,X,O,X,X,O
TOZSLJI,O,O,O,O,X,O,X,X,X
TOZSJIL,O,O,X,O,O,X,X,X,X
TOZSJLI,O,O,X,O,O,X,X,X,X
ITLJSZO,O,O,O,X,X,O,X,X,X
ITLJSOZ,X,O,X,O,O,O,X,X,X
ITLJZSO,O,O,O,X,X,O,X,X,X
ITLJZOS,O,O,O,X,X,X,X,X,X
ITLJOSZ,X,O,X,O,O,O,X,X,X
ITLJOZS,X,X,X,O,O,O,X,X,X
ITLSJZO,O,O,O,X,X,O,X,X,X
ITLSJOZ,X,O,X,O,O,O,X,X,X
ITLSZJO,O,O,O,X,X,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,X,O,X
ITLSOJZ,O,O,O,O,O,O,X,O,X
ITLSOZJ,X,X,O,O,X,O,X,O,X
ITLZJSO,O,O,O,X,X,O,X,X,X
ITLZJOS,O,O,O,X,X,X,X,X,X
ITLZSJO,O,O,O,X,X,O,X,X,X
ITLZSOJ,O,O,O,O,X,X,X,O,X
ITLZOJS,X,O,O,O,X,X,X,O,X
ITLZOSJ,O,O,O,O,X,X,X,O,X
ITLOJSZ,O,O,O,O,O,O,X,O,X
ITLOJZS,O,O,O,O,O,O,X,O,X
ITLOSJZ,O,O,O,O,O,O,X,O,X
ITLOSZJ,X,X,O,O,X,O,X,O,X
ITLOZJS,X,X,O,O,X,O,X,O,X
ITLOZSJ,X,X,O,O,X,O,X,O,X
ITJLSZO,O,O,O,X,X,O,X,X,X
ITJLSOZ,X,O,X,O,O,O,X,X,X
ITJLZSO,O,O,O,X,X,O,X,X,X
ITJLZOS,O,O,O,X,X,X,X,X,X
ITJLOSZ,X,O,X,O,O,O,X,X,X
ITJLOZS,X,X,X,O,O,X,X,X,X
ITJSLZO,O,O,O,X,X,O,X,X,X
ITJSLOZ,X,O,X,O,O,O,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,O,X,O,X,X
ITJSOLZ,O,O,O,O,O,O,X,O,X
ITJSOZL,O,X,X,O,O,X,O,X,X
ITJZLSO,O,O,X,X,X,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,O,X,X
ITJZOLS,O,O,X,X,O,X,O,X,X
ITJZOSL,O,O,X,X,O,X,O,X,X
ITJOLSZ,O,O,O,O,O,O,X,O,X
ITJOLZS,O,X,O,O,O,O,X,O,X
ITJOSLZ,O,O,O,O,O,O,X,O,X
ITJOSZL,O,X,X,O,O,X,O,X,X
ITJOZLS,O,X,X,O,O,X,O,X,X
ITJOZSL,O,X,X,O,O,X,O,X,X
ITSLJZO,O,O,O,X,X,O,X,X,X
ITSLJOZ,X,O,X,O,O,O,X,X,X
ITSLZJO,O,O,O,X,X,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,X,O,X
ITSLOJZ,O,O,O,O,O,O,X,O,X
ITSLOZJ,X,X,O,O,X,O,X,O,X
ITSJLZO,O,O,O,X,X,O,X,X,X
ITSJLOZ,X,O,X,O,O,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,O,X,O,X,X
ITSJOLZ,O,O,O,O,O,O,X,O,X
ITSJOZL,O,X,X,O,O,X,O,X,X
ITSZLJO,O,O,O,X,X,O,X,X,X
ITSZLOJ,O,O,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,O,X,O,X,X
ITSZOLJ,O,O,O,O,X,O,X,X,X
ITSZOJL,O,O,X,O,O,X,X,X,X
ITSOLJZ,O,O,O,O,O,O,X,O,X
ITSOLZJ,X,X,O,O,X,O,X,O,X
ITSOJLZ,O,O,O,O,O,O,X,O,X
ITSOJZL,O,O,X,O,O,X,X,X,X
ITSOZLJ,O,O,O,O,X,O,X,X,O
ITSOZJL,O,O,X,O,O,X,X,X,O
ITZLJSO,O,O,O,X,X,O,X,X,X
ITZLJOS,O,O,O,X,X,X,X,X,X
ITZLSJO,O,O,O,X,X,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,X,X,X
ITZLOJS,X,O,O,O,X,X,X,X,X
ITZLOSJ,O,O,O,O,X,X,X,X,X
ITZJLSO,O,O,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,O,X,O,X,X
ITZJOLS,O,O,X,X,O,X,O,X,X
ITZJOSL,O,O,X,X,O,X,O,X,X
ITZSLJO,O,O,O,X,X,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,O,X,O,X,X
ITZSOLJ,O,O,O,O,X,O,X,X,X
ITZSOJL,O,O,X,O,O,X,X,X,X
ITZOLJS,X,O,O,O,X,O,X,X,X
ITZOLSJ,O,O,O,O,X,O,X,X,X
ITZOJLS,O,O,X,O,O,X,X,X,X
ITZOJSL,O,O,X,O,O,X,X,X,X
ITZOSLJ,O,O,O,O,X,O,X,X,X
ITZOSJL,O,O,X,O,O,X,X,X,X
ITOLJSZ,O,O,O,O,O,O,X,O,X
ITOLJZS,O,O,O,O,O,O,X,O,X
ITOLSJZ,O,O,O,O,O,O,X,O,X
ITOLSZJ,X,X,O,O,X,O,X,O,X
ITOLZJS,X,X,O,O,X,O,X,O,X
ITOLZSJ,X,X,O,O,X,O,X,O,X
ITOJLSZ,O,O,O,O,O,O,X,O,X
ITOJLZS,O,O,O,O,O,O,X,O,X
ITOJSLZ,O,O,O,O,O,O,X,O,X
ITOJSZL,O,O,X,O,O,X,X,X,X
ITOJZLS,O,O,X,O,O,X,X,X,X
ITOJZSL,O,O,X,O,O,X,X,X,X
ITOSLJZ,O,O,O,O,O,O,X,O,X
ITOSLZJ,X,X,O,O,X,O,X,O,X
ITOSJLZ,O,O,O,O,O,O,X,O,X
ITOSJZL,O,O,X,O,O,X,X,X,X
ITOSZLJ,O,O,O,O,X,O,X,X,O
ITOSZJL,O,O,X,O,O,X,X,X,O
ITOZLJS,X,O,O,O,X,O,X,X,O
ITOZLSJ,O,O,O,O,X,O,X,X,O
ITOZJLS,O,O,X,O,O,X,X,X,O
ITOZJSL,O,O,X,O,O,X,X,X,O
ITOZSLJ,O,O,O,O,X,O,X,X,O
ITOZSJL,O,O,X,O,O,X,X,X,O
ILTJSZO,O,O,O,X,X,O,X,X,X
ILTJSOZ,X,O,X,O,O,O,X,X,X
ILTJZSO,O,O,O,X,X,O,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X,X
ILTJOSZ,X,O,X,O,O,O,X,X,X
ILTJOZS,X,X,X,O,O,O,X,X,X
ILTSJZO,O,O,O,X,X,O,X,X,X
ILTSJOZ,X,O,X,O,O,O,X,X,X
ILTSZJO,O,O,O,X,X,O,X,X,X
ILTSZOJ,O,O,O,O,X,X,X,O,X
ILTSOJZ,O,O,O,O,O,O,X,O,X
ILTSOZJ,X,X,O,O,X,O,X,O,X
ILTZJSO,O,O,O,X,X,O,X,X,X
ILTZJOS,O,O,O,X,X,X,X,X,X
ILTZSJO,O,O,O,X,X,O,X,X,X
ILTZSOJ,O,O,O,O,X,X,X,O,X
ILTZOJS,X,O,O,O,X,X,X,O,X
ILTZOSJ,O,O,O,O,X,X,X,O,X
ILTOJSZ,O,O,O,O,O,O,X,O,X
ILTOJZS,O,O,O,O,O,O,X,O,X
ILTOSJZ,O,O,O,O,O,O,X,O,X
ILTOSZJ,X,X,O,O,X,O,X,O,X
ILTOZJS,X,X,O,O,X,O,X,O,X
ILTOZSJ,X,X,O,O,X,O,X,O,X
ILJTSZO,X,O,X,X,X,O,X,X,X
ILJTSOZ,X,O,X,O,O,O,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X
ILJTOSZ,X,O,X,O,O,O,X,X,X
ILJTOZS,X,X,X,O,O,O,X,X,X
ILJSTZO,X,O,X,X,X,O,X,X,X
ILJSTOZ,X,O,X,O,O,O,X,X,X
ILJSZTO,O,O,O,X,X,O,X,X,X
ILJSZOT,O,O,O,X,X,X,O,O,X
ILJSOTZ,X,O,X,O,X,O,X,O,X
ILJSOZT,X,O,X,O,X,X,O,O,X
ILJZTSO,O,X,O,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,X,X,X,X
ILJZSTO,O,O,O,X,X,O,X,X,X
ILJZSOT,O,O,O,X,X,X,O,O,X
ILJZOTS,X,X,X,X,X,X,O,O,X
ILJZOST,O,X,O,X,X,X,O,O,X
ILJOTSZ,X,O,X,O,X,X,X,O,X
ILJOTZS,X,X,X,X,X,X,X,O,X
ILJOSTZ,X,O,X,O,X,O,X,O,X
ILJOSZT,X,O,X,O,X,X,O,O,X
ILJOZTS,X,X,X,X,X,X,O,O,X
ILJOZST,X,O,X,O,X,X,O,O,X
ILSTJZO,O,O,O,X,X,O,X,X,X
ILSTJOZ,X,O,X,O,O,O,X,X,X
ILSTZJO,O,O,O,X,X,O,X,X,X
ILSTZOJ,O,O,O,O,X,X,X,O,X
ILSTOJZ,O,O,O,O,O,O,X,O,X
ILSTOZJ,X,X,O,O,X,O,X,O,X
ILSJTZO,X,O,X,X,X,O,X,X,X
ILSJTOZ,X,O,X,O,O,O,X,X,X
ILSJZTO,O,O,O,X,X,O,X,X,X
ILSJZOT,O,O,O,X,X,X,O,O,X
ILSJOTZ,X,O,X,O,X,O,X,O,X
ILSJOZT,X,O,X,O,X,X,O,O,X
ILSZTJO,O,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,O,O,X,X,X,O,X
ILSZJTO,O,X,O,X,X,O,X,X,X
ILSZJOT,O,X,O,X,X,X,O,O,X
ILSZOTJ,O,X,X,X,X,X,X,O,X
ILSZOJT,O,X,O,O,X,X,X,O,X
ILSOTJZ,X,X,X,O,X,X,X,O,X
ILSOTZJ,X,X,X,O,X,X,X,O,X
ILSOJTZ,X,O,X,O,X,O,X,O,X
ILSOJZT,X,O,X,O,X,X,X,O,X
ILSOZTJ,X,X,X,X,X,X,X,O,O
ILSOZJT,X,X,O,O,X,X,X,O,O
ILZTJSO,X,X,O,X,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X,X
ILZTSJO,O,X,O,X,X,X,X,X,X
ILZTSOJ,O,X,O,O,X,X,X,O,X
ILZTOJS,X,X,O,O,X,X,X,O,X
ILZTOSJ,X,X,O,O,X,X,X,O,X
ILZJTSO,O,X,O,X,X,X,X,X,X
ILZJTOS,X,X,O,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,O,X,X,X
ILZJSOT,O,X,O,X,X,X,O,O,X
ILZJOTS,X,X,X,X,X,X,O,O,X
ILZJOST,O,X,O,X,X,X,O,O,X
ILZSTJO,O,X,O,X,X,X,X,X,X
ILZSTOJ,O,X,O,O,X,X,X,O,X
ILZSJTO,O,X,O,X,X,O,X,X,X
ILZSJOT,O,X,O,X,X,X,O,O,X
ILZSOTJ,O,X,X,X,X,X,X,O,X
ILZSOJT,O,X,O,O,X,X,X,O,X
ILZOTJS,X,X,X,X,X,X,X,O,X
ILZOTSJ,X,X,X,X,X,X,X,O,X
ILZOJTS,X,X,X,X,X,X,X,O,X
ILZOJST,X,X,O,O,X,X,X,O,X
ILZOSTJ,O,X,X,X,X,X,X,O,X
ILZOSJT,O,X,O,O,X,X,X,O,X
ILOTJSZ,X,X,X,O,X,X,X,O,X
ILOTJZS,X,X,X,O,X,X,X,O,X
ILOTSJZ,X,X,X,O,X,X,X,O,X
ILOTSZJ,X,X,X,O,X,X,X,O,X
ILOTZJS,X,X,X,O,X,X,X,O,X
ILOTZSJ,X,X,X,O,X,X,X,O,X
ILOJTSZ,X,O,X,O,X,X,X,O,X
ILOJTZS,X,X,X,X,X,X,X,O,X
ILOJSTZ,X,O,X,O,X,O,X,O,X
ILOJSZT,X,O,X,O,X,X,X,O,X
ILOJZTS,X,X,X,X,X,X,X,O,X
ILOJZST,X,O,X,O,X,X,X,O,X
ILOSTJZ,X,X,X,O,X,X,X,O,X
ILOSTZJ,X,X,X,O,X,X,X,O,X
ILOSJTZ,X,O,X,O,X,O,X,O,X
ILOSJZT,X,O,X,O,X,X,X,O,X
ILOSZTJ,X,X,X,X,X,X,X,O,O
ILOSZJT,X,X,O,O,X,X,X,O,O
ILOZTJS,X,X,X,X,X,X,X,O,O
ILOZTSJ,X,X,X,X,X,X,X,O,O
ILOZJTS,X,X,X,X,X,X,X,O,O
ILOZJST,X,X,O,O,X,X,X,O,O
ILOZSTJ,X,X,X,X,X,X,X,O,O
ILOZSJT,X,X,O,O,X,X,X,O,O
IJTLSZO,O,O,O,X,X,O,X,X,X
IJTLSOZ,X,O,X,O,O,O,X,X,X
IJTLZSO,O,O,O,X,X,O,X,X,X
IJTLZOS,O,O,O,X,X,X,X,X,X
IJTLOSZ,X,O,X,O,O,O,X,X,X
IJTLOZS,X,X,X,O,O,X,X,X,X
IJTSLZO,O,O,O,X,X,O,X,X,X
IJTSLOZ,X,O,X,O,O,O,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X
