sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
TIOJLSZ,O,O,O,O,O,O,X,O,X
TIOJLZS,O,O,O,O,O,O,X,O,X
TIOJSLZ,O,O,O,O,O,O,X,O,X
TIOJSZL,O,O,X,O,O,X,X,X,X
TIOJZLS,O,O,X,O,O,X,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X,X
TIOSLJZ,O,O,O,O,O,O,X,O,X
TIOSLZJ,X,X,O,O,X,O,X,O,X
TIOSJLZ,O,O,O,O,O,O,X,O,X
TIOSJZL,O,O,X,O,O,X,X,X,X
TIOSZLJ,O,O,O,O,X,O,X,X,O
TIOSZJL,O,O,X,O,O,X,X,X,O
TIOZLJS,X,O,O,O,X,O,X,X,O
TIOZLSJ,O,O,O,O,X,O,X,X,O
TIOZJLS,O,O,X,O,O,X,X,X,O
TIOZJSL,O,O,X,O,O,X,X,X,O
TIOZSLJ,O,O,O,O,X,O,X,X,O
TIOZSJL,O,O,X,O,O,X,X,X,O
TLIJSZO,O,O,O,X,X,O,X,X,X
TLIJSOZ,X,O,X,O,O,O,X,X,X
TLIJZSO,O,O,O,X,X,O,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,O,O,O,X,X,X
TLIJOZS,X,X,X,O,O,O,X,X,X
TLISJZO,O,O,O,X,X,O,X,X,X
TLISJOZ,X,O,X,O,O,O,X,X,X
TLISZJO,O,O,O,X,X,O,X,X,X
TLISZOJ,O,O,O,O,X,X,X,O,X
