sequence,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFCdBTfB2lB8mB3q?BdrB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgB8gB5hBOiBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jem6IvhFCdBTfB9lBZmB8m?B3qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgBxcBtlBmhBcr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXcBOiBTfBCrBNq?BcrB,v115@7gB8GeC8GeF8CeF8CeE8Jei6IvhFWhBxcB3fB8mBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhFxcB8lBzhBXrBOq?BCqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBigB0hB+q?BNrB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBCrBOqBdr?B0rB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBZmBzhBGlBCn?BUqB,v115@7gB8GeC8GeF8CeF8CeE8JeT6IvhF0bBXdBykBZmBtm?B+qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFxcB9lBmhBTmBfq?B0qB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBCdBZmB8mBzf?B+qB
TILJSZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TILSOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,O,X,O,X
TILOJZS,X,O,O,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TILOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJLSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,O,X,O,X,X,X,X,X,X,X,X,O
TIJLZOS,X,O,X,O,X,X,X,X,X,X,X,X,O
TIJLOSZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJSLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJSZLO,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJSZOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJSOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,X,O,X,X,O,X,X,O
TIJZLSO,X,O,X,O,X,X,X,X,X,X,X,X,O
TIJZLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIJZSLO,X,O,X,O,X,X,X,X,X,X,X,X,O
TIJZSOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJZOLS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIJZOSL,X,X,O,X,X,X,X,X,X,O,X,X,O
TIJOLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,O,X,X,X,O,X,X,O,X,X,O
TIJOZLS,X,O,O,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,O,X,X,X,X,X,X,O,X,X,O
TISLJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,X,O,X,X,X
TISZLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TISZLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TISZJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,O,O,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,O,X,X,X,O,X,X,O,X,X,X
TISOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
