sequence,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFlcBGeB?ymB5nB/oBzrB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFTeBUhB?FiBGoBXnBSxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmcB5jB?1mBziBCsB3sB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jel7IvhFUdBajB?5jBThBGsBXsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmdB5jB?lmB3nB6rBTsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFUhBFiB?XjB6oBTnBWxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFzdB5jB?umBihBXsBlsB
TILJSZO,O,X,O,O,X,X,X
TILJSOZ,O,X,O,O,X,X,X
TILJZSO,O,O,O,O,X,X,X
TILJZOS,X,O,O,O,X,X,X
TILJOSZ,X,X,O,O,X,X,X
TILJOZS,X,O,O,O,X,X,X
TILSJZO,O,X,O,O,O,X,X
TILSJOZ,O,X,O,O,O,X,X
TILSZJO,O,X,O,X,O,X,X
TILSZOJ,O,X,O,X,O,X,X
TILSOJZ,O,X,O,X,O,X,X
TILSOZJ,O,X,O,O,O,X,X
TILZJSO,O,O,O,O,X,X,X
TILZJOS,X,O,O,O,X,X,X
TILZSJO,O,O,O,X,O,X,X
TILZSOJ,O,X,O,X,O,X,X
TILZOJS,X,O,O,O,X,X,X
TILZOSJ,O,X,O,O,X,X,X
TILOJSZ,X,X,O,O,X,X,X
TILOJZS,X,X,O,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X
TILOSZJ,O,X,O,O,X,X,X
TILOZJS,X,X,O,O,X,X,X
TILOZSJ,O,X,O,O,X,X,X
TIJLSZO,X,X,O,O,X,X,X
TIJLSOZ,X,X,O,O,X,X,X
TIJLZSO,X,O,O,O,X,X,X
TIJLZOS,X,O,O,O,X,X,X
TIJLOSZ,X,X,O,O,X,X,X
TIJLOZS,X,O,O,O,X,X,X
TIJSLZO,X,X,X,O,O,X,X
TIJSLOZ,X,X,X,O,O,X,X
TIJSZLO,X,X,X,O,O,O,X
TIJSZOL,X,X,O,O,O,O,X
TIJSOLZ,X,X,X,O,O,X,X
TIJSOZL,X,X,O,O,O,X,X
TIJZLSO,X,O,O,O,X,O,X
TIJZLOS,X,O,O,O,X,X,X
TIJZSLO,X,X,X,O,O,O,X
TIJZSOL,X,O,O,O,O,O,X
TIJZOLS,X,O,O,O,X,X,X
TIJZOSL,X,O,O,O,X,O,X
TIJOLSZ,X,X,O,O,X,X,X
TIJOLZS,X,O,O,O,X,X,X
TIJOSLZ,X,X,X,O,X,X,X
TIJOSZL,X,X,O,O,X,X,X
TIJOZLS,X,O,O,O,X,X,X
TIJOZSL,X,O,O,O,X,X,X
TISLJZO,O,X,O,O,O,X,X
TISLJOZ,O,X,O,O,O,X,X
TISLZJO,O,X,O,X,O,X,X
TISLZOJ,O,X,O,X,O,X,X
TISLOJZ,O,X,O,X,O,X,X
TISLOZJ,O,X,O,O,O,X,X
TISJLZO,O,X,X,O,O,X,O
TISJLOZ,O,X,X,O,O,X,O
TISJZLO,O,X,X,O,O,O,O
TISJZOL,O,X,O,O,O,O,O
TISJOLZ,O,X,X,O,O,X,O
TISJOZL,O,X,O,O,O,X,O
TISZLJO,O,X,O,X,O,O,X
TISZLOJ,O,X,O,X,O,O,X
TISZJLO,O,X,X,X,O,O,O
TISZJOL,O,X,O,X,O,O,O
TISZOLJ,O,X,O,X,O,O,X
TISZOJL,O,X,O,X,O,X,X
TISOLJZ,O,X,O,X,O,X,X
TISOLZJ,O,X,O,O,O,X,X
TISOJLZ,O,X,X,O,O,X,X
TISOJZL,O,X,O,O,O,X,X
TISOZLJ,O,X,O,O,O,X,X
TISOZJL,O,X,O,X,O,X,X
TIZLJSO,O,O,O,O,X,X,X
TIZLJOS,X,O,O,O,X,X,X
TIZLSJO,O,O,O,X,O,O,X
TIZLSOJ,O,X,O,X,O,O,X
TIZLOJS,X,O,O,O,X,X,X
TIZLOSJ,O,X,O,O,X,X,X
TIZJLSO,X,O,O,O,X,O,X
TIZJLOS,X,O,O,O,X,X,X
TIZJSLO,O,X,X,O,O,O,X
TIZJSOL,O,O,O,O,O,O,X
TIZJOLS,X,O,O,O,X,X,X
TIZJOSL,X,O,O,O,X,O,X
TIZSLJO,O,X,O,X,O,O,X
TIZSLOJ,O,X,O,X,O,O,X
TIZSJLO,O,X,X,X,O,O,O
TIZSJOL,O,O,O,X,O,O,O
TIZSOLJ,O,X,O,X,O,O,X
TIZSOJL,O,X,O,X,O,X,X
TIZOLJS,O,X,O,O,X,X,X
TIZOLSJ,O,X,O,O,X,X,X
TIZOJLS,X,O,O,O,X,X,X
TIZOJSL,O,O,O,O,X,X,X
TIZOSLJ,O,X,O,O,O,O,X
TIZOSJL,O,X,O,X,O,X,X
TIOLJSZ,O,X,O,O,X,X,X
TIOLJZS,O,X,O,O,X,X,X
TIOLSJZ,O,X,O,X,X,X,X
TIOLSZJ,O,X,O,O,X,X,X
TIOLZJS,O,X,O,O,X,X,X
TIOLZSJ,O,X,O,O,X,X,X
TIOJLSZ,X,X,O,O,X,X,X
TIOJLZS,X,X,O,O,X,X,X
TIOJSLZ,X,X,X,O,X,X,X
TIOJSZL,X,X,O,O,X,X,X
TIOJZLS,X,X,O,O,X,X,X
TIOJZSL,X,X,O,O,X,X,X
TIOSLJZ,O,X,O,X,O,X,X
TIOSLZJ,O,X,O,O,O,X,X
TIOSJLZ,O,X,X,O,O,X,X
TIOSJZL,O,X,O,O,O,X,X
TIOSZLJ,O,X,O,O,O,X,X
TIOSZJL,O,X,O,X,O,X,X
TIOZLJS,O,X,O,O,X,X,X
TIOZLSJ,O,X,O,O,X,X,X
TIOZJLS,X,X,O,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X
TIOZSLJ,O,X,O,O,O,X,X
TIOZSJL,O,X,O,X,O,X,X
TLIJSZO,O,X,O,O,X,X,X
TLIJSOZ,O,X,O,O,X,X,X
TLIJZSO,O,O,O,O,X,X,X
TLIJZOS,X,O,O,O,X,X,X
TLIJOSZ,X,X,O,O,X,X,X
TLIJOZS,X,O,O,O,X,X,X
TLISJZO,O,X,O,O,O,X,X
TLISJOZ,O,X,O,O,O,X,X
TLISZJO,O,X,O,X,O,X,X
TLISZOJ,O,X,O,X,O,X,X
TLISOJZ,O,X,O,X,O,X,X
TLISOZJ,O,X,O,O,O,X,X
TLIZJSO,O,O,O,O,X,X,X
TLIZJOS,X,O,O,O,X,X,X
TLIZSJO,O,O,O,X,O,X,X
TLIZSOJ,O,X,O,X,O,X,X
TLIZOJS,X,O,O,O,X,X,X
TLIZOSJ,O,X,O,O,X,X,X
TLIOJSZ,X,X,O,O,X,X,X
TLIOJZS,X,X,O,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X
TLIOSZJ,O,X,O,O,X,X,X
TLIOZJS,X,X,O,O,X,X,X
TLIOZSJ,O,X,O,O,X,X,X
TLJISZO,O,X,O,O,X,X,X
TLJISOZ,O,X,O,O,X,X,X
TLJIZSO,O,O,O,O,X,X,X
TLJIZOS,X,O,O,O,X,X,X
TLJIOSZ,X,X,O,O,X,X,X
TLJIOZS,X,O,O,O,X,X,X
TLJSIZO,O,X,O,O,X,X,X
TLJSIOZ,O,X,O,O,X,X,X
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,X,X,O,O,X,X,X
TLJSOZI,O,O,O,O,X,X,X
TLJZISO,O,O,O,O,X,X,X
TLJZIOS,X,O,O,O,X,X,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,X,O,O,O,X,X,X
TLJZOSI,X,O,O,O,X,X,X
TLJOISZ,X,X,O,O,X,X,X
TLJOIZS,X,O,O,O,X,X,X
TLJOSIZ,X,X,O,O,X,X,X
TLJOSZI,X,O,O,O,X,X,X
TLJOZIS,X,O,O,O,X,X,X
TLJOZSI,X,O,O,O,X,X,X
TLSIJZO,O,X,O,O,O,X,X
TLSIJOZ,O,X,O,O,O,X,X
TLSIZJO,O,X,O,X,O,X,X
TLSIZOJ,O,X,O,X,O,X,X
TLSIOJZ,O,X,O,X,O,X,X
TLSIOZJ,O,X,O,O,O,X,X
TLSJIZO,O,X,O,O,O,X,X
TLSJIOZ,O,X,O,O,O,X,X
TLSJZIO,O,X,O,X,O,X,X
TLSJZOI,O,X,O,X,X,X,X
TLSJOIZ,X,X,O,O,X,X,X
TLSJOZI,O,X,O,O,X,X,X
TLSZIJO,O,X,O,X,O,X,X
TLSZIOJ,O,X,O,X,O,X,X
TLSZJIO,O,X,O,X,O,X,X
TLSZJOI,O,X,O,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X
TLSZOJI,O,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X
TLSOIZJ,O,X,O,O,X,X,X
TLSOJIZ,X,X,O,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X
TLSOZIJ,O,X,O,O,X,X,X
TLSOZJI,O,X,O,X,X,X,X
TLZIJSO,O,O,O,O,X,X,X
TLZIJOS,X,O,O,O,X,X,X
TLZISJO,O,O,O,X,O,X,X
TLZISOJ,O,X,O,X,O,X,X
TLZIOJS,X,O,O,O,X,X,X
TLZIOSJ,O,X,O,O,X,X,X
TLZJISO,O,O,O,O,X,X,X
TLZJIOS,X,O,O,O,X,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X
TLZJOIS,X,O,O,O,X,X,X
TLZJOSI,X,O,O,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X
TLZSIOJ,O,X,O,X,O,X,X
TLZSJIO,O,O,O,X,O,X,X
TLZSJOI,O,O,O,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X
TLZOIJS,X,O,O,O,X,X,X
TLZOISJ,O,X,O,O,X,X,X
TLZOJIS,X,O,O,O,X,X,X
TLZOJSI,X,O,O,X,X,X,X
TLZOSIJ,O,X,O,O,X,X,X
