sequence,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFxcBSmB2qBl?nB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFclBemBCiBl?nB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFclBThB2nBF?rBXsB6sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBFiBTlBu?sBirBXsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFTdBqmBXhB2?qBlnBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFWiBZmB0iBT?lBqrB/sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFqiB3gBlmBm?qBTsB8rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeX8IvhFTdBqmB0gB2?qBlnBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBTlBlnBi?rBGsBXsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFSiBZmBTlBu?rB3nBUsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBTlBlnBm?rB6sB3rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jem7IvhFqhBTdBclBV?rB3nBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeT9IvhF3gByqBlnBU?sB5mBmqB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFxcBTlBKrBf?sBlnBGsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhF3gB0mBlnBm?qBCsBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFuhBciBZmBT?lBCsB3sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdB2qBlnBU?sBfrB6rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeqBJvhFTdBclBZmB3?nBllBWxB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFWiBxlBlnBy?qB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFzgBCiB0iB2?qB/sB1wB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdBGhBilBV?sBUrB3sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdBclBSrBX?sBOrBlsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jem7IvhFclBlnBRrBT?rBfsB6sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeC9IvhFclBlnBRrB/?rBTsBmqB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhF3hBTlBlnBm?rB6sBUrB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeRBJvhF1nB0gB2qBf?sB6sBTrB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jez7IvhFSiBxlBlnB2?qB3rBUsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhF5hBTdBylBm?qBXsBlsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jez7IvhFSiBxlBlnB2?qBUsB3rB
TILJSZO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJSOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSJOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILZOJS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
