sequence,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF/iBajB5jB0fBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBmdB5jB0iBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegB/iB5jB8sBFqBatB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iB6oBWqB8sBZlBFtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF0fBxiB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iBFeBWqBCtBZlBctB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBToBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBctB6sBFqB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxdBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxiBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jei6Iv?hFzfBxiBGoBXoBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jex9Iv?hF6nBUlBToBlkBXtBmpB
TILJSZO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TILJZOS,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TILSJOZ,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TILSZJO,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TILSZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TILSOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TILZJOS,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILOJZS,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TIJLSOZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TIJLZSO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
