sequence,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBUcBRdBy?mBziBXsB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFXcBldBifB8?nBmmBzrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBRcBzdBy?mB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBifBFhBz?iB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbBzdBFhBR?nBKnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFzdBifBFhB3?nB8rBmrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbByiBFhBR?nBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFlcBzdBifBU?hB3nBesB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBzdBifBF?hB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFejBifBFhBX?iBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeT9IvhFejBxfB0hBi?fBFhBXsB
TSLOJZI,O,X,O,O,X,X,X,O,X,X,X
TSLOZIJ,O,X,O,X,X,O,X,X,X,X,X
TSLOZJI,O,X,O,X,X,O,X,X,X,X,X
TSJILZO,O,X,O,X,O,X,O,O,O,O,X
TSJILOZ,O,X,O,X,O,X,O,O,O,O,X
TSJIZLO,O,O,O,X,O,X,O,X,X,X,X
TSJIZOL,O,O,O,X,O,X,X,X,X,X,O
TSJIOLZ,O,X,O,X,O,X,O,O,O,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X,O
TSJLIZO,O,O,O,X,O,X,O,O,O,O,X
TSJLIOZ,O,X,O,O,O,X,O,O,O,O,X
TSJLZIO,O,O,O,X,X,X,X,O,O,O,X
TSJLZOI,O,O,O,X,X,X,X,O,O,O,X
TSJLOIZ,O,X,O,O,X,X,X,O,O,O,X
TSJLOZI,O,X,O,O,X,X,X,O,O,O,X
TSJZILO,O,O,O,X,O,X,O,O,X,X,X
TSJZIOL,O,O,O,X,O,X,X,O,X,X,O
TSJZLIO,O,O,O,X,X,X,X,O,O,O,X
TSJZLOI,O,O,O,X,X,X,X,O,O,O,X
TSJZOIL,O,O,O,X,X,X,X,O,X,X,O
TSJZOLI,O,O,O,X,X,X,X,O,O,X,X
TSJOILZ,O,X,O,X,O,X,O,O,O,X,X
TSJOIZL,O,X,O,X,O,X,X,X,X,X,O
TSJOLIZ,O,X,O,O,X,X,X,O,O,O,X
TSJOLZI,O,X,O,O,X,X,X,O,O,O,X
TSJOZIL,O,X,O,X,X,X,X,O,X,X,O
TSJOZLI,O,X,O,X,X,X,X,O,O,X,X
TSZILJO,O,O,O,X,X,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,O,X,X,X,X,X
TSZIJLO,O,O,O,X,O,X,O,O,X,X,X
TSZIJOL,O,O,O,X,O,X,X,O,X,X,O
TSZIOLJ,O,O,X,X,X,O,X,X,X,X,X
TSZIOJL,O,O,O,X,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,O,X,O,X,X,X
TSZLIOJ,O,O,O,X,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,O,X,O,X,X,X
TSZLJOI,O,O,O,X,X,O,X,O,X,X,X
TSZLOIJ,O,O,O,X,X,O,X,X,X,X,X
TSZLOJI,O,X,O,X,X,O,X,X,X,X,X
TSZJILO,O,O,O,X,O,X,O,O,X,X,X
TSZJIOL,O,O,O,X,O,X,X,O,X,X,O
TSZJLIO,O,O,O,X,X,O,X,O,X,X,X
TSZJLOI,O,O,O,X,X,O,X,O,X,X,X
TSZJOIL,O,O,O,X,X,X,X,O,X,X,O
TSZJOLI,O,O,O,X,X,O,X,O,X,X,X
TSZOILJ,O,O,X,X,X,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,O,X,X,X,X,X
TSZOLJI,O,X,O,X,X,O,X,X,X,X,X
TSZOJIL,O,X,O,X,X,X,X,X,X,X,X
TSZOJLI,O,X,O,X,X,O,X,X,X,X,X
TSOILJZ,O,X,O,X,O,X,O,X,X,X,X
TSOILZJ,O,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,O,X,O,X,O,X,X,X,X
TSOIJZL,O,X,O,X,O,X,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,X,X,X,X,X,X
TSOIZJL,O,X,O,X,O,X,X,X,X,X,X
TSOLIJZ,O,X,O,O,X,X,X,O,X,X,X
TSOLIZJ,O,X,O,X,X,O,X,X,X,X,X
TSOLJIZ,O,X,O,O,X,X,X,O,X,X,X
TSOLJZI,O,X,O,O,X,X,X,O,X,X,X
TSOLZIJ,O,X,O,X,X,O,X,X,X,X,X
TSOLZJI,O,X,O,X,X,O,X,X,X,X,X
TSOJILZ,O,X,O,X,O,X,O,O,X,X,X
TSOJIZL,O,X,O,X,O,X,X,X,X,X,X
TSOJLIZ,O,X,O,O,X,X,X,O,X,X,X
TSOJLZI,O,X,O,O,X,X,X,O,X,X,X
TSOJZIL,O,X,O,X,X,X,X,O,X,X,X
TSOJZLI,O,X,O,X,X,X,X,O,X,X,X
TSOZILJ,O,X,X,X,X,O,X,X,X,X,X
TSOZIJL,O,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,O,X,X,O,X,X,X,X,X
TSOZLJI,O,X,O,X,X,O,X,X,X,X,X
TSOZJIL,O,X,O,X,X,X,X,X,X,X,X
TSOZJLI,O,X,O,X,X,O,X,X,X,X,X
TZILJSO,O,O,O,X,X,X,O,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,O,X,X,X,O,X,X,X,X
TZILSOJ,X,O,O,X,X,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X,X,X,X
TZIJLSO,O,O,O,X,O,X,O,X,X,X,X
TZIJLOS,O,O,X,X,O,X,X,X,X,X,X
TZIJSLO,O,O,O,X,O,X,O,X,X,X,X
TZIJSOL,O,O,O,X,O,X,X,X,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X,X,O
TZIJOSL,O,X,X,X,O,X,X,X,X,X,O
TZISLJO,X,O,O,X,X,X,O,X,X,X,X
TZISLOJ,X,O,O,X,X,X,X,X,X,X,X
TZISJLO,O,O,O,X,O,X,O,O,X,X,X
TZISJOL,O,O,O,X,O,X,X,O,X,X,X
TZISOLJ,X,O,X,X,X,X,X,X,X,X,X
TZISOJL,X,O,O,X,O,X,X,X,X,X,X
TZIOLJS,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X,X,X,X
TZIOJSL,O,X,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X,X,O,O,X
TZLIJOS,O,O,X,O,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,O,X,X,X
TZLISOJ,X,O,O,X,X,X,X,X,X,X,X
TZLIOJS,O,O,X,O,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X,X,X,X
TZLJISO,O,O,O,X,X,X,X,X,O,O,X
TZLJIOS,O,O,X,O,X,X,X,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X,X,O,O,X
TZLJSOI,O,O,O,X,X,X,X,X,O,O,X
TZLJOIS,O,O,X,O,X,X,X,X,X,X,X
TZLJOSI,O,O,X,O,X,X,X,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,O,X,X,X
TZLSIOJ,X,O,O,X,X,X,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,O,X,X,X
TZLSJOI,O,O,O,X,X,X,X,O,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X,X,X,X
TZLSOJI,O,X,O,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X,X,X,X
TZJILSO,O,O,O,X,O,X,O,X,X,X,X
TZJILOS,O,O,X,X,O,X,X,X,X,X,X
TZJISLO,O,O,O,X,O,X,O,X,X,X,X
TZJISOL,O,O,O,X,O,X,X,X,X,X,X
TZJIOLS,O,X,X,X,O,X,X,X,X,X,O
TZJIOSL,O,X,X,X,O,X,X,X,X,X,O
TZJLISO,O,O,O,X,X,X,X,X,O,O,X
TZJLIOS,O,O,X,O,X,X,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X,O,O,X
TZJLSOI,O,O,O,X,X,X,X,X,O,O,X
TZJLOIS,O,O,X,O,X,X,X,X,X,X,X
TZJLOSI,O,O,X,O,X,X,X,X,X,X,X
TZJSILO,O,O,O,X,O,X,O,X,X,X,X
TZJSIOL,O,O,O,X,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X,O,O,X
TZJSLOI,O,O,O,X,X,X,X,X,O,O,X
TZJSOIL,O,O,O,X,X,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X,X,O,X,X
TZJOILS,O,X,X,X,X,X,X,X,X,X,O
TZJOISL,O,X,X,X,X,X,X,X,X,X,O
TZJOLIS,O,O,X,O,X,X,X,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,X,O,X,O,O,X,X,X
TZSIJOL,O,O,O,X,O,X,X,O,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X,X,X,X
TZSIOJL,O,O,O,X,O,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,O,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,O,X,X,X
TZSLJOI,O,O,O,X,X,X,X,O,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,X,X,X,X
TZSLOJI,O,X,O,X,X,X,X,X,X,X,X
TZSJILO,O,O,O,X,O,X,O,O,X,X,X
TZSJIOL,O,O,O,X,O,X,X,O,X,X,X
TZSJLIO,O,O,O,X,X,X,X,O,X,X,X
TZSJLOI,O,O,O,X,X,X,X,O,X,X,X
TZSJOIL,O,O,O,X,X,X,X,O,X,X,X
TZSJOLI,O,O,O,X,X,X,X,O,X,X,X
TZSOILJ,O,O,X,X,X,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X,X,X,X
TZSOLJI,O,X,O,X,X,X,X,X,X,X,X
TZSOJIL,O,X,O,X,X,X,X,X,X,X,X
TZSOJLI,O,X,O,X,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,X,X,X,X,X,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X,X,X,X,X,X
TZOISJL,O,X,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X,X,X,X
TZOLJIS,O,O,X,O,X,X,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X,X,X,X,X,X
TZOSJIL,O,X,X,X,X,X,X,X,X,X,X
TZOSJLI,O,X,X,X,X,X,X,X,X,X,X
TOILJSZ,O,X,O,O,O,X,O,X,X,X,X
TOILJZS,O,X,X,O,O,X,X,X,X,X,X
TOILSJZ,O,X,O,O,O,X,O,X,X,X,X
TOILSZJ,O,X,O,X,X,X,X,X,X,X,X
TOILZJS,O,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,X,X,X,X,X,X
TOIJLSZ,O,X,O,O,O,X,O,X,X,X,X
TOIJLZS,O,X,X,O,O,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,O,X,O,X,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,X,X,X,X,X
TOIJZSL,O,X,X,X,O,X,X,X,X,X,X
TOISLJZ,O,X,O,X,O,X,O,X,X,X,X
TOISLZJ,O,X,O,X,X,X,X,X,X,X,X
TOISJLZ,O,X,O,X,O,X,O,X,X,X,X
TOISJZL,O,X,O,X,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X,X,X,X
TOISZJL,O,X,O,X,O,X,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,X,O,X,X,X,X,X,X
TOIZJSL,O,X,X,X,O,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X,X,X,X,X,X
TOIZSJL,O,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,X,O,O,X,X,X,X,O,O,X
TOLIJZS,O,X,X,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,O,X,X,X,X,X,X,X
TOLISZJ,O,X,O,X,X,X,X,X,X,X,X
TOLIZJS,O,X,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X,X,X,X,X
TOLJISZ,O,X,O,O,X,X,X,X,O,O,X
TOLJIZS,O,X,X,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,O,X,X,X,X,O,O,X
TOLJSZI,O,X,O,O,X,X,X,X,O,O,X
TOLJZIS,O,X,X,O,X,X,X,X,X,X,X
TOLJZSI,O,X,X,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,O,X,X,X,X,X,X,X
TOLSJZI,O,X,O,O,X,X,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,X,X,X,X,X,X
TOLSZJI,O,X,O,X,X,X,X,X,X,X,X
TOLZIJS,O,X,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X,X,X,X,X
TOLZJIS,O,X,X,O,X,X,X,X,X,X,X
TOLZJSI,O,X,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,X,X,X,X,X
TOLZSJI,O,X,X,X,X,X,X,X,X,X,X
TOJILSZ,O,X,O,O,O,X,O,X,X,X,X
TOJILZS,O,X,X,O,O,X,X,X,X,X,X
TOJISLZ,O,X,O,X,O,X,O,X,X,X,X
TOJISZL,O,X,O,X,O,X,X,X,X,X,X
TOJIZLS,O,X,X,X,O,X,X,X,X,X,X
TOJIZSL,O,X,X,X,O,X,X,X,X,X,X
TOJLISZ,O,X,O,O,X,X,X,X,O,O,X
TOJLIZS,O,X,X,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,O,X,X,X,X,O,O,X
TOJLSZI,O,X,O,O,X,X,X,X,O,O,X
TOJLZIS,O,X,X,O,X,X,X,X,X,X,X
TOJLZSI,O,X,X,O,X,X,X,X,X,X,X
TOJSILZ,O,X,O,X,O,X,O,X,O,X,X
TOJSIZL,O,X,O,X,O,X,X,X,X,X,X
TOJSLIZ,O,X,O,O,X,X,X,X,O,O,X
TOJSLZI,O,X,O,O,X,X,X,X,O,O,X
TOJSZIL,O,X,O,X,X,X,X,X,X,X,X
TOJSZLI,O,X,O,X,X,X,X,X,O,X,X
TOJZILS,O,X,X,X,X,X,X,X,X,X,X
TOJZISL,O,X,X,X,X,X,X,X,X,X,X
TOJZLIS,O,X,X,O,X,X,X,X,X,X,X
TOJZLSI,O,X,X,O,X,X,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X,X,X,X,X,X
TOSILJZ,O,X,O,X,O,X,O,X,X,X,X
TOSILZJ,O,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,O,X,O,X,O,X,X,X,X
TOSIJZL,O,X,O,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,X,X,X,X
TOSIZJL,O,X,O,X,O,X,X,X,X,X,X
TOSLIJZ,O,X,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,O,X,X,X,X,X,X,X
TOSLJZI,O,X,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,O,X,X,X,X,X,X,X,X
TOSLZJI,O,X,O,X,X,X,X,X,X,X,X
TOSJILZ,O,X,O,X,O,X,O,X,X,X,X
TOSJIZL,O,X,O,X,O,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,X,X,X,X,X,X
TOSJLZI,O,X,O,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,X,X,X,X,X,X,X,X
TOSJZLI,O,X,O,X,X,X,X,X,X,X,X
TOSZILJ,O,X,X,X,X,X,X,X,X,X,X
TOSZIJL,O,X,O,X,X,X,X,X,X,X,X
TOSZLIJ,O,X,O,X,X,X,X,X,X,X,X
TOSZLJI,O,X,O,X,X,X,X,X,X,X,X
TOSZJIL,O,X,O,X,X,X,X,X,X,X,X
TOSZJLI,O,X,O,X,X,X,X,X,X,X,X
TOZILJS,O,X,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X,X,X,X
TOZISLJ,X,X,X,X,X,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X,X,X,X,X
TOZLIJS,O,X,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,O,X,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X,X,X,X
TOZLSJI,O,X,X,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X,X,X,X
TOZJLIS,O,X,X,O,X,X,X,X,X,X,X
TOZJLSI,O,X,X,O,X,X,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X,X,X,X,X,X
TOZSILJ,O,X,X,X,X,X,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,X,X,X,X,X,X,X,X,X
TOZSLJI,O,X,X,X,X,X,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X,X,X,X,X,X
ITLJSZO,O,X,O,X,O,X,O,X,O,O,X
ITLJSOZ,X,X,O,O,O,X,O,X,O,O,X
ITLJZSO,O,X,O,X,O,X,O,X,O,O,X
ITLJZOS,O,X,X,O,O,X,X,X,X,X,X
ITLJOSZ,O,X,O,O,O,X,O,X,O,O,X
ITLJOZS,O,X,X,O,O,X,X,X,X,X,X
ITLSJZO,O,X,O,X,O,X,O,X,O,O,X
ITLSJOZ,X,X,O,O,O,X,O,X,O,O,X
ITLSZJO,O,X,O,X,X,X,O,X,X,X,X
ITLSZOJ,X,X,O,X,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,O,O,X,O,X,X,X,X
ITLSOZJ,X,X,O,X,X,X,X,X,X,X,X
ITLZJSO,O,X,O,X,X,X,O,X,O,O,X
ITLZJOS,O,X,X,O,X,X,X,X,X,X,X
ITLZSJO,O,X,O,X,X,X,O,X,X,X,X
ITLZSOJ,X,X,O,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,X,O,O,O,X,O,X,O,O,X
ITLOJZS,O,X,X,O,O,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,O,X,O,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,X,X,X,X,X
ITLOZJS,O,X,X,O,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X,X,X,X
ITJLSZO,O,X,O,X,O,X,O,X,O,O,X
ITJLSOZ,X,X,O,O,O,X,O,X,O,O,X
ITJLZSO,O,X,O,X,O,X,O,X,O,O,X
ITJLZOS,O,X,X,O,O,X,X,X,X,X,X
ITJLOSZ,O,X,O,O,O,X,O,X,O,O,X
ITJLOZS,O,X,X,O,O,X,X,X,X,X,X
ITJSLZO,O,X,O,X,O,X,O,X,O,O,X
ITJSLOZ,O,X,O,X,O,X,O,X,O,O,X
ITJSZLO,O,X,O,X,O,X,O,X,X,X,X
ITJSZOL,O,X,O,X,O,X,X,X,X,X,O
ITJSOLZ,O,X,O,X,O,X,O,X,O,X,X
ITJSOZL,O,X,O,X,O,X,X,X,X,X,O
ITJZLSO,O,X,O,X,O,X,O,X,X,X,X
ITJZLOS,O,X,X,X,O,X,X,X,X,X,X
ITJZSLO,O,X,O,X,O,X,O,X,X,X,X
ITJZSOL,O,X,O,X,O,X,X,X,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X,X,X,O
ITJZOSL,O,X,X,X,O,X,X,X,X,X,O
ITJOLSZ,O,X,O,O,O,X,O,X,X,X,X
ITJOLZS,O,X,X,O,O,X,X,X,X,X,X
ITJOSLZ,O,X,O,X,O,X,O,X,X,X,X
ITJOSZL,O,X,O,X,O,X,X,X,X,X,X
ITJOZLS,O,X,X,X,O,X,X,X,X,X,O
ITJOZSL,O,X,X,X,O,X,X,X,X,X,O
ITSLJZO,O,X,O,X,O,X,O,X,X,X,X
ITSLJOZ,O,X,O,X,O,X,O,X,X,X,X
ITSLZJO,O,X,O,X,X,X,O,X,X,X,X
ITSLZOJ,O,X,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,O,X,O,X,O,X,X,X,X
ITSLOZJ,O,X,O,X,X,X,X,X,X,X,X
ITSJLZO,O,X,O,X,O,X,O,X,X,X,X
ITSJLOZ,O,X,O,X,O,X,O,X,X,X,X
ITSJZLO,O,X,O,X,O,X,O,X,X,X,X
ITSJZOL,O,X,O,X,O,X,X,X,X,X,O
ITSJOLZ,O,X,O,X,O,X,O,X,X,X,X
ITSJOZL,O,X,O,X,O,X,X,X,X,X,O
ITSZLJO,O,X,O,X,X,X,O,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X,X,X,X
ITSZJLO,O,X,O,X,O,X,O,X,X,X,X
ITSZJOL,O,X,O,X,O,X,X,X,X,X,O
ITSZOLJ,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,O,X,O,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,O,X,O,X,X,X,X
ITSOLZJ,O,X,O,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,O,X,O,X,O,X,X,X,X
ITSOJZL,O,X,O,X,O,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,X,X,X,X
ITSOZJL,O,X,O,X,O,X,X,X,X,X,X
ITZLJSO,O,X,O,X,X,X,O,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,O,X,X,X,O,X,X,X,X
ITZLSOJ,X,X,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,O,X,O,X,X,X,X
ITZJLOS,O,X,X,X,O,X,X,X,X,X,X
ITZJSLO,O,X,O,X,O,X,O,X,X,X,X
ITZJSOL,O,X,O,X,O,X,X,X,X,X,X
ITZJOLS,O,X,X,X,O,X,X,X,X,X,O
ITZJOSL,O,X,X,X,O,X,X,X,X,X,O
ITZSLJO,X,X,O,X,X,X,O,X,X,X,X
ITZSLOJ,X,X,O,X,X,X,X,X,X,X,X
ITZSJLO,O,X,O,X,O,X,O,X,X,X,X
ITZSJOL,O,X,O,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,X,X,X
ITZSOJL,X,X,O,X,O,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,O,X,X,X,X,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,X,O,O,O,X,O,X,X,X,X
ITOLJZS,O,X,X,O,O,X,X,X,X,X,X
ITOLSJZ,O,X,O,O,O,X,O,X,X,X,X
ITOLSZJ,O,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,O,X,O,O,O,X,O,X,X,X,X
ITOJLZS,O,X,X,O,O,X,X,X,X,X,X
ITOJSLZ,O,X,O,X,O,X,O,X,X,X,X
ITOJSZL,O,X,O,X,O,X,X,X,X,X,X
ITOJZLS,O,X,X,X,O,X,X,X,X,X,X
ITOJZSL,O,X,X,X,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,O,X,O,X,X,X,X
ITOSLZJ,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,O,X,O,X,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,X,X,X,X
ITOSZJL,O,X,O,X,O,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,X,O,X,X,X,X,X,X
ITOZJSL,O,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,O,X,X,X,X,X,X
ILTJSZO,O,O,O,X,O,X,O,X,O,O,X
ILTJSOZ,X,X,O,O,O,X,O,X,O,O,X
ILTJZSO,O,O,O,X,O,X,O,X,O,O,X
ILTJZOS,O,O,X,O,O,X,X,X,X,X,X
ILTJOSZ,O,X,O,O,O,X,O,X,O,O,X
ILTJOZS,O,X,X,O,O,X,X,X,X,X,X
ILTSJZO,O,O,O,X,O,X,O,O,O,O,X
ILTSJOZ,X,X,O,O,O,X,O,O,O,O,X
ILTSZJO,O,O,O,X,X,O,O,O,X,X,X
