sequence,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBUcBRdBy?mBziBXsB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFXcBldBifB8?nBmmBzrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBRcBzdBy?mB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBifBFhBz?iB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbBzdBFhBR?nBKnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFzdBifBFhB3?nB8rBmrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbByiBFhBR?nBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFlcBzdBifBU?hB3nBesB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBzdBifBF?hB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFejBifBFhBX?iBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeT9IvhFejBxfB0hBi?fBFhBXsB
TIZSJOL,O,X,O,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,O,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,O,X,O,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,O,X,O,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,O,X,O,X,X,X,X
TIOJLZS,O,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,O,X,O,X,X,X,X
TIOJSZL,O,X,O,X,O,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,O,X,O,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,O,X,O,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,O,O,X,O,X,O,X,O,O,X
TLIJSOZ,X,X,O,O,O,X,O,X,O,O,X
TLIJZSO,O,O,O,X,O,X,O,X,O,O,X
TLIJZOS,O,O,X,O,O,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,O,X,O,X,O,O,X
TLIJOZS,O,X,X,O,O,X,X,X,X,X,X
TLISJZO,O,O,O,X,O,X,O,O,O,O,X
TLISJOZ,X,X,O,O,O,X,O,O,O,O,X
TLISZJO,O,O,O,X,X,O,O,O,X,X,X
TLISZOJ,X,O,O,X,X,O,X,X,X,X,X
TLISOJZ,X,X,O,O,O,X,O,O,X,X,X
TLISOZJ,X,X,O,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,O,X,O,O,X
TLIZJOS,O,O,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,O,O,X,X,X
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,O,O,X,O,X,O,O,X
TLIOJZS,O,X,X,O,O,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,O,X,O,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,X,O,X,O,O,X
TLJISOZ,X,X,O,O,O,X,O,X,O,O,X
TLJIZSO,O,O,O,X,O,X,O,X,O,O,X
TLJIZOS,O,O,X,O,O,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,O,X,O,X,O,O,X
TLJIOZS,O,X,X,O,O,X,X,X,X,X,X
TLJSIZO,O,O,O,X,O,X,O,X,O,O,X
TLJSIOZ,O,X,O,O,O,X,O,X,O,O,X
TLJSZIO,O,O,O,X,X,X,X,X,O,O,X
TLJSZOI,O,O,O,X,X,X,X,X,O,O,X
TLJSOIZ,O,X,O,O,X,X,X,X,O,O,X
TLJSOZI,O,X,O,O,X,X,X,X,O,O,X
TLJZISO,O,O,O,X,X,X,X,X,O,O,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,X,O,O,X
TLJZSOI,O,O,O,X,X,X,X,X,O,O,X
TLJZOIS,O,O,X,O,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,O,X,X,X,X,O,O,X
TLJOIZS,O,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,X,O,O,X
TLJOSZI,O,X,O,O,X,X,X,X,O,O,X
TLJOZIS,O,X,X,O,X,X,X,X,X,X,X
TLJOZSI,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,O,X,O,O,O,O,X
TLSIJOZ,O,X,O,O,O,X,O,O,O,O,X
TLSIZJO,O,O,O,X,X,O,O,O,X,X,X
TLSIZOJ,O,O,O,X,X,O,X,X,X,X,X
TLSIOJZ,O,X,O,O,O,X,O,O,X,X,X
TLSIOZJ,O,X,O,X,X,O,X,X,X,X,X
TLSJIZO,O,O,O,X,O,X,O,O,O,O,X
TLSJIOZ,O,X,O,O,O,X,O,O,O,O,X
TLSJZIO,O,O,O,X,X,X,X,O,O,O,X
TLSJZOI,O,O,O,X,X,X,X,O,O,O,X
TLSJOIZ,O,X,O,O,X,X,X,O,O,O,X
TLSJOZI,O,X,O,O,X,X,X,O,O,O,X
TLSZIJO,O,O,O,X,X,O,X,O,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,X,O,X,O,X,X,X
TLSZJOI,O,O,O,X,X,O,X,O,X,X,X
TLSZOIJ,O,O,O,X,X,O,X,X,X,X,X
TLSZOJI,O,X,O,X,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,O,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,O,X,X,X
TLSOJZI,O,X,O,O,X,X,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,O,X,X,X,X,X
TLSOZJI,O,X,O,X,X,O,X,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X,X,O,O,X
TLZIJOS,O,O,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,O,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X,O,O,X
TLZJIOS,O,O,X,O,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X,O,O,X
TLZJSOI,O,O,O,X,X,X,X,X,O,O,X
TLZJOIS,O,O,X,O,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,O,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,O,X,X,X
TLZSJOI,O,O,O,X,X,X,X,O,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,O,O,X
TLOIJZS,O,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,O,X,X,X,X,O,O,X
TLOJIZS,O,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,O,O,X
TLOJSZI,O,X,O,O,X,X,X,X,O,O,X
TLOJZIS,O,X,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,X,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,O,X,O,X,O,O,X
TJILSOZ,X,X,O,O,O,X,O,X,O,O,X
TJILZSO,O,X,O,X,O,X,O,X,O,O,X
TJILZOS,O,X,X,O,O,X,X,X,X,X,X
TJILOSZ,O,X,O,O,O,X,O,X,O,O,X
TJILOZS,O,X,X,O,O,X,X,X,X,X,X
TJISLZO,O,X,O,X,O,X,O,X,O,O,X
TJISLOZ,O,X,O,X,O,X,O,X,O,O,X
TJISZLO,O,X,O,X,O,X,O,X,X,X,X
TJISZOL,O,X,O,X,O,X,X,X,X,X,O
TJISOLZ,O,X,O,X,O,X,O,X,O,X,X
TJISOZL,O,X,O,X,O,X,X,X,X,X,O
TJIZLSO,O,X,O,X,O,X,O,X,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X,X,X,X
TJIZSLO,O,X,O,X,O,X,O,X,X,X,X
TJIZSOL,O,X,O,X,O,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X,X,O
TJIZOSL,O,X,X,X,O,X,X,X,X,X,O
TJIOLSZ,O,X,O,O,O,X,O,X,X,X,X
TJIOLZS,O,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,O,X,O,X,O,X,O,X,X,X,X
TJIOSZL,O,X,O,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,X,X,O
TJIOZSL,O,X,X,X,O,X,X,X,X,X,O
TJLISZO,O,O,O,X,O,X,O,X,O,O,X
TJLISOZ,X,X,O,O,O,X,O,X,O,O,X
TJLIZSO,O,O,O,X,O,X,O,X,O,O,X
TJLIZOS,O,O,X,O,O,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,O,X,O,X,O,O,X
TJLIOZS,O,X,X,O,O,X,X,X,X,X,X
TJLSIZO,O,O,O,X,O,X,O,X,O,O,X
TJLSIOZ,O,X,O,O,O,X,O,X,O,O,X
TJLSZIO,O,O,O,X,X,X,X,X,O,O,X
TJLSZOI,O,O,O,X,X,X,X,X,O,O,X
TJLSOIZ,O,X,O,O,X,X,X,X,O,O,X
TJLSOZI,O,X,O,O,X,X,X,X,O,O,X
TJLZISO,O,O,O,X,X,X,X,X,O,O,X
TJLZIOS,O,O,X,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,X,O,O,X
TJLZSOI,O,O,O,X,X,X,X,X,O,O,X
TJLZOIS,O,O,X,O,X,X,X,X,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X,X,X
TJLOISZ,O,X,O,O,X,X,X,X,O,O,X
TJLOIZS,O,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,X,O,O,X
TJLOSZI,O,X,O,O,X,X,X,X,O,O,X
TJLOZIS,O,X,X,O,X,X,X,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,O,X,O,X,O,X,O,O,X
TJSILOZ,O,X,O,X,O,X,O,X,O,O,X
TJSIZLO,O,O,O,X,O,X,O,X,X,X,X
TJSIZOL,O,O,O,X,O,X,X,X,X,X,O
TJSIOLZ,O,X,O,X,O,X,O,X,O,X,X
TJSIOZL,O,X,O,X,O,X,X,X,X,X,O
TJSLIZO,O,O,O,X,O,X,O,X,O,O,X
TJSLIOZ,O,X,O,O,O,X,O,X,O,O,X
TJSLZIO,O,O,O,X,X,X,X,X,O,O,X
TJSLZOI,O,O,O,X,X,X,X,X,O,O,X
TJSLOIZ,O,X,O,O,X,X,X,X,O,O,X
TJSLOZI,O,X,O,O,X,X,X,X,O,O,X
TJSZILO,O,O,O,X,O,X,O,X,X,X,X
TJSZIOL,O,O,O,X,O,X,X,X,X,X,O
TJSZLIO,O,O,O,X,X,X,X,X,O,O,X
TJSZLOI,O,O,O,X,X,X,X,X,O,O,X
TJSZOIL,O,O,O,X,X,X,X,X,X,X,O
TJSZOLI,O,O,O,X,X,X,X,X,O,X,X
TJSOILZ,O,X,O,X,O,X,O,X,O,X,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X,O
TJSOLIZ,O,X,O,O,X,X,X,X,O,O,X
TJSOLZI,O,X,O,O,X,X,X,X,O,O,X
TJSOZIL,O,X,O,X,X,X,X,X,X,X,O
TJSOZLI,O,X,O,X,X,X,X,X,O,X,X
TJZILSO,O,O,O,X,O,X,O,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,X,X,X,X
TJZISLO,O,O,O,X,O,X,O,X,X,X,X
TJZISOL,O,O,O,X,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,X,X,X,X,X,O
TJZIOSL,O,X,X,X,O,X,X,X,X,X,O
TJZLISO,O,O,O,X,X,X,X,X,O,O,X
TJZLIOS,O,O,X,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X,X,O,O,X
TJZLSOI,O,O,O,X,X,X,X,X,O,O,X
TJZLOIS,O,O,X,O,X,X,X,X,X,X,X
TJZLOSI,O,O,X,O,X,X,X,X,X,X,X
TJZSILO,O,O,O,X,O,X,O,X,X,X,X
TJZSIOL,O,O,O,X,O,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X,O,O,X
TJZSLOI,O,O,O,X,X,X,X,X,O,O,X
TJZSOIL,O,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X,X,O,X,X
TJZOILS,O,X,X,X,X,X,X,X,X,X,O
TJZOISL,O,X,X,X,X,X,X,X,X,X,O
TJZOLIS,O,O,X,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,O,O,X,O,X,X,X,X
TJOILZS,O,X,X,O,O,X,X,X,X,X,X
TJOISLZ,O,X,O,X,O,X,O,X,X,X,X
TJOISZL,O,X,O,X,O,X,X,X,X,X,X
TJOIZLS,O,X,X,X,O,X,X,X,X,X,O
TJOIZSL,O,X,X,X,O,X,X,X,X,X,O
TJOLISZ,O,X,O,O,X,X,X,X,O,O,X
TJOLIZS,O,X,X,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,O,X,X,X,X,O,O,X
TJOLSZI,O,X,O,O,X,X,X,X,O,O,X
TJOLZIS,O,X,X,O,X,X,X,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X,X,X
TJOSILZ,O,X,O,X,O,X,O,X,O,X,X
TJOSIZL,O,X,O,X,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,O,X,X,X,X,O,O,X
TJOSLZI,O,X,O,O,X,X,X,X,O,O,X
TJOSZIL,O,X,O,X,X,X,X,X,X,X,X
TJOSZLI,O,X,O,X,X,X,X,X,O,X,X
TJOZILS,O,X,X,X,X,X,X,X,X,X,O
TJOZISL,O,X,X,X,X,X,X,X,X,X,O
TJOZLIS,O,X,X,O,X,X,X,X,X,X,X
TJOZLSI,O,X,X,O,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X,X
TSILJZO,O,X,O,X,O,X,O,X,X,X,X
TSILJOZ,O,X,O,X,O,X,O,X,X,X,X
TSILZJO,O,X,O,X,X,X,O,X,X,X,X
TSILZOJ,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,O,X,O,X,O,X,X,X,X
TSILOZJ,O,X,O,X,X,X,X,X,X,X,X
