sequence,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iBTeBXo?BSyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBus?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9iBTeBXgB8s?B+tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iB/oBzs?B6tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFGbB3dBcjBzfBqs?B9tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dBcjBts?B+tB,v115@3gC8GeB8GeD8DeF8CeG8Mex6IvhF9iBOkBXgB6oB8s?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dB9jBUo?BWyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBGt?BzsB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbBTeBXgBGoBUt?B9sB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFWgB9iB6oBXgB8s?BTtB
TILJSZO,O,X,X,X,O,O,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,X,O,O,X,O,X,X,O
TILJZOS,O,X,X,X,O,O,X,O,X,X,O
TILJOSZ,X,X,X,X,O,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,X,O,X,X,X
TILSJZO,O,X,X,X,O,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X,X,X
TILSZOJ,O,X,X,X,O,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,X,X,X,O
TILZJOS,O,X,X,O,O,X,X,X,X,X,O
TILZSJO,O,X,X,X,O,X,X,X,X,X,O
TILZSOJ,O,X,X,X,O,X,X,X,X,X,X
TILZOJS,O,X,X,O,O,X,X,X,X,X,O
TILZOSJ,O,X,X,O,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,O,X,O,X,X,X
TILOSJZ,O,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,X,O,O,X,X,X,X,X,X
TILOZJS,O,X,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,X,X,X
TIJLSZO,O,X,X,X,O,O,X,X,O,X,X
TIJLSOZ,O,X,X,X,X,O,X,X,O,X,X
TIJLZSO,O,X,X,X,O,O,X,O,O,X,O
TIJLZOS,O,X,X,X,O,O,X,O,X,X,O
TIJLOSZ,X,X,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,X,O,X,X,X
TIJSLZO,X,X,O,X,X,O,O,X,O,X,X
TIJSLOZ,X,X,X,X,X,O,X,X,O,X,X
TIJSZLO,X,X,O,X,X,O,O,X,O,X,O
TIJSZOL,X,X,O,X,X,O,O,X,O,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,X,X,X,X,X,X,O,X,O,X,X
TIJZLSO,O,X,O,X,X,O,O,O,O,X,O
TIJZLOS,O,X,O,O,X,O,X,O,X,X,O
TIJZSLO,O,X,O,X,X,O,O,O,O,X,O
TIJZSOL,X,X,O,O,X,O,O,O,O,X,X
TIJZOLS,O,X,O,O,X,O,X,O,X,X,O
TIJZOSL,X,X,O,O,X,O,X,O,O,X,X
TIJOLSZ,X,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,O,X,X
TIJOSZL,X,X,X,O,X,X,X,X,O,X,X
TIJOZLS,X,X,X,O,X,O,X,X,X,X,O
TIJOZSL,X,X,X,O,X,O,X,X,O,X,X
TISLJZO,O,X,O,X,X,X,X,X,O,X,X
TISLJOZ,O,X,X,X,X,X,X,X,O,X,X
TISLZJO,O,O,X,X,X,X,X,X,O,O,X
TISLZOJ,O,O,X,X,X,X,X,X,O,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,O,X,O,X,X
TISJLOZ,X,X,X,X,X,X,X,X,O,X,X
TISJZLO,X,X,O,X,X,X,O,X,O,X,O
TISJZOL,X,X,O,X,X,X,O,X,O,X,X
TISJOLZ,X,X,X,X,X,X,X,X,O,X,X
TISJOZL,X,X,X,X,X,X,O,X,O,X,X
TISZLJO,O,O,X,X,X,X,O,X,O,O,O
TISZLOJ,O,O,X,X,X,X,X,X,O,X,X
TISZJLO,O,O,X,X,X,X,O,X,O,O,O
TISZJOL,X,X,X,O,X,X,O,X,X,O,X
TISZOLJ,X,O,X,O,X,X,X,X,O,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,O,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,X,X,X,X,X,X,X
TISOZLJ,X,O,X,O,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,O,X,X,X,O
TIZLJOS,O,X,X,O,X,X,X,X,X,X,O
TIZLSJO,O,O,X,X,X,X,O,X,O,X,O
TIZLSOJ,O,O,X,X,X,X,X,X,O,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,O
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,O,X,X,X,O
TIZJLOS,O,X,X,O,X,X,X,X,X,X,O
TIZJSLO,O,O,X,X,X,X,O,X,O,O,O
TIZJSOL,X,X,X,O,X,X,O,X,X,O,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,O
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,O,O,O
TIZSLOJ,O,O,X,X,X,X,X,X,O,X,X
TIZSJLO,O,O,X,X,X,X,O,X,O,O,O
TIZSJOL,X,X,X,O,X,X,O,X,X,O,X
TIZSOLJ,X,O,X,O,X,X,X,X,O,X,X
TIZSOJL,X,X,X,O,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,X,X,X,O
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,X,X,O
TIZOJSL,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,O,X,X
TIZOSJL,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,O,X,X,X,X,X,X
TIOLZJS,O,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X,X,X,O
TIOJZSL,X,O,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X,X
TIOSZJL,X,O,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X,X,O
TIOZLSJ,O,O,X,O,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X,O
TIOZJSL,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,O,X,X,X,X,X
TLIJZSO,O,X,X,X,O,O,X,O,X,X,O
TLIJZOS,O,X,X,X,O,O,X,O,X,X,O
TLIJOSZ,X,X,X,X,O,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,X,O,X,X,X
TLISJZO,O,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,X,X,X,O
TLIZJOS,O,X,X,O,O,X,X,X,X,X,O
TLIZSJO,O,X,X,X,O,X,X,X,X,X,O
TLIZSOJ,O,X,X,X,O,X,X,X,X,X,X
TLIZOJS,O,X,X,O,O,X,X,X,X,X,O
TLIZOSJ,O,X,X,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,O,X,O,X,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,O,X,X,X,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,O,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,O,X,X,X,X,X
TLJIZSO,O,X,X,X,O,O,X,O,X,X,O
TLJIZOS,O,X,X,X,O,O,X,O,X,X,O
TLJIOSZ,X,X,X,X,O,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,X,O,X,X,X
TLJSIZO,O,X,X,X,O,O,O,X,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,O,X,X,X,X
TLJSZOI,O,X,X,X,O,O,O,X,X,X,X
TLJSOIZ,O,X,X,X,X,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,X,O,O,O,O,X,X,O
TLJZIOS,O,X,X,X,O,O,X,O,X,X,O
TLJZSIO,O,X,X,X,O,O,O,O,X,X,O
TLJZSOI,O,X,X,X,O,O,O,O,X,X,X
TLJZOIS,O,X,X,X,O,O,X,O,X,X,O
TLJZOSI,O,X,X,X,O,O,O,O,X,X,X
TLJOISZ,X,X,X,X,O,O,X,X,X,X,X
TLJOIZS,X,X,X,X,O,O,X,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,X,X,X,X
TLJOSZI,X,X,X,X,O,O,X,X,X,X,X
TLJOZIS,X,X,X,X,O,O,X,O,X,X,X
TLJOZSI,X,X,X,X,O,O,X,O,X,X,X
TLSIJZO,O,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,O,X,O,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,O,X,O,X,X,X,X
TLSJZOI,O,X,X,X,O,X,O,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,X,O,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,O,X,O,X,X,X,X
TLSZJOI,O,X,X,X,O,X,O,X,X,X,X
TLSZOIJ,O,X,X,X,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,O,X,O,X,X,X,X
TLSOIJZ,O,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,O,X,X,X,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,O,X,X,X,O
TLZIJOS,O,X,X,O,O,X,X,X,X,X,O
TLZISJO,O,X,X,X,O,X,O,X,X,X,O
TLZISOJ,O,X,X,X,O,X,X,X,X,X,X
TLZIOJS,O,X,X,O,O,X,X,X,X,X,O
TLZIOSJ,O,X,X,O,O,X,X,X,X,X,X
TLZJISO,O,X,X,X,O,X,O,X,X,X,O
TLZJIOS,O,X,X,O,O,X,X,X,X,X,O
TLZJSIO,O,X,X,X,O,X,O,X,X,X,O
TLZJSOI,O,X,X,X,O,X,O,X,X,X,X
TLZJOIS,O,X,X,O,O,X,X,X,X,X,O
TLZJOSI,O,X,X,O,O,X,O,X,X,X,X
TLZSIJO,O,X,X,X,O,X,O,X,X,X,O
TLZSIOJ,O,X,X,X,O,X,X,X,X,X,X
TLZSJIO,O,X,X,X,O,X,O,X,X,X,O
TLZSJOI,O,X,X,X,O,X,O,X,X,X,X
TLZSOIJ,O,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,X,X,X,O,X,O,X,X,X,X
TLZOIJS,O,X,X,O,O,X,X,X,X,X,O
TLZOISJ,O,X,X,O,O,X,X,X,X,X,X
TLZOJIS,O,X,X,O,O,X,X,X,X,X,O
TLZOJSI,O,X,X,O,O,X,O,X,X,X,X
TLZOSIJ,O,X,X,O,O,X,X,X,X,X,X
TLZOSJI,O,X,X,O,O,X,O,X,X,X,X
TLOIJSZ,X,X,X,X,O,O,X,X,X,X,X
TLOIJZS,X,X,X,X,O,O,X,O,X,X,X
TLOISJZ,O,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,X,O,O,X,X,X,X,X,X
TLOIZJS,O,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,X,X,O,O,X,X,X,X,X,X
TLOJISZ,X,X,X,X,O,O,X,X,X,X,X
TLOJIZS,X,X,X,X,O,O,X,O,X,X,X
TLOJSIZ,X,X,X,X,O,O,X,X,X,X,X
TLOJSZI,X,X,X,X,O,O,X,X,X,X,X
TLOJZIS,X,X,X,X,O,O,X,O,X,X,X
TLOJZSI,X,X,X,X,O,O,X,O,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,O,X,X,X,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X,X,X,X
TLOZIJS,O,X,X,O,O,X,X,X,X,X,X
TLOZISJ,O,X,X,O,O,X,X,X,X,X,X
TLOZJIS,O,X,X,O,O,X,X,X,X,X,X
