sequence,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfB2nBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFKi?BGeBzfBUjBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BXeBzfBSoBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxdB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFyi?B5jBXgBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFyi?B5jB0fBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxd?BTiB6oBXgBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBenBFtB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFld?BcjBzfBXnBStB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxd?BTiB6oB0fBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BzfBFjB6oBftBUsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxiB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFGe?BzfBynBctBFsB/sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B0iB6oBenB3sBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBCjBVsBToB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxi?B0fBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B1nBStBenBctB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhF5j?BenBziB0fBlnByxB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBXnBVtB2xB
TILJSZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILZOJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
