sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBTdBChBX?jBlmBOtB
TLJOISZ,O,O,O,X,O
TLJOIZS,O,O,O,X,O
TLJOSIZ,O,O,O,O,O
TLJOSZI,O,O,O,O,O
TLJOZIS,O,O,O,X,O
TLJOZSI,O,O,O,O,O
TLSIJZO,O,X,X,O,O
TLSIJOZ,O,X,X,O,O
TLSIZJO,O,X,X,O,O
TLSIZOJ,O,X,O,O,O
TLSIOJZ,O,X,O,O,O
TLSIOZJ,O,X,O,O,O
TLSJIZO,O,O,X,O,O
TLSJIOZ,O,O,X,O,O
TLSJZIO,O,O,X,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,X,X,O,O
TLSZIOJ,O,X,O,O,O
TLSZJIO,O,O,X,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,X,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,X,O,O,O
TLSOIZJ,O,X,O,O,O
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,X,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,O,X,X,O,O
TLZIJOS,O,X,X,O,O
TLZISJO,O,X,X,O,O
TLZISOJ,O,X,O,O,O
TLZIOJS,O,X,O,O,O
TLZIOSJ,O,X,O,O,O
TLZJISO,O,O,X,O,O
TLZJIOS,O,O,X,O,O
TLZJSIO,O,O,X,O,O
TLZJSOI,O,O,O,O,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,O,O
TLZSIJO,O,X,X,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,O,X,O,O
TLZSJOI,O,O,O,O,O
TLZSOIJ,O,X,O,O,O
TLZSOJI,O,O,O,O,O
TLZOIJS,O,X,O,O,O
TLZOISJ,O,X,O,O,O
TLZOJIS,O,O,O,X,O
TLZOJSI,O,O,O,O,O
TLZOSIJ,O,X,O,O,O
TLZOSJI,O,O,O,O,O
TLOIJSZ,O,X,O,O,O
TLOIJZS,O,X,O,O,O
TLOISJZ,O,X,O,O,O
TLOISZJ,O,X,O,O,O
TLOIZJS,O,X,O,O,O
TLOIZSJ,O,X,O,O,O
TLOJISZ,O,O,O,X,O
TLOJIZS,O,O,O,X,O
TLOJSIZ,O,O,O,O,O
TLOJSZI,O,O,O,O,O
TLOJZIS,O,O,O,X,O
TLOJZSI,O,O,O,O,O
TLOSIJZ,O,X,O,O,O
TLOSIZJ,O,X,O,O,O
TLOSJIZ,O,O,O,O,O
TLOSJZI,O,O,O,O,O
TLOSZIJ,O,X,O,O,O
TLOSZJI,O,O,O,O,O
TLOZIJS,O,X,O,O,O
TLOZISJ,O,X,O,O,O
TLOZJIS,O,O,O,X,O
TLOZJSI,O,O,O,O,O
TLOZSIJ,O,X,O,O,O
TLOZSJI,O,O,O,O,O
TJILSZO,O,O,X,O,X
TJILSOZ,O,O,X,O,X
TJILZSO,O,O,X,O,X
TJILZOS,O,O,X,O,X
TJILOSZ,O,O,X,O,X
TJILOZS,O,O,X,O,X
TJISLZO,O,O,X,O,X
TJISLOZ,O,O,X,O,X
TJISZLO,O,O,X,O,X
TJISZOL,O,O,X,O,X
TJISOLZ,O,O,X,O,X
TJISOZL,O,O,X,O,X
TJIZLSO,O,O,X,O,X
TJIZLOS,O,O,X,O,X
TJIZSLO,O,O,X,O,X
TJIZSOL,O,O,X,O,X
TJIZOLS,O,O,X,O,X
TJIZOSL,O,O,X,O,X
TJIOLSZ,O,O,X,O,X
TJIOLZS,O,O,X,O,X
TJIOSLZ,O,O,X,O,X
TJIOSZL,O,O,X,O,X
TJIOZLS,O,O,X,O,X
TJIOZSL,O,O,X,O,X
TJLISZO,O,O,X,O,O
TJLISOZ,O,O,X,O,O
TJLIZSO,O,O,X,O,O
TJLIZOS,O,O,X,O,O
TJLIOSZ,O,O,X,O,O
TJLIOZS,O,O,X,O,O
TJLSIZO,O,O,X,O,O
TJLSIOZ,O,O,X,O,O
TJLSZIO,O,O,X,O,O
TJLSZOI,O,O,X,O,O
TJLSOIZ,O,O,X,X,O
TJLSOZI,O,O,X,O,O
TJLZISO,O,O,X,O,O
TJLZIOS,O,O,X,O,O
TJLZSIO,O,O,X,O,O
TJLZSOI,O,O,X,O,O
TJLZOIS,O,O,X,X,O
TJLZOSI,O,O,X,O,O
TJLOISZ,O,O,X,X,O
TJLOIZS,O,O,X,X,O
TJLOSIZ,O,O,X,O,O
TJLOSZI,O,O,X,O,O
TJLOZIS,O,O,X,X,O
TJLOZSI,O,O,X,O,O
TJSILZO,O,O,X,O,X
TJSILOZ,O,O,X,O,X
TJSIZLO,O,O,X,O,X
TJSIZOL,O,O,X,O,X
TJSIOLZ,O,O,X,O,X
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,X,O,O
TJSLIOZ,O,O,X,O,O
TJSLZIO,O,O,X,O,O
TJSLZOI,O,O,X,O,O
TJSLOIZ,O,O,X,X,O
TJSLOZI,O,O,X,O,O
TJSZILO,O,O,X,O,O
TJSZIOL,O,O,X,O,X
TJSZLIO,O,O,X,O,O
TJSZLOI,O,O,X,O,O
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,O,O,O
TJSOILZ,O,O,X,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,O,X,X,O
TJSOLZI,O,O,X,O,O
TJSOZIL,O,O,X,X,X
TJSOZLI,O,O,O,O,O
TJZILSO,O,O,X,O,O
TJZILOS,O,O,X,O,O
TJZISLO,O,O,X,O,O
TJZISOL,O,O,X,O,X
TJZIOLS,O,O,X,O,X
TJZIOSL,O,O,X,O,X
TJZLISO,O,O,X,O,O
TJZLIOS,O,O,X,O,O
TJZLSIO,O,O,X,O,O
TJZLSOI,O,O,X,O,O
TJZLOIS,O,O,X,X,O
TJZLOSI,O,O,X,O,O
TJZSILO,O,O,X,O,O
TJZSIOL,O,O,X,O,X
TJZSLIO,O,O,X,O,O
TJZSLOI,O,O,X,O,O
TJZSOIL,O,O,X,X,X
TJZSOLI,O,O,O,O,O
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,O,O,X,O
TJZOLSI,O,O,O,O,O
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,O,O,O
TJOILSZ,O,O,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,O,O,X,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,O,X,X,X
TJOIZSL,O,O,X,X,X
TJOLISZ,O,O,O,X,O
TJOLIZS,O,O,O,X,O
TJOLSIZ,O,O,O,O,O
TJOLSZI,O,O,O,O,O
TJOLZIS,O,O,O,X,O
TJOLZSI,O,O,O,O,O
TJOSILZ,O,O,X,O,X
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,X,O,O
TJOSLZI,O,O,X,O,O
TJOSZIL,O,O,X,O,X
TJOSZLI,O,O,O,O,O
TJOZILS,O,O,X,X,X
TJOZISL,O,O,X,X,X
TJOZLIS,O,O,O,X,O
TJOZLSI,O,O,O,O,O
TJOZSIL,O,O,X,O,X
TJOZSLI,O,O,O,O,O
TSILJZO,O,X,X,O,O
TSILJOZ,O,X,X,O,O
TSILZJO,O,X,X,O,O
TSILZOJ,O,X,X,O,O
TSILOJZ,O,X,X,O,O
TSILOZJ,O,X,X,O,O
TSIJLZO,O,O,X,O,X
TSIJLOZ,O,O,X,O,X
TSIJZLO,O,O,X,O,X
TSIJZOL,O,O,X,O,X
TSIJOLZ,O,O,X,O,X
TSIJOZL,O,O,X,O,X
TSIZLJO,O,X,X,O,O
TSIZLOJ,O,X,X,O,O
TSIZJLO,O,O,X,O,O
TSIZJOL,O,O,X,O,X
TSIZOLJ,O,X,O,O,O
TSIZOJL,O,O,X,O,X
TSIOLJZ,O,X,X,O,O
TSIOLZJ,O,X,X,O,O
TSIOJLZ,O,O,X,O,X
TSIOJZL,O,O,X,O,X
TSIOZLJ,O,X,O,O,O
TSIOZJL,O,O,X,O,X
TSLIJZO,O,X,X,O,O
TSLIJOZ,O,X,X,O,O
TSLIZJO,O,X,X,O,O
TSLIZOJ,O,X,X,O,O
TSLIOJZ,O,X,X,O,O
TSLIOZJ,O,X,X,O,O
TSLJIZO,O,O,X,O,O
TSLJIOZ,O,O,X,O,O
TSLJZIO,O,O,X,O,O
TSLJZOI,O,O,X,O,O
TSLJOIZ,O,O,X,O,O
TSLJOZI,O,O,X,O,O
TSLZIJO,O,X,X,O,O
TSLZIOJ,O,X,X,O,O
TSLZJIO,O,O,X,O,O
TSLZJOI,O,O,X,O,O
TSLZOIJ,O,X,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,X,X,O,O
TSLOIZJ,O,X,X,O,O
TSLOJIZ,O,O,X,O,O
TSLOJZI,O,O,X,O,O
TSLOZIJ,O,X,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,O,O,X,O,X
TSJILOZ,O,O,X,O,X
TSJIZLO,O,O,X,O,X
TSJIZOL,O,O,X,O,X
TSJIOLZ,O,O,X,O,X
TSJIOZL,O,O,X,O,X
TSJLIZO,O,O,X,O,O
TSJLIOZ,O,O,X,O,O
TSJLZIO,O,O,X,O,O
TSJLZOI,O,O,X,O,O
TSJLOIZ,O,O,X,O,O
TSJLOZI,O,O,X,O,O
TSJZILO,O,O,X,O,O
TSJZIOL,O,O,X,O,X
TSJZLIO,O,O,X,O,O
TSJZLOI,O,O,X,O,O
TSJZOIL,O,O,X,O,X
TSJZOLI,O,O,O,O,O
TSJOILZ,O,O,X,O,X
TSJOIZL,O,O,X,O,X
TSJOLIZ,O,O,X,O,O
TSJOLZI,O,O,X,O,O
TSJOZIL,O,O,X,O,X
TSJOZLI,O,O,O,O,O
TSZILJO,O,X,X,O,O
TSZILOJ,O,X,X,O,O
TSZIJLO,O,O,X,O,O
TSZIJOL,O,O,X,O,X
TSZIOLJ,O,X,O,O,O
TSZIOJL,O,O,X,O,X
TSZLIJO,O,X,X,O,O
TSZLIOJ,O,X,X,O,O
TSZLJIO,O,O,X,O,O
TSZLJOI,O,O,X,O,O
TSZLOIJ,O,X,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,X,O,O
TSZJIOL,O,O,X,O,X
TSZJLIO,O,O,X,O,O
TSZJLOI,O,O,X,O,O
TSZJOIL,O,O,X,O,X
TSZJOLI,O,O,O,O,O
TSZOILJ,O,X,O,O,O
TSZOIJL,O,O,X,O,X
TSZOLIJ,O,X,O,O,O
TSZOLJI,O,O,O,O,O
TSZOJIL,O,O,X,O,X
TSZOJLI,O,O,O,O,O
TSOILJZ,O,X,X,O,O
TSOILZJ,O,X,X,O,O
TSOIJLZ,O,O,X,O,X
TSOIJZL,O,O,X,O,X
TSOIZLJ,O,X,O,O,O
TSOIZJL,O,O,X,O,X
TSOLIJZ,O,X,O,O,O
TSOLIZJ,O,X,O,O,O
TSOLJIZ,O,O,O,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,X,O,O,O
TSOLZJI,O,O,O,O,O
TSOJILZ,O,O,X,O,X
TSOJIZL,O,O,X,O,X
TSOJLIZ,O,O,X,O,O
TSOJLZI,O,O,X,O,O
TSOJZIL,O,O,X,O,X
TSOJZLI,O,O,O,O,O
TSOZILJ,O,X,O,O,O
TSOZIJL,O,O,X,O,X
TSOZLIJ,O,X,O,O,O
TSOZLJI,O,O,O,O,O
TSOZJIL,O,O,X,O,X
TSOZJLI,O,O,O,O,O
TZILJSO,O,X,X,O,O
TZILJOS,O,X,X,O,O
TZILSJO,O,X,X,O,O
TZILSOJ,O,X,X,O,O
TZILOJS,O,X,X,O,O
TZILOSJ,O,X,X,O,O
TZIJLSO,O,O,X,O,O
TZIJLOS,O,O,X,O,O
TZIJSLO,O,O,X,O,O
TZIJSOL,O,O,X,O,X
TZIJOLS,O,O,X,O,X
TZIJOSL,O,O,X,O,X
TZISLJO,O,X,X,O,O
TZISLOJ,O,X,X,O,O
TZISJLO,O,O,X,O,O
TZISJOL,O,O,X,O,X
TZISOLJ,O,X,O,O,O
TZISOJL,O,O,X,O,X
TZIOLJS,O,X,O,O,O
TZIOLSJ,O,X,O,O,O
TZIOJLS,O,O,X,O,X
TZIOJSL,O,O,X,O,X
TZIOSLJ,O,X,O,O,O
TZIOSJL,O,O,X,O,X
TZLIJSO,O,X,X,O,O
TZLIJOS,O,X,X,O,O
TZLISJO,O,X,X,O,O
TZLISOJ,O,X,O,O,O
TZLIOJS,O,X,O,O,O
TZLIOSJ,O,X,O,O,O
TZLJISO,O,O,X,O,O
TZLJIOS,O,O,X,O,O
TZLJSIO,O,O,X,O,O
TZLJSOI,O,O,O,O,O
TZLJOIS,O,O,O,X,O
TZLJOSI,O,O,O,O,O
TZLSIJO,O,X,X,O,O
TZLSIOJ,O,X,O,O,O
TZLSJIO,O,O,X,O,O
TZLSJOI,O,O,O,O,O
TZLSOIJ,O,X,O,O,O
TZLSOJI,O,O,O,O,O
TZLOIJS,O,X,O,O,O
TZLOISJ,O,X,O,O,O
TZLOJIS,O,O,O,X,O
TZLOJSI,O,O,O,O,O
TZLOSIJ,O,X,O,O,O
TZLOSJI,O,O,O,O,O
TZJILSO,O,O,X,O,O
TZJILOS,O,O,X,O,O
TZJISLO,O,O,X,O,O
TZJISOL,O,O,X,O,X
TZJIOLS,O,O,X,O,X
TZJIOSL,O,O,X,O,X
TZJLISO,O,O,X,O,O
TZJLIOS,O,O,X,O,O
TZJLSIO,O,O,X,O,O
TZJLSOI,O,O,X,O,O
TZJLOIS,O,O,X,X,O
TZJLOSI,O,O,X,O,O
TZJSILO,O,O,X,O,O
TZJSIOL,O,O,X,O,X
TZJSLIO,O,O,X,O,O
TZJSLOI,O,O,X,O,O
TZJSOIL,O,O,X,X,X
TZJSOLI,O,O,O,O,O
TZJOILS,O,O,X,X,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,O,O,X,O
TZJOLSI,O,O,O,O,O
TZJOSIL,O,O,X,O,X
TZJOSLI,O,O,O,O,O
TZSILJO,O,X,X,O,O
TZSILOJ,O,X,X,O,O
TZSIJLO,O,O,X,O,O
TZSIJOL,O,O,X,O,X
TZSIOLJ,O,X,O,O,O
TZSIOJL,O,O,X,O,X
TZSLIJO,O,X,X,O,O
TZSLIOJ,O,X,X,O,O
TZSLJIO,O,O,X,O,O
TZSLJOI,O,O,X,O,O
TZSLOIJ,O,X,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,X,O,O
TZSJIOL,O,O,X,O,X
TZSJLIO,O,O,X,O,O
TZSJLOI,O,O,X,O,O
TZSJOIL,O,O,X,O,X
TZSJOLI,O,O,O,O,O
TZSOILJ,O,X,O,O,O
TZSOIJL,O,O,X,O,X
TZSOLIJ,O,X,O,O,O
TZSOLJI,O,O,O,O,O
TZSOJIL,O,O,X,O,X
TZSOJLI,O,O,O,O,O
TZOILJS,O,X,O,O,O
TZOILSJ,O,X,O,O,O
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,O,X
TZOISLJ,O,X,O,O,O
TZOISJL,O,O,X,O,X
TZOLIJS,O,X,O,O,O
TZOLISJ,O,X,O,O,O
TZOLJIS,O,O,O,X,O
TZOLJSI,O,O,O,O,O
TZOLSIJ,O,X,O,O,O
TZOLSJI,O,O,O,O,O
TZOJILS,O,O,X,X,X
TZOJISL,O,O,X,X,X
TZOJLIS,O,O,O,X,O
TZOJLSI,O,O,O,O,O
TZOJSIL,O,O,X,O,X
TZOJSLI,O,O,O,O,O
TZOSILJ,O,X,O,O,O
TZOSIJL,O,O,X,O,X
TZOSLIJ,O,X,O,O,O
TZOSLJI,O,O,O,O,O
TZOSJIL,O,O,X,O,X
TZOSJLI,O,O,O,O,O
TOILJSZ,O,X,O,O,O
TOILJZS,O,X,O,O,O
TOILSJZ,O,X,O,O,O
TOILSZJ,O,X,O,O,O
TOILZJS,O,X,O,O,O
TOILZSJ,O,X,O,O,O
TOIJLSZ,O,O,X,O,X
TOIJLZS,O,O,X,O,X
TOIJSLZ,O,O,X,O,X
TOIJSZL,O,O,X,O,X
TOIJZLS,O,O,X,O,X
TOIJZSL,O,O,X,O,X
TOISLJZ,O,X,X,O,O
TOISLZJ,O,X,X,O,O
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,X,O,X
TOISZLJ,O,X,O,O,O
TOISZJL,O,O,X,O,X
TOIZLJS,O,X,O,O,O
TOIZLSJ,O,X,O,O,O
TOIZJLS,O,O,X,O,X
TOIZJSL,O,O,X,O,X
TOIZSLJ,O,X,O,O,O
TOIZSJL,O,O,X,O,X
TOLIJSZ,O,X,O,O,O
TOLIJZS,O,X,O,O,O
TOLISJZ,O,X,O,O,O
TOLISZJ,O,X,O,O,O
TOLIZJS,O,X,O,O,O
TOLIZSJ,O,X,O,O,O
TOLJISZ,O,O,O,X,O
TOLJIZS,O,O,O,X,O
TOLJSIZ,O,O,O,O,O
TOLJSZI,O,O,O,O,O
TOLJZIS,O,O,O,X,O
TOLJZSI,O,O,O,O,O
TOLSIJZ,O,X,O,O,O
TOLSIZJ,O,X,O,O,O
TOLSJIZ,O,O,O,O,O
TOLSJZI,O,O,O,O,O
TOLSZIJ,O,X,O,O,O
TOLSZJI,O,O,O,O,O
TOLZIJS,O,X,O,O,O
TOLZISJ,O,X,O,O,O
TOLZJIS,O,O,O,X,O
TOLZJSI,O,O,O,O,O
TOLZSIJ,O,X,O,O,O
TOLZSJI,O,O,O,O,O
TOJILSZ,O,O,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,O,O,X,X,X
TOJISZL,O,O,X,X,X
TOJIZLS,O,O,X,X,X
TOJIZSL,O,O,X,X,X
TOJLISZ,O,O,O,X,O
TOJLIZS,O,O,O,X,O
TOJLSIZ,O,O,O,O,O
TOJLSZI,O,O,O,O,O
TOJLZIS,O,O,O,X,O
TOJLZSI,O,O,O,O,O
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,X,O,X
TOJSLIZ,O,O,X,O,O
TOJSLZI,O,O,X,O,O
TOJSZIL,O,O,X,O,X
TOJSZLI,O,O,O,O,O
TOJZILS,O,O,X,X,X
TOJZISL,O,O,X,X,X
TOJZLIS,O,O,O,X,O
TOJZLSI,O,O,O,O,O
TOJZSIL,O,O,X,O,X
TOJZSLI,O,O,O,O,O
TOSILJZ,O,X,X,O,O
