sequence,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFchB6iBTeBd?nBWrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mBUsB3rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFOhBXdBTeBc?nBSrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTcBSjBxmBe?nBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB0gB+?rBKsBXrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBxmBz?mBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeBXhB+?rBKsB0qB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB6lBO?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeB3hBcnBe?mBCnBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhF6iBTeBmhBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhF5hBTeB8lBN?nB2wB6sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je38IvhF9iBTeB6lBm?mBUmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxdBmhBCjBX?mBUsBTrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeB0?mBXmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBOrBX?nB9sB0rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFuhB9iBTeB8?lByrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBcmBX?nB9sB2wB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeuBJvhFTeB0gBRrBX?sBarB9sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBXmB8rB5?nBmrBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBUiBR?rBTrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBxhBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBXmB8?rB+sBirB
TILJSZO,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TILJZOS,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TILJOSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TILJOZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TILSJZO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSJOZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSOJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TILZJOS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TILZOJS,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TILOJZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TILOSJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TILOSZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
TILOZJS,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X
