sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGc?B/iBajB5jBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeC7IvhFmd?B5jB/lBFmB0nBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFmd?B5jB0iBllBfrB6rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhB6oBXjBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeR7IvhFSi?BTeBFgB8lBGoB3rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhBXjB6oBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jex9IvhFFg?BXhB0iB6oBGlBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JefAJvhFlb?BidB5jB8lBznB+rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeSCJvhFTe?BRgBFgB8lBGoB3rB
TILJSZO,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,O,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,O,X,O,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,O
TILSJZO,O,O,X,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,O,X,X,X
TILSZJO,O,O,X,X,X,X,O,X,X
TILSZOJ,O,O,X,X,X,X,O,X,X
TILSOJZ,O,X,X,O,X,O,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,O,X,X
TILZJOS,X,X,O,O,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,O,X,X
TILZSOJ,X,O,O,X,X,X,O,X,X
TILZOJS,X,X,O,O,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,O,X,X
TILOJSZ,O,X,X,O,X,O,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X
TILOSJZ,O,X,X,O,X,O,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,O,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,O,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,O
TIJSLZO,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,O,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,O,X,X,X
TIJSOLZ,O,X,X,O,X,O,X,X,X
TIJSOZL,O,X,X,X,X,O,X,X,X
TIJZLSO,X,X,O,X,X,X,X,X,X
TIJZLOS,X,X,O,O,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,O,X,X,X
TIJZOLS,X,X,O,O,X,X,X,X,X
TIJZOSL,O,X,O,X,X,O,X,X,X
TIJOLSZ,O,X,X,O,X,O,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,O
TIJOSLZ,O,X,X,O,X,O,X,X,X
TIJOSZL,O,X,X,X,X,O,X,X,X
TIJOZLS,X,X,O,O,X,X,X,X,X
TIJOZSL,O,X,O,X,X,O,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,O,X,X,X
TISLZJO,O,O,X,X,X,X,O,X,X
TISLZOJ,O,O,X,X,X,X,O,X,X
TISLOJZ,O,X,X,O,X,O,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,O,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,O,X,X,X
TISJOLZ,O,X,X,O,X,O,X,X,X
TISJOZL,O,X,X,X,X,O,X,X,X
TISZLJO,O,O,O,X,X,X,O,X,X
TISZLOJ,O,O,O,X,X,X,O,O,X
TISZJLO,O,O,O,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,O,X,O,X
