sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TJSLOZI,X,O,O,X,X,X,X,X,X,X,X
TJSZILO,X,O,O,X,O,O,X,X,X,X,X
TJSZIOL,X,O,O,X,O,O,X,X,X,X,X
TJSZLIO,X,O,O,X,O,O,X,X,X,X,X
TJSZLOI,X,O,O,X,O,O,X,X,X,X,X
TJSZOIL,X,O,O,X,O,O,X,X,X,X,X
TJSZOLI,X,O,O,X,O,O,X,X,X,X,X
TJSOILZ,O,O,O,X,X,O,X,O,X,X,X
TJSOIZL,X,O,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,O,X,O,X,X,X
TJSOLZI,X,O,O,X,X,O,X,X,X,X,X
TJSOZIL,X,O,O,X,X,O,X,X,X,X,X
TJSOZLI,X,O,O,X,X,O,X,X,X,X,X
TJZILSO,O,X,O,X,X,X,X,X,X,X,X
TJZILOS,O,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,X,O,X,O,X,X,X,X,X,X
TJZISOL,O,X,O,X,O,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,X,X,X,X
TJZLISO,O,X,O,X,X,X,X,X,X,X,X
TJZLIOS,O,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,X,O,X,X,X,X,X,X,X,X
TJZLSOI,O,X,O,X,X,X,X,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,X,X,X,X,X,X
TJZSIOL,O,X,O,X,X,X,X,X,X,X,X
TJZSLIO,O,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,X,O,X,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,X,X,X,X,X,X,X
TJZSOLI,O,X,O,X,X,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,X,X,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,X,X,O,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,X,X,X,X
TJOISLZ,O,O,O,X,X,O,X,X,X,X,X
TJOISZL,X,O,O,X,X,O,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,X,X
TJOLISZ,O,X,O,X,X,O,X,X,X,X,X
TJOLIZS,O,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,O,X,X,X,X,X
TJOLSZI,X,X,O,X,X,O,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X,X,X,X,X
TJOSILZ,O,O,O,X,X,O,X,X,X,X,X
TJOSIZL,X,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,O,X,X,X,X,X
TJOSLZI,X,O,O,X,X,O,X,X,X,X,X
TJOSZIL,X,O,O,X,X,O,X,X,X,X,X
TJOSZLI,X,O,O,X,X,O,X,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,X,X,X,X
TSILJZO,X,O,O,X,O,O,X,X,O,X,X
TSILJOZ,X,O,O,X,X,X,X,O,X,X,X
TSILZJO,X,O,X,O,O,O,X,X,O,X,O
TSILZOJ,X,X,O,O,O,O,X,O,O,X,O
TSILOJZ,X,O,O,X,X,O,X,O,X,X,X
TSILOZJ,X,X,O,O,O,O,X,O,O,X,O
TSIJLZO,X,O,O,X,O,O,X,X,O,X,X
TSIJLOZ,X,O,O,X,X,X,X,O,X,X,X
TSIJZLO,X,O,O,X,O,O,X,X,O,X,X
TSIJZOL,X,O,O,X,O,O,X,X,O,X,X
TSIJOLZ,X,O,O,X,X,O,X,O,X,X,X
TSIJOZL,X,O,O,X,X,O,X,X,X,X,X
TSIZLJO,X,O,X,X,O,O,X,X,O,X,X
TSIZLOJ,X,X,O,X,O,O,X,O,O,X,X
TSIZJLO,X,O,O,X,O,O,X,X,O,X,X
TSIZJOL,X,O,O,X,O,O,X,X,O,X,X
TSIZOLJ,X,X,O,X,O,O,X,O,O,X,X
TSIZOJL,X,X,O,X,O,O,X,X,O,X,X
TSIOLJZ,X,O,O,X,X,O,X,O,X,X,X
TSIOLZJ,X,X,O,O,O,O,X,O,O,X,O
TSIOJLZ,X,O,O,X,X,O,X,O,X,X,X
TSIOJZL,X,O,O,X,X,O,X,X,X,X,X
TSIOZLJ,X,X,O,X,O,O,X,O,O,X,X
TSIOZJL,X,X,O,X,O,O,X,X,O,X,X
TSLIJZO,X,O,O,X,O,O,X,X,O,X,X
TSLIJOZ,X,O,O,X,X,X,X,O,X,X,X
TSLIZJO,X,O,X,O,O,O,X,X,O,X,O
TSLIZOJ,X,X,O,O,O,O,X,O,O,X,O
TSLIOJZ,X,O,O,X,X,O,X,O,X,X,X
TSLIOZJ,X,X,O,O,O,O,X,O,O,X,O
TSLJIZO,X,O,O,X,O,O,X,X,O,X,X
TSLJIOZ,X,O,O,X,X,X,X,O,X,X,X
TSLJZIO,X,O,O,X,O,O,X,X,X,X,X
TSLJZOI,X,O,O,X,O,O,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,X,O,X,X,X
TSLJOZI,X,O,O,X,X,X,X,X,X,X,X
TSLZIJO,X,O,X,O,O,O,X,X,O,X,O
TSLZIOJ,X,X,O,O,O,O,X,O,O,X,O
TSLZJIO,X,O,X,X,O,O,X,X,X,X,O
TSLZJOI,X,O,X,X,O,O,X,X,X,X,O
TSLZOIJ,X,X,O,O,O,O,X,O,X,X,O
TSLZOJI,X,X,X,X,O,O,X,X,X,X,O
TSLOIJZ,X,O,O,X,X,O,X,O,X,X,X
TSLOIZJ,X,X,O,O,O,O,X,O,O,X,O
TSLOJIZ,X,O,O,X,X,O,X,O,X,X,X
TSLOJZI,X,O,O,X,X,O,X,X,X,X,X
TSLOZIJ,X,X,O,O,O,O,X,O,X,X,O
TSLOZJI,X,X,X,X,O,O,X,X,X,X,O
TSJILZO,X,O,O,X,O,O,X,X,O,X,X
TSJILOZ,X,O,O,X,X,X,X,O,X,X,X
TSJIZLO,X,O,O,X,O,O,X,X,O,X,X
TSJIZOL,X,O,O,X,O,O,X,X,O,X,X
TSJIOLZ,X,O,O,X,X,O,X,O,X,X,X
TSJIOZL,X,O,O,X,X,O,X,X,X,X,X
TSJLIZO,X,O,O,X,O,O,X,X,O,X,X
TSJLIOZ,X,O,O,X,X,X,X,O,X,X,X
TSJLZIO,X,O,O,X,O,O,X,X,X,X,X
TSJLZOI,X,O,O,X,O,O,X,X,X,X,X
TSJLOIZ,X,O,O,X,X,X,X,O,X,X,X
TSJLOZI,X,O,O,X,X,X,X,X,X,X,X
TSJZILO,X,O,O,X,O,O,X,X,X,X,X
TSJZIOL,X,O,O,X,O,O,X,X,X,X,X
TSJZLIO,X,O,O,X,O,O,X,X,X,X,X
TSJZLOI,X,O,O,X,O,O,X,X,X,X,X
TSJZOIL,X,O,O,X,O,O,X,X,X,X,X
TSJZOLI,X,O,O,X,O,O,X,X,X,X,X
TSJOILZ,X,O,O,X,X,O,X,O,X,X,X
TSJOIZL,X,O,O,X,X,O,X,X,X,X,X
TSJOLIZ,X,O,O,X,X,O,X,O,X,X,X
TSJOLZI,X,O,O,X,X,O,X,X,X,X,X
TSJOZIL,X,O,O,X,X,O,X,X,X,X,X
TSJOZLI,X,O,O,X,X,O,X,X,X,X,X
TSZILJO,X,O,X,X,O,O,X,X,O,X,X
TSZILOJ,X,X,O,X,O,O,X,O,O,X,X
TSZIJLO,X,O,O,X,O,O,X,X,O,X,X
TSZIJOL,X,O,O,X,O,O,X,X,O,X,X
TSZIOLJ,X,X,O,X,O,O,X,O,O,X,X
TSZIOJL,X,X,O,X,O,O,X,X,O,X,X
TSZLIJO,X,O,X,X,O,O,X,X,O,X,X
TSZLIOJ,X,X,O,X,O,O,X,O,O,X,X
TSZLJIO,X,O,X,X,O,O,X,X,X,X,X
TSZLJOI,X,O,X,X,O,O,X,X,X,X,X
TSZLOIJ,X,X,O,X,O,O,X,O,X,X,X
TSZLOJI,X,X,X,X,O,O,X,X,X,X,X
TSZJILO,X,O,O,X,O,O,X,X,X,X,X
TSZJIOL,X,O,O,X,O,O,X,X,X,X,X
TSZJLIO,X,O,O,X,O,O,X,X,X,X,X
TSZJLOI,X,O,O,X,O,O,X,X,X,X,X
TSZJOIL,X,O,O,X,O,O,X,X,X,X,X
TSZJOLI,X,O,O,X,O,O,X,X,X,X,X
TSZOILJ,X,X,O,X,O,O,X,O,X,X,X
TSZOIJL,X,X,O,X,O,O,X,X,X,X,X
TSZOLIJ,X,X,O,X,O,O,X,O,X,X,X
TSZOLJI,X,X,X,X,O,O,X,X,X,X,X
TSZOJIL,X,X,O,X,O,O,X,X,X,X,X
TSZOJLI,X,X,O,X,O,O,X,X,X,X,X
TSOILJZ,X,O,O,X,X,O,X,O,X,X,X
TSOILZJ,X,X,O,O,O,O,X,O,O,X,O
TSOIJLZ,X,O,O,X,X,O,X,O,X,X,X
TSOIJZL,X,O,O,X,X,O,X,X,X,X,X
TSOIZLJ,X,X,O,X,O,O,X,O,O,X,X
TSOIZJL,X,X,O,X,O,O,X,X,O,X,X
TSOLIJZ,X,O,O,X,X,O,X,O,X,X,X
TSOLIZJ,X,X,O,O,O,O,X,O,O,X,O
TSOLJIZ,X,O,O,X,X,O,X,O,X,X,X
TSOLJZI,X,O,O,X,X,O,X,X,X,X,X
TSOLZIJ,X,X,O,O,O,O,X,O,X,X,O
TSOLZJI,X,X,X,X,O,O,X,X,X,X,O
TSOJILZ,X,O,O,X,X,O,X,O,X,X,X
TSOJIZL,X,O,O,X,X,O,X,X,X,X,X
TSOJLIZ,X,O,O,X,X,O,X,O,X,X,X
TSOJLZI,X,O,O,X,X,O,X,X,X,X,X
TSOJZIL,X,O,O,X,X,O,X,X,X,X,X
TSOJZLI,X,O,O,X,X,O,X,X,X,X,X
TSOZILJ,X,X,O,X,O,O,X,O,X,X,X
TSOZIJL,X,X,O,X,O,O,X,X,X,X,X
TSOZLIJ,X,X,O,X,O,O,X,O,X,X,X
TSOZLJI,X,X,X,X,O,O,X,X,X,X,X
TSOZJIL,X,X,O,X,O,O,X,X,X,X,X
TSOZJLI,X,X,O,X,O,O,X,X,X,X,X
TZILJSO,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,O,X,O,O,X,X,X,X,X,X,X
TZILSJO,X,X,X,O,O,O,X,X,X,X,X
TZILSOJ,X,X,O,O,O,O,X,X,X,X,X
TZILOJS,O,X,O,O,X,X,X,X,X,X,X
TZILOSJ,X,X,O,O,X,O,X,X,X,X,X
TZIJLSO,O,X,O,O,X,X,X,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X,X,X,X
TZIJSLO,O,X,O,X,O,X,X,X,X,X,X
TZIJSOL,O,X,O,X,O,X,X,X,X,X,X
TZIJOLS,O,X,O,O,X,X,X,X,X,X,X
TZIJOSL,O,X,O,X,X,X,X,X,X,X,X
TZISLJO,X,O,X,O,O,O,X,X,O,X,X
TZISLOJ,X,X,O,O,O,O,X,O,O,X,X
TZISJLO,X,O,X,X,O,O,X,X,O,X,X
TZISJOL,X,O,X,X,O,O,X,X,O,X,X
TZISOLJ,X,X,O,O,O,O,X,O,O,X,X
TZISOJL,X,X,X,X,O,O,X,X,O,X,X
TZIOLJS,O,X,O,O,X,X,X,X,X,X,X
TZIOLSJ,X,X,O,O,X,O,X,X,X,X,X
TZIOJLS,O,X,O,O,X,X,X,X,X,X,X
TZIOJSL,O,X,O,X,X,X,X,X,X,X,X
TZIOSLJ,X,X,O,O,O,O,X,X,X,X,X
TZIOSJL,X,X,X,X,O,O,X,X,X,X,X
TZLIJSO,O,X,X,O,X,X,X,X,X,X,X
TZLIJOS,O,X,O,O,X,X,X,X,X,X,X
TZLISJO,X,X,X,O,O,O,X,X,X,X,X
TZLISOJ,X,X,O,O,O,O,X,X,X,X,X
TZLIOJS,O,X,O,O,X,X,X,X,X,X,X
TZLIOSJ,X,X,O,O,X,O,X,X,X,X,X
TZLJISO,O,X,X,O,X,X,X,X,X,X,X
TZLJIOS,O,X,O,O,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X,X,X,X,X,X
TZLJSOI,O,X,X,X,X,X,X,X,X,X,X
TZLJOIS,O,X,O,O,X,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X,X,X
TZLSIJO,X,X,X,O,O,O,X,X,X,X,X
TZLSIOJ,X,X,O,O,O,O,X,X,X,X,X
TZLSJIO,X,X,X,X,O,O,X,X,X,X,X
TZLSJOI,X,X,X,X,O,O,X,X,X,X,X
TZLSOIJ,X,X,O,O,O,O,X,X,X,X,X
TZLSOJI,X,X,X,X,O,O,X,X,X,X,X
TZLOIJS,O,X,O,O,X,X,X,X,X,X,X
TZLOISJ,X,X,O,O,X,O,X,X,X,X,X
TZLOJIS,O,X,O,O,X,X,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,X,X,O,O,X,O,X,X,X,X,X
TZLOSJI,X,X,X,X,X,O,X,X,X,X,X
TZJILSO,O,X,O,O,X,X,X,X,X,X,X
TZJILOS,O,X,O,O,X,X,X,X,X,X,X
TZJISLO,O,X,O,X,O,X,X,X,X,X,X
TZJISOL,O,X,O,X,O,X,X,X,X,X,X
TZJIOLS,O,X,O,O,X,X,X,X,X,X,X
TZJIOSL,O,X,O,X,X,X,X,X,X,X,X
TZJLISO,O,X,O,O,X,X,X,X,X,X,X
TZJLIOS,O,X,O,O,X,X,X,X,X,X,X
TZJLSIO,O,X,O,X,X,X,X,X,X,X,X
TZJLSOI,O,X,O,X,X,X,X,X,X,X,X
TZJLOIS,O,X,O,O,X,X,X,X,X,X,X
TZJLOSI,O,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,X,O,X,O,X,X,X,X,X,X
TZJSIOL,O,X,O,X,O,X,X,X,X,X,X
TZJSLIO,O,X,O,X,O,X,X,X,X,X,X
TZJSLOI,O,X,O,X,O,X,X,X,X,X,X
TZJSOIL,O,X,O,X,O,X,X,X,X,X,X
TZJSOLI,O,X,O,X,O,X,X,X,X,X,X
TZJOILS,O,X,O,O,X,X,X,X,X,X,X
TZJOISL,O,X,O,X,X,X,X,X,X,X,X
TZJOLIS,O,X,O,O,X,X,X,X,X,X,X
TZJOLSI,O,X,O,X,X,X,X,X,X,X,X
TZJOSIL,O,X,O,X,X,X,X,X,X,X,X
TZJOSLI,O,X,O,X,X,X,X,X,X,X,X
TZSILJO,X,O,X,O,O,O,X,X,O,X,X
TZSILOJ,X,X,O,O,O,O,X,O,O,X,X
TZSIJLO,X,O,X,X,O,O,X,X,O,X,X
TZSIJOL,X,O,X,X,O,O,X,X,O,X,X
TZSIOLJ,X,X,O,O,O,O,X,O,O,X,X
TZSIOJL,X,X,X,X,O,O,X,X,O,X,X
TZSLIJO,X,O,X,O,O,O,X,X,O,X,X
TZSLIOJ,X,X,O,O,O,O,X,O,O,X,X
TZSLJIO,X,O,X,X,O,O,X,X,X,X,X
TZSLJOI,X,O,X,X,O,O,X,X,X,X,X
TZSLOIJ,X,X,O,O,O,O,X,O,X,X,X
TZSLOJI,X,X,X,X,O,O,X,X,X,X,X
TZSJILO,X,O,X,X,O,O,X,X,X,X,X
TZSJIOL,X,O,X,X,O,O,X,X,X,X,X
TZSJLIO,X,O,X,X,O,O,X,X,X,X,X
TZSJLOI,X,O,X,X,O,O,X,X,X,X,X
TZSJOIL,X,O,X,X,O,O,X,X,X,X,X
TZSJOLI,X,O,X,X,O,O,X,X,X,X,X
TZSOILJ,X,X,O,O,O,O,X,O,X,X,X
TZSOIJL,X,X,X,X,O,O,X,X,X,X,X
TZSOLIJ,X,X,O,O,O,O,X,O,X,X,X
TZSOLJI,X,X,X,X,O,O,X,X,X,X,X
TZSOJIL,X,X,X,X,O,O,X,X,X,X,X
TZSOJLI,X,X,X,X,O,O,X,X,X,X,X
TZOILJS,O,X,O,O,X,X,X,X,X,X,X
TZOILSJ,X,X,O,O,X,O,X,X,X,X,X
TZOIJLS,O,X,O,O,X,X,X,X,X,X,X
TZOIJSL,O,X,O,X,X,X,X,X,X,X,X
TZOISLJ,X,X,O,O,O,O,X,X,X,X,X
TZOISJL,X,X,X,X,O,O,X,X,X,X,X
TZOLIJS,O,X,O,O,X,X,X,X,X,X,X
TZOLISJ,X,X,O,O,X,O,X,X,X,X,X
TZOLJIS,O,X,O,O,X,X,X,X,X,X,X
TZOLJSI,O,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,X,X,O,O,X,O,X,X,X,X,X
TZOLSJI,X,X,X,X,X,O,X,X,X,X,X
TZOJILS,O,X,O,O,X,X,X,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,X,X,X,X
TZOJLIS,O,X,O,O,X,X,X,X,X,X,X
TZOJLSI,O,X,O,X,X,X,X,X,X,X,X
TZOJSIL,O,X,O,X,X,X,X,X,X,X,X
TZOJSLI,O,X,O,X,X,X,X,X,X,X,X
TZOSILJ,X,X,O,O,X,O,X,X,X,X,X
TZOSIJL,X,X,X,X,X,O,X,X,X,X,X
TZOSLIJ,X,X,O,O,X,O,X,X,X,X,X
TZOSLJI,X,X,X,X,X,O,X,X,X,X,X
TZOSJIL,X,X,X,X,X,O,X,X,X,X,X
TZOSJLI,X,X,X,X,X,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,O,O,X,X,X,X
TOILJZS,O,X,O,O,X,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,O,O,X,X,X,X
TOILSZJ,X,X,O,O,O,O,O,X,X,X,O
TOILZJS,O,X,O,O,X,X,X,X,X,O,X
TOILZSJ,X,X,O,O,X,O,X,X,X,O,O
TOIJLSZ,O,X,O,X,X,O,O,X,X,X,X
TOIJLZS,O,X,O,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,O,O,X,X,X,X
TOIJSZL,X,X,O,X,X,O,O,X,X,X,X
TOIJZLS,O,X,O,X,X,X,X,X,X,O,X
TOIJZSL,O,X,O,X,X,X,O,X,X,O,X
TOISLJZ,X,O,O,X,X,O,O,O,X,X,X
TOISLZJ,X,X,O,O,O,O,O,O,O,X,O
TOISJLZ,X,O,O,X,X,O,O,O,X,X,X
TOISJZL,X,O,O,X,X,O,O,X,X,X,X
TOISZLJ,X,X,O,X,O,O,O,O,O,O,X
TOISZJL,X,X,O,X,O,O,O,X,O,O,X
TOIZLJS,O,X,O,O,X,X,X,X,X,O,X
TOIZLSJ,X,X,O,O,X,O,X,X,X,O,X
TOIZJLS,O,X,O,O,X,X,X,X,X,O,X
TOIZJSL,O,X,O,X,X,X,O,X,X,O,X
TOIZSLJ,X,X,O,O,O,O,O,X,X,O,X
TOIZSJL,X,X,X,X,O,O,O,X,X,O,X
TOLIJSZ,O,X,O,X,X,O,O,X,X,X,X
TOLIJZS,O,X,O,O,X,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,O,O,X,X,X,X
TOLISZJ,X,X,O,O,O,O,O,X,X,X,O
TOLIZJS,O,X,O,O,X,X,X,X,X,O,X
TOLIZSJ,X,X,O,O,X,O,X,X,X,O,O
TOLJISZ,O,X,O,X,X,O,O,X,X,X,X
TOLJIZS,O,X,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,X,X,O,O,X,X,X,X
TOLJSZI,X,X,O,X,X,O,O,X,X,X,X
TOLJZIS,O,X,O,O,X,X,X,X,X,X,X
TOLJZSI,O,X,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,X,O,O,X,X,X,X
TOLSIZJ,X,X,O,O,O,O,O,X,X,X,O
TOLSJIZ,X,X,X,X,X,O,O,X,X,X,X
TOLSJZI,X,X,X,X,X,O,O,X,X,X,X
TOLSZIJ,X,X,O,O,O,O,O,X,X,X,O
TOLSZJI,X,X,X,X,O,O,O,X,X,X,O
TOLZIJS,O,X,O,O,X,X,X,X,X,O,X
TOLZISJ,X,X,O,O,X,O,X,X,X,O,O
TOLZJIS,O,X,O,O,X,X,X,X,X,O,X
TOLZJSI,O,X,X,X,X,X,X,X,X,X,X
TOLZSIJ,X,X,O,O,X,O,X,X,X,X,O
TOLZSJI,X,X,X,X,X,O,X,X,X,X,O
TOJILSZ,O,X,O,X,X,O,O,X,X,X,X
TOJILZS,O,X,O,O,X,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,O,O,X,X,X,X
TOJISZL,X,X,O,X,X,O,O,X,X,X,X
TOJIZLS,O,X,O,X,X,X,X,X,X,O,X
TOJIZSL,O,X,O,X,X,X,O,X,X,O,X
TOJLISZ,O,X,O,X,X,O,O,X,X,X,X
TOJLIZS,O,X,O,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,O,O,X,X,X,X
TOJLSZI,X,X,O,X,X,O,O,X,X,X,X
TOJLZIS,O,X,O,O,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X,X,X,X,X
TOJSILZ,O,X,O,X,X,O,O,X,X,X,X
TOJSIZL,X,X,O,X,X,O,O,X,X,X,X
TOJSLIZ,O,X,O,X,X,O,O,X,X,X,X
TOJSLZI,X,X,O,X,X,O,O,X,X,X,X
TOJSZIL,X,X,O,X,X,O,O,X,X,X,X
TOJSZLI,X,X,O,X,X,O,O,X,X,X,X
TOJZILS,O,X,O,X,X,X,X,X,X,O,X
TOJZISL,O,X,O,X,X,X,O,X,X,O,X
TOJZLIS,O,X,O,X,X,X,X,X,X,O,X
TOJZLSI,O,X,O,X,X,X,X,X,X,X,X
TOJZSIL,O,X,O,X,X,X,O,X,X,O,X
TOJZSLI,O,X,O,X,X,X,O,X,X,X,X
TOSILJZ,X,O,O,X,X,O,O,O,X,X,X
TOSILZJ,X,X,O,O,O,O,O,O,O,X,O
TOSIJLZ,X,O,O,X,X,O,O,O,X,X,X
TOSIJZL,X,O,O,X,X,O,O,X,X,X,X
TOSIZLJ,X,X,O,X,O,O,O,O,O,O,X
TOSIZJL,X,X,O,X,O,O,O,X,O,O,X
TOSLIJZ,X,O,O,X,X,O,O,O,X,X,X
TOSLIZJ,X,X,O,O,O,O,O,O,O,X,O
TOSLJIZ,X,O,O,X,X,O,O,O,X,X,X
TOSLJZI,X,O,O,X,X,O,O,X,X,X,X
TOSLZIJ,X,X,O,O,O,O,O,O,X,X,O
TOSLZJI,X,X,X,X,O,O,O,X,X,X,O
TOSJILZ,X,O,O,X,X,O,O,O,X,X,X
TOSJIZL,X,O,O,X,X,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,X,O,O,O,X,X,X
TOSJLZI,X,O,O,X,X,O,O,X,X,X,X
TOSJZIL,X,O,O,X,X,O,O,X,X,X,X
TOSJZLI,X,O,O,X,X,O,O,X,X,X,X
TOSZILJ,X,X,O,X,O,O,O,O,X,O,X
TOSZIJL,X,X,O,X,O,O,O,X,X,O,X
TOSZLIJ,X,X,O,X,O,O,O,O,X,X,X
TOSZLJI,X,X,X,X,O,O,O,X,X,X,X
TOSZJIL,X,X,O,X,O,O,O,X,X,O,X
TOSZJLI,X,X,O,X,O,O,O,X,X,X,X
TOZILJS,O,X,O,O,X,X,X,X,X,O,X
TOZILSJ,X,X,O,O,X,O,X,X,X,O,X
TOZIJLS,O,X,O,O,X,X,X,X,X,O,X
TOZIJSL,O,X,O,X,X,X,O,X,X,O,X
TOZISLJ,X,X,O,O,O,O,O,X,X,O,X
TOZISJL,X,X,X,X,O,O,O,X,X,O,X
TOZLIJS,O,X,O,O,X,X,X,X,X,O,X
TOZLISJ,X,X,O,O,X,O,X,X,X,O,X
TOZLJIS,O,X,O,O,X,X,X,X,X,O,X
TOZLJSI,O,X,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,X,O,O,X,O,X,X,X,X,X
TOZLSJI,X,X,X,X,X,O,X,X,X,X,X
TOZJILS,O,X,O,O,X,X,X,X,X,O,X
TOZJISL,O,X,O,X,X,X,O,X,X,O,X
TOZJLIS,O,X,O,O,X,X,X,X,X,O,X
TOZJLSI,O,X,O,X,X,X,X,X,X,X,X
TOZJSIL,O,X,O,X,X,X,O,X,X,O,X
TOZJSLI,O,X,O,X,X,X,O,X,X,X,X
TOZSILJ,X,X,O,O,X,O,O,X,X,O,X
TOZSIJL,X,X,X,X,X,O,O,X,X,O,X
TOZSLIJ,X,X,O,O,X,O,O,X,X,X,X
TOZSLJI,X,X,X,X,X,O,O,X,X,X,X
TOZSJIL,X,X,X,X,X,O,O,X,X,O,X
TOZSJLI,X,X,X,X,X,O,O,X,X,X,X
ITLJSZO,X,X,O,X,O,O,X,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,X,X,X,X,X
ITLJZSO,O,X,O,O,X,X,X,X,X,X,X
ITLJZOS,O,X,O,O,X,X,X,X,X,X,X
ITLJOSZ,O,X,O,X,X,O,X,X,X,X,X
ITLJOZS,O,X,O,O,X,X,X,X,X,X,X
ITLSJZO,X,O,X,X,O,O,X,X,O,X,X
ITLSJOZ,X,O,X,X,X,X,X,O,X,X,X
ITLSZJO,X,O,X,O,O,O,X,X,O,X,O
ITLSZOJ,X,X,O,O,O,O,X,O,O,X,O
ITLSOJZ,X,O,X,X,X,O,X,O,X,X,X
ITLSOZJ,X,X,O,O,O,O,X,O,O,X,O
ITLZJSO,O,X,X,O,X,X,X,X,X,X,X
ITLZJOS,O,X,O,O,X,X,X,X,X,X,X
ITLZSJO,X,X,X,O,O,O,X,X,X,X,O
ITLZSOJ,X,X,O,O,O,O,X,X,X,X,O
ITLZOJS,O,X,O,O,X,X,X,X,X,X,X
ITLZOSJ,X,X,O,O,X,O,X,X,X,X,O
ITLOJSZ,O,X,O,X,X,O,X,X,X,X,X
ITLOJZS,O,X,O,O,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,O,O,X,X,X,X
ITLOSZJ,X,X,O,O,O,O,O,X,X,X,O
