sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TIZJSLO,O,X,O,X,O,X,X,X,X,X,X
TIZJSOL,O,X,O,X,O,X,X,X,X,X,X
TIZJOLS,O,X,O,O,X,X,X,X,X,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,O,O,X,X,O,X,X
TIZSLOJ,X,X,O,O,O,O,X,O,O,X,X
TIZSJLO,X,O,X,X,O,O,X,X,O,X,X
TIZSJOL,X,O,X,X,O,O,X,X,O,X,X
TIZSOLJ,X,X,O,O,O,O,X,O,O,X,X
TIZSOJL,X,X,X,X,O,O,X,X,O,X,X
TIZOLJS,O,X,O,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,O,X,O,X,X,X,X,X
TIZOJLS,O,X,O,O,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,O,O,O,X,X,X,X,X
TIZOSJL,X,X,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,O,O,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,O,O,X,X,X,X
TIOLSZJ,X,X,O,O,O,O,O,X,X,X,O
TIOLZJS,O,X,O,O,X,X,X,X,X,O,X
TIOLZSJ,X,X,O,O,X,O,X,X,X,O,O
TIOJLSZ,O,X,O,X,X,O,O,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,O,X,X,X,X
TIOJSZL,X,X,O,X,X,O,O,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,X,O,X
TIOJZSL,O,X,O,X,X,X,O,X,X,O,X
TIOSLJZ,X,O,O,X,X,O,O,O,X,X,X
TIOSLZJ,X,X,O,O,O,O,O,O,O,X,O
TIOSJLZ,X,O,O,X,X,O,O,O,X,X,X
TIOSJZL,X,O,O,X,X,O,O,X,X,X,X
TIOSZLJ,X,X,O,X,O,O,O,O,O,O,X
TIOSZJL,X,X,O,X,O,O,O,X,O,O,X
TIOZLJS,O,X,O,O,X,X,X,X,X,O,X
TIOZLSJ,X,X,O,O,X,O,X,X,X,O,X
TIOZJLS,O,X,O,O,X,X,X,X,X,O,X
TIOZJSL,O,X,O,X,X,X,O,X,X,O,X
TIOZSLJ,X,X,O,O,O,O,O,X,X,O,X
TIOZSJL,X,X,X,X,O,O,O,X,X,O,X
TLIJSZO,X,X,O,X,O,O,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,X,O,O,X,X,X,X,X,X,X
TLIJZOS,O,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,O,X,X,O,X,X
TLISJOZ,X,O,X,X,X,X,X,O,X,X,X
TLISZJO,X,O,X,O,O,O,X,X,O,X,O
TLISZOJ,X,X,O,O,O,O,X,O,O,X,O
TLISOJZ,X,O,X,X,X,O,X,O,X,X,X
TLISOZJ,X,X,O,O,O,O,X,O,O,X,O
TLIZJSO,O,X,X,O,X,X,X,X,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,X,X,X
TLIZSJO,X,X,X,O,O,O,X,X,X,X,O
TLIZSOJ,X,X,O,O,O,O,X,X,X,X,O
TLIZOJS,O,X,O,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,O,X,O,X,X,X,X,O
TLIOJSZ,O,X,O,X,X,O,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,O,X,X,X,X
TLIOSZJ,X,X,O,O,O,O,O,X,X,X,O
TLIOZJS,O,X,O,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,X,O,X,X,X,X,O
TLJISZO,X,X,O,X,O,O,X,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X,X
TLJIZOS,O,X,O,O,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,X,O,X,X,X,X,X
