sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TIJSZLO,O,O,O,X,X,O,X
TIJSZOL,O,X,O,X,X,O,X
TIJSOLZ,O,X,O,X,X,O,X
TIJSOZL,O,X,O,X,X,O,X
TIJZLSO,O,O,O,X,X,O,X
TIJZLOS,O,O,O,X,X,O,X
TIJZSLO,O,O,O,X,X,O,X
TIJZSOL,O,X,O,X,X,O,X
TIJZOLS,O,O,O,X,X,O,X
TIJZOSL,O,O,O,X,X,O,X
TIJOLSZ,O,O,O,X,X,O,X
TIJOLZS,O,O,O,X,X,O,X
TIJOSLZ,O,O,O,X,X,O,X
TIJOSZL,O,O,O,X,X,O,X
TIJOZLS,O,O,O,X,X,O,X
TIJOZSL,O,O,O,X,X,O,X
TISLJZO,X,O,O,O,X,O,X
TISLJOZ,X,O,O,O,X,O,X
TISLZJO,X,O,O,O,X,O,X
TISLZOJ,X,O,O,O,X,X,X
TISLOJZ,X,O,O,O,X,X,X
TISLOZJ,X,O,O,O,X,X,X
TISJLZO,O,O,O,O,X,O,O
TISJLOZ,O,O,O,O,X,O,O
TISJZLO,O,O,O,O,X,O,O
TISJZOL,O,X,O,X,X,O,O
TISJOLZ,O,X,O,X,X,O,O
TISJOZL,O,X,O,X,X,O,O
TISZLJO,X,O,O,O,X,O,X
TISZLOJ,X,O,O,O,X,X,X
TISZJLO,O,O,O,O,X,O,O
TISZJOL,O,X,O,X,X,O,O
TISZOLJ,X,O,O,O,X,X,X
TISZOJL,O,O,O,X,X,X,O
TISOLJZ,X,O,O,O,X,X,X
