sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TZLIJSO,X,O,O,X,X,O,X
TZLIJOS,X,O,O,X,X,O,X
TZLISJO,X,O,O,X,X,O,X
TZLISOJ,X,O,O,X,X,X,X
TZLIOJS,X,O,O,X,X,O,X
TZLIOSJ,X,O,O,X,X,X,X
TZLJISO,X,O,O,X,X,O,X
TZLJIOS,X,O,O,X,X,O,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X
TZLJOIS,X,X,O,X,X,O,X
TZLJOSI,O,O,O,X,X,X,X
TZLSIJO,X,O,X,X,X,X,X
TZLSIOJ,X,O,X,X,O,X,X
TZLSJIO,X,O,O,X,X,X,X
TZLSJOI,X,O,O,X,O,X,X
TZLSOIJ,X,X,O,X,O,X,X
TZLSOJI,X,O,O,X,O,X,X
TZLOIJS,X,O,O,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X
TZLOJSI,O,O,O,X,X,X,X
TZLOSIJ,X,O,O,X,O,X,X
TZLOSJI,X,O,O,X,O,X,X
TZJILSO,O,O,O,X,X,O,X
TZJILOS,O,O,O,X,X,O,X
TZJISLO,O,O,O,X,X,O,X
TZJISOL,O,X,O,X,X,O,X
TZJIOLS,O,O,O,X,X,O,X
TZJIOSL,O,X,O,X,X,O,X
TZJLISO,X,O,O,X,X,O,X
TZJLIOS,X,O,O,X,X,O,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,X,X,O,X,X,O,X
TZJLOSI,O,O,O,X,X,X,X
TZJSILO,O,X,O,X,X,X,X
TZJSIOL,O,X,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X
TZJSOIL,O,X,O,X,X,X,X
TZJSOLI,O,X,O,X,X,X,X
TZJOILS,O,O,O,X,X,O,X
TZJOISL,O,X,O,X,X,O,X
TZJOLIS,X,O,O,X,X,O,X
TZJOLSI,O,O,O,X,X,X,X
TZJOSIL,O,X,O,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X
TZSILJO,X,X,X,X,X,X,X
TZSILOJ,X,X,X,X,O,X,X
TZSIJLO,X,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,O,X,X
TZSIOJL,X,X,X,X,O,X,X
TZSLIJO,X,O,X,X,X,X,X
TZSLIOJ,X,X,X,X,O,X,X
TZSLJIO,X,O,O,X,X,X,X
TZSLJOI,X,O,O,X,O,X,X
TZSLOIJ,X,X,O,X,O,X,X
TZSLOJI,X,O,O,X,O,X,X
TZSJILO,O,X,O,X,X,X,X
TZSJIOL,X,X,O,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,O,X,X
TZSJOIL,O,X,O,X,O,X,X
TZSJOLI,O,X,O,X,O,X,X
TZSOILJ,X,X,O,X,O,X,X
TZSOIJL,X,X,X,X,O,X,X
TZSOLIJ,X,O,O,X,O,X,X
TZSOLJI,X,O,O,X,O,X,X
TZSOJIL,O,X,O,X,O,X,X
TZSOJLI,O,O,O,X,O,X,X
TZOILJS,O,O,O,X,X,X,X
TZOILSJ,X,O,O,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X
TZOISLJ,X,O,O,X,X,X,X
TZOISJL,O,O,O,X,X,X,X
TZOLIJS,X,O,O,X,X,X,X
TZOLISJ,X,O,O,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X
TZOLSIJ,X,O,O,X,O,X,X
TZOLSJI,X,O,O,X,O,X,X
TZOJILS,O,O,O,X,X,X,X
TZOJISL,O,O,O,X,X,X,X
TZOJLIS,X,O,O,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X
TZOJSIL,O,X,O,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X
TZOSILJ,X,X,O,X,O,X,X
TZOSIJL,X,X,O,X,O,X,X
TZOSLIJ,X,O,O,X,O,X,X
TZOSLJI,X,O,O,X,O,X,X
TZOSJIL,O,X,O,X,O,X,X
TZOSJLI,O,O,O,X,O,X,X
TOILJSZ,O,O,O,X,X,O,X
TOILJZS,O,O,O,X,X,O,X
TOILSJZ,X,O,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X
TOILZJS,O,O,O,X,X,O,X
TOILZSJ,X,O,O,X,X,X,X
TOIJLSZ,O,O,O,X,X,O,X
TOIJLZS,O,O,O,X,X,O,X
TOIJSLZ,O,O,O,X,X,O,X
TOIJSZL,O,O,O,X,X,O,X
TOIJZLS,O,O,O,X,X,O,X
TOIJZSL,O,O,O,X,X,O,X
TOISLJZ,X,O,O,X,X,X,X
TOISLZJ,X,O,O,X,X,X,X
TOISJLZ,O,O,O,X,X,X,O
TOISJZL,O,O,O,X,X,X,O
TOISZLJ,X,O,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,O
TOIZLJS,O,O,O,X,X,O,X
TOIZLSJ,X,O,O,X,X,X,X
TOIZJLS,O,O,O,X,X,O,X
TOIZJSL,O,O,O,X,X,O,X
TOIZSLJ,X,O,O,X,X,X,X
TOIZSJL,O,O,O,X,X,X,O
TOLIJSZ,O,O,O,X,X,O,X
TOLIJZS,O,O,O,X,X,O,X
TOLISJZ,X,O,O,X,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,O,O,O,X,X,O,X
TOLIZSJ,X,O,O,X,X,X,X
TOLJISZ,O,O,O,X,X,O,X
TOLJIZS,O,O,O,X,X,O,X
TOLJSIZ,O,O,O,X,X,O,X
TOLJSZI,O,O,O,X,X,X,X
TOLJZIS,X,O,O,X,X,O,X
TOLJZSI,O,O,O,X,X,X,X
TOLSIJZ,X,O,O,X,X,X,X
TOLSIZJ,X,O,O,X,O,X,X
TOLSJIZ,X,O,O,X,X,X,X
TOLSJZI,X,O,O,X,O,X,X
TOLSZIJ,X,O,O,X,O,X,X
TOLSZJI,X,O,O,X,O,X,X
TOLZIJS,X,O,O,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X
TOLZSIJ,X,O,O,X,O,X,X
TOLZSJI,X,O,O,X,O,X,X
TOJILSZ,O,O,O,X,X,O,X
TOJILZS,O,O,O,X,X,O,X
TOJISLZ,O,O,O,X,X,O,X
TOJISZL,O,O,O,X,X,O,X
TOJIZLS,O,O,O,X,X,O,X
TOJIZSL,O,O,O,X,X,O,X
TOJLISZ,O,O,O,X,X,O,X
TOJLIZS,O,O,O,X,X,O,X
TOJLSIZ,O,O,O,X,X,O,X
TOJLSZI,O,O,O,X,X,X,X
TOJLZIS,X,O,O,X,X,O,X
TOJLZSI,O,O,O,X,X,X,X
TOJSILZ,O,O,O,X,X,O,X
TOJSIZL,O,O,O,X,X,O,X
TOJSLIZ,O,O,O,X,X,O,X
TOJSLZI,O,O,O,X,X,X,X
TOJSZIL,O,X,O,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X
TOJZILS,O,O,O,X,X,O,X
TOJZISL,O,O,O,X,X,O,X
TOJZLIS,X,O,O,X,X,O,X
TOJZLSI,O,O,O,X,X,X,X
TOJZSIL,O,X,O,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X
TOSILJZ,X,O,O,X,X,X,X
TOSILZJ,X,O,O,X,O,X,X
TOSIJLZ,O,O,O,X,X,X,O
TOSIJZL,O,O,O,X,X,X,O
TOSIZLJ,X,O,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,O
TOSLIJZ,X,O,O,X,X,X,X
TOSLIZJ,X,O,O,X,O,X,X
TOSLJIZ,X,O,O,X,X,X,X
TOSLJZI,X,O,O,X,O,X,X
TOSLZIJ,X,O,O,X,O,X,X
TOSLZJI,X,O,O,X,O,X,X
TOSJILZ,O,O,O,X,X,X,O
TOSJIZL,O,O,O,X,X,X,O
TOSJLIZ,O,O,O,X,X,X,X
TOSJLZI,O,O,O,X,O,X,X
TOSJZIL,O,X,O,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X
TOSZILJ,X,X,O,X,O,X,X
TOSZIJL,X,X,O,X,O,X,X
TOSZLIJ,X,O,O,X,O,X,X
TOSZLJI,X,O,O,X,O,X,X
TOSZJIL,O,X,O,X,O,X,X
TOSZJLI,O,O,O,X,O,X,X
TOZILJS,O,O,O,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X
TOZISLJ,X,O,O,X,X,X,X
TOZISJL,O,O,O,X,X,X,X
TOZLIJS,X,O,O,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X
TOZLSIJ,X,O,O,X,O,X,X
TOZLSJI,X,O,O,X,O,X,X
TOZJILS,O,O,O,X,X,X,X
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,X,O,O,X,X,X,X
TOZJLSI,O,O,O,X,X,X,X
TOZJSIL,O,X,O,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X
TOZSILJ,X,X,O,X,O,X,X
TOZSIJL,X,X,O,X,O,X,X
TOZSLIJ,X,O,O,X,O,X,X
TOZSLJI,X,O,O,X,O,X,X
TOZSJIL,O,X,O,X,O,X,X
TOZSJLI,O,O,O,X,O,X,X
ITLJSZO,O,O,O,X,X,O,X
ITLJSOZ,O,O,O,X,X,O,X
ITLJZSO,O,O,O,X,X,O,X
ITLJZOS,O,O,O,X,X,O,X
ITLJOSZ,O,O,O,X,X,O,X
ITLJOZS,O,O,O,X,X,O,X
ITLSJZO,X,O,O,O,X,O,X
ITLSJOZ,X,O,O,O,X,O,X
ITLSZJO,X,O,O,O,X,O,X
ITLSZOJ,X,O,O,O,X,X,X
ITLSOJZ,X,O,O,O,X,X,X
ITLSOZJ,X,O,O,O,X,X,X
ITLZJSO,O,O,O,X,X,O,X
ITLZJOS,O,O,O,X,X,O,X
ITLZSJO,X,O,O,O,X,O,X
ITLZSOJ,X,O,O,O,X,X,X
ITLZOJS,O,O,O,X,X,O,X
ITLZOSJ,X,O,O,O,X,X,X
ITLOJSZ,O,O,O,X,X,O,X
ITLOJZS,O,O,O,X,X,O,X
ITLOSJZ,X,O,O,O,X,X,X
ITLOSZJ,X,O,O,O,X,X,X
ITLOZJS,O,O,O,X,X,O,X
ITLOZSJ,X,O,O,O,X,X,X
ITJLSZO,O,O,O,X,X,O,X
ITJLSOZ,O,O,O,X,X,O,X
ITJLZSO,O,O,O,X,X,O,X
ITJLZOS,O,O,O,X,X,O,X
ITJLOSZ,O,O,O,X,X,O,X
ITJLOZS,O,O,O,X,X,O,X
ITJSLZO,O,O,O,X,X,O,X
ITJSLOZ,O,O,O,X,X,O,X
ITJSZLO,O,O,O,X,X,O,X
ITJSZOL,O,X,O,X,X,O,X
ITJSOLZ,O,X,O,X,X,O,X
ITJSOZL,O,X,O,X,X,O,X
ITJZLSO,O,O,O,X,X,O,X
ITJZLOS,O,O,O,X,X,O,X
ITJZSLO,O,O,O,X,X,O,X
ITJZSOL,O,X,O,X,X,O,X
ITJZOLS,O,O,O,X,X,O,X
ITJZOSL,O,O,O,X,X,O,X
ITJOLSZ,O,O,O,X,X,O,X
ITJOLZS,O,O,O,X,X,O,X
ITJOSLZ,O,O,O,X,X,O,X
ITJOSZL,O,O,O,X,X,O,X
ITJOZLS,O,O,O,X,X,O,X
ITJOZSL,O,O,O,X,X,O,X
ITSLJZO,X,O,O,O,X,O,X
ITSLJOZ,X,O,O,O,X,O,X
ITSLZJO,X,O,O,O,X,O,X
ITSLZOJ,X,O,O,O,X,X,X
ITSLOJZ,X,O,O,O,X,X,X
ITSLOZJ,X,O,O,O,X,X,X
ITSJLZO,O,O,O,O,X,O,O
ITSJLOZ,O,O,O,O,X,O,O
ITSJZLO,O,O,O,O,X,O,O
ITSJZOL,O,X,O,X,X,O,O
ITSJOLZ,O,X,O,X,X,O,O
ITSJOZL,O,X,O,X,X,O,O
ITSZLJO,X,O,O,O,X,O,X
ITSZLOJ,X,O,O,O,X,X,X
ITSZJLO,O,O,O,O,X,O,O
ITSZJOL,O,X,O,X,X,O,O
ITSZOLJ,X,O,O,O,X,X,X
ITSZOJL,O,O,O,X,X,X,O
ITSOLJZ,X,O,O,O,X,X,X
ITSOLZJ,X,O,O,O,X,X,X
ITSOJLZ,O,O,O,X,X,X,O
ITSOJZL,O,O,O,X,X,X,O
ITSOZLJ,X,O,O,O,X,X,X
ITSOZJL,O,O,O,X,X,X,O
ITZLJSO,O,O,O,X,X,O,X
ITZLJOS,O,O,O,X,X,O,X
ITZLSJO,X,O,O,O,X,O,X
ITZLSOJ,X,O,O,O,X,X,X
ITZLOJS,O,O,O,X,X,O,X
ITZLOSJ,X,O,O,O,X,X,X
ITZJLSO,O,O,O,X,X,O,X
ITZJLOS,O,O,O,X,X,O,X
ITZJSLO,O,O,O,X,X,O,X
ITZJSOL,O,X,O,X,X,O,X
ITZJOLS,O,O,O,X,X,O,X
ITZJOSL,O,O,O,X,X,O,X
ITZSLJO,X,O,O,O,X,O,X
ITZSLOJ,X,O,O,O,X,X,X
ITZSJLO,O,O,O,O,X,O,O
ITZSJOL,O,X,O,X,X,O,O
ITZSOLJ,X,O,O,O,X,X,X
ITZSOJL,O,O,O,X,X,X,O
ITZOLJS,O,O,O,X,X,O,X
ITZOLSJ,X,O,O,X,X,X,X
ITZOJLS,O,O,O,X,X,O,X
ITZOJSL,O,O,O,X,X,O,X
ITZOSLJ,X,O,O,X,X,X,X
ITZOSJL,O,O,O,X,X,X,O
ITOLJSZ,O,O,O,X,X,O,X
ITOLJZS,O,O,O,X,X,O,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,O,O,O,X,X,O,X
ITOLZSJ,X,O,O,X,X,X,X
ITOJLSZ,O,O,O,X,X,O,X
ITOJLZS,O,O,O,X,X,O,X
ITOJSLZ,O,O,O,X,X,O,X
ITOJSZL,O,O,O,X,X,O,X
ITOJZLS,O,O,O,X,X,O,X
ITOJZSL,O,O,O,X,X,O,X
ITOSLJZ,X,O,O,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,O
ITOSJZL,O,O,O,X,X,X,O
ITOSZLJ,X,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,O
ITOZLJS,O,O,O,X,X,O,X
ITOZLSJ,X,O,O,X,X,X,X
ITOZJLS,O,O,O,X,X,O,X
ITOZJSL,O,O,O,X,X,O,X
ITOZSLJ,X,O,O,X,X,X,X
ITOZSJL,O,O,O,X,X,X,O
ILTJSZO,O,O,O,X,X,O,X
ILTJSOZ,O,O,O,X,X,O,X
ILTJZSO,O,O,O,X,X,O,X
ILTJZOS,O,O,O,X,X,O,X
ILTJOSZ,O,O,O,X,X,O,X
ILTJOZS,O,O,O,X,X,O,X
ILTSJZO,X,O,O,O,X,O,X
ILTSJOZ,X,O,O,O,X,O,X
ILTSZJO,X,O,O,O,X,O,X
ILTSZOJ,X,O,O,O,X,X,X
ILTSOJZ,X,O,O,O,X,X,X
ILTSOZJ,X,O,O,O,X,X,X
ILTZJSO,O,O,O,X,X,O,X
ILTZJOS,O,O,O,X,X,O,X
ILTZSJO,X,O,O,O,X,O,X
ILTZSOJ,X,O,O,O,X,X,X
ILTZOJS,O,O,O,X,X,O,X
ILTZOSJ,X,O,O,O,X,X,X
ILTOJSZ,O,O,O,X,X,O,X
ILTOJZS,O,O,O,X,X,O,X
ILTOSJZ,X,O,O,O,X,X,X
ILTOSZJ,X,O,O,O,X,X,X
ILTOZJS,O,O,O,X,X,O,X
ILTOZSJ,X,O,O,O,X,X,X
ILJTSZO,O,O,O,X,X,O,X
ILJTSOZ,O,O,O,X,X,O,X
ILJTZSO,O,O,O,X,X,O,X
ILJTZOS,O,O,O,X,X,O,X
ILJTOSZ,O,O,O,X,X,O,X
ILJTOZS,O,O,O,X,X,O,X
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,X,X,X,O,X,X,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,O,X
ILJSOTZ,X,X,O,O,X,X,X
ILJSOZT,O,O,O,O,X,O,X
ILJZTSO,O,O,O,X,X,O,X
ILJZTOS,O,O,O,X,X,O,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,X,O,X
ILJZOTS,O,X,O,X,X,O,X
ILJZOST,O,X,O,O,X,O,X
ILJOTSZ,O,X,O,X,X,X,X
ILJOTZS,O,X,O,X,X,O,X
ILJOSTZ,O,X,O,O,X,X,X
ILJOSZT,O,X,O,O,X,O,X
ILJOZTS,O,X,O,X,X,O,X
ILJOZST,O,X,O,O,X,O,X
ILSTJZO,X,O,O,O,X,O,X
ILSTJOZ,X,O,O,O,X,O,X
ILSTZJO,X,O,O,O,X,O,X
ILSTZOJ,X,O,O,O,X,X,X
ILSTOJZ,X,O,O,O,X,X,X
ILSTOZJ,X,O,O,O,O,X,X
ILSJTZO,X,O,O,O,X,X,O
ILSJTOZ,X,X,X,O,X,X,O
ILSJZTO,X,O,O,O,X,X,O
ILSJZOT,X,O,O,O,X,O,O
ILSJOTZ,X,X,X,O,X,X,O
ILSJOZT,X,O,O,O,X,O,O
ILSZTJO,X,O,O,O,X,O,X
ILSZTOJ,X,O,O,O,O,X,X
ILSZJTO,X,O,O,O,X,X,O
ILSZJOT,X,O,O,O,X,O,O
ILSZOTJ,X,X,O,O,O,X,X
ILSZOJT,X,O,O,O,X,X,O
ILSOTJZ,X,X,X,O,X,X,X
ILSOTZJ,X,X,O,O,O,X,X
ILSOJTZ,X,X,O,O,X,X,O
ILSOJZT,X,O,O,O,X,X,O
ILSOZTJ,X,X,O,O,O,X,X
ILSOZJT,X,O,O,O,X,X,O
ILZTJSO,O,O,O,X,X,O,X
ILZTJOS,O,O,O,X,X,O,X
ILZTSJO,X,O,O,O,X,O,X
ILZTSOJ,X,O,O,O,X,X,X
ILZTOJS,O,O,O,X,X,O,X
ILZTOSJ,X,O,O,O,X,X,X
ILZJTSO,O,O,O,X,X,O,X
ILZJTOS,O,O,O,X,X,O,X
ILZJSTO,O,O,O,O,X,X,X
ILZJSOT,O,O,O,O,X,O,X
ILZJOTS,O,X,O,X,X,O,X
ILZJOST,O,X,O,O,X,O,X
ILZSTJO,X,O,O,O,X,O,X
ILZSTOJ,X,O,O,O,O,X,X
ILZSJTO,X,O,O,O,X,X,O
ILZSJOT,X,O,O,O,X,O,O
ILZSOTJ,X,X,O,O,O,X,X
ILZSOJT,X,O,O,O,X,X,O
ILZOTJS,O,O,O,X,X,O,X
ILZOTSJ,X,O,O,O,X,X,X
ILZOJTS,O,X,O,X,X,O,X
ILZOJST,O,O,O,O,X,O,X
ILZOSTJ,X,O,O,O,O,X,X
ILZOSJT,X,O,O,O,X,X,O
ILOTJSZ,O,O,O,X,X,O,X
ILOTJZS,O,O,O,X,X,O,X
ILOTSJZ,X,O,O,O,X,X,X
ILOTSZJ,X,O,O,O,X,X,X
ILOTZJS,O,O,O,X,X,O,X
ILOTZSJ,X,O,O,O,X,X,X
ILOJTSZ,O,X,O,X,X,X,X
ILOJTZS,O,X,O,X,X,O,X
ILOJSTZ,O,O,O,O,X,X,X
ILOJSZT,O,O,O,O,X,O,X
ILOJZTS,O,X,O,X,X,O,X
ILOJZST,O,O,O,O,X,O,X
ILOSTJZ,X,O,X,O,X,X,X
ILOSTZJ,X,O,O,O,O,X,X
ILOSJTZ,X,O,O,O,X,X,O
ILOSJZT,X,O,O,O,X,X,O
ILOSZTJ,X,O,O,O,O,X,X
ILOSZJT,X,O,O,O,X,X,O
ILOZTJS,O,O,O,X,X,O,X
ILOZTSJ,X,O,O,O,X,X,X
ILOZJTS,O,X,O,X,X,O,X
ILOZJST,O,O,O,O,X,O,X
ILOZSTJ,X,O,O,O,O,X,X
ILOZSJT,X,O,O,O,X,X,O
IJTLSZO,O,O,O,X,X,O,X
IJTLSOZ,O,O,O,X,X,O,X
IJTLZSO,O,O,O,X,X,O,X
IJTLZOS,O,O,O,X,X,O,X
IJTLOSZ,O,O,O,X,X,O,X
IJTLOZS,O,O,O,X,X,O,X
IJTSLZO,O,O,O,X,X,O,X
IJTSLOZ,O,O,O,X,X,O,X
IJTSZLO,O,O,O,X,X,O,X
IJTSZOL,O,X,O,X,X,O,X
IJTSOLZ,O,X,O,X,X,O,X
IJTSOZL,O,X,O,X,X,O,X
IJTZLSO,O,O,O,X,X,O,X
IJTZLOS,O,O,O,X,X,O,X
IJTZSLO,O,O,O,X,X,O,X
IJTZSOL,O,X,O,X,X,O,X
IJTZOLS,O,O,O,X,X,O,X
IJTZOSL,O,O,O,X,X,O,X
IJTOLSZ,O,O,O,X,X,O,X
IJTOLZS,O,O,O,X,X,O,X
IJTOSLZ,O,O,O,X,X,O,X
IJTOSZL,O,O,O,X,X,O,X
IJTOZLS,O,O,O,X,X,O,X
IJTOZSL,O,O,O,X,X,O,X
IJLTSZO,O,O,O,X,X,O,X
IJLTSOZ,O,O,O,X,X,O,X
IJLTZSO,O,O,O,X,X,O,X
IJLTZOS,O,O,O,X,X,O,X
IJLTOSZ,O,O,O,X,X,O,X
IJLTOZS,O,O,O,X,X,O,X
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,X,X,X,O,X,X,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,O,X
IJLSOTZ,X,X,O,O,X,X,X
IJLSOZT,O,O,O,O,X,O,X
IJLZTSO,O,O,O,X,X,O,X
IJLZTOS,O,O,O,X,X,O,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,O,O,O,O,X,O,X
IJLZOTS,O,X,O,X,X,O,X
IJLZOST,O,X,O,O,X,O,X
IJLOTSZ,O,X,O,X,X,X,X
IJLOTZS,O,X,O,X,X,O,X
IJLOSTZ,O,X,O,O,X,X,X
IJLOSZT,O,X,O,O,X,O,X
IJLOZTS,O,X,O,X,X,O,X
IJLOZST,O,X,O,O,X,O,X
IJSTLZO,O,X,O,O,X,X,O
IJSTLOZ,O,X,X,O,X,X,O
IJSTZLO,O,X,O,O,X,X,O
IJSTZOL,O,X,O,X,X,X,O
IJSTOLZ,O,X,O,X,X,X,O
IJSTOZL,O,X,O,X,X,X,O
IJSLTZO,O,X,O,O,X,X,O
IJSLTOZ,X,X,X,O,X,X,O
IJSLZTO,O,X,O,O,X,X,O
IJSLZOT,O,X,O,O,X,O,O
IJSLOTZ,X,X,O,O,X,X,O
IJSLOZT,O,X,O,O,X,O,O
IJSZTLO,O,X,O,O,X,X,O
IJSZTOL,O,X,O,X,X,X,O
IJSZLTO,O,X,O,O,X,X,O
IJSZLOT,O,X,O,O,X,O,O
IJSZOTL,O,X,O,X,X,X,O
IJSZOLT,O,X,O,X,X,O,O
IJSOTLZ,O,X,O,X,X,X,O
IJSOTZL,O,X,O,X,X,X,O
IJSOLTZ,O,X,O,X,X,X,O
IJSOLZT,O,X,O,X,X,O,O
IJSOZTL,O,X,O,X,X,X,O
IJSOZLT,O,X,O,X,X,O,O
IJZTLSO,O,O,O,X,X,O,X
IJZTLOS,O,O,O,X,X,O,X
IJZTSLO,O,O,O,X,X,O,X
IJZTSOL,O,X,O,X,X,O,X
IJZTOLS,O,O,O,X,X,O,X
IJZTOSL,O,O,O,X,X,O,X
IJZLTSO,O,O,O,X,X,O,X
IJZLTOS,O,O,O,X,X,O,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,O,X,O,X
IJZLOTS,O,X,O,X,X,O,X
IJZLOST,O,X,O,O,X,O,X
IJZSTLO,O,X,O,O,X,X,O
IJZSTOL,O,X,O,X,X,X,O
IJZSLTO,O,X,O,O,X,X,O
IJZSLOT,O,X,O,O,X,O,O
IJZSOTL,O,X,O,X,X,X,O
IJZSOLT,O,X,O,X,X,O,O
IJZOTLS,O,O,O,X,X,O,X
IJZOTSL,O,O,O,X,X,X,X
IJZOLTS,O,X,O,X,X,O,X
IJZOLST,O,O,O,X,X,O,X
IJZOSTL,O,X,O,X,X,X,O
IJZOSLT,O,X,O,X,X,O,O
IJOTLSZ,O,O,O,X,X,X,X
IJOTLZS,O,O,O,X,X,O,X
IJOTSLZ,O,O,O,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X
IJOTZLS,O,O,O,X,X,O,X
IJOTZSL,O,O,O,X,X,X,X
IJOLTSZ,O,X,O,X,X,X,X
IJOLTZS,O,X,O,X,X,O,X
IJOLSTZ,O,O,O,X,X,X,X
IJOLSZT,O,O,O,X,X,O,X
IJOLZTS,O,X,O,X,X,O,X
IJOLZST,O,O,O,X,X,O,X
IJOSTLZ,O,X,O,X,X,X,O
IJOSTZL,O,X,O,X,X,X,O
IJOSLTZ,O,X,O,X,X,X,O
IJOSLZT,O,X,O,X,X,O,O
IJOSZTL,O,X,O,X,X,X,O
IJOSZLT,O,X,O,X,X,O,O
IJOZTLS,O,O,O,X,X,O,X
IJOZTSL,O,O,O,X,X,X,X
IJOZLTS,O,X,O,X,X,O,X
IJOZLST,O,O,O,X,X,O,X
IJOZSTL,O,X,O,X,X,X,O
IJOZSLT,O,X,O,X,X,O,O
ISTLJZO,X,O,O,O,X,O,X
ISTLJOZ,X,O,O,O,X,O,X
ISTLZJO,X,O,O,O,X,O,X
ISTLZOJ,X,O,O,O,X,X,X
ISTLOJZ,X,O,O,O,X,X,X
ISTLOZJ,X,O,O,O,O,X,X
ISTJLZO,O,O,O,O,X,O,O
ISTJLOZ,O,O,O,O,X,O,O
ISTJZLO,O,O,O,O,X,O,O
ISTJZOL,O,X,O,X,X,O,O
ISTJOLZ,O,X,O,X,X,O,O
ISTJOZL,O,X,O,X,X,O,O
ISTZLJO,X,O,O,O,X,O,X
ISTZLOJ,X,O,O,O,X,X,X
ISTZJLO,O,O,O,O,X,O,O
ISTZJOL,O,X,O,X,X,O,O
ISTZOLJ,X,O,O,O,X,X,X
ISTZOJL,O,O,O,X,X,X,O
ISTOLJZ,X,O,O,O,X,X,X
ISTOLZJ,X,O,O,O,O,X,X
ISTOJLZ,O,O,O,X,X,X,O
ISTOJZL,O,O,O,X,X,X,O
ISTOZLJ,X,O,O,O,X,X,X
ISTOZJL,O,O,O,X,X,X,O
ISLTJZO,X,O,O,O,X,O,X
ISLTJOZ,X,O,O,O,X,O,X
ISLTZJO,X,O,O,O,X,O,X
ISLTZOJ,X,O,O,O,X,X,X
ISLTOJZ,X,O,O,O,X,X,X
ISLTOZJ,X,O,O,O,O,X,X
ISLJTZO,X,O,O,O,X,X,O
ISLJTOZ,X,X,X,O,X,X,O
ISLJZTO,X,O,O,O,X,X,O
ISLJZOT,X,O,O,O,X,O,O
ISLJOTZ,X,X,X,O,X,X,O
