sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF0bBxdBzfBqmBXhBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF8fBxdBzgBqmB/qBFrB,v115@DhD8FeF8EeF8AeF8JeT6IvhF/gBFcBxdBqmBmkB8qB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBxdBSlBThB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFCcBxdBTfB/qBFrB0rB
TILJSZO,O,O,X,X,X,X,X,O,O,X,X
TILJSOZ,O,O,O,O,X,X,X,O,O,X,X
TILJZSO,O,X,X,X,X,O,O,O,X,X,X
TILJZOS,O,X,O,O,X,X,O,O,O,X,X
TILJOSZ,O,O,O,O,X,X,X,O,O,X,X
TILJOZS,O,X,O,O,X,X,O,O,O,X,X
TILSJZO,O,O,X,X,X,X,X,O,O,X,X
TILSJOZ,O,O,O,O,X,X,X,O,O,X,X
TILSZJO,O,O,X,X,X,O,O,O,O,X,X
TILSZOJ,O,O,O,X,X,O,O,O,O,X,X
TILSOJZ,O,O,O,O,X,X,X,O,O,X,X
TILSOZJ,O,O,O,O,X,O,X,O,O,X,X
TILZJSO,O,O,X,X,X,O,O,O,X,X,X
TILZJOS,O,O,O,O,X,X,O,O,O,X,X
TILZSJO,O,O,X,X,X,O,O,O,X,X,X
TILZSOJ,O,O,O,X,X,O,O,O,X,X,X
TILZOJS,O,O,O,O,X,X,X,O,O,X,X
TILZOSJ,O,O,O,O,X,X,O,O,X,O,X
TILOJSZ,O,O,O,O,X,X,X,O,O,X,X
TILOJZS,O,X,O,O,X,X,X,O,O,X,X
TILOSJZ,O,O,O,O,X,X,X,O,O,O,X
TILOSZJ,O,O,O,O,X,X,X,O,O,O,X
TILOZJS,O,O,O,O,X,X,X,O,O,X,X
TILOZSJ,O,O,O,O,X,X,O,O,X,O,X
TIJLSZO,O,O,X,X,X,X,X,O,O,X,X
TIJLSOZ,O,O,O,O,X,X,X,O,O,X,X
TIJLZSO,O,X,X,X,X,O,O,O,X,X,X
TIJLZOS,O,X,O,O,X,X,O,O,O,X,X
TIJLOSZ,O,O,O,O,X,X,X,O,O,X,X
TIJLOZS,O,X,O,O,X,X,O,O,O,X,X
TIJSLZO,O,O,X,X,X,X,X,O,O,X,X
TIJSLOZ,O,O,O,O,X,X,X,O,O,X,X
TIJSZLO,X,O,X,X,X,X,X,X,O,X,X
TIJSZOL,X,X,X,X,X,X,X,X,O,X,X
TIJSOLZ,X,O,O,O,X,X,X,O,O,X,X
TIJSOZL,X,X,X,X,X,X,X,X,O,X,X
TIJZLSO,O,X,X,X,X,O,O,O,X,X,X
TIJZLOS,O,X,O,O,X,X,O,O,O,X,X
TIJZSLO,O,X,X,X,X,O,O,X,O,X,X
TIJZSOL,O,X,X,X,X,X,O,X,O,X,X
TIJZOLS,O,X,O,O,X,X,O,O,O,X,X
TIJZOSL,O,X,X,X,X,X,O,X,O,O,X
TIJOLSZ,O,X,O,O,X,X,X,O,O,X,X
TIJOLZS,O,X,O,O,X,X,O,O,O,X,X
TIJOSLZ,X,X,O,O,X,X,X,O,O,O,X
TIJOSZL,X,X,X,X,X,X,X,X,O,O,X
TIJOZLS,X,X,O,O,X,X,O,O,O,X,X
TIJOZSL,X,X,X,X,X,X,O,X,O,O,X
TISLJZO,O,O,X,X,X,X,X,O,O,X,O
TISLJOZ,O,O,O,O,X,X,X,O,O,X,O
TISLZJO,O,O,X,X,X,O,X,O,O,X,O
TISLZOJ,O,O,O,X,X,O,X,O,O,X,O
TISLOJZ,O,O,O,O,X,X,X,O,O,O,O
TISLOZJ,O,O,O,O,X,O,X,O,O,O,O
TISJLZO,O,O,X,X,X,X,X,O,O,X,O
