sequence,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFicB9iBfnB5oB8s?BOtB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBcjBOnBqs?B9tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBSjBNnB8s?B+tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBOnBtsB6t?BctB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF2hBXeBxsB9tBCn?B0sB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFxcB6jB0hB9sB/t?BmsB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFmcBtiB0hB5oBys?BXtB
TILJSZO,X,O,X,O,X,X,X
TILJSOZ,X,O,X,O,O,X,X
TILJZSO,X,O,X,X,O,X,O
TILJZOS,X,O,X,X,O,X,O
TILJOSZ,X,O,X,O,O,X,X
TILJOZS,X,O,X,X,O,X,O
TILSJZO,X,O,X,O,X,X,X
TILSJOZ,X,O,X,O,O,X,X
TILSZJO,O,O,X,X,X,X,O
TILSZOJ,O,O,X,X,X,X,O
TILSOJZ,X,O,X,O,O,X,X
TILSOZJ,O,O,X,X,X,X,O
TILZJSO,X,O,X,X,O,X,O
TILZJOS,X,O,X,X,O,X,O
TILZSJO,O,O,X,X,O,X,O
TILZSOJ,O,O,X,X,O,X,O
TILZOJS,X,O,X,X,O,X,O
TILZOSJ,O,O,X,X,O,X,O
TILOJSZ,X,O,X,O,O,X,X
TILOJZS,X,O,X,X,O,X,O
TILOSJZ,X,O,X,O,O,X,X
TILOSZJ,O,O,X,X,X,X,O
TILOZJS,X,O,X,X,O,X,O
TILOZSJ,O,O,X,X,O,X,O
TIJLSZO,X,X,X,O,X,X,X
TIJLSOZ,X,X,X,O,O,X,X
TIJLZSO,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,O,O,X,X
TIJLOZS,X,X,X,X,O,X,X
TIJSLZO,X,X,X,O,X,X,X
TIJSLOZ,X,X,X,O,O,X,X
TIJSZLO,X,X,O,X,O,X,X
TIJSZOL,X,X,O,X,O,X,X
TIJSOLZ,X,X,X,O,O,X,X
TIJSOZL,X,X,O,X,O,X,X
TIJZLSO,X,X,O,X,O,X,X
TIJZLOS,X,X,O,X,O,X,X
TIJZSLO,X,X,O,X,O,X,X
TIJZSOL,X,X,O,X,O,X,X
TIJZOLS,X,X,O,X,O,X,X
TIJZOSL,X,X,O,X,O,X,X
TIJOLSZ,X,X,X,O,O,X,X
TIJOLZS,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,O,O,X,X
TIJOSZL,X,X,O,X,O,X,X
TIJOZLS,X,X,O,X,O,X,X
TIJOZSL,X,X,O,X,O,X,X
TISLJZO,X,O,X,O,X,X,X
TISLJOZ,X,O,X,O,O,X,X
TISLZJO,O,O,X,X,X,O,X
TISLZOJ,O,O,X,X,X,O,X
TISLOJZ,X,O,X,O,O,X,X
TISLOZJ,O,O,X,X,X,O,X
TISJLZO,X,X,X,O,X,X,X
TISJLOZ,X,X,X,O,O,X,X
TISJZLO,X,X,O,X,O,X,X
TISJZOL,X,X,O,X,O,X,X
