sequence,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB0gBFnBCr?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdBmgBqqBFn?B0rB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibBFdBulBcmBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcBlgB3hBOsB0l?BSwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF0cBlgBxmB6qBXn?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibB5lB/rBFnBcr?BOsB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB0gBlhBXnB6q?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF2gBXdBUmBFnBCm?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB6lB/rBFnBmr?B0qB,v115@7gB8GeF8EeE8DeF8DeC8Jei6IvhFchBGgBVnBzlBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB6lBFnB0r?BerB
TILJSZO,X,O,X,X,X,X,X,X,X,O,X
TILJSOZ,X,O,X,X,X,X,X,O,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,O,X
TILJZOS,X,O,O,X,O,X,X,X,X,O,X
TILJOSZ,X,O,O,X,X,X,X,O,X,X,X
TILJOZS,X,O,O,X,O,X,X,X,X,O,X
TILSJZO,X,O,X,X,X,X,X,X,X,O,X
TILSJOZ,O,O,O,X,X,X,X,O,X,X,X
TILSZJO,O,O,O,X,X,X,X,O,X,O,X
TILSZOJ,O,O,O,X,X,X,X,O,X,X,X
TILSOJZ,O,O,O,O,X,X,X,O,X,X,X
TILSOZJ,O,O,O,X,X,X,X,O,X,X,X
TILZJSO,O,X,O,X,X,X,X,O,X,O,X
TILZJOS,O,X,O,X,X,X,X,O,X,O,X
TILZSJO,O,X,X,X,X,X,X,O,X,O,X
TILZSOJ,O,X,O,X,X,X,X,O,X,X,X
TILZOJS,O,X,O,X,O,X,X,O,X,O,X
TILZOSJ,O,X,O,X,O,X,X,O,X,X,X
TILOJSZ,X,O,O,X,X,X,X,O,X,X,X
TILOJZS,X,O,O,X,O,X,X,X,X,O,X
TILOSJZ,O,O,O,O,X,X,X,O,X,X,X
TILOSZJ,O,O,O,X,X,X,X,O,X,X,X
TILOZJS,O,X,O,X,O,X,X,O,X,O,X
TILOZSJ,O,X,O,X,O,X,X,O,X,X,X
TIJLSZO,X,X,X,O,X,X,X,X,X,O,X
TIJLSOZ,X,O,X,O,X,X,X,O,X,X,X
TIJLZSO,X,X,O,X,X,X,X,X,X,O,X
TIJLZOS,X,X,O,X,O,X,X,X,X,O,X
TIJLOSZ,X,O,O,O,X,X,X,O,X,X,X
TIJLOZS,X,X,O,X,O,X,X,X,X,O,X
TIJSLZO,X,X,X,O,X,X,X,X,X,O,X
TIJSLOZ,X,O,O,O,X,X,O,O,X,X,X
TIJSZLO,X,X,O,X,X,X,X,O,X,O,X
TIJSZOL,X,O,O,O,O,X,O,O,X,X,X
TIJSOLZ,X,O,O,O,X,X,O,O,X,X,X
TIJSOZL,X,O,O,O,O,X,O,O,X,X,X
TIJZLSO,X,X,O,X,X,X,X,O,X,O,X
TIJZLOS,X,X,O,X,O,X,X,O,X,O,X
TIJZSLO,X,X,O,X,X,X,X,O,X,O,X
TIJZSOL,X,O,O,X,O,X,X,O,X,X,X
TIJZOLS,X,X,O,X,O,X,X,O,X,O,X
TIJZOSL,X,O,O,X,O,X,X,O,X,X,X
TIJOLSZ,X,O,O,O,X,X,X,O,X,X,X
TIJOLZS,X,X,O,X,O,X,X,X,X,O,X
TIJOSLZ,X,O,O,O,X,X,O,O,X,X,X
TIJOSZL,X,O,O,O,O,X,O,O,X,X,X
TIJOZLS,X,X,O,X,O,X,X,O,X,O,X
TIJOZSL,X,O,O,X,O,X,X,O,X,X,X
TISLJZO,X,O,X,X,X,O,X,X,O,O,X
TISLJOZ,O,O,O,X,X,O,X,O,O,X,X
TISLZJO,O,O,O,X,X,O,X,O,X,O,X
TISLZOJ,O,O,O,X,X,O,X,O,X,X,X
TISLOJZ,O,O,O,X,X,O,X,O,O,X,X
TISLOZJ,O,O,O,X,X,O,O,O,X,X,X
TISJLZO,X,X,X,X,X,O,X,X,X,O,X
TISJLOZ,X,O,O,X,X,O,O,O,X,X,X
TISJZLO,X,X,O,X,X,O,X,O,X,O,X
TISJZOL,X,O,O,X,O,O,O,O,X,X,X
TISJOLZ,O,O,O,X,X,O,O,O,X,X,X
TISJOZL,O,O,O,X,O,O,O,O,X,X,X
TISZLJO,O,X,O,X,X,O,X,O,X,O,X
TISZLOJ,O,X,O,X,X,O,X,O,X,X,X
TISZJLO,X,X,O,X,X,O,X,O,X,O,X
TISZJOL,O,O,O,X,X,O,X,O,X,X,X
TISZOLJ,O,O,O,X,O,O,O,O,X,X,X
TISZOJL,O,O,O,X,O,O,O,O,X,X,X
TISOLJZ,O,O,O,X,X,O,X,O,O,X,X
TISOLZJ,O,O,O,X,X,O,O,O,X,X,X
TISOJLZ,O,O,O,X,X,O,O,O,X,X,X
TISOJZL,O,O,O,X,O,O,O,O,X,X,X
TISOZLJ,O,O,O,X,O,O,O,O,X,X,X
TISOZJL,O,O,O,X,O,O,O,O,X,X,X
TIZLJSO,O,X,O,X,X,X,X,O,X,O,O
TIZLJOS,O,X,O,X,X,X,X,O,X,O,O
TIZLSJO,O,X,X,X,X,X,X,O,X,O,X
TIZLSOJ,O,X,O,X,X,X,X,O,X,X,X
