sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TLISZOJ,O,O,O,O,X,O,O
TLISOJZ,X,O,O,O,X,O,O
TLISOZJ,X,O,O,O,X,O,O
TLIZJSO,O,X,X,O,X,X,O
TLIZJOS,O,X,X,O,X,X,O
TLIZSJO,O,X,O,O,X,X,O
TLIZSOJ,O,X,O,O,X,X,O
TLIZOJS,O,X,X,O,X,X,O
TLIZOSJ,O,X,O,X,X,X,O
TLIOJSZ,X,O,O,O,X,O,O
TLIOJZS,O,X,X,O,X,X,O
TLIOSJZ,X,X,O,O,X,O,O
TLIOSZJ,X,X,O,O,X,O,O
TLIOZJS,O,X,X,O,X,X,O
TLIOZSJ,O,X,O,X,X,X,O
TLJISZO,O,O,O,O,X,O,X
TLJISOZ,X,O,O,O,X,O,O
TLJIZSO,O,X,X,O,X,X,X
TLJIZOS,O,X,X,O,X,X,O
TLJIOSZ,X,O,O,O,X,O,O
TLJIOZS,O,X,X,O,X,X,O
TLJSIZO,O,O,O,O,X,O,O
TLJSIOZ,X,O,O,O,X,O,O
TLJSZIO,O,O,O,O,X,O,O
TLJSZOI,O,O,O,O,X,O,O
TLJSOIZ,X,O,O,O,X,O,O
TLJSOZI,X,O,O,O,X,O,O
TLJZISO,O,X,X,O,X,X,X
TLJZIOS,O,X,X,O,X,X,O
TLJZSIO,O,X,X,O,X,O,X
TLJZSOI,O,X,X,O,X,O,X
TLJZOIS,O,X,X,O,X,X,O
TLJZOSI,O,X,X,O,X,O,X
TLJOISZ,X,O,O,O,X,O,O
TLJOIZS,O,X,X,O,X,X,O
TLJOSIZ,X,O,O,O,X,O,O
TLJOSZI,X,O,O,O,X,O,O
TLJOZIS,O,X,X,O,X,X,O
TLJOZSI,O,X,X,O,X,O,X
TLSIJZO,O,O,O,O,X,O,O
TLSIJOZ,X,O,O,O,X,O,O
TLSIZJO,O,O,O,O,X,O,O
TLSIZOJ,O,O,O,O,X,O,O
TLSIOJZ,X,O,O,O,X,O,O
TLSIOZJ,X,O,O,O,X,O,O
TLSJIZO,O,O,O,O,X,O,O
TLSJIOZ,X,O,O,O,X,O,O
