sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TZJLOIS,O,X,X,O,X,O,O
TZJLOSI,O,X,X,O,X,O,O
TZJSILO,O,O,X,O,X,O,O
TZJSIOL,O,O,X,O,X,O,O
TZJSLIO,O,O,X,O,X,O,O
TZJSLOI,O,O,X,O,X,O,O
TZJSOIL,O,O,X,O,X,O,O
TZJSOLI,O,O,X,O,X,O,O
TZJOILS,O,X,X,O,X,O,O
TZJOISL,O,X,X,X,X,O,O
TZJOLIS,O,X,X,O,X,O,O
TZJOLSI,O,X,X,O,X,O,O
TZJOSIL,O,O,X,O,X,O,O
TZJOSLI,O,O,X,O,X,O,O
TZSILJO,O,O,O,O,X,O,O
TZSILOJ,O,O,O,O,X,O,O
TZSIJLO,O,O,O,O,X,O,O
TZSIJOL,O,O,O,O,X,O,O
TZSIOLJ,O,O,O,O,X,O,O
TZSIOJL,O,O,O,O,X,O,O
TZSLIJO,O,O,O,O,X,O,O
TZSLIOJ,O,O,O,O,X,O,O
TZSLJIO,O,O,O,O,X,O,O
TZSLJOI,O,O,O,O,X,O,O
TZSLOIJ,O,O,O,O,X,O,O
TZSLOJI,O,O,O,O,X,O,O
TZSJILO,O,O,O,O,X,O,O
TZSJIOL,O,O,O,O,X,O,O
TZSJLIO,O,O,O,O,X,O,O
TZSJLOI,O,O,O,O,X,O,O
TZSJOIL,O,O,O,O,X,O,O
TZSJOLI,O,O,O,O,X,O,O
TZSOILJ,O,O,O,O,X,O,O
TZSOIJL,O,O,O,O,X,O,O
TZSOLIJ,O,O,O,O,X,O,O
TZSOLJI,O,O,O,O,X,O,O
TZSOJIL,O,O,O,O,X,O,O
TZSOJLI,O,O,O,O,X,O,O
TZOILJS,O,X,X,O,X,O,O
TZOILSJ,O,X,O,O,X,O,O
TZOIJLS,O,X,X,O,X,O,O
TZOIJSL,O,X,X,X,X,O,O
TZOISLJ,O,X,O,X,X,O,O
TZOISJL,O,X,O,X,X,O,O
TZOLIJS,O,X,X,O,X,O,O
TZOLISJ,O,X,O,O,X,O,O
TZOLJIS,O,X,X,O,X,O,O
TZOLJSI,O,X,X,O,X,O,O
TZOLSIJ,O,X,O,O,X,O,O
TZOLSJI,O,X,O,O,X,O,O
TZOJILS,O,X,X,O,X,O,O
TZOJISL,O,X,X,X,X,O,O
TZOJLIS,O,X,X,O,X,O,O
TZOJLSI,O,X,X,O,X,O,O
TZOJSIL,O,O,X,O,X,O,O
TZOJSLI,O,O,X,O,X,O,O
TZOSILJ,O,O,O,O,X,O,O
TZOSIJL,O,O,O,O,X,O,O
TZOSLIJ,O,O,O,O,X,O,O
TZOSLJI,O,O,O,O,X,O,O
TZOSJIL,O,O,O,O,X,O,O
TZOSJLI,O,O,O,O,X,O,O
TOILJSZ,X,X,O,O,X,O,O
TOILJZS,O,X,X,O,X,X,O
TOILSJZ,X,X,O,O,X,O,O
TOILSZJ,X,X,O,O,X,O,O
TOILZJS,O,X,X,O,X,X,O
TOILZSJ,O,X,O,X,X,X,O
TOIJLSZ,X,X,O,O,X,O,O
TOIJLZS,O,X,X,O,X,X,O
TOIJSLZ,X,O,O,X,O,O,O
TOIJSZL,X,O,O,X,O,O,O
TOIJZLS,O,X,X,X,X,X,O
TOIJZSL,O,X,X,X,X,X,X
TOISLJZ,X,O,O,X,O,O,O
TOISLZJ,X,O,O,X,X,O,O
TOISJLZ,X,O,O,X,O,O,O
TOISJZL,X,O,O,X,O,O,O
TOISZLJ,X,O,O,X,X,X,O
TOISZJL,X,O,O,X,O,O,O
TOIZLJS,O,X,X,X,X,X,O
TOIZLSJ,O,X,O,X,X,X,O
TOIZJLS,O,X,X,X,X,X,O
TOIZJSL,O,X,X,X,X,X,O
TOIZSLJ,O,X,O,X,X,X,O
TOIZSJL,O,X,O,X,X,X,O
TOLIJSZ,X,O,O,O,X,O,O
TOLIJZS,O,X,X,O,X,X,O
TOLISJZ,X,X,O,O,X,O,O
TOLISZJ,X,X,O,O,X,O,O
TOLIZJS,O,X,X,O,X,X,O
TOLIZSJ,O,X,O,X,X,X,O
TOLJISZ,X,O,O,O,X,O,O
TOLJIZS,O,X,X,O,X,X,O
TOLJSIZ,X,O,O,O,X,O,O
TOLJSZI,X,O,O,O,X,O,O
TOLJZIS,O,X,X,O,X,X,O
TOLJZSI,O,X,X,O,X,O,X
TOLSIJZ,X,O,O,O,X,O,O
TOLSIZJ,X,O,O,O,X,O,O
TOLSJIZ,X,O,O,O,X,O,O
TOLSJZI,X,O,O,O,X,O,O
TOLSZIJ,X,O,O,O,X,O,O
TOLSZJI,X,O,O,O,X,O,O
TOLZIJS,O,X,X,O,X,X,O
TOLZISJ,O,X,O,O,X,X,O
TOLZJIS,O,X,X,O,X,X,O
TOLZJSI,O,X,X,O,X,O,O
TOLZSIJ,O,X,O,O,X,O,O
TOLZSJI,O,X,O,O,X,O,O
TOJILSZ,X,X,O,O,X,O,O
TOJILZS,O,X,X,O,X,X,O
TOJISLZ,X,O,O,X,O,O,O
TOJISZL,X,O,O,X,O,O,O
TOJIZLS,O,X,X,X,X,X,O
TOJIZSL,O,X,X,X,X,X,X
TOJLISZ,X,O,O,O,X,O,O
TOJLIZS,O,X,X,O,X,X,O
TOJLSIZ,X,O,O,O,X,O,O
TOJLSZI,X,O,O,O,X,O,O
TOJLZIS,O,X,X,O,X,X,O
TOJLZSI,O,X,X,O,X,O,X
TOJSILZ,X,O,O,O,O,O,O
TOJSIZL,X,O,O,O,O,O,O
TOJSLIZ,X,O,O,O,O,O,O
TOJSLZI,X,O,O,O,O,O,O
TOJSZIL,X,O,O,O,O,O,O
TOJSZLI,X,O,O,O,O,O,O
TOJZILS,O,X,X,O,X,O,O
TOJZISL,O,X,X,X,X,O,X
TOJZLIS,O,X,X,O,X,O,O
TOJZLSI,O,X,X,O,X,O,X
TOJZSIL,O,O,X,O,X,O,O
TOJZSLI,O,O,X,O,X,O,O
TOSILJZ,X,O,O,O,O,O,O
TOSILZJ,X,O,O,O,X,O,O
TOSIJLZ,X,O,O,O,O,O,O
TOSIJZL,X,O,O,O,O,O,O
TOSIZLJ,X,O,O,O,X,X,O
TOSIZJL,X,O,O,O,O,O,O
TOSLIJZ,X,O,O,O,O,O,O
TOSLIZJ,X,O,O,O,X,O,O
TOSLJIZ,X,O,O,O,O,O,O
TOSLJZI,X,O,O,O,O,O,O
TOSLZIJ,X,O,O,O,X,O,O
TOSLZJI,X,O,O,O,X,O,O
TOSJILZ,X,O,O,O,O,O,O
TOSJIZL,X,O,O,O,O,O,O
TOSJLIZ,X,O,O,O,O,O,O
TOSJLZI,X,O,O,O,O,O,O
TOSJZIL,X,O,O,O,O,O,O
TOSJZLI,X,O,O,O,O,O,O
TOSZILJ,X,O,O,O,X,O,O
TOSZIJL,X,O,O,O,O,O,O
TOSZLIJ,X,O,O,O,X,O,O
TOSZLJI,X,O,O,O,X,O,O
TOSZJIL,X,O,O,O,O,O,O
TOSZJLI,X,O,O,O,O,O,O
TOZILJS,O,X,X,O,X,O,O
TOZILSJ,O,X,O,O,X,O,O
TOZIJLS,O,X,X,O,X,O,O
TOZIJSL,O,X,X,X,X,O,O
TOZISLJ,O,X,O,X,X,O,O
TOZISJL,O,X,O,X,X,O,O
TOZLIJS,O,X,X,O,X,O,O
TOZLISJ,O,X,O,O,X,O,O
TOZLJIS,O,X,X,O,X,O,O
TOZLJSI,O,X,X,O,X,O,O
TOZLSIJ,O,X,O,O,X,O,O
TOZLSJI,O,X,O,O,X,O,O
TOZJILS,O,X,X,O,X,O,O
TOZJISL,O,X,X,X,X,O,O
TOZJLIS,O,X,X,O,X,O,O
TOZJLSI,O,X,X,O,X,O,O
TOZJSIL,O,O,X,O,X,O,O
TOZJSLI,O,O,X,O,X,O,O
TOZSILJ,O,O,O,O,X,O,O
TOZSIJL,O,O,O,O,X,O,O
TOZSLIJ,O,O,O,O,X,O,O
TOZSLJI,O,O,O,O,X,O,O
TOZSJIL,O,O,O,O,X,O,O
TOZSJLI,O,O,O,O,X,O,O
ITLJSZO,O,X,O,O,X,O,X
ITLJSOZ,X,X,O,O,X,O,O
ITLJZSO,O,X,X,O,X,X,X
ITLJZOS,O,X,X,O,X,X,O
ITLJOSZ,X,X,O,O,X,O,O
ITLJOZS,O,X,X,O,X,X,O
ITLSJZO,O,X,O,O,X,O,O
ITLSJOZ,X,X,O,O,X,O,O
ITLSZJO,O,X,O,O,X,O,O
ITLSZOJ,O,X,O,O,X,O,O
ITLSOJZ,X,X,O,O,X,O,O
ITLSOZJ,X,X,O,O,X,O,O
ITLZJSO,O,X,X,O,X,X,O
ITLZJOS,O,X,X,O,X,X,O
ITLZSJO,O,X,O,O,X,X,O
ITLZSOJ,O,X,O,O,X,X,O
ITLZOJS,O,X,X,O,X,X,O
ITLZOSJ,O,X,O,X,X,X,O
ITLOJSZ,X,X,O,O,X,O,O
ITLOJZS,O,X,X,O,X,X,O
ITLOSJZ,X,X,O,O,X,O,O
ITLOSZJ,X,X,O,O,X,O,O
ITLOZJS,O,X,X,O,X,X,O
ITLOZSJ,O,X,O,X,X,X,O
ITJLSZO,O,X,O,O,X,O,X
ITJLSOZ,X,X,O,O,X,O,O
ITJLZSO,O,X,X,O,X,X,X
ITJLZOS,O,X,X,O,X,X,O
ITJLOSZ,X,X,O,O,X,O,O
ITJLOZS,O,X,X,O,X,X,O
ITJSLZO,O,O,O,O,O,O,O
ITJSLOZ,X,O,O,O,O,O,O
ITJSZLO,O,O,O,O,O,O,O
ITJSZOL,O,O,O,O,O,O,O
ITJSOLZ,X,O,O,O,O,O,O
ITJSOZL,X,O,O,O,O,O,O
ITJZLSO,O,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,O
ITJZSLO,O,X,X,X,O,X,X
ITJZSOL,O,X,X,X,O,X,X
ITJZOLS,O,X,X,X,X,X,O
ITJZOSL,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,O,X,O,O
ITJOLZS,O,X,X,O,X,X,O
ITJOSLZ,X,O,O,X,O,O,O
ITJOSZL,X,O,O,X,O,O,O
ITJOZLS,O,X,X,X,X,X,O
ITJOZSL,O,X,X,X,X,X,X
ITSLJZO,O,O,O,O,O,O,O
ITSLJOZ,X,O,O,O,O,O,O
ITSLZJO,O,O,O,O,X,O,O
ITSLZOJ,O,O,O,O,X,O,O
ITSLOJZ,X,O,O,O,O,O,O
ITSLOZJ,X,O,O,O,X,O,O
ITSJLZO,O,O,O,O,O,O,O
ITSJLOZ,X,O,O,O,O,O,O
ITSJZLO,O,O,O,O,O,O,O
ITSJZOL,O,O,O,O,O,O,O
ITSJOLZ,X,O,O,O,O,O,O
ITSJOZL,X,O,O,O,O,O,O
ITSZLJO,O,O,O,O,X,O,O
ITSZLOJ,O,O,O,O,X,O,O
ITSZJLO,O,O,O,O,O,O,O
ITSZJOL,O,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,X,X,O
ITSZOJL,O,O,O,O,O,O,O
ITSOLJZ,X,O,O,O,O,O,O
ITSOLZJ,X,O,O,O,X,O,O
ITSOJLZ,X,O,O,O,O,O,O
ITSOJZL,X,O,O,O,O,O,O
ITSOZLJ,X,O,O,O,X,X,O
ITSOZJL,X,O,O,O,O,O,O
ITZLJSO,O,X,X,X,X,X,O
ITZLJOS,O,X,X,X,X,X,O
ITZLSJO,O,X,O,X,X,X,O
ITZLSOJ,O,X,O,X,X,X,O
ITZLOJS,O,X,X,X,X,X,O
ITZLOSJ,O,X,O,X,X,X,O
ITZJLSO,O,X,X,X,X,X,O
ITZJLOS,O,X,X,X,X,X,O
ITZJSLO,O,X,X,X,X,X,O
ITZJSOL,O,X,X,X,X,X,O
ITZJOLS,O,X,X,X,X,X,O
ITZJOSL,O,X,X,X,X,X,O
ITZSLJO,O,X,O,X,X,X,O
ITZSLOJ,O,X,O,X,X,X,O
ITZSJLO,O,X,O,X,X,X,O
ITZSJOL,O,X,O,X,X,X,O
ITZSOLJ,O,X,O,X,X,X,O
ITZSOJL,O,X,O,X,X,X,O
ITZOLJS,O,X,X,X,X,X,O
ITZOLSJ,O,X,O,X,X,X,O
ITZOJLS,O,X,X,X,X,X,O
ITZOJSL,O,X,X,X,X,X,O
ITZOSLJ,O,X,O,X,X,X,O
ITZOSJL,O,X,O,X,X,X,O
ITOLJSZ,X,X,O,O,X,O,O
ITOLJZS,O,X,X,O,X,X,O
ITOLSJZ,X,X,O,O,X,O,O
ITOLSZJ,X,X,O,O,X,O,O
ITOLZJS,O,X,X,O,X,X,O
ITOLZSJ,O,X,O,X,X,X,O
ITOJLSZ,X,X,O,O,X,O,O
ITOJLZS,O,X,X,O,X,X,O
ITOJSLZ,X,O,O,X,O,O,O
ITOJSZL,X,O,O,X,O,O,O
ITOJZLS,O,X,X,X,X,X,O
ITOJZSL,O,X,X,X,X,X,X
ITOSLJZ,X,O,O,X,O,O,O
ITOSLZJ,X,O,O,X,X,O,O
ITOSJLZ,X,O,O,X,O,O,O
ITOSJZL,X,O,O,X,O,O,O
ITOSZLJ,X,O,O,X,X,X,O
ITOSZJL,X,O,O,X,O,O,O
ITOZLJS,O,X,X,X,X,X,O
ITOZLSJ,O,X,O,X,X,X,O
ITOZJLS,O,X,X,X,X,X,O
ITOZJSL,O,X,X,X,X,X,O
ITOZSLJ,O,X,O,X,X,X,O
ITOZSJL,O,X,O,X,X,X,O
ILTJSZO,O,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,X,X,O
ILTJZSO,O,X,X,O,X,X,X
ILTJZOS,O,X,X,O,X,X,O
ILTJOSZ,X,O,O,O,X,X,O
ILTJOZS,O,X,X,O,X,X,O
ILTSJZO,O,O,O,O,X,X,O
ILTSJOZ,X,O,O,O,X,X,O
ILTSZJO,O,O,O,O,X,X,O
ILTSZOJ,O,O,O,O,X,X,O
ILTSOJZ,X,O,O,O,X,X,O
ILTSOZJ,X,O,O,O,X,X,O
ILTZJSO,O,X,X,O,X,X,O
ILTZJOS,O,X,X,O,X,X,O
ILTZSJO,O,X,O,O,X,X,O
ILTZSOJ,O,X,O,O,X,X,O
ILTZOJS,O,X,X,O,X,X,O
ILTZOSJ,O,X,O,X,X,X,O
ILTOJSZ,X,O,O,O,X,X,O
ILTOJZS,O,X,X,O,X,X,O
ILTOSJZ,X,X,O,O,X,X,O
ILTOSZJ,X,X,O,O,X,X,O
ILTOZJS,O,X,X,O,X,X,O
ILTOZSJ,O,X,O,X,X,X,O
ILJTSZO,O,O,O,O,X,X,X
ILJTSOZ,X,O,O,O,X,X,O
ILJTZSO,O,X,X,O,X,X,X
ILJTZOS,O,X,X,O,X,X,O
ILJTOSZ,X,O,O,O,X,X,O
ILJTOZS,O,X,X,O,X,X,O
ILJSTZO,O,O,O,O,O,X,O
ILJSTOZ,X,O,O,O,O,X,O
ILJSZTO,O,O,X,O,O,X,O
ILJSZOT,O,O,O,O,X,X,O
ILJSOTZ,X,O,O,O,O,X,O
ILJSOZT,X,O,O,O,X,X,O
ILJZTSO,O,X,X,O,X,X,O
ILJZTOS,O,X,X,O,X,X,O
ILJZSTO,O,O,X,O,O,X,O
ILJZSOT,O,O,X,O,X,X,O
ILJZOTS,O,X,X,O,X,X,O
ILJZOST,O,O,X,O,X,X,O
ILJOTSZ,X,O,O,O,X,X,O
ILJOTZS,O,X,X,O,X,X,O
ILJOSTZ,X,O,O,O,O,X,O
ILJOSZT,X,O,O,O,X,X,O
ILJOZTS,O,X,X,O,X,X,O
ILJOZST,O,O,X,O,X,X,O
ILSTJZO,O,O,O,O,O,X,O
ILSTJOZ,X,O,O,O,O,X,O
ILSTZJO,O,O,O,O,X,X,O
ILSTZOJ,O,O,O,O,X,X,O
ILSTOJZ,X,O,O,O,O,X,O
ILSTOZJ,X,O,O,O,X,X,O
ILSJTZO,O,O,O,O,O,X,O
ILSJTOZ,X,O,O,O,O,X,O
ILSJZTO,O,O,X,O,O,X,O
ILSJZOT,O,O,O,O,X,X,O
ILSJOTZ,X,O,O,O,O,X,O
ILSJOZT,X,O,O,O,X,X,O
ILSZTJO,O,O,O,O,X,X,O
ILSZTOJ,O,O,O,O,X,X,O
ILSZJTO,O,O,X,O,X,X,O
ILSZJOT,O,O,O,O,X,X,O
ILSZOTJ,O,X,O,O,X,X,O
ILSZOJT,O,O,O,O,X,X,O
ILSOTJZ,X,O,O,O,O,X,O
ILSOTZJ,X,O,O,X,X,X,O
ILSOJTZ,X,O,O,O,O,X,O
ILSOJZT,X,O,O,O,X,X,O
ILSOZTJ,X,X,O,X,X,X,O
ILSOZJT,X,O,O,O,X,X,O
ILZTJSO,O,X,X,O,X,X,O
ILZTJOS,O,X,X,O,X,X,O
ILZTSJO,O,X,O,O,X,X,O
ILZTSOJ,O,X,O,O,X,X,O
ILZTOJS,O,X,X,O,X,X,O
ILZTOSJ,O,X,O,X,X,X,O
ILZJTSO,O,X,X,O,X,X,O
ILZJTOS,O,X,X,O,X,X,O
ILZJSTO,O,O,X,O,X,X,O
ILZJSOT,O,O,X,O,X,X,O
ILZJOTS,O,X,X,O,X,X,O
ILZJOST,O,O,X,O,X,X,O
ILZSTJO,O,O,O,O,X,X,O
ILZSTOJ,O,O,O,O,X,X,O
ILZSJTO,O,O,X,O,X,X,O
ILZSJOT,O,O,O,O,X,X,O
ILZSOTJ,O,X,O,O,X,X,O
ILZSOJT,O,O,O,O,X,X,O
ILZOTJS,O,X,X,O,X,X,O
ILZOTSJ,O,X,O,O,X,X,O
ILZOJTS,O,X,X,O,X,X,O
ILZOJST,O,O,X,O,X,X,O
ILZOSTJ,O,X,O,O,X,X,O
ILZOSJT,O,X,O,O,X,X,O
ILOTJSZ,X,O,O,O,X,X,O
ILOTJZS,O,X,X,O,X,X,O
ILOTSJZ,X,X,O,O,X,X,O
ILOTSZJ,X,X,O,O,X,X,O
ILOTZJS,O,X,X,O,X,X,O
ILOTZSJ,O,X,O,X,X,X,O
ILOJTSZ,X,O,O,O,X,X,O
ILOJTZS,O,X,X,O,X,X,O
ILOJSTZ,X,O,O,O,O,X,O
ILOJSZT,X,O,O,O,X,X,O
ILOJZTS,O,X,X,O,X,X,O
ILOJZST,O,O,X,O,X,X,O
ILOSTJZ,X,O,O,O,O,X,O
ILOSTZJ,X,O,O,X,X,X,O
ILOSJTZ,X,O,O,O,O,X,O
ILOSJZT,X,O,O,O,X,X,O
ILOSZTJ,X,X,O,X,X,X,O
ILOSZJT,X,O,O,O,X,X,O
ILOZTJS,O,X,X,O,X,X,O
ILOZTSJ,O,X,O,O,X,X,O
ILOZJTS,O,X,X,O,X,X,O
ILOZJST,O,O,X,O,X,X,O
ILOZSTJ,O,X,O,O,X,X,O
ILOZSJT,O,X,O,O,X,X,O
IJTLSZO,O,X,O,O,X,O,X
IJTLSOZ,X,X,O,O,X,O,O
IJTLZSO,O,X,X,O,X,X,X
IJTLZOS,O,X,X,O,X,X,O
IJTLOSZ,X,X,O,O,X,O,O
IJTLOZS,O,X,X,O,X,X,O
IJTSLZO,O,O,O,O,O,O,O
IJTSLOZ,X,O,O,O,O,O,O
IJTSZLO,O,O,O,O,O,O,O
IJTSZOL,O,O,O,O,O,O,O
IJTSOLZ,X,O,O,O,O,O,O
IJTSOZL,X,O,O,O,O,O,O
IJTZLSO,O,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,O
IJTZSLO,O,X,X,X,O,X,X
IJTZSOL,O,X,X,X,O,X,X
IJTZOLS,O,X,X,X,X,X,O
IJTZOSL,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,O,X,O,O
IJTOLZS,O,X,X,O,X,X,O
IJTOSLZ,X,O,O,X,O,O,O
IJTOSZL,X,O,O,X,O,O,O
IJTOZLS,O,X,X,X,X,X,O
IJTOZSL,O,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,X,O,O,O,X,X,O
IJLTZSO,O,X,X,O,X,X,X
IJLTZOS,O,X,X,O,X,X,O
IJLTOSZ,X,O,O,O,X,X,O
IJLTOZS,O,X,X,O,X,X,O
IJLSTZO,O,O,O,O,O,X,O
IJLSTOZ,X,O,O,O,O,X,O
IJLSZTO,O,O,X,O,O,X,O
IJLSZOT,O,O,O,O,X,X,O
IJLSOTZ,X,O,O,O,O,X,O
IJLSOZT,X,O,O,O,X,X,O
IJLZTSO,O,X,X,O,X,X,O
IJLZTOS,O,X,X,O,X,X,O
IJLZSTO,O,O,X,O,O,X,O
IJLZSOT,O,O,X,O,X,X,O
IJLZOTS,O,X,X,O,X,X,O
IJLZOST,O,O,X,O,X,X,O
IJLOTSZ,X,O,O,O,X,X,O
IJLOTZS,O,X,X,O,X,X,O
IJLOSTZ,X,O,O,O,O,X,O
IJLOSZT,X,O,O,O,X,X,O
IJLOZTS,O,X,X,O,X,X,O
IJLOZST,O,O,X,O,X,X,O
IJSTLZO,O,O,O,O,O,O,O
IJSTLOZ,X,O,O,O,O,O,O
IJSTZLO,O,O,O,O,O,O,O
IJSTZOL,O,O,O,O,O,O,O
IJSTOLZ,X,O,O,O,O,O,O
IJSTOZL,X,O,O,O,O,O,O
IJSLTZO,O,O,O,X,O,O,O
IJSLTOZ,X,O,O,O,O,O,O
IJSLZTO,O,O,X,X,O,O,O
IJSLZOT,O,O,O,O,X,O,O
IJSLOTZ,X,O,O,O,O,O,O
IJSLOZT,X,O,O,O,X,O,O
IJSZTLO,O,X,X,O,O,O,O
IJSZTOL,O,X,X,O,O,O,O
IJSZLTO,O,X,X,O,O,O,O
IJSZLOT,O,X,O,O,X,O,O
IJSZOTL,X,X,X,O,O,O,O
IJSZOLT,O,X,O,O,X,O,O
IJSOTLZ,X,O,O,O,O,O,O
IJSOTZL,X,O,O,O,O,O,X
IJSOLTZ,X,O,O,O,O,O,O
IJSOLZT,X,O,O,O,X,O,O
IJSOZTL,X,X,X,O,O,O,X
IJSOZLT,X,X,O,O,X,O,O
IJZTLSO,O,X,X,O,X,O,O
IJZTLOS,O,X,X,O,X,O,O
IJZTSLO,O,X,X,O,O,O,O
IJZTSOL,O,X,X,O,O,O,O
IJZTOLS,O,X,X,O,X,O,O
IJZTOSL,O,X,X,X,X,O,O
IJZLTSO,O,X,X,O,X,X,O
IJZLTOS,O,X,X,O,X,X,O
IJZLSTO,O,X,X,O,O,O,O
IJZLSOT,O,X,X,O,X,O,O
IJZLOTS,O,X,X,O,X,X,O
IJZLOST,O,X,X,O,X,O,O
IJZSTLO,O,X,X,O,O,O,O
IJZSTOL,O,X,X,O,O,O,O
IJZSLTO,O,X,X,O,O,O,O
IJZSLOT,O,X,X,O,X,O,O
IJZSOTL,X,X,X,O,O,O,O
IJZSOLT,O,X,X,O,X,O,O
IJZOTLS,O,X,X,O,X,O,O
IJZOTSL,O,X,X,X,X,O,O
IJZOLTS,O,X,X,O,X,X,O
IJZOLST,O,X,X,O,X,O,O
IJZOSTL,X,X,X,O,O,O,O
IJZOSLT,O,X,X,O,X,O,O
IJOTLSZ,X,X,O,O,X,O,O
IJOTLZS,O,X,X,O,X,X,O
IJOTSLZ,X,O,O,X,O,O,O
IJOTSZL,X,O,O,X,O,O,O
IJOTZLS,O,X,X,X,X,X,O
IJOTZSL,O,X,X,X,X,X,X
IJOLTSZ,X,O,O,O,X,X,O
IJOLTZS,O,X,X,O,X,X,O
IJOLSTZ,X,O,O,O,O,X,O
IJOLSZT,X,O,O,O,X,X,O
IJOLZTS,O,X,X,O,X,X,O
IJOLZST,O,O,X,O,X,X,O
IJOSTLZ,X,O,O,O,O,O,O
IJOSTZL,X,O,O,O,O,O,X
IJOSLTZ,X,O,O,O,O,O,O
IJOSLZT,X,O,O,O,X,O,O
IJOSZTL,X,X,X,O,O,O,X
IJOSZLT,X,X,O,O,X,O,O
IJOZTLS,O,X,X,O,X,O,O
IJOZTSL,O,X,X,X,X,O,O
IJOZLTS,O,X,X,O,X,X,O
IJOZLST,O,X,X,O,X,O,O
IJOZSTL,X,X,X,O,O,O,O
IJOZSLT,O,X,X,O,X,O,O
ISTLJZO,O,O,O,O,O,O,O
ISTLJOZ,X,O,O,O,O,O,O
ISTLZJO,O,O,O,O,X,O,O
ISTLZOJ,O,O,O,O,X,O,O
ISTLOJZ,X,O,O,O,O,O,O
ISTLOZJ,X,O,O,O,X,O,O
ISTJLZO,O,O,O,O,O,O,O
ISTJLOZ,X,O,O,O,O,O,O
ISTJZLO,O,O,O,O,O,O,O
ISTJZOL,O,O,O,O,O,O,O
ISTJOLZ,X,O,O,O,O,O,O
ISTJOZL,X,O,O,O,O,O,O
ISTZLJO,O,O,O,O,X,O,O
ISTZLOJ,O,O,O,O,X,O,O
ISTZJLO,O,O,O,O,O,O,O
ISTZJOL,O,O,O,O,O,O,O
ISTZOLJ,O,O,O,O,X,O,O
ISTZOJL,O,O,O,O,O,O,O
ISTOLJZ,X,O,O,O,O,O,O
ISTOLZJ,X,O,O,O,X,O,O
ISTOJLZ,X,O,O,O,O,O,O
ISTOJZL,X,O,O,O,O,O,O
ISTOZLJ,X,O,O,O,X,X,O
ISTOZJL,X,O,O,O,O,O,O
ISLTJZO,O,O,O,X,O,O,O
ISLTJOZ,X,O,O,O,O,O,O
ISLTZJO,O,O,O,X,X,O,O
ISLTZOJ,O,O,O,X,X,O,O
ISLTOJZ,X,O,O,O,O,O,O
ISLTOZJ,X,O,O,X,X,O,O
ISLJTZO,O,O,O,X,O,O,O
ISLJTOZ,X,O,O,O,O,O,O
ISLJZTO,O,O,X,X,O,O,O
ISLJZOT,O,O,O,O,X,O,O
ISLJOTZ,X,O,O,O,O,O,O
ISLJOZT,X,O,O,O,X,O,O
ISLZTJO,O,O,O,X,X,O,O
ISLZTOJ,O,O,O,X,X,O,O
ISLZJTO,O,O,X,X,X,O,O
ISLZJOT,O,O,O,O,X,O,O
ISLZOTJ,O,X,O,X,X,O,O
ISLZOJT,O,O,O,O,X,O,O
ISLOTJZ,X,O,O,O,O,X,O
ISLOTZJ,X,O,O,X,X,X,O
ISLOJTZ,X,O,O,O,O,O,O
ISLOJZT,X,O,O,O,X,O,O
ISLOZTJ,X,X,O,X,X,X,O
ISLOZJT,X,O,O,O,X,X,O
ISJTLZO,O,O,O,O,O,O,O
ISJTLOZ,X,O,O,O,O,O,O
ISJTZLO,O,O,O,O,O,O,O
ISJTZOL,O,O,O,O,O,O,O
ISJTOLZ,X,O,O,O,O,O,O
ISJTOZL,X,O,O,O,O,O,O
ISJLTZO,O,O,O,X,O,O,O
ISJLTOZ,X,O,O,O,O,O,O
ISJLZTO,O,O,X,X,O,O,O
ISJLZOT,O,O,O,O,X,O,O
ISJLOTZ,X,O,O,O,O,O,O
ISJLOZT,X,O,O,O,X,O,O
ISJZTLO,O,X,X,O,O,O,O
ISJZTOL,O,X,X,O,O,O,O
ISJZLTO,O,X,X,O,O,O,O
ISJZLOT,O,X,O,O,X,O,O
ISJZOTL,X,X,X,O,O,O,O
ISJZOLT,O,X,O,O,X,O,O
ISJOTLZ,X,O,O,O,O,O,O
ISJOTZL,X,O,O,O,O,O,X
ISJOLTZ,X,O,O,O,O,O,O
ISJOLZT,X,O,O,O,X,O,O
ISJOZTL,X,X,X,O,O,O,X
