sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TSLJZOI,X,O,O,O,X,X,X,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X,X,X
TSLJOZI,O,O,O,O,X,X,X,X,X,X
TSLZIJO,O,O,X,O,X,O,X,X,X,X
TSLZIOJ,O,O,X,O,X,O,X,O,X,X
TSLZJIO,O,O,X,O,X,X,X,X,X,X
TSLZJOI,O,O,X,O,X,X,X,X,X,O
TSLZOIJ,O,O,X,O,X,X,X,O,X,X
TSLZOJI,O,O,X,O,X,X,X,X,X,O
TSLOIJZ,O,O,X,X,X,O,X,X,X,X
TSLOIZJ,O,O,X,O,X,O,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X,X,X
TSLOZJI,O,O,X,O,O,X,X,X,X,X
TSJILZO,X,O,O,X,X,O,X,X,X,X
TSJILOZ,O,O,O,X,X,O,X,X,X,X
TSJIZLO,X,X,O,X,X,O,X,X,X,X
TSJIZOL,X,X,X,X,X,O,X,X,X,X
TSJIOLZ,O,X,O,X,X,O,X,X,X,X
TSJIOZL,O,X,X,X,X,O,O,X,X,X
TSJLIZO,X,O,O,X,X,O,X,X,X,X
TSJLIOZ,O,O,O,X,X,O,X,X,X,X
TSJLZIO,X,O,O,O,X,X,X,X,X,X
TSJLZOI,X,O,O,O,X,X,X,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X,X,X
TSJLOZI,O,O,O,O,X,X,X,X,O,X
TSJZILO,X,X,O,O,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X,X
TSJZLIO,X,X,O,O,X,X,X,X,X,X
TSJZLOI,X,X,O,O,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X,X,X,X
TSJZOLI,X,X,X,O,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,O,X,O,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X,X,X
TSJOLZI,O,X,O,O,O,X,X,X,O,X
TSJOZIL,O,X,X,O,O,X,X,X,X,X
TSJOZLI,O,X,X,O,O,X,X,X,X,X
TSZILJO,O,O,X,O,X,O,X,X,X,X
TSZILOJ,O,O,X,O,X,O,X,O,X,X
TSZIJLO,O,O,O,O,X,O,X,X,X,X
TSZIJOL,O,O,X,X,X,O,X,X,X,X
TSZIOLJ,O,O,X,O,X,O,X,O,X,X
TSZIOJL,O,O,X,O,X,O,X,O,X,X
TSZLIJO,O,O,X,O,X,O,X,X,X,X
TSZLIOJ,O,O,X,O,X,O,X,O,X,X
TSZLJIO,O,O,X,O,X,X,X,X,X,X
TSZLJOI,O,O,X,O,X,X,X,X,X,O
TSZLOIJ,O,O,X,O,X,X,X,O,X,X
TSZLOJI,O,O,X,O,X,X,X,X,X,O
TSZJILO,O,O,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X,X,X
TSZJLIO,O,O,O,O,X,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,X,O
TSZJOIL,O,O,X,O,X,X,X,X,X,X
TSZJOLI,O,O,X,O,X,X,X,X,X,X
TSZOILJ,O,O,X,O,O,X,X,O,X,X
TSZOIJL,O,O,X,O,O,X,X,O,X,X
TSZOLIJ,O,O,X,O,O,X,X,O,X,X
TSZOLJI,O,O,X,O,O,X,X,X,X,O
TSZOJIL,O,O,X,O,O,X,X,X,X,X
TSZOJLI,O,O,X,O,O,X,X,X,X,O
TSOILJZ,O,O,X,X,X,O,X,X,X,X
TSOILZJ,O,O,X,O,X,O,X,X,X,X
TSOIJLZ,O,X,O,X,X,O,X,X,X,X
TSOIJZL,O,X,X,X,O,O,O,X,X,X
TSOIZLJ,O,X,X,O,O,O,X,O,X,X
TSOIZJL,O,X,X,O,O,O,O,O,X,X
TSOLIJZ,O,O,X,X,X,O,X,X,X,X
TSOLIZJ,O,O,X,O,X,O,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,X,X,X,X
TSOJIZL,O,X,X,X,O,X,O,X,X,X
TSOJLIZ,O,X,O,X,X,X,X,X,X,X
TSOJLZI,O,X,O,O,O,X,X,X,X,X
TSOJZIL,O,X,X,O,O,X,X,X,X,X
TSOJZLI,O,X,X,O,O,X,X,X,X,X
TSOZILJ,O,X,X,O,O,X,X,O,X,X
TSOZIJL,O,X,X,O,O,X,X,O,X,X
TSOZLIJ,O,X,X,O,O,X,X,O,X,X
TSOZLJI,O,X,X,O,O,X,X,X,X,O
TSOZJIL,O,X,X,O,O,X,X,X,X,X
TSOZJLI,O,X,X,O,O,X,X,X,X,O
TZILJSO,O,O,X,O,X,O,X,X,X,X
TZILJOS,O,O,X,X,X,O,X,X,X,X
TZILSJO,O,O,X,O,X,O,X,X,X,X
TZILSOJ,O,O,X,O,X,O,X,O,X,X
TZILOJS,O,O,X,O,X,O,X,O,X,X
TZILOSJ,O,O,X,O,X,O,X,O,X,X
TZIJLSO,O,O,O,O,X,O,X,X,X,X
TZIJLOS,O,O,O,X,X,O,X,X,X,X
TZIJSLO,O,O,O,O,X,O,X,X,X,X
TZIJSOL,O,O,X,X,X,O,X,X,X,X
TZIJOLS,O,O,X,X,X,O,X,X,X,X
TZIJOSL,O,O,X,X,X,O,X,X,X,X
TZISLJO,O,O,X,O,X,O,X,X,X,X
TZISLOJ,O,O,X,O,X,O,X,O,X,X
TZISJLO,O,O,O,O,X,O,X,X,X,X
TZISJOL,O,O,X,X,X,O,X,X,X,X
TZISOLJ,O,O,X,O,X,O,X,O,X,X
TZISOJL,O,O,X,O,X,O,X,O,X,X
TZIOLJS,O,O,X,O,X,O,X,O,X,X
TZIOLSJ,O,O,X,O,X,O,X,O,X,X
TZIOJLS,O,O,X,O,X,O,X,O,X,X
TZIOJSL,O,O,X,O,X,O,X,O,X,X
TZIOSLJ,O,O,X,O,X,O,X,O,X,X
TZIOSJL,O,O,X,O,X,O,X,O,X,X
TZLIJSO,O,O,X,O,X,O,X,X,X,X
TZLIJOS,O,O,X,X,X,O,X,X,X,X
TZLISJO,O,O,X,O,X,O,X,X,X,X
TZLISOJ,O,O,X,O,X,O,X,O,X,X
TZLIOJS,O,O,X,O,X,O,X,O,X,X
TZLIOSJ,O,O,X,O,X,O,X,O,X,X
TZLJISO,O,O,X,O,X,X,X,X,X,X
TZLJIOS,O,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,O,X,X,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X,X,O
TZLJOIS,O,O,X,O,X,X,X,X,X,X
TZLJOSI,O,O,X,O,X,X,X,X,X,X
TZLSIJO,O,O,X,O,X,O,X,X,X,X
TZLSIOJ,O,O,X,O,X,O,X,O,X,X
TZLSJIO,O,O,X,O,X,X,X,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X,X,O
TZLSOIJ,O,O,X,O,X,X,X,O,X,X
TZLSOJI,O,O,X,O,X,X,X,X,X,O
TZLOIJS,O,O,X,O,X,X,X,O,X,X
TZLOISJ,O,O,X,O,X,X,X,O,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X,O
TZLOJSI,O,O,X,O,X,X,X,X,X,O
TZLOSIJ,O,O,X,O,X,X,X,O,X,X
TZLOSJI,O,O,X,O,X,X,X,X,X,O
TZJILSO,O,O,O,O,X,X,X,X,X,X
TZJILOS,O,O,O,X,X,X,X,X,X,X
TZJISLO,O,O,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,X,X,X,X,X
TZJLIOS,O,O,O,X,X,X,X,X,X,X
TZJLSIO,O,O,O,O,X,X,X,X,X,X
TZJLSOI,O,O,O,O,X,X,X,X,X,O
TZJLOIS,O,O,O,O,X,X,X,X,X,X
TZJLOSI,O,O,O,O,X,X,X,X,X,X
TZJSILO,O,O,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X,X,X,O
TZJSOIL,O,O,X,O,X,X,X,X,X,X
TZJSOLI,O,O,X,O,X,X,X,X,X,X
TZJOILS,O,O,X,O,X,X,X,X,X,X
TZJOISL,O,O,X,O,X,X,X,X,X,X
TZJOLIS,O,O,X,O,X,X,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X,X,X
TZJOSIL,O,O,X,O,X,X,X,X,X,X
TZJOSLI,O,O,X,O,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,O,X,X,X,X
TZSILOJ,O,O,X,O,X,O,X,O,X,X
TZSIJLO,O,O,O,O,X,O,X,X,X,X
TZSIJOL,O,O,X,X,X,O,X,X,X,X
TZSIOLJ,O,O,X,O,X,O,X,O,X,X
TZSIOJL,O,O,X,O,X,O,X,O,X,X
TZSLIJO,O,O,X,O,X,O,X,X,X,X
TZSLIOJ,O,O,X,O,X,O,X,O,X,X
TZSLJIO,O,O,X,O,X,X,X,X,X,X
TZSLJOI,O,O,X,O,X,X,X,X,X,O
TZSLOIJ,O,O,X,O,X,X,X,O,X,X
TZSLOJI,O,O,X,O,X,X,X,X,X,O
TZSJILO,O,O,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X,O
TZSJOIL,O,O,X,O,X,X,X,X,X,X
TZSJOLI,O,O,X,O,X,X,X,X,X,X
TZSOILJ,O,O,X,O,O,X,X,O,X,X
TZSOIJL,O,O,X,O,O,X,X,O,X,X
TZSOLIJ,O,O,X,O,O,X,X,O,X,X
TZSOLJI,O,O,X,O,O,X,X,X,X,O
TZSOJIL,O,O,X,O,O,X,X,X,X,X
TZSOJLI,O,O,X,O,O,X,X,X,X,O
TZOILJS,O,O,X,O,O,X,X,O,X,X
TZOILSJ,O,O,X,O,O,X,X,O,X,X
TZOIJLS,O,O,X,O,O,X,X,O,X,X
TZOIJSL,O,O,X,O,O,X,X,O,X,X
TZOISLJ,O,O,X,O,O,X,X,O,X,X
TZOISJL,O,O,X,O,O,X,X,O,X,X
TZOLIJS,O,O,X,O,O,X,X,O,X,X
TZOLISJ,O,O,X,O,O,X,X,O,X,X
TZOLJIS,O,O,X,O,O,X,X,X,X,O
TZOLJSI,O,O,X,O,O,X,X,X,X,O
TZOLSIJ,O,O,X,O,O,X,X,O,X,X
TZOLSJI,O,O,X,O,O,X,X,X,X,O
TZOJILS,O,O,X,O,O,X,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X,X
TZOJLIS,O,O,X,O,O,X,X,X,X,O
TZOJLSI,O,O,X,O,O,X,X,X,X,O
TZOJSIL,O,O,X,O,O,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X,O
TZOSILJ,O,O,X,O,O,X,X,O,X,X
TZOSIJL,O,O,X,O,O,X,X,O,X,X
TZOSLIJ,O,O,X,O,O,X,X,O,X,X
TZOSLJI,O,O,X,O,O,X,X,X,X,O
TZOSJIL,O,O,X,O,O,X,X,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X,X,O
TOILJSZ,O,O,X,X,X,O,X,X,X,X
TOILJZS,O,O,X,X,X,O,X,X,X,X
TOILSJZ,O,O,X,X,X,O,X,X,X,X
TOILSZJ,O,O,X,O,X,O,X,X,X,X
TOILZJS,O,O,X,O,X,O,X,X,X,X
TOILZSJ,O,O,X,O,X,O,X,X,X,X
TOIJLSZ,O,X,O,X,X,O,X,X,X,X
TOIJLZS,O,X,O,X,X,O,X,X,X,X
TOIJSLZ,O,X,O,X,X,O,X,X,X,X
TOIJSZL,O,X,X,X,O,O,O,X,X,X
TOIJZLS,O,X,X,X,O,O,X,X,X,X
TOIJZSL,O,X,X,X,O,O,O,X,X,X
TOISLJZ,O,O,X,X,X,O,X,X,X,X
TOISLZJ,O,O,X,O,X,O,X,X,X,X
TOISJLZ,O,X,O,X,X,O,X,X,X,X
TOISJZL,O,X,X,X,O,O,O,X,X,X
TOISZLJ,O,X,X,O,O,O,X,O,X,X
TOISZJL,O,X,X,O,O,O,O,O,X,X
TOIZLJS,O,X,X,O,O,O,X,O,X,X
TOIZLSJ,O,X,X,O,O,O,X,O,X,X
TOIZJLS,O,X,X,O,O,O,X,O,X,X
TOIZJSL,O,X,X,O,O,O,O,O,X,X
TOIZSLJ,O,X,X,O,O,O,X,O,X,X
TOIZSJL,O,X,X,O,O,O,O,O,X,X
TOLIJSZ,O,O,X,X,X,O,X,X,X,X
TOLIJZS,O,O,X,X,X,O,X,X,X,X
TOLISJZ,O,O,X,X,X,O,X,X,X,X
TOLISZJ,O,O,X,O,X,O,X,X,X,X
TOLIZJS,O,O,X,O,X,O,X,X,X,X
TOLIZSJ,O,O,X,O,X,O,X,X,X,X
TOLJISZ,O,O,X,X,X,X,X,X,X,X
TOLJIZS,O,O,X,X,X,X,X,X,X,X
TOLJSIZ,O,O,X,X,X,X,X,X,X,X
TOLJSZI,O,O,X,O,O,X,X,X,X,X
TOLJZIS,O,O,X,O,O,X,X,X,X,X
TOLJZSI,O,O,X,O,O,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,O,X,X,X,X
TOLSIZJ,O,O,X,O,X,O,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X,X
TOLSZJI,O,O,X,O,O,X,X,X,X,X
TOLZIJS,O,O,X,O,O,X,X,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X,X
TOLZJIS,O,O,X,O,O,X,X,X,X,X
TOLZJSI,O,O,X,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,O,O,X,X,X,X,X
TOLZSJI,O,O,X,O,O,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,X,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,X,X,X,X,X
TOJISZL,O,X,X,X,O,X,O,X,X,X
TOJIZLS,O,X,X,X,O,X,X,X,X,X
TOJIZSL,O,X,X,X,O,X,O,X,X,X
TOJLISZ,O,X,O,X,X,X,X,X,X,X
TOJLIZS,O,X,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X
TOJLSZI,O,X,O,O,O,X,X,X,X,X
TOJLZIS,O,X,O,O,O,X,X,X,X,X
TOJLZSI,O,X,O,O,O,X,X,X,X,X
TOJSILZ,O,X,O,X,X,X,X,X,X,X
TOJSIZL,O,X,X,X,O,X,O,X,X,X
TOJSLIZ,O,X,O,X,X,X,X,X,X,X
TOJSLZI,O,X,O,O,O,X,X,X,X,X
TOJSZIL,O,X,X,O,O,X,X,X,X,X
TOJSZLI,O,X,X,O,O,X,X,X,X,X
TOJZILS,O,X,X,O,O,X,X,X,X,X
TOJZISL,O,X,X,O,O,X,X,X,X,X
TOJZLIS,O,X,X,O,O,X,X,X,X,X
TOJZLSI,O,X,X,O,O,X,X,X,X,X
TOJZSIL,O,X,X,O,O,X,X,X,X,X
TOJZSLI,O,X,X,O,O,X,X,X,X,X
TOSILJZ,O,O,X,X,X,O,X,X,X,X
TOSILZJ,O,O,X,O,X,O,X,X,X,X
TOSIJLZ,O,X,O,X,X,O,X,X,X,X
TOSIJZL,O,X,X,X,O,O,O,X,X,X
TOSIZLJ,O,X,X,O,O,O,X,O,X,X
TOSIZJL,O,X,X,O,O,O,O,O,X,X
TOSLIJZ,O,O,X,X,X,O,X,X,X,X
TOSLIZJ,O,O,X,O,X,O,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X,X,X
TOSLZJI,O,O,X,O,O,X,X,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X,X,X
TOSJIZL,O,X,X,X,O,X,O,X,X,X
TOSJLIZ,O,X,O,X,X,X,X,X,X,X
TOSJLZI,O,X,O,O,O,X,X,X,X,X
TOSJZIL,O,X,X,O,O,X,X,X,X,X
TOSJZLI,O,X,X,O,O,X,X,X,X,X
TOSZILJ,O,X,X,O,O,X,X,O,X,X
TOSZIJL,O,X,X,O,O,X,X,O,X,X
TOSZLIJ,O,X,X,O,O,X,X,O,X,X
TOSZLJI,O,X,X,O,O,X,X,X,X,O
TOSZJIL,O,X,X,O,O,X,X,X,X,X
TOSZJLI,O,X,X,O,O,X,X,X,X,O
TOZILJS,O,X,X,O,O,X,X,O,X,X
TOZILSJ,O,X,X,O,O,X,X,O,X,X
TOZIJLS,O,X,X,O,O,X,X,O,X,X
TOZIJSL,O,X,X,O,O,X,X,O,X,X
TOZISLJ,O,X,X,O,O,X,X,O,X,X
TOZISJL,O,X,X,O,O,X,X,O,X,X
TOZLIJS,O,X,X,O,O,X,X,O,X,X
TOZLISJ,O,X,X,O,O,X,X,O,X,X
TOZLJIS,O,X,X,O,O,X,X,X,X,O
TOZLJSI,O,X,X,O,O,X,X,X,X,O
TOZLSIJ,O,X,X,O,O,X,X,O,X,X
TOZLSJI,O,X,X,O,O,X,X,X,X,O
TOZJILS,O,X,X,O,O,X,X,X,X,X
TOZJISL,O,X,X,O,O,X,X,X,X,X
TOZJLIS,O,X,X,O,O,X,X,X,X,O
TOZJLSI,O,X,X,O,O,X,X,X,X,O
TOZJSIL,O,X,X,O,O,X,X,X,X,X
TOZJSLI,O,X,X,O,O,X,X,X,X,O
TOZSILJ,O,X,X,O,O,X,X,O,X,X
TOZSIJL,O,X,X,O,O,X,X,O,X,X
TOZSLIJ,O,X,X,O,O,X,X,O,X,X
TOZSLJI,O,X,X,O,O,X,X,X,X,O
TOZSJIL,O,X,X,O,O,X,X,X,X,X
TOZSJLI,O,X,X,O,O,X,X,X,X,O
ITLJSZO,X,O,O,X,X,O,X,X,X,X
ITLJSOZ,O,O,O,X,X,O,X,X,X,X
ITLJZSO,X,O,O,X,X,O,X,X,X,X
ITLJZOS,X,O,O,X,X,O,X,X,X,X
ITLJOSZ,O,O,O,X,X,O,X,X,X,X
ITLJOZS,O,O,O,X,X,O,X,X,X,X
ITLSJZO,X,O,O,X,X,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,O,X,X,X,X
ITLSZJO,O,O,X,O,X,O,X,X,X,X
ITLSZOJ,O,O,X,O,X,O,X,O,X,X
ITLSOJZ,O,O,X,X,X,O,X,X,X,X
ITLSOZJ,O,O,X,O,X,O,X,X,X,X
ITLZJSO,O,O,X,O,X,O,X,X,X,X
ITLZJOS,O,O,X,X,X,O,X,X,X,X
ITLZSJO,O,O,X,O,X,O,X,X,X,X
ITLZSOJ,O,O,X,O,X,O,X,O,X,X
ITLZOJS,O,O,X,O,X,O,X,O,X,X
ITLZOSJ,O,O,X,O,X,O,X,O,X,X
ITLOJSZ,O,O,X,X,X,O,X,X,X,X
ITLOJZS,O,O,X,X,X,O,X,X,X,X
ITLOSJZ,O,O,X,X,X,O,X,X,X,X
ITLOSZJ,O,O,X,O,X,O,X,X,X,X
ITLOZJS,O,O,X,O,X,O,X,X,X,X
ITLOZSJ,O,O,X,O,X,O,X,X,X,X
ITJLSZO,X,O,O,X,X,O,X,X,X,X
ITJLSOZ,O,O,O,X,X,O,X,X,X,X
ITJLZSO,X,O,O,X,X,O,X,X,X,X
ITJLZOS,X,O,O,X,X,O,X,X,X,X
ITJLOSZ,O,O,O,X,X,O,X,X,X,X
ITJLOZS,O,O,O,X,X,O,X,X,X,X
ITJSLZO,X,O,O,X,X,O,X,X,X,X
ITJSLOZ,O,O,O,X,X,O,X,X,X,X
ITJSZLO,X,X,O,X,X,O,X,X,X,X
ITJSZOL,X,X,X,X,X,O,X,X,X,X
ITJSOLZ,O,X,O,X,X,O,X,X,X,X
ITJSOZL,O,X,X,X,X,O,O,X,X,X
ITJZLSO,X,X,O,X,X,O,X,X,X,X
ITJZLOS,X,X,O,X,X,O,X,X,X,X
ITJZSLO,X,X,O,X,X,O,X,X,X,X
ITJZSOL,X,X,X,X,X,O,X,X,X,X
ITJZOLS,X,X,X,X,X,O,X,X,X,X
ITJZOSL,X,X,X,X,X,O,X,X,X,X
ITJOLSZ,O,X,O,X,X,O,X,X,X,X
ITJOLZS,O,X,O,X,X,O,X,X,X,X
ITJOSLZ,O,X,O,X,X,O,X,X,X,X
ITJOSZL,O,X,X,X,X,O,O,X,X,X
ITJOZLS,O,X,X,X,X,O,X,X,X,X
ITJOZSL,O,X,X,X,X,O,O,X,X,X
ITSLJZO,X,O,O,X,X,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,O,X,X,X,X
ITSLZJO,O,O,X,O,X,O,X,X,X,X
ITSLZOJ,O,O,X,O,X,O,X,O,X,X
ITSLOJZ,O,O,X,X,X,O,X,X,X,X
ITSLOZJ,O,O,X,O,X,O,X,X,X,X
ITSJLZO,X,O,O,X,X,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,O,X,X,X,X
ITSJZLO,X,X,O,X,X,O,X,X,X,X
ITSJZOL,X,X,X,X,X,O,X,X,X,X
ITSJOLZ,O,X,O,X,X,O,X,X,X,X
ITSJOZL,O,X,X,X,X,O,O,X,X,X
ITSZLJO,O,O,X,O,X,O,X,X,X,X
ITSZLOJ,O,O,X,O,X,O,X,O,X,X
ITSZJLO,O,O,O,O,X,O,X,X,X,X
ITSZJOL,O,O,X,X,X,O,X,X,X,X
ITSZOLJ,O,O,X,O,X,O,X,O,X,X
ITSZOJL,O,O,X,O,X,O,X,O,X,X
ITSOLJZ,O,O,X,X,X,O,X,X,X,X
ITSOLZJ,O,O,X,O,X,O,X,X,X,X
ITSOJLZ,O,X,O,X,X,O,X,X,X,X
ITSOJZL,O,X,X,X,O,O,O,X,X,X
ITSOZLJ,O,X,X,O,O,O,X,O,X,X
ITSOZJL,O,X,X,O,O,O,O,O,X,X
ITZLJSO,O,O,X,O,X,O,X,X,X,X
ITZLJOS,O,O,X,X,X,O,X,X,X,X
ITZLSJO,O,O,X,O,X,O,X,X,X,X
ITZLSOJ,O,O,X,O,X,O,X,O,X,X
ITZLOJS,O,O,X,O,X,O,X,O,X,X
ITZLOSJ,O,O,X,O,X,O,X,O,X,X
ITZJLSO,O,O,O,O,X,O,X,X,X,X
ITZJLOS,O,O,O,X,X,O,X,X,X,X
ITZJSLO,O,O,O,O,X,O,X,X,X,X
ITZJSOL,O,O,X,X,X,O,X,X,X,X
ITZJOLS,O,O,X,X,X,O,X,X,X,X
ITZJOSL,O,O,X,X,X,O,X,X,X,X
ITZSLJO,O,O,X,O,X,O,X,X,X,X
ITZSLOJ,O,O,X,O,X,O,X,O,X,X
ITZSJLO,O,O,O,O,X,O,X,X,X,X
ITZSJOL,O,O,X,X,X,O,X,X,X,X
ITZSOLJ,O,O,X,O,X,O,X,O,X,X
ITZSOJL,O,O,X,O,X,O,X,O,X,X
ITZOLJS,O,O,X,O,X,O,X,O,X,X
ITZOLSJ,O,O,X,O,X,O,X,O,X,X
ITZOJLS,O,O,X,O,X,O,X,O,X,X
ITZOJSL,O,O,X,O,X,O,X,O,X,X
ITZOSLJ,O,O,X,O,X,O,X,O,X,X
ITZOSJL,O,O,X,O,X,O,X,O,X,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,X,X,X
ITOLSZJ,O,O,X,O,X,O,X,X,X,X
ITOLZJS,O,O,X,O,X,O,X,X,X,X
ITOLZSJ,O,O,X,O,X,O,X,X,X,X
ITOJLSZ,O,X,O,X,X,O,X,X,X,X
ITOJLZS,O,X,O,X,X,O,X,X,X,X
ITOJSLZ,O,X,O,X,X,O,X,X,X,X
ITOJSZL,O,X,X,X,O,O,O,X,X,X
ITOJZLS,O,X,X,X,O,O,X,X,X,X
ITOJZSL,O,X,X,X,O,O,O,X,X,X
ITOSLJZ,O,O,X,X,X,O,X,X,X,X
ITOSLZJ,O,O,X,O,X,O,X,X,X,X
ITOSJLZ,O,X,O,X,X,O,X,X,X,X
ITOSJZL,O,X,X,X,O,O,O,X,X,X
ITOSZLJ,O,X,X,O,O,O,X,O,X,X
ITOSZJL,O,X,X,O,O,O,O,O,X,X
ITOZLJS,O,X,X,O,O,O,X,O,X,X
ITOZLSJ,O,X,X,O,O,O,X,O,X,X
ITOZJLS,O,X,X,O,O,O,X,O,X,X
ITOZJSL,O,X,X,O,O,O,O,O,X,X
ITOZSLJ,O,X,X,O,O,O,X,O,X,X
ITOZSJL,O,X,X,O,O,O,O,O,X,X
ILTJSZO,X,O,O,X,X,O,X,X,X,X
ILTJSOZ,O,O,O,X,X,O,X,X,X,X
ILTJZSO,X,O,O,X,X,O,X,X,X,X
ILTJZOS,X,O,O,X,X,O,X,X,X,X
ILTJOSZ,O,O,O,X,X,O,X,X,X,X
ILTJOZS,O,O,O,X,X,O,X,X,X,X
ILTSJZO,X,O,O,X,X,O,X,X,X,X
ILTSJOZ,O,O,O,X,X,O,X,X,X,X
ILTSZJO,O,O,X,O,X,O,X,X,X,X
ILTSZOJ,O,O,X,O,X,O,X,O,X,X
ILTSOJZ,O,O,X,X,X,O,X,X,X,X
ILTSOZJ,O,O,X,O,X,O,X,X,X,X
ILTZJSO,O,O,X,O,X,O,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X,X,X,X
ILTZSJO,O,O,X,O,X,O,X,X,X,X
ILTZSOJ,O,O,X,O,X,O,X,O,X,X
ILTZOJS,O,O,X,O,X,O,X,O,X,X
ILTZOSJ,O,O,X,O,X,O,X,O,X,X
ILTOJSZ,O,O,X,X,X,O,X,X,X,X
ILTOJZS,O,O,X,X,X,O,X,X,X,X
ILTOSJZ,O,O,X,X,X,O,X,X,X,X
ILTOSZJ,O,O,X,O,X,O,X,X,X,X
ILTOZJS,O,O,X,O,X,O,X,X,X,X
ILTOZSJ,O,O,X,O,X,O,X,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,X,X
ILJTSOZ,O,O,O,X,X,X,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X,X,X,X
ILJTZOS,X,X,O,X,X,X,X,X,X,X
