sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TIZOJSL,O,O,X,O,X,O,X,O,X,X
TIZOSLJ,O,O,X,O,X,O,X,O,X,X
TIZOSJL,O,O,X,O,X,O,X,O,X,X
TIOLJSZ,O,O,X,X,X,O,X,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X,X,X
TIOLSJZ,O,O,X,X,X,O,X,X,X,X
TIOLSZJ,O,O,X,O,X,O,X,X,X,X
TIOLZJS,O,O,X,O,X,O,X,X,X,X
TIOLZSJ,O,O,X,O,X,O,X,X,X,X
TIOJLSZ,O,X,O,X,X,O,X,X,X,X
TIOJLZS,O,X,O,X,X,O,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,X,X,X,X
TIOJSZL,O,X,X,X,O,O,O,X,X,X
TIOJZLS,O,X,X,X,O,O,X,X,X,X
TIOJZSL,O,X,X,X,O,O,O,X,X,X
TIOSLJZ,O,O,X,X,X,O,X,X,X,X
TIOSLZJ,O,O,X,O,X,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,O,X,X,X,X
TIOSJZL,O,X,X,X,O,O,O,X,X,X
TIOSZLJ,O,X,X,O,O,O,X,O,X,X
TIOSZJL,O,X,X,O,O,O,O,O,X,X
TIOZLJS,O,X,X,O,O,O,X,O,X,X
TIOZLSJ,O,X,X,O,O,O,X,O,X,X
TIOZJLS,O,X,X,O,O,O,X,O,X,X
TIOZJSL,O,X,X,O,O,O,O,O,X,X
TIOZSLJ,O,X,X,O,O,O,X,O,X,X
TIOZSJL,O,X,X,O,O,O,O,O,X,X
TLIJSZO,X,O,O,X,X,O,X,X,X,X
TLIJSOZ,O,O,O,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,X,O,X,X,X,X
TLIJZOS,X,O,O,X,X,O,X,X,X,X
TLIJOSZ,O,O,O,X,X,O,X,X,X,X
TLIJOZS,O,O,O,X,X,O,X,X,X,X
TLISJZO,X,O,O,X,X,O,X,X,X,X
TLISJOZ,O,O,O,X,X,O,X,X,X,X
TLISZJO,O,O,X,O,X,O,X,X,X,X
TLISZOJ,O,O,X,O,X,O,X,O,X,X
TLISOJZ,O,O,X,X,X,O,X,X,X,X
TLISOZJ,O,O,X,O,X,O,X,X,X,X
TLIZJSO,O,O,X,O,X,O,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,X,X,X
TLIZSJO,O,O,X,O,X,O,X,X,X,X
TLIZSOJ,O,O,X,O,X,O,X,O,X,X
TLIZOJS,O,O,X,O,X,O,X,O,X,X
TLIZOSJ,O,O,X,O,X,O,X,O,X,X
TLIOJSZ,O,O,X,X,X,O,X,X,X,X
TLIOJZS,O,O,X,X,X,O,X,X,X,X
TLIOSJZ,O,O,X,X,X,O,X,X,X,X
TLIOSZJ,O,O,X,O,X,O,X,X,X,X
TLIOZJS,O,O,X,O,X,O,X,X,X,X
TLIOZSJ,O,O,X,O,X,O,X,X,X,X
TLJISZO,X,O,O,X,X,O,X,X,X,X
TLJISOZ,O,O,O,X,X,O,X,X,X,X
TLJIZSO,X,O,O,X,X,O,X,X,X,X
TLJIZOS,X,O,O,X,X,O,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,X,X
TLJSIZO,X,O,O,X,X,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,O,X,X,X,X
TLJSZIO,X,O,O,O,X,X,X,X,X,X
TLJSZOI,X,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X
TLJSOZI,O,O,O,O,X,X,X,X,X,X
TLJZISO,X,O,O,O,X,X,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,X
TLJZSIO,X,O,O,O,X,X,X,X,X,X
TLJZSOI,X,O,O,O,X,X,X,X,X,X
TLJZOIS,X,O,O,O,X,X,X,X,X,X
TLJZOSI,X,O,O,O,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,X,X,X
