sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
TILJSZO,X,X,O,O,X,O,X,O,X,X
TILJSOZ,X,X,O,X,X,O,X,X,X,X
TILJZSO,X,X,O,O,X,X,X,X,X,X
TILJZOS,X,X,O,O,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,O,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,O,X,O,X,X
TILSJOZ,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,X,X,X,X,O,X,O,X,X
TILSZOJ,O,X,X,X,X,X,X,O,X,O
TILSOJZ,O,X,X,X,X,O,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,O,X,O
TILZJSO,X,O,O,O,X,X,X,X,X,X
TILZJOS,O,O,O,O,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,O,X,O,X,X
TILZSOJ,X,X,O,X,X,X,X,O,X,O
TILZOJS,O,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,O
TILOJSZ,O,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,O,O,X,X,X,X,X,X
TILOSJZ,O,X,O,O,X,O,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,O,X,O
TILOZJS,O,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,O,X,O
TIJLSZO,X,X,O,O,X,X,O,O,X,X
TIJLSOZ,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,O,X,X,X
TIJLZOS,X,O,O,O,X,X,O,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,O,O,O,X,X,O,X,X,X
TIJSLZO,O,O,O,O,X,X,X,O,X,X
