sequence,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBXiBl?lBmrBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBCiBl?lBesBXrB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jel7IvhFGdBTeB/mBa?nB0lBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBUhBFiB6?qBXnB2wB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeX8IvhFTeBFiBxlB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeG9IvhFTeBZnBllBc?rB6qB/rB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBFhBXiB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFSiBTeBllB3?mBmmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBOnBllBc?rBCrBXsB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je/BJvhFGeB1lBiiB0?lBzmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBOnBl?lBXrBqrB
TILJSZO,X,X,O,X,X,X,X,X,X,O,X
TILJSOZ,X,X,O,X,O,X,X,X,X,O,X
TILJZSO,X,X,X,O,X,X,X,X,X,O,X
TILJZOS,X,O,X,O,X,X,X,O,X,X,X
TILJOSZ,X,X,O,X,O,X,X,X,X,O,X
TILJOZS,X,O,O,O,X,X,X,O,X,X,X
TILSJZO,X,X,O,X,X,X,X,O,X,O,X
TILSJOZ,X,X,O,X,O,X,X,O,X,O,X
TILSZJO,X,X,O,X,X,X,X,O,X,O,X
TILSZOJ,X,O,O,X,O,X,X,O,X,X,X
TILSOJZ,X,X,O,X,O,X,X,O,X,O,X
TILSOZJ,X,O,O,X,O,X,X,O,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,X,O,X
TILZJOS,X,O,O,O,X,X,O,O,X,X,X
TILZSJO,X,X,O,X,X,X,X,O,X,O,X
TILZSOJ,X,O,O,O,O,X,O,O,X,X,X
TILZOJS,X,O,O,O,X,X,O,O,X,X,X
TILZOSJ,X,O,O,O,O,X,O,O,X,X,X
TILOJSZ,X,X,O,X,O,X,X,X,X,O,X
TILOJZS,X,O,O,O,X,X,X,O,X,X,X
TILOSJZ,X,X,O,X,O,X,X,O,X,O,X
TILOSZJ,X,O,O,X,O,X,X,O,X,X,X
TILOZJS,X,O,O,O,X,X,O,O,X,X,X
TILOZSJ,X,O,O,O,O,X,O,O,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X,O,X
TIJLSOZ,X,O,O,X,O,X,X,X,X,O,X
TIJLZSO,X,O,X,X,X,X,X,X,X,O,X
TIJLZOS,X,O,X,X,X,X,X,O,X,X,X
TIJLOSZ,X,O,O,X,O,X,X,X,X,O,X
TIJLOZS,X,O,O,X,X,X,X,O,X,X,X
TIJSLZO,O,X,O,X,X,X,X,O,X,O,X
TIJSLOZ,O,X,O,X,X,X,X,O,X,O,X
TIJSZLO,O,X,X,X,X,X,X,O,X,O,X
TIJSZOL,O,X,O,X,X,X,X,O,X,X,X
TIJSOLZ,O,X,O,X,O,X,X,O,X,O,X
TIJSOZL,O,X,O,X,O,X,X,O,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X,X,O,X
TIJZLOS,O,O,O,X,X,X,X,O,X,X,X
TIJZSLO,O,O,O,X,X,X,X,O,X,O,X
TIJZSOL,O,O,O,X,X,X,X,O,X,X,X
TIJZOLS,O,O,O,O,X,X,X,O,X,X,X
TIJZOSL,O,O,O,X,X,X,X,O,X,X,X
TIJOLSZ,X,O,O,X,O,X,X,X,X,O,X
TIJOLZS,X,O,O,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,O,X,O,X,X,O,X,O,X
TIJOSZL,O,X,O,X,O,X,X,O,X,X,X
TIJOZLS,O,O,O,O,X,X,X,O,X,X,X
TIJOZSL,O,O,O,X,X,X,X,O,X,X,X
TISLJZO,X,X,O,X,X,X,X,O,X,O,X
TISLJOZ,X,X,O,X,O,X,X,O,X,O,X
TISLZJO,X,X,O,X,X,X,X,O,X,O,X
TISLZOJ,O,X,O,X,O,X,X,O,X,X,X
TISLOJZ,X,X,O,X,O,X,X,O,X,O,X
TISLOZJ,O,X,O,X,O,X,X,O,X,X,X
TISJLZO,O,X,O,X,X,X,X,O,X,O,O
TISJLOZ,O,X,O,X,X,X,X,O,X,O,O
TISJZLO,O,X,X,X,X,X,X,O,X,O,X
TISJZOL,O,X,O,X,X,X,X,O,X,X,X
TISJOLZ,O,X,O,X,O,X,X,O,X,O,O
TISJOZL,O,X,O,X,O,X,X,O,X,X,X
TISZLJO,X,X,O,X,X,X,X,O,X,O,X
TISZLOJ,O,X,O,X,X,X,X,O,X,X,X
TISZJLO,O,X,O,X,X,X,X,O,X,O,X
TISZJOL,O,X,O,X,X,X,X,O,X,X,X
TISZOLJ,O,X,O,X,O,X,X,O,X,X,X
TISZOJL,O,X,O,X,O,X,X,O,X,X,X
TISOLJZ,X,X,O,X,O,X,X,O,X,O,X
TISOLZJ,O,X,O,X,O,X,X,O,X,X,X
TISOJLZ,O,X,O,X,O,X,X,O,X,O,O
TISOJZL,O,X,O,X,O,X,X,O,X,X,X
TISOZLJ,O,X,O,X,O,X,X,O,X,X,X
TISOZJL,O,X,O,X,O,X,X,O,X,X,X
TIZLJSO,X,X,X,X,X,O,X,X,X,O,X
TIZLJOS,X,O,O,X,X,O,O,O,X,X,X
TIZLSJO,X,X,O,X,X,O,X,O,X,O,X
TIZLSOJ,X,O,O,X,O,O,O,O,X,X,X
TIZLOJS,O,O,O,X,X,O,O,O,X,X,X
TIZLOSJ,O,O,O,X,O,O,O,O,X,X,X
TIZJLSO,X,O,X,X,X,O,X,X,O,O,X
TIZJLOS,O,O,O,X,X,O,X,O,O,X,X
TIZJSLO,O,O,O,X,X,O,X,O,X,O,X
TIZJSOL,O,O,O,X,X,O,X,O,X,X,X
TIZJOLS,O,O,O,X,X,O,X,O,O,X,X
TIZJOSL,O,O,O,X,X,O,O,O,X,X,X
TIZSLJO,X,X,O,X,X,O,X,O,X,O,X
TIZSLOJ,O,O,O,X,X,O,X,O,X,X,X
TIZSJLO,O,X,O,X,X,O,X,O,X,O,X
TIZSJOL,O,X,O,X,X,O,X,O,X,X,X
TIZSOLJ,O,O,O,X,O,O,O,O,X,X,X
TIZSOJL,O,O,O,X,O,O,O,O,X,X,X
TIZOLJS,O,O,O,X,X,O,O,O,X,X,X
TIZOLSJ,O,O,O,X,O,O,O,O,X,X,X
TIZOJLS,O,O,O,X,X,O,X,O,O,X,X
TIZOJSL,O,O,O,X,X,O,O,O,X,X,X
TIZOSLJ,O,O,O,X,O,O,O,O,X,X,X
TIZOSJL,O,O,O,X,O,O,O,O,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X,X,O,X
TIOLJZS,X,O,O,O,X,X,X,O,X,X,X
TIOLSJZ,X,X,O,X,O,X,X,O,X,O,X
TIOLSZJ,X,O,O,X,O,X,X,O,X,X,X
TIOLZJS,X,O,O,O,X,X,O,O,X,X,X
TIOLZSJ,X,O,O,O,O,X,O,O,X,X,X
TIOJLSZ,X,O,O,X,O,X,X,X,X,O,X
TIOJLZS,X,O,O,X,X,X,X,O,X,X,X
TIOJSLZ,O,X,O,X,O,X,X,O,X,O,X
TIOJSZL,O,X,O,X,O,X,X,O,X,X,X
TIOJZLS,O,O,O,O,X,X,X,O,X,X,X
TIOJZSL,O,O,O,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,X,O,X,X,O,X,O,X
TIOSLZJ,O,X,O,X,O,X,X,O,X,X,X
TIOSJLZ,O,X,O,X,O,X,X,O,X,O,O
TIOSJZL,O,X,O,X,O,X,X,O,X,X,X
TIOSZLJ,O,X,O,X,O,X,X,O,X,X,X
TIOSZJL,O,X,O,X,O,X,X,O,X,X,X
TIOZLJS,O,O,O,X,X,O,O,O,X,X,X
TIOZLSJ,O,O,O,X,O,O,O,O,X,X,X
TIOZJLS,O,O,O,X,X,O,X,O,O,X,X
TIOZJSL,O,O,O,X,X,O,O,O,X,X,X
TIOZSLJ,O,O,O,X,O,O,O,O,X,X,X
TIOZSJL,O,O,O,X,O,O,O,O,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,O,X
TLIJZSO,X,X,X,O,X,X,X,X,X,O,X
TLIJZOS,X,O,X,O,X,X,X,O,X,X,X
TLIJOSZ,X,X,O,X,O,X,X,X,X,O,X
TLIJOZS,X,O,O,O,X,X,X,O,X,X,X
TLISJZO,X,X,O,X,X,X,X,O,X,O,X
TLISJOZ,X,X,O,X,O,X,X,O,X,O,X
TLISZJO,X,X,O,X,X,X,X,O,X,O,X
TLISZOJ,X,O,O,X,O,X,X,O,X,X,X
TLISOJZ,X,X,O,X,O,X,X,O,X,O,X
TLISOZJ,X,O,O,X,O,X,X,O,X,X,X
TLIZJSO,X,X,X,O,X,X,X,X,X,O,X
TLIZJOS,X,O,O,O,X,X,O,O,X,X,X
TLIZSJO,X,X,O,X,X,X,X,O,X,O,X
TLIZSOJ,X,O,O,O,O,X,O,O,X,X,X
TLIZOJS,X,O,O,O,X,X,O,O,X,X,X
TLIZOSJ,X,O,O,O,O,X,O,O,X,X,X
TLIOJSZ,X,X,O,X,O,X,X,X,X,O,X
TLIOJZS,X,O,O,O,X,X,X,O,X,X,X
TLIOSJZ,X,X,O,X,O,X,X,O,X,O,X
TLIOSZJ,X,O,O,X,O,X,X,O,X,X,X
TLIOZJS,X,O,O,O,X,X,O,O,X,X,X
TLIOZSJ,X,O,O,O,O,X,O,O,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X,O,X
TLJISOZ,X,O,X,X,O,X,X,X,X,O,X
TLJIZSO,X,O,X,O,X,X,X,X,X,O,X
TLJIZOS,X,O,X,O,X,X,X,X,X,X,X
