sequence,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6hBxdBmiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxcBOjBCiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhF6iBOjBzhBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6iBOjBzhBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFxdB+mBKnBz?iBllB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jel7IvhF3cBciBOjBx?lBSsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxdB+mBKnBz?iBllBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jem7IvhF5hBXeB1lBK?nB0iBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFOjBCiBTiBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex7IvhF6iBOjB3hB0?lBVsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFOjBCiBTiBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFZiB+mBziBl?lBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBmlBUnB6?lBlmBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFZiB+mBziBl?lBCoBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeRBJvhFziBllB3mBm?mBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeT8IvhFxdB2nBllBc?rB3nB6qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBllB3mBU?nB6qBOrB
TILJSZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TILJOSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TILOSJZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TILOSZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TILOZJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TIJLZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TIJLOSZ,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TIJLOZS,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TIJSLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSZOL,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TIJSOLZ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TIJSOZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TIJZLSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJZLOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJZSOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TIJZOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TIJOLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIJOLZS,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
TIJOSLZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TIJOZLS,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TIJOZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TISLJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISLJOZ,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISJLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISJLOZ,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISJZOL,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TISJOLZ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TISJOZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TISZLJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZOLJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISZOJL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISOLJZ,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TISOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOJLZ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TISOJZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TISOZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIZLJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZJLOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIZJOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZSJOL,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZSOJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZOLJS,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIZOJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZOSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLJSZ,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TIOLJZS,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOLZJS,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIOJLZS,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
TIOJSLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
TIOJSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TIOJZLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
TIOJZSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
TIOSLJZ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOSLZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
TIOSJZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIOSZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIOZLJS,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
TIOZJSL,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIJSZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIJZOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIJOZS,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLISJOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLISOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOJZS,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLIOSJZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TLIOSZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIOZJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJISOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLJIZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLJIOSZ,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TLJIOZS,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TLJSIZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLJSZIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
