sequence,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhF/gBUcB5jBlkByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhFegBUcB5jBfmBKp?BFqB,v115@4gD8GeC8FeD8FeD8DeG8Jei6IvhF3bB5jBckBOmBTl?B1uB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFfgB5jBFhBcqBml?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jei7IvhF5jBOkBFhBfqB0l?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jel6IvhFUcB5jB/kBTgByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhF5jB2kB3lBFmBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhFlbB5jB2kBXhBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFUcB5jBFgBzlBmp?B3pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBmpB/p?BipB,v115@4gD8GeC8FeD8FeD8DeG8Je5DJvhFTfB/lBFhBmlBip?B0pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBipB/p?BmpB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhF5jBUgBFhBzlBmp?B3pB
TILJSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
TILJSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
TILJZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
TILJZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
TILJOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
TILSJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TILSZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
TILSOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TILSOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
TILZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TILZOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
TILOSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
TILOSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
TILOZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TILOZSJ,O,O,O,O,O,X,X,X,X,X,X,O,X
TIJLSZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TIJLZOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TIJLOSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TIJLOZS,O,X,O,X,X,O,X,X,O,X,X,X,O
TIJSLZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TIJSLOZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TIJSZLO,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TIJZLOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TIJZSLO,O,X,O,X,O,O,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TIJZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,O,X,X,X
TISLJZO,X,O,X,X,X,X,X,O,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,O,X,X,O,X,X
TISLZJO,X,O,X,X,O,X,X,O,X,X,X,X,X
TISLZOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
TISLOJZ,X,O,X,X,X,X,X,O,X,X,O,X,X
TISLOZJ,X,O,X,X,X,X,X,O,X,X,O,X,X
TISJLZO,X,X,O,X,X,X,X,O,X,X,X,X,O
TISJLOZ,X,X,X,X,X,X,X,O,X,X,O,X,X
TISJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,O,X,X,X,X,X
TISZLJO,X,O,O,X,O,X,X,O,X,X,X,X,X
TISZLOJ,X,O,O,X,O,X,X,O,X,X,O,X,X
TISZJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
TISZOJL,X,X,O,X,O,X,X,O,X,X,X,X,X
TISOLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
TISOLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
TISOJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
TISOZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZLJSO,O,X,O,X,O,O,X,X,X,X,X,X,X
TIZLJOS,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TIZJLOS,X,X,O,X,X,O,X,X,X,X,X,X,O
TIZJSLO,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,O,O,X,X,X,X,X,X,X
