sequence,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhF3bBchBxdBmiBFn?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFcgBTcBxdBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFRcBFeBmgBfnB0n?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFchBxdBTgBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFFcBXdBOjBcnBxq?BTqB
TOZSLJI,O,O,O,O,X
TOZSJIL,O,O,O,O,X
TOZSJLI,O,O,O,O,X
ITLJSZO,O,O,O,X,O
ITLJSOZ,O,O,O,X,X
ITLJZSO,O,O,O,X,O
ITLJZOS,O,O,X,X,O
ITLJOSZ,O,O,O,O,X
ITLJOZS,O,X,X,O,O
ITLSJZO,O,O,O,X,O
ITLSJOZ,O,O,O,X,X
ITLSZJO,O,O,O,X,O
ITLSZOJ,O,O,O,X,O
ITLSOJZ,O,X,O,X,X
ITLSOZJ,O,O,O,X,X
ITLZJSO,O,O,O,X,O
ITLZJOS,O,O,X,X,O
ITLZSJO,O,O,O,X,O
ITLZSOJ,O,O,O,X,O
ITLZOJS,O,O,X,X,O
ITLZOSJ,O,O,X,X,O
ITLOJSZ,O,X,X,O,X
ITLOJZS,O,X,X,O,O
ITLOSJZ,O,X,X,O,X
ITLOSZJ,O,O,X,X,X
ITLOZJS,O,X,X,O,O
ITLOZSJ,O,X,X,X,O
ITJLSZO,O,O,O,X,O
ITJLSOZ,O,O,O,X,X
ITJLZSO,O,O,O,X,O
ITJLZOS,O,O,X,X,O
ITJLOSZ,O,O,O,O,X
ITJLOZS,O,X,X,O,O
ITJSLZO,O,O,O,X,O
ITJSLOZ,O,O,O,X,X
ITJSZLO,O,O,O,X,O
ITJSZOL,O,O,X,X,O
ITJSOLZ,O,O,O,X,X
ITJSOZL,O,O,X,X,X
ITJZLSO,O,O,O,X,O
ITJZLOS,O,O,X,X,O
ITJZSLO,O,O,O,X,O
ITJZSOL,O,O,O,X,O
ITJZOLS,O,O,X,X,O
ITJZOSL,O,O,X,X,O
ITJOLSZ,O,O,O,O,X
ITJOLZS,O,X,X,O,O
ITJOSLZ,O,O,X,O,X
ITJOSZL,O,O,X,O,X
ITJOZLS,O,X,X,O,O
ITJOZSL,O,O,X,O,O
ITSLJZO,O,O,O,X,O
ITSLJOZ,O,O,O,X,X
ITSLZJO,O,O,O,X,O
ITSLZOJ,O,O,O,X,O
ITSLOJZ,O,X,O,X,X
ITSLOZJ,O,O,O,X,X
ITSJLZO,O,O,O,X,O
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,O,O,X,O
ITSJZOL,O,O,X,X,O
ITSJOLZ,O,O,O,X,X
ITSJOZL,O,O,X,X,X
ITSZLJO,O,O,O,X,O
ITSZLOJ,O,O,O,X,O
ITSZJLO,O,O,O,X,O
ITSZJOL,X,O,X,X,O
ITSZOLJ,O,O,X,X,O
ITSZOJL,O,O,X,X,O
ITSOLJZ,O,X,O,X,X
ITSOLZJ,O,O,O,X,X
ITSOJLZ,O,O,O,X,X
ITSOJZL,O,O,O,X,X
ITSOZLJ,O,O,O,X,X
ITSOZJL,O,O,O,X,X
ITZLJSO,O,O,O,X,O
ITZLJOS,O,O,X,X,O
ITZLSJO,O,O,O,X,O
ITZLSOJ,O,O,O,X,O
ITZLOJS,O,O,X,X,O
ITZLOSJ,O,O,X,X,O
ITZJLSO,O,O,O,X,O
ITZJLOS,O,O,X,X,O
ITZJSLO,O,O,O,X,O
ITZJSOL,O,O,O,X,O
ITZJOLS,O,O,X,X,O
ITZJOSL,O,O,X,X,O
ITZSLJO,O,O,O,X,O
ITZSLOJ,O,O,O,X,O
ITZSJLO,O,O,O,X,O
ITZSJOL,O,O,O,X,O
ITZSOLJ,O,O,O,X,O
ITZSOJL,O,O,O,X,O
ITZOLJS,O,O,X,X,O
ITZOLSJ,O,O,X,X,O
ITZOJLS,O,O,X,X,O
ITZOJSL,O,O,X,X,O
ITZOSLJ,O,O,X,X,O
ITZOSJL,O,O,X,X,O
ITOLJSZ,O,X,X,O,X
ITOLJZS,O,X,X,O,O
ITOLSJZ,O,X,X,O,X
ITOLSZJ,O,O,X,X,X
ITOLZJS,O,X,X,O,O
ITOLZSJ,O,X,X,X,O
ITOJLSZ,O,O,X,O,X
ITOJLZS,O,X,X,O,O
ITOJSLZ,O,O,X,O,X
ITOJSZL,O,O,X,O,X
ITOJZLS,O,X,X,O,O
ITOJZSL,O,O,X,O,O
ITOSLJZ,O,X,X,O,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,O,X,O,X
ITOSJZL,O,O,X,O,X
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,X,X,X
ITOZLJS,O,X,X,O,O
ITOZLSJ,O,X,X,X,O
ITOZJLS,O,X,X,O,O
ITOZJSL,O,X,X,O,O
ITOZSLJ,O,O,X,X,O
ITOZSJL,O,O,X,X,O
ILTJSZO,O,O,O,X,O
ILTJSOZ,O,O,O,X,X
ILTJZSO,O,O,O,X,O
ILTJZOS,O,O,X,X,O
ILTJOSZ,O,O,O,O,X
ILTJOZS,O,X,X,O,O
ILTSJZO,O,O,O,X,O
ILTSJOZ,O,O,O,X,X
ILTSZJO,O,O,O,X,O
ILTSZOJ,O,O,O,X,O
ILTSOJZ,O,X,O,X,X
ILTSOZJ,O,O,O,X,X
ILTZJSO,O,O,O,X,O
ILTZJOS,O,O,X,X,O
ILTZSJO,O,O,O,X,O
ILTZSOJ,O,O,O,X,O
ILTZOJS,O,O,X,X,O
ILTZOSJ,O,O,X,X,O
ILTOJSZ,O,X,X,O,X
ILTOJZS,O,X,X,O,O
ILTOSJZ,O,X,X,O,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,O,X,X,O,O
ILTOZSJ,O,X,X,X,O
ILJTSZO,O,X,O,X,O
ILJTSOZ,O,X,O,X,X
ILJTZSO,O,O,O,X,O
ILJTZOS,O,O,X,X,O
ILJTOSZ,O,X,O,O,X
ILJTOZS,O,X,X,O,O
ILJSTZO,X,X,O,X,O
ILJSTOZ,X,X,O,X,X
ILJSZTO,O,O,O,X,O
ILJSZOT,O,X,O,X,O
ILJSOTZ,X,X,O,O,X
ILJSOZT,X,X,O,X,X
ILJZTSO,O,O,O,X,O
ILJZTOS,X,O,X,X,O
ILJZSTO,O,O,O,X,O
ILJZSOT,O,X,O,X,O
ILJZOTS,X,O,X,O,O
ILJZOST,O,X,X,X,O
ILJOTSZ,X,X,O,O,X
ILJOTZS,X,X,X,O,O
ILJOSTZ,X,X,O,O,X
ILJOSZT,X,X,O,X,X
ILJOZTS,X,O,X,O,O
ILJOZST,O,X,X,X,O
ILSTJZO,O,X,O,X,O
ILSTJOZ,O,X,O,X,X
ILSTZJO,O,X,O,X,O
ILSTZOJ,O,X,O,X,O
ILSTOJZ,O,X,O,X,X
ILSTOZJ,O,X,O,X,X
ILSJTZO,X,X,O,X,O
ILSJTOZ,X,X,O,X,X
ILSJZTO,O,O,O,X,O
ILSJZOT,O,X,O,X,O
ILSJOTZ,X,X,O,O,X
ILSJOZT,X,X,O,X,X
ILSZTJO,O,O,O,X,O
ILSZTOJ,O,O,O,X,O
ILSZJTO,O,O,O,X,O
ILSZJOT,O,X,O,X,O
ILSZOTJ,O,X,O,X,O
ILSZOJT,O,X,O,X,O
ILSOTJZ,X,X,O,O,X
ILSOTZJ,X,X,O,X,X
ILSOJTZ,X,X,O,O,X
ILSOJZT,X,X,O,X,X
ILSOZTJ,X,X,O,X,X
ILSOZJT,X,X,O,X,X
ILZTJSO,O,O,O,X,O
ILZTJOS,O,O,X,X,O
ILZTSJO,O,O,O,X,O
ILZTSOJ,O,O,O,X,O
ILZTOJS,O,O,X,X,O
ILZTOSJ,O,O,X,X,O
ILZJTSO,O,O,O,X,O
ILZJTOS,X,O,X,X,O
ILZJSTO,O,O,X,X,O
ILZJSOT,O,X,X,X,O
ILZJOTS,X,O,X,O,O
ILZJOST,O,X,X,X,O
ILZSTJO,O,O,X,X,O
ILZSTOJ,O,O,X,X,O
ILZSJTO,O,O,X,X,O
ILZSJOT,O,X,X,X,O
ILZSOTJ,O,X,X,X,O
ILZSOJT,O,X,X,X,O
ILZOTJS,X,O,X,O,O
ILZOTSJ,X,O,X,X,O
ILZOJTS,X,O,X,O,O
ILZOJST,X,X,X,X,O
ILZOSTJ,O,X,X,X,O
ILZOSJT,O,X,X,X,O
ILOTJSZ,O,X,X,O,X
ILOTJZS,O,X,X,O,O
ILOTSJZ,O,X,X,O,X
ILOTSZJ,O,X,X,X,X
ILOTZJS,O,X,X,O,O
ILOTZSJ,O,X,X,X,O
ILOJTSZ,X,X,X,O,X
ILOJTZS,X,X,X,O,O
ILOJSTZ,X,X,X,O,X
ILOJSZT,X,X,X,X,X
ILOJZTS,X,O,X,O,O
ILOJZST,O,X,X,X,O
ILOSTJZ,X,X,X,O,X
ILOSTZJ,X,X,X,X,X
ILOSJTZ,X,X,X,O,X
ILOSJZT,X,X,X,X,X
ILOSZTJ,X,X,X,X,X
ILOSZJT,X,X,X,X,X
ILOZTJS,X,O,X,O,O
ILOZTSJ,X,O,X,X,O
ILOZJTS,X,O,X,O,O
ILOZJST,X,X,X,X,O
ILOZSTJ,O,X,X,X,O
ILOZSJT,O,X,X,X,O
IJTLSZO,O,O,O,X,O
IJTLSOZ,O,O,O,X,X
IJTLZSO,O,O,O,X,O
IJTLZOS,O,O,X,X,O
IJTLOSZ,O,O,O,O,X
IJTLOZS,O,X,X,O,O
IJTSLZO,O,O,O,X,O
IJTSLOZ,O,O,O,X,X
IJTSZLO,O,O,O,X,O
IJTSZOL,O,O,O,X,O
IJTSOLZ,O,O,O,X,X
IJTSOZL,O,O,X,X,X
IJTZLSO,O,O,O,X,O
IJTZLOS,O,O,X,X,O
IJTZSLO,O,O,O,X,O
IJTZSOL,O,O,O,X,O
IJTZOLS,O,O,X,X,O
IJTZOSL,O,O,X,X,O
IJTOLSZ,O,O,O,O,X
IJTOLZS,O,X,X,O,O
IJTOSLZ,O,O,X,O,X
IJTOSZL,O,O,X,O,X
IJTOZLS,O,X,X,O,O
IJTOZSL,O,O,X,O,O
IJLTSZO,O,X,O,X,O
IJLTSOZ,O,X,O,X,X
IJLTZSO,O,O,O,X,O
IJLTZOS,O,O,X,X,O
IJLTOSZ,O,X,O,O,X
IJLTOZS,O,X,X,O,O
IJLSTZO,X,X,O,X,O
IJLSTOZ,X,X,O,X,X
IJLSZTO,O,O,O,X,O
IJLSZOT,O,X,O,X,O
IJLSOTZ,X,X,O,O,X
IJLSOZT,X,X,O,X,X
IJLZTSO,O,O,O,X,O
IJLZTOS,X,O,X,X,O
IJLZSTO,O,O,O,X,O
IJLZSOT,O,X,O,X,O
IJLZOTS,X,O,X,O,O
IJLZOST,O,X,X,X,O
IJLOTSZ,X,X,O,O,X
IJLOTZS,X,X,X,O,O
IJLOSTZ,X,X,O,O,X
IJLOSZT,X,X,O,X,X
IJLOZTS,X,O,X,O,O
IJLOZST,O,X,X,X,O
IJSTLZO,X,X,O,X,O
IJSTLOZ,X,X,O,X,X
IJSTZLO,X,X,O,X,O
IJSTZOL,X,X,O,X,O
IJSTOLZ,X,X,O,X,X
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,O,X,O
IJSLTOZ,X,X,O,X,X
IJSLZTO,O,O,O,X,O
IJSLZOT,O,X,O,X,O
IJSLOTZ,X,X,O,O,X
IJSLOZT,X,X,O,X,X
IJSZTLO,O,O,O,X,O
IJSZTOL,X,O,O,X,O
IJSZLTO,O,O,O,X,O
IJSZLOT,O,X,O,X,O
IJSZOTL,X,X,O,X,O
IJSZOLT,O,X,O,X,O
IJSOTLZ,X,X,O,O,X
IJSOTZL,X,X,X,O,X
IJSOLTZ,X,X,O,O,X
IJSOLZT,X,X,O,X,X
IJSOZTL,X,X,O,X,X
IJSOZLT,X,X,O,X,X
IJZTLSO,O,O,O,X,O
IJZTLOS,X,O,X,X,O
IJZTSLO,O,O,O,X,O
IJZTSOL,X,O,O,X,O
IJZTOLS,X,O,X,X,O
IJZTOSL,X,O,X,X,O
IJZLTSO,O,O,O,X,O
IJZLTOS,X,O,X,X,O
IJZLSTO,O,O,O,X,O
IJZLSOT,O,X,O,X,O
IJZLOTS,X,O,X,O,O
IJZLOST,O,X,X,X,O
IJZSTLO,O,O,O,X,O
IJZSTOL,X,O,O,X,O
IJZSLTO,O,O,O,X,O
IJZSLOT,O,X,O,X,O
IJZSOTL,X,X,O,X,O
IJZSOLT,O,X,O,X,O
IJZOTLS,X,O,X,O,O
IJZOTSL,X,O,X,O,O
IJZOLTS,X,O,X,O,O
IJZOLST,O,X,X,X,O
IJZOSTL,X,X,X,X,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,X,X,O,O,X
IJOTLZS,X,X,X,O,O
IJOTSLZ,X,X,X,O,X
IJOTSZL,X,X,X,O,X
IJOTZLS,X,X,X,O,O
IJOTZSL,X,X,X,O,O
IJOLTSZ,X,X,O,O,X
IJOLTZS,X,X,X,O,O
IJOLSTZ,X,X,O,O,X
IJOLSZT,X,X,O,X,X
IJOLZTS,X,O,X,O,O
IJOLZST,O,X,X,X,O
IJOSTLZ,X,X,O,O,X
IJOSTZL,X,X,X,O,X
IJOSLTZ,X,X,O,O,X
IJOSLZT,X,X,O,X,X
IJOSZTL,X,X,O,X,X
IJOSZLT,X,X,O,X,X
IJOZTLS,X,O,X,O,O
IJOZTSL,X,O,X,O,O
IJOZLTS,X,O,X,O,O
IJOZLST,O,X,X,X,O
IJOZSTL,X,X,X,X,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,O,X,O
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,O,O,X,O
ISTLZOJ,O,O,O,X,O
ISTLOJZ,O,X,O,X,X
ISTLOZJ,O,O,O,X,X
ISTJLZO,O,O,O,X,O
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,X,O
ISTJZOL,O,O,O,X,O
ISTJOLZ,O,O,O,X,X
ISTJOZL,O,O,X,X,X
ISTZLJO,O,O,O,X,O
ISTZLOJ,O,O,O,X,O
ISTZJLO,O,O,O,X,O
ISTZJOL,X,O,O,X,O
ISTZOLJ,O,O,O,X,O
ISTZOJL,O,O,O,X,O
ISTOLJZ,O,X,O,X,X
ISTOLZJ,O,O,O,X,X
ISTOJLZ,O,O,O,X,X
ISTOJZL,O,O,O,X,X
ISTOZLJ,O,O,O,X,X
ISTOZJL,O,O,O,X,X
ISLTJZO,O,X,O,X,O
ISLTJOZ,O,X,O,X,X
ISLTZJO,O,X,O,X,O
ISLTZOJ,O,X,O,X,O
ISLTOJZ,O,X,O,X,X
ISLTOZJ,O,X,O,X,X
ISLJTZO,X,X,O,X,O
ISLJTOZ,X,X,O,X,X
ISLJZTO,O,O,O,X,O
ISLJZOT,O,X,O,X,O
ISLJOTZ,X,X,O,O,X
ISLJOZT,X,X,O,X,X
ISLZTJO,O,O,O,X,O
ISLZTOJ,O,O,O,X,O
ISLZJTO,O,O,O,X,O
ISLZJOT,O,X,O,X,O
ISLZOTJ,O,X,O,X,O
ISLZOJT,O,X,O,X,O
ISLOTJZ,X,X,O,O,X
ISLOTZJ,X,X,O,X,X
ISLOJTZ,X,X,O,O,X
ISLOJZT,X,X,O,X,X
ISLOZTJ,X,X,O,X,X
ISLOZJT,X,X,O,X,X
ISJTLZO,X,X,O,X,O
ISJTLOZ,X,X,O,X,X
ISJTZLO,X,X,O,X,O
ISJTZOL,X,X,O,X,O
ISJTOLZ,X,X,O,X,X
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,O,X,O
ISJLTOZ,X,X,O,X,X
ISJLZTO,O,O,O,X,O
ISJLZOT,O,X,O,X,O
ISJLOTZ,X,X,O,O,X
ISJLOZT,X,X,O,X,X
ISJZTLO,O,O,O,X,O
ISJZTOL,X,O,O,X,O
ISJZLTO,O,O,O,X,O
ISJZLOT,O,X,O,X,O
ISJZOTL,X,X,O,X,O
ISJZOLT,O,X,O,X,O
ISJOTLZ,X,X,O,O,X
ISJOTZL,X,X,X,O,X
ISJOLTZ,X,X,O,O,X
ISJOLZT,X,X,O,X,X
ISJOZTL,X,X,O,X,X
ISJOZLT,X,X,O,X,X
ISZTLJO,O,O,O,X,O
ISZTLOJ,O,O,O,X,O
ISZTJLO,X,O,O,X,O
ISZTJOL,X,O,O,X,O
ISZTOLJ,X,O,O,X,O
ISZTOJL,X,X,O,X,O
ISZLTJO,O,O,O,X,O
ISZLTOJ,O,O,O,X,O
ISZLJTO,O,O,O,X,O
ISZLJOT,O,X,O,X,O
ISZLOTJ,O,X,O,X,O
ISZLOJT,O,X,O,X,O
ISZJTLO,X,O,O,X,O
ISZJTOL,X,O,O,X,O
ISZJLTO,O,O,O,X,O
ISZJLOT,O,X,O,X,O
ISZJOTL,X,X,O,X,O
ISZJOLT,X,X,O,X,O
ISZOTLJ,X,X,O,X,O
ISZOTJL,X,X,O,X,O
ISZOLTJ,O,X,O,X,O
ISZOLJT,O,X,O,X,O
ISZOJTL,X,X,O,X,O
ISZOJLT,X,X,O,X,O
ISOTLJZ,X,X,O,O,X
ISOTLZJ,X,X,O,X,X
ISOTJLZ,X,X,O,O,X
ISOTJZL,X,X,O,O,X
ISOTZLJ,X,X,O,X,X
ISOTZJL,X,X,O,X,X
ISOLTJZ,X,X,O,O,X
ISOLTZJ,X,X,O,X,X
ISOLJTZ,X,X,O,O,X
ISOLJZT,X,X,O,X,X
ISOLZTJ,X,X,O,X,X
ISOLZJT,X,X,O,X,X
ISOJTLZ,X,X,O,O,X
ISOJTZL,X,X,O,O,X
ISOJLTZ,X,X,O,O,X
ISOJLZT,X,X,O,X,X
ISOJZTL,X,X,O,X,X
ISOJZLT,X,X,O,X,X
ISOZTLJ,X,X,O,X,X
ISOZTJL,X,X,O,X,X
ISOZLTJ,X,X,O,X,X
ISOZLJT,X,X,O,X,X
ISOZJTL,X,X,O,X,X
ISOZJLT,X,X,O,X,X
IZTLJSO,O,O,O,X,O
IZTLJOS,O,O,X,X,O
IZTLSJO,O,O,O,X,O
IZTLSOJ,O,O,O,X,O
IZTLOJS,O,O,X,X,O
IZTLOSJ,O,O,X,X,O
IZTJLSO,O,O,O,X,O
IZTJLOS,O,O,X,X,O
IZTJSLO,O,O,O,X,O
IZTJSOL,O,O,O,X,O
IZTJOLS,O,O,X,X,O
IZTJOSL,O,O,X,X,O
IZTSLJO,O,O,O,X,O
IZTSLOJ,O,O,O,X,O
IZTSJLO,O,O,O,X,O
IZTSJOL,O,O,O,X,O
IZTSOLJ,O,O,O,X,O
IZTSOJL,O,O,O,X,O
IZTOLJS,O,O,X,X,O
IZTOLSJ,O,O,X,X,O
IZTOJLS,O,O,X,X,O
IZTOJSL,O,O,X,X,O
IZTOSLJ,O,O,X,X,O
IZTOSJL,O,O,X,X,O
IZLTJSO,O,O,O,X,O
IZLTJOS,O,O,X,X,O
IZLTSJO,O,O,O,X,O
IZLTSOJ,O,O,O,X,O
IZLTOJS,O,O,X,X,O
IZLTOSJ,O,O,X,X,O
IZLJTSO,O,O,O,X,O
IZLJTOS,X,O,X,X,O
IZLJSTO,O,O,X,X,O
IZLJSOT,O,X,X,X,O
IZLJOTS,X,O,X,O,O
IZLJOST,O,X,X,X,O
IZLSTJO,O,O,X,X,O
IZLSTOJ,O,O,X,X,O
IZLSJTO,O,O,X,X,O
IZLSJOT,O,X,X,X,O
IZLSOTJ,O,X,X,X,O
IZLSOJT,O,X,X,X,O
IZLOTJS,X,O,X,O,O
IZLOTSJ,X,O,X,X,O
IZLOJTS,X,O,X,O,O
IZLOJST,X,X,X,X,O
IZLOSTJ,O,X,X,X,O
IZLOSJT,O,X,X,X,O
IZJTLSO,O,O,O,X,O
IZJTLOS,X,O,X,X,O
IZJTSLO,O,O,O,X,O
IZJTSOL,X,O,O,X,O
IZJTOLS,X,O,X,X,O
IZJTOSL,X,O,X,X,O
IZJLTSO,O,O,O,X,O
IZJLTOS,X,O,X,X,O
IZJLSTO,O,O,X,X,O
IZJLSOT,O,X,X,X,O
IZJLOTS,X,O,X,O,O
IZJLOST,O,X,X,X,O
IZJSTLO,O,O,X,X,O
IZJSTOL,X,O,X,X,O
IZJSLTO,O,O,X,X,O
IZJSLOT,O,X,X,X,O
IZJSOTL,X,X,X,X,O
IZJSOLT,O,X,X,X,O
IZJOTLS,X,O,X,O,O
IZJOTSL,X,O,X,O,O
IZJOLTS,X,O,X,O,O
IZJOLST,O,X,X,X,O
IZJOSTL,X,X,X,X,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,O,X,X,O
IZSTLOJ,O,O,X,X,O
IZSTJLO,O,O,X,X,O
IZSTJOL,O,O,X,X,O
IZSTOLJ,O,O,X,X,O
IZSTOJL,X,X,X,X,O
IZSLTJO,O,O,X,X,O
IZSLTOJ,O,O,X,X,O
IZSLJTO,O,O,X,X,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,O,X,X,X,O
IZSLOJT,O,X,X,X,O
IZSJTLO,O,O,X,X,O
IZSJTOL,X,O,X,X,O
IZSJLTO,O,O,X,X,O
IZSJLOT,O,X,X,X,O
IZSJOTL,X,X,X,X,O
IZSJOLT,O,X,X,X,O
IZSOTLJ,X,X,X,X,O
IZSOTJL,X,X,X,X,O
IZSOLTJ,O,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,X,X,X,X,O
IZSOJLT,X,X,X,X,O
IZOTLJS,X,O,X,O,O
IZOTLSJ,X,O,X,X,O
IZOTJLS,X,O,X,O,O
IZOTJSL,X,O,X,O,O
IZOTSLJ,X,O,X,X,O
IZOTSJL,X,X,X,X,O
IZOLTJS,X,O,X,O,O
IZOLTSJ,X,O,X,X,O
IZOLJTS,X,O,X,O,O
IZOLJST,X,X,X,X,O
IZOLSTJ,O,X,X,X,O
IZOLSJT,O,X,X,X,O
IZOJTLS,X,O,X,O,O
IZOJTSL,X,O,X,O,O
IZOJLTS,X,O,X,O,O
IZOJLST,X,X,X,X,O
IZOJSTL,X,X,X,X,O
IZOJSLT,X,X,X,X,O
IZOSTLJ,X,X,X,X,O
IZOSTJL,X,X,X,X,O
IZOSLTJ,O,X,X,X,O
IZOSLJT,O,X,X,X,O
IZOSJTL,X,X,X,X,O
IZOSJLT,X,X,X,X,O
IOTLJSZ,O,X,X,O,X
IOTLJZS,O,X,X,O,O
IOTLSJZ,O,X,X,O,X
IOTLSZJ,O,O,X,X,X
IOTLZJS,O,X,X,O,O
IOTLZSJ,O,X,X,X,O
IOTJLSZ,O,O,X,O,X
IOTJLZS,O,X,X,O,O
IOTJSLZ,O,O,X,O,X
IOTJSZL,O,O,X,O,X
IOTJZLS,O,X,X,O,O
IOTJZSL,O,O,X,O,O
IOTSLJZ,O,X,X,O,X
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,O,X,O,X
IOTSJZL,O,O,X,O,X
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,X,X,X
IOTZLJS,O,X,X,O,O
IOTZLSJ,O,X,X,X,O
IOTZJLS,O,X,X,O,O
IOTZJSL,O,X,X,O,O
IOTZSLJ,O,O,X,X,O
IOTZSJL,O,O,X,X,O
IOLTJSZ,O,X,X,O,X
IOLTJZS,O,X,X,O,O
IOLTSJZ,O,X,X,O,X
IOLTSZJ,O,X,X,X,X
IOLTZJS,O,X,X,O,O
IOLTZSJ,O,X,X,X,O
IOLJTSZ,X,X,X,O,X
IOLJTZS,X,X,X,O,O
IOLJSTZ,X,X,X,O,X
IOLJSZT,X,X,X,X,X
IOLJZTS,X,O,X,O,O
IOLJZST,O,X,X,X,O
IOLSTJZ,X,X,X,O,X
IOLSTZJ,X,X,X,X,X
IOLSJTZ,X,X,X,O,X
IOLSJZT,X,X,X,X,X
IOLSZTJ,X,X,X,X,X
IOLSZJT,X,X,X,X,X
IOLZTJS,X,O,X,O,O
IOLZTSJ,X,O,X,X,O
IOLZJTS,X,O,X,O,O
IOLZJST,X,X,X,X,O
IOLZSTJ,O,X,X,X,O
IOLZSJT,O,X,X,X,O
IOJTLSZ,X,X,X,O,X
IOJTLZS,X,X,X,O,O
IOJTSLZ,X,X,X,O,X
IOJTSZL,X,X,X,O,X
IOJTZLS,X,X,X,O,O
IOJTZSL,X,X,X,O,O
IOJLTSZ,X,X,X,O,X
IOJLTZS,X,X,X,O,O
IOJLSTZ,X,X,X,O,X
IOJLSZT,X,X,X,X,X
IOJLZTS,X,O,X,O,O
IOJLZST,O,X,X,X,O
IOJSTLZ,X,X,X,O,X
IOJSTZL,X,X,X,O,X
IOJSLTZ,X,X,X,O,X
IOJSLZT,X,X,X,X,X
IOJSZTL,X,X,X,X,X
IOJSZLT,X,X,X,X,X
IOJZTLS,X,O,X,O,O
IOJZTSL,X,O,X,O,O
IOJZLTS,X,O,X,O,O
IOJZLST,O,X,X,X,O
IOJZSTL,X,X,X,X,O
IOJZSLT,O,X,X,X,O
IOSTLJZ,X,X,X,O,X
IOSTLZJ,X,X,X,X,X
IOSTJLZ,X,X,X,O,X
IOSTJZL,X,X,X,O,X
IOSTZLJ,X,X,X,X,X
IOSTZJL,X,X,X,X,X
IOSLTJZ,X,X,X,O,X
IOSLTZJ,X,X,X,X,X
IOSLJTZ,X,X,X,O,X
IOSLJZT,X,X,X,X,X
IOSLZTJ,X,X,X,X,X
IOSLZJT,X,X,X,X,X
IOSJTLZ,X,X,X,O,X
IOSJTZL,X,X,X,O,X
IOSJLTZ,X,X,X,O,X
IOSJLZT,X,X,X,X,X
IOSJZTL,X,X,X,X,X
IOSJZLT,X,X,X,X,X
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,X,X,X,X,X
IOSZLJT,X,X,X,X,X
IOSZJTL,X,X,X,X,X
IOSZJLT,X,X,X,X,X
IOZTLJS,X,O,X,O,O
IOZTLSJ,X,O,X,X,O
IOZTJLS,X,O,X,O,O
IOZTJSL,X,O,X,O,O
IOZTSLJ,X,O,X,X,O
IOZTSJL,X,X,X,X,O
IOZLTJS,X,O,X,O,O
IOZLTSJ,X,O,X,X,O
IOZLJTS,X,O,X,O,O
IOZLJST,X,X,X,X,O
IOZLSTJ,O,X,X,X,O
IOZLSJT,O,X,X,X,O
IOZJTLS,X,O,X,O,O
IOZJTSL,X,O,X,O,O
IOZJLTS,X,O,X,O,O
IOZJLST,X,X,X,X,O
IOZJSTL,X,X,X,X,O
IOZJSLT,X,X,X,X,O
IOZSTLJ,X,X,X,X,O
IOZSTJL,X,X,X,X,O
IOZSLTJ,O,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,X,X,X,X,O
IOZSJLT,X,X,X,X,O
LTIJSZO,O,O,O,X,O
LTIJSOZ,O,O,O,X,X
LTIJZSO,O,O,O,X,O
LTIJZOS,O,O,X,X,O
LTIJOSZ,O,O,O,O,X
LTIJOZS,O,X,X,O,O
LTISJZO,O,O,O,X,O
LTISJOZ,O,O,O,X,X
LTISZJO,O,O,O,X,O
LTISZOJ,O,O,O,X,O
LTISOJZ,O,X,O,X,X
LTISOZJ,O,O,O,X,X
LTIZJSO,O,O,O,X,O
LTIZJOS,O,O,X,X,O
LTIZSJO,O,O,O,X,O
LTIZSOJ,O,O,O,X,O
LTIZOJS,O,O,X,X,O
LTIZOSJ,O,O,X,X,O
LTIOJSZ,O,X,X,O,X
LTIOJZS,O,X,X,O,O
LTIOSJZ,O,X,X,O,X
LTIOSZJ,O,O,X,X,X
LTIOZJS,O,X,X,O,O
LTIOZSJ,O,X,X,X,O
LTJISZO,O,O,O,X,O
LTJISOZ,O,O,O,X,X
LTJIZSO,O,O,O,X,O
LTJIZOS,O,O,X,X,O
