sequence,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhF3bBchBxdBmiBFn?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFcgBTcBxdBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFRcBFeBmgBfnB0n?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFchBxdBTgBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFFcBXdBOjBcnBxq?BTqB
TLJOIZS,O,X,X,O,X
TLJOSIZ,O,O,O,O,X
TLJOSZI,O,O,X,O,X
TLJOZIS,O,X,X,O,X
TLJOZSI,O,X,O,O,X
TLSIJZO,O,O,O,X,X
TLSIJOZ,O,O,O,X,X
TLSIZJO,O,O,O,X,X
TLSIZOJ,O,O,O,X,X
TLSIOJZ,O,X,O,X,X
TLSIOZJ,O,O,O,X,X
TLSJIZO,O,O,O,X,X
TLSJIOZ,O,O,O,X,X
TLSJZIO,O,O,O,X,X
TLSJZOI,O,O,O,X,X
TLSJOIZ,O,O,O,X,X
TLSJOZI,O,O,O,X,X
TLSZIJO,O,O,O,X,X
TLSZIOJ,O,O,O,X,X
TLSZJIO,O,O,O,X,X
TLSZJOI,O,O,O,X,X
TLSZOIJ,O,O,O,X,X
TLSZOJI,O,O,O,X,X
TLSOIJZ,O,X,O,X,X
TLSOIZJ,O,O,O,X,X
TLSOJIZ,O,O,O,X,X
TLSOJZI,O,O,O,X,X
TLSOZIJ,O,O,O,X,X
TLSOZJI,O,O,O,X,X
TLZIJSO,O,O,O,X,O
TLZIJOS,O,O,X,X,O
TLZISJO,O,O,O,X,O
TLZISOJ,O,O,O,X,O
TLZIOJS,O,O,X,X,O
TLZIOSJ,O,O,X,X,O
TLZJISO,O,O,O,X,O
TLZJIOS,O,O,X,X,O
TLZJSIO,O,O,O,X,O
TLZJSOI,O,O,O,X,O
TLZJOIS,O,O,X,X,X
TLZJOSI,O,O,O,X,X
TLZSIJO,O,O,O,X,O
TLZSIOJ,O,O,O,X,O
TLZSJIO,O,O,O,X,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,O,O,X,X
TLZSOJI,O,O,O,X,O
TLZOIJS,O,O,X,X,X
TLZOISJ,O,O,X,X,X
TLZOJIS,O,O,X,X,X
TLZOJSI,O,O,O,X,X
TLZOSIJ,O,O,O,X,X
TLZOSJI,O,O,O,X,X
TLOIJSZ,O,X,X,O,X
TLOIJZS,O,X,X,O,X
TLOISJZ,O,X,X,O,X
TLOISZJ,O,O,X,X,X
TLOIZJS,O,X,X,O,X
TLOIZSJ,O,X,X,X,X
TLOJISZ,O,O,O,O,X
TLOJIZS,O,X,X,O,X
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,O,X,O,X
TLOJZIS,O,X,X,O,X
TLOJZSI,O,X,O,O,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,O,O,X,X
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,O,O,O,X
TLOSZIJ,O,O,O,X,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,X,X,O,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,X,X,O,X
TLOZJSI,O,X,O,O,X
TLOZSIJ,O,X,O,X,X
TLOZSJI,O,X,O,O,X
TJILSZO,O,O,O,X,O
TJILSOZ,O,O,O,X,X
TJILZSO,O,O,O,X,O
TJILZOS,O,O,X,X,O
TJILOSZ,O,O,O,O,X
TJILOZS,O,X,X,O,O
TJISLZO,O,O,O,X,O
TJISLOZ,O,O,O,X,X
TJISZLO,O,O,O,X,O
TJISZOL,O,O,O,X,O
TJISOLZ,O,O,O,X,X
TJISOZL,O,O,X,X,X
TJIZLSO,O,O,O,X,O
TJIZLOS,O,O,X,X,O
TJIZSLO,O,O,O,X,O
TJIZSOL,O,O,O,X,O
TJIZOLS,O,O,X,X,O
TJIZOSL,O,O,X,X,O
TJIOLSZ,O,O,O,O,X
TJIOLZS,O,X,X,O,O
TJIOSLZ,O,O,X,O,X
TJIOSZL,O,O,X,O,X
TJIOZLS,O,X,X,O,O
TJIOZSL,O,O,X,O,O
TJLISZO,O,O,O,X,O
TJLISOZ,O,O,O,X,X
TJLIZSO,O,O,O,X,O
TJLIZOS,O,O,X,X,O
TJLIOSZ,O,O,O,O,X
TJLIOZS,O,X,X,O,O
TJLSIZO,O,O,O,X,X
TJLSIOZ,O,O,O,X,X
TJLSZIO,O,O,O,X,X
TJLSZOI,O,O,O,X,X
TJLSOIZ,O,O,O,X,X
TJLSOZI,O,O,O,X,X
TJLZISO,O,O,O,X,O
TJLZIOS,O,O,X,X,O
TJLZSIO,O,O,O,X,O
TJLZSOI,O,O,O,X,O
TJLZOIS,O,O,X,X,X
TJLZOSI,O,O,O,X,X
TJLOISZ,O,O,O,O,X
TJLOIZS,O,X,X,O,X
TJLOSIZ,O,O,O,O,X
TJLOSZI,O,O,X,O,X
TJLOZIS,O,X,X,O,X
TJLOZSI,O,X,O,O,X
TJSILZO,O,O,O,X,X
TJSILOZ,O,O,O,X,X
TJSIZLO,O,O,O,X,X
TJSIZOL,O,O,O,X,X
TJSIOLZ,O,O,O,X,X
TJSIOZL,O,O,X,X,X
TJSLIZO,O,O,O,X,X
TJSLIOZ,O,O,O,X,X
TJSLZIO,O,O,O,X,X
TJSLZOI,O,O,O,X,X
TJSLOIZ,O,O,O,X,X
TJSLOZI,O,O,O,X,X
TJSZILO,O,O,O,X,X
TJSZIOL,O,O,O,X,X
TJSZLIO,O,O,O,X,X
TJSZLOI,O,O,O,X,X
TJSZOIL,O,O,O,X,X
TJSZOLI,O,O,O,X,X
TJSOILZ,O,O,O,X,X
TJSOIZL,O,O,O,X,X
TJSOLIZ,O,O,O,X,X
TJSOLZI,O,O,O,X,X
TJSOZIL,O,O,O,X,X
TJSOZLI,O,O,O,X,X
TJZILSO,O,O,O,X,O
TJZILOS,O,O,X,X,O
TJZISLO,O,O,O,X,O
TJZISOL,O,O,O,X,O
TJZIOLS,O,O,X,X,O
TJZIOSL,O,O,X,X,O
TJZLISO,O,O,O,X,O
TJZLIOS,O,O,X,X,O
TJZLSIO,O,O,O,X,O
TJZLSOI,O,O,O,X,O
TJZLOIS,O,O,X,X,X
TJZLOSI,O,O,O,X,X
TJZSILO,O,O,O,X,O
TJZSIOL,O,O,O,X,O
TJZSLIO,O,O,O,X,O
TJZSLOI,O,O,O,X,O
TJZSOIL,O,O,O,X,O
TJZSOLI,O,O,O,X,O
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,O,X,O,X
TJZOLSI,O,O,O,O,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,O,O,O,O,X
TJOILZS,O,X,X,O,X
TJOISLZ,O,O,X,O,X
TJOISZL,O,O,X,O,X
TJOIZLS,O,X,X,O,X
TJOIZSL,O,O,X,O,X
TJOLISZ,O,O,O,O,X
TJOLIZS,O,X,X,O,X
TJOLSIZ,O,O,O,O,X
TJOLSZI,O,O,X,O,X
TJOLZIS,O,X,X,O,X
TJOLZSI,O,X,O,O,X
TJOSILZ,O,O,O,O,X
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,O,O,X
TJOSLZI,O,O,X,O,X
TJOSZIL,O,O,X,O,X
TJOSZLI,O,O,X,O,X
TJOZILS,O,X,X,O,X
TJOZISL,O,O,X,O,X
TJOZLIS,O,X,X,O,X
TJOZLSI,O,X,O,O,X
TJOZSIL,O,O,O,O,X
TJOZSLI,O,O,O,O,X
TSILJZO,O,O,O,X,X
TSILJOZ,O,O,O,X,X
TSILZJO,O,O,O,X,X
TSILZOJ,O,O,O,X,X
TSILOJZ,O,X,O,X,X
TSILOZJ,O,O,O,X,X
TSIJLZO,O,O,O,X,X
TSIJLOZ,O,O,O,X,X
TSIJZLO,O,O,O,X,X
TSIJZOL,O,O,O,X,X
TSIJOLZ,O,O,O,X,X
TSIJOZL,O,O,X,X,X
TSIZLJO,O,O,O,X,X
TSIZLOJ,O,O,O,X,X
TSIZJLO,O,O,O,X,X
TSIZJOL,X,O,O,X,X
TSIZOLJ,O,O,O,X,X
TSIZOJL,O,O,O,X,X
TSIOLJZ,O,X,O,X,X
TSIOLZJ,O,O,O,X,X
TSIOJLZ,O,O,O,X,X
TSIOJZL,O,O,O,X,X
TSIOZLJ,O,O,O,X,X
TSIOZJL,O,O,O,X,X
TSLIJZO,O,O,O,X,X
TSLIJOZ,O,O,O,X,X
TSLIZJO,O,O,O,X,X
TSLIZOJ,O,O,O,X,X
TSLIOJZ,O,X,O,X,X
TSLIOZJ,O,O,O,X,X
TSLJIZO,O,O,O,X,X
TSLJIOZ,O,O,O,X,X
TSLJZIO,O,O,O,X,X
TSLJZOI,O,O,O,X,X
TSLJOIZ,O,O,O,X,X
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,O,X,X
TSLZIOJ,O,O,O,X,X
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,O,X,X
TSLZOJI,O,O,O,X,X
TSLOIJZ,O,X,O,X,X
TSLOIZJ,O,O,O,X,X
TSLOJIZ,O,O,O,X,X
TSLOJZI,O,O,O,X,X
