sequence,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBupBF?mB0qBiqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBFmBC?qBUqBmqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex7IvhFXeBlfBUhBO?qB6pBzqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex6IvhFXeB0fBFmBC?qBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBu?pBiqB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Je07IvhFXeBlfBxlB6?pBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFCcBXeB8kBV?mB2qBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBq?pB2qB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhF1gBXeB5kBT?hB0lB2vB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhFcgBXeB5kBF?mBTqBOrB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFegBXeBUhBS?qBFmBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhF2gBXeBqpBx?lBFmB0qB
TILJSZO,X,X,X,X,O,X,O,O,O,X,O,X
TILJSOZ,O,O,X,X,O,X,X,O,X,X,O,X
TILJZSO,X,X,X,X,O,X,O,O,O,X,O,X
TILJZOS,X,X,X,X,O,X,O,O,O,X,O,X
TILJOSZ,O,O,X,X,O,X,X,O,X,X,O,X
TILJOZS,X,X,X,X,O,X,X,O,X,X,O,X
TILSJZO,X,X,X,X,O,X,O,O,O,X,O,X
TILSJOZ,O,O,X,X,O,X,X,O,X,X,O,X
TILSZJO,X,O,X,O,X,O,O,X,X,X,O,O
TILSZOJ,X,O,X,O,X,O,O,O,X,X,O,O
TILSOJZ,O,O,X,X,O,X,X,O,X,X,O,X
TILSOZJ,X,O,X,X,X,O,O,O,X,X,O,O
TILZJSO,X,O,X,O,X,X,O,X,X,X,O,O
TILZJOS,X,O,X,O,X,X,O,X,X,X,O,O
TILZSJO,X,O,X,O,X,O,O,X,X,X,O,O
TILZSOJ,X,O,X,O,X,O,O,O,X,X,O,O
TILZOJS,X,O,X,O,X,X,O,X,X,X,O,O
TILZOSJ,X,O,X,O,X,X,O,O,X,X,O,O
TILOJSZ,X,O,X,X,X,X,X,O,X,X,O,X
TILOJZS,X,X,X,X,X,X,X,O,X,X,O,X
TILOSJZ,O,O,X,X,O,X,X,O,X,X,O,X
TILOSZJ,X,O,X,X,X,O,O,O,X,X,O,O
TILOZJS,X,O,X,X,X,X,O,X,X,X,O,O
TILOZSJ,X,O,X,X,X,O,O,O,X,X,O,O
TIJLSZO,X,X,X,X,O,X,O,X,O,X,X,X
TIJLSOZ,O,O,X,X,O,X,X,O,X,X,X,O
