sequence,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFFcBxdBfmBG?nBToBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFRcBfjB6jBl?hBmlBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFdBXeBTgBO?mBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcB6jB3gBc?mBmnBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbBRdB+jBU?iBFmB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcBTeB3gBW?oBimBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFXcBxdBSnBT?jBmlBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFFcBxdBzhBS?oBmlB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFeBTgBOmBX?nBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfiB8iB+jBi?gBFmBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfjB6jBTgBO?mBVsBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbB+jBRiB3?iBFmBUsB
TILJSZO,X,O,O,O,X,X,O,X,X,O,X,X
TILJSOZ,X,O,O,X,X,O,O,X,X,O,X,O
TILJZSO,X,O,O,O,O,X,O,X,X,O,X,X
TILJZOS,X,X,O,O,O,O,X,X,X,O,X,O
TILJOSZ,X,X,O,X,X,O,O,X,O,O,X,O
TILJOZS,X,X,X,O,O,O,O,X,O,O,X,O
TILSJZO,X,O,O,O,X,X,O,X,X,O,X,X
TILSJOZ,X,O,O,X,X,X,O,X,X,O,X,X
TILSZJO,X,O,O,O,X,X,X,X,X,O,X,X
TILSZOJ,X,O,O,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,O,O,X,X
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,O,X,O,X,X,O,X,X
TILZJOS,X,X,X,O,O,X,X,X,X,O,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,O,X,X
TILZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,O,X,X,X,O,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,O,X,O,O,X,O
TILOJZS,X,X,O,X,O,X,O,X,O,O,X,O
TILOSJZ,X,X,O,X,X,X,O,X,O,O,X,X
TILOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,X,O,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X,X,X,O,X,X
TIJLSOZ,X,O,O,X,X,O,X,X,X,O,X,O
TIJLZSO,X,O,O,O,O,X,X,X,X,O,X,X
TIJLZOS,X,X,O,O,O,O,X,X,X,O,X,O
TIJLOSZ,X,X,O,X,X,O,X,X,X,O,X,O
TIJLOZS,X,X,X,O,O,O,X,X,X,O,X,O
TIJSLZO,X,O,O,O,X,O,X,X,X,O,X,X
TIJSLOZ,X,O,O,X,X,O,X,X,X,O,O,O
TIJSZLO,X,O,O,O,X,X,X,X,X,O,X,X
TIJSZOL,X,O,X,O,X,O,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,O,X,X,X,X,O,O
TIJSOZL,X,O,X,X,X,O,X,X,X,X,O,X
TIJZLSO,X,O,O,O,O,X,X,X,X,O,X,X
TIJZLOS,X,X,O,O,O,X,X,X,X,O,X,O
TIJZSLO,X,O,O,O,O,X,X,X,X,O,X,X
TIJZSOL,X,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,O,O,O,X,X,X,O,X,O
TIJZOSL,X,O,X,X,O,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,O,X,X,X,O,O,O
TIJOLZS,X,X,X,O,O,O,X,X,X,O,X,O
TIJOSLZ,X,O,X,X,X,O,X,X,X,X,O,O
TIJOSZL,X,O,X,X,X,O,X,X,X,X,O,X
TIJOZLS,X,X,O,X,O,O,X,X,X,O,X,O
TIJOZSL,X,O,X,X,O,O,X,X,X,X,O,X
TISLJZO,X,O,X,O,X,O,X,X,X,O,X,X
TISLJOZ,X,O,X,X,X,O,X,X,X,O,O,X
TISLZJO,X,O,X,O,X,O,X,X,X,O,X,X
TISLZOJ,X,O,X,O,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,X,X,X,O,O,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,O,X,O,X,X,X,O,X,X
TISJLOZ,X,O,X,X,X,O,X,X,X,O,O,X
TISJZLO,X,O,X,O,X,X,X,X,X,O,X,X
TISJZOL,X,O,X,O,X,O,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,O,X,X,X,X,O,X
TISJOZL,X,O,X,X,X,O,X,X,X,X,O,X
TISZLJO,X,O,X,O,X,O,X,X,X,X,X,X
TISZLOJ,X,O,X,O,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,O,X,X,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,O,X,X,X,X,O,X
TISOLZJ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,O,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,O,X
TISOZLJ,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,O,X,X,X,X,O,X,X
TIZLJOS,X,X,X,O,O,X,X,X,X,O,X,X
TIZLSJO,X,O,X,O,X,X,X,X,X,O,X,X
TIZLSOJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,O,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,O,X,X
TIZJLOS,X,X,X,O,O,X,X,X,X,O,X,X
TIZJSLO,X,O,X,O,O,X,X,X,X,O,X,X
TIZJSOL,X,X,X,X,O,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,O,X,X,X,X,O,X,X
TIZJOSL,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,O,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,O,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,O,X,O,O,X,O
TIOLJZS,X,X,O,X,O,X,O,X,O,O,X,O
TIOLSJZ,X,X,O,X,X,X,O,X,O,O,X,X
TIOLSZJ,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,O,X,O,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,O,X,O,O,O,O
TIOJLZS,X,X,O,X,O,X,O,X,O,O,X,O
TIOJSLZ,X,X,O,X,X,X,X,X,O,X,O,O
TIOJSZL,X,X,O,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,O,X,O,X,X,X,X,O,X,O
TIOJZSL,X,X,O,X,O,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,X,X,X,O,X,X,X,O,X
TIOSLZJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X,X
