sequence,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFqfBTbB?GeBfnBliB8sB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFCbBuiB?cjBXgBzhBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFufBcgB?CeBzhBXjBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFqfBTbB?3dBcjBWnBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFGbBcjB?zfBCiB3iBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8Jex6IvhFSiBTeB?OkBXgBFnB8sB
TLOJISZ,O,X,X,O,O,X
TLOJIZS,O,X,X,O,O,X
TLOJSIZ,X,X,X,O,O,X
TLOJSZI,X,X,X,O,O,X
TLOJZIS,X,X,X,O,O,X
TLOJZSI,X,X,X,O,O,X
TLOSIJZ,O,O,O,O,O,X
TLOSIZJ,O,O,O,O,O,X
TLOSJIZ,O,O,O,O,O,X
TLOSJZI,X,O,O,O,O,X
TLOSZIJ,O,O,O,O,O,X
TLOSZJI,O,O,O,O,O,X
TLOZIJS,O,O,O,O,O,X
TLOZISJ,O,O,O,O,O,X
TLOZJIS,O,O,O,O,O,X
TLOZJSI,X,O,O,O,O,X
TLOZSIJ,O,O,O,O,O,X
TLOZSJI,O,O,O,O,O,X
TJILSZO,X,X,X,O,X,X
TJILSOZ,X,X,X,O,X,X
TJILZSO,X,X,X,O,X,X
TJILZOS,X,X,X,O,O,X
TJILOSZ,O,X,X,O,O,X
TJILOZS,O,X,X,O,O,X
TJISLZO,X,O,O,O,X,X
TJISLOZ,X,O,X,O,X,X
TJISZLO,X,O,O,O,X,X
TJISZOL,X,O,O,O,X,X
TJISOLZ,X,O,X,X,X,X
TJISOZL,X,O,X,X,X,X
TJIZLSO,X,O,O,O,X,O
TJIZLOS,X,X,O,O,O,O
TJIZSLO,X,O,O,O,X,O
TJIZSOL,X,O,O,O,X,O
TJIZOLS,X,X,O,O,O,O
TJIZOSL,X,O,O,O,O,O
TJIOLSZ,X,X,X,O,O,X
TJIOLZS,X,X,X,O,O,X
TJIOSLZ,X,O,O,X,O,X
TJIOSZL,X,O,O,X,O,X
TJIOZLS,X,O,O,O,O,X
TJIOZSL,X,O,O,O,O,X
TJLISZO,X,X,X,O,X,X
TJLISOZ,X,X,X,O,X,X
TJLIZSO,X,X,X,O,X,X
TJLIZOS,X,X,X,O,O,X
TJLIOSZ,O,X,X,O,O,X
TJLIOZS,O,X,X,O,O,X
TJLSIZO,X,X,X,O,X,X
TJLSIOZ,X,X,X,O,X,X
TJLSZIO,X,X,X,O,X,X
TJLSZOI,X,X,X,O,X,X
TJLSOIZ,X,X,X,O,X,X
TJLSOZI,X,X,X,O,X,X
TJLZISO,X,X,X,O,X,X
TJLZIOS,X,X,X,O,O,X
TJLZSIO,X,X,X,O,X,X
TJLZSOI,X,X,X,O,X,X
TJLZOIS,X,X,X,O,O,X
TJLZOSI,X,X,X,O,O,X
TJLOISZ,O,X,X,O,O,X
TJLOIZS,O,X,X,O,O,X
TJLOSIZ,X,X,X,O,O,X
TJLOSZI,X,X,X,O,O,X
TJLOZIS,X,X,X,O,O,X
TJLOZSI,X,X,X,O,O,X
TJSILZO,X,O,O,O,X,X
TJSILOZ,X,O,X,O,X,X
TJSIZLO,X,O,O,O,X,O
TJSIZOL,X,O,O,O,X,O
TJSIOLZ,X,O,X,X,X,X
TJSIOZL,X,O,X,X,X,X
TJSLIZO,X,O,O,O,X,X
TJSLIOZ,X,O,X,O,X,X
TJSLZIO,X,O,O,O,X,X
TJSLZOI,X,O,O,O,X,X
TJSLOIZ,X,O,X,O,X,X
TJSLOZI,X,O,X,O,X,X
TJSZILO,X,O,O,O,X,O
TJSZIOL,X,O,O,O,X,O
TJSZLIO,X,O,O,O,X,O
TJSZLOI,X,O,O,O,X,O
TJSZOIL,X,O,O,O,X,O
TJSZOLI,X,O,O,O,X,O
TJSOILZ,X,O,X,X,X,X
TJSOIZL,X,O,X,X,X,X
TJSOLIZ,X,O,X,O,X,X
TJSOLZI,X,O,X,O,X,X
TJSOZIL,X,O,X,O,X,X
TJSOZLI,X,O,X,O,X,X
TJZILSO,X,O,O,O,X,O
TJZILOS,X,X,O,O,O,O
TJZISLO,X,O,O,O,X,O
TJZISOL,X,O,O,O,X,O
TJZIOLS,X,X,O,O,O,O
TJZIOSL,X,O,O,O,O,O
TJZLISO,X,O,O,O,X,O
TJZLIOS,X,X,O,O,O,O
TJZLSIO,X,O,O,O,X,O
TJZLSOI,X,O,O,O,X,O
TJZLOIS,X,X,O,O,O,O
TJZLOSI,X,X,O,O,O,O
TJZSILO,X,O,O,O,X,O
TJZSIOL,X,O,O,O,X,O
TJZSLIO,X,O,O,O,X,O
TJZSLOI,X,O,O,O,X,O
TJZSOIL,X,O,O,O,X,O
TJZSOLI,X,O,O,O,X,O
TJZOILS,X,X,O,O,O,O
TJZOISL,X,O,O,O,O,O
TJZOLIS,X,X,O,O,O,O
TJZOLSI,X,X,O,O,O,O
TJZOSIL,X,O,O,O,O,O
TJZOSLI,X,O,O,O,O,O
TJOILSZ,X,X,X,O,O,X
TJOILZS,X,X,X,O,O,X
TJOISLZ,X,O,O,X,O,X
TJOISZL,X,O,O,X,O,X
TJOIZLS,X,O,O,O,O,X
TJOIZSL,X,O,O,O,O,X
TJOLISZ,O,X,X,O,O,X
TJOLIZS,O,X,X,O,O,X
TJOLSIZ,X,X,X,O,O,X
TJOLSZI,X,X,X,O,O,X
TJOLZIS,X,X,X,O,O,X
TJOLZSI,X,X,X,O,O,X
TJOSILZ,X,O,O,X,O,X
TJOSIZL,X,O,O,X,O,X
TJOSLIZ,X,O,O,O,O,X
TJOSLZI,X,O,O,O,O,X
TJOSZIL,X,O,O,O,O,X
TJOSZLI,X,O,O,O,O,X
TJOZILS,X,O,O,O,O,X
TJOZISL,X,O,O,O,O,X
TJOZLIS,X,O,O,O,O,X
TJOZLSI,X,O,O,O,O,X
TJOZSIL,X,O,O,O,O,X
TJOZSLI,X,O,O,O,O,X
TSILJZO,X,O,O,O,X,X
TSILJOZ,O,O,X,O,X,X
TSILZJO,O,O,O,O,X,X
TSILZOJ,O,O,O,O,O,X
TSILOJZ,O,O,X,O,O,X
TSILOZJ,O,O,O,O,O,X
TSIJLZO,X,O,O,O,X,X
TSIJLOZ,O,O,X,O,X,X
TSIJZLO,X,O,O,O,X,X
TSIJZOL,X,O,O,O,X,X
TSIJOLZ,X,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X
TSIZLJO,O,O,O,O,X,O
TSIZLOJ,O,O,O,O,O,O
TSIZJLO,O,O,O,O,X,O
TSIZJOL,O,O,O,O,X,O
TSIZOLJ,O,O,O,O,O,O
TSIZOJL,O,O,O,X,O,O
TSIOLJZ,X,O,O,X,O,X
TSIOLZJ,X,O,O,X,O,X
TSIOJLZ,X,O,O,X,O,X
TSIOJZL,X,O,O,X,O,X
TSIOZLJ,X,O,O,X,O,X
TSIOZJL,X,O,O,X,O,X
TSLIJZO,X,O,O,O,X,X
TSLIJOZ,O,O,X,O,X,X
TSLIZJO,O,O,O,O,X,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,X,O,O,X
TSLIOZJ,O,O,O,O,O,X
TSLJIZO,X,O,O,O,X,X
TSLJIOZ,O,O,X,O,X,X
TSLJZIO,X,O,O,O,X,X
TSLJZOI,X,O,O,O,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,X,O,X,O,X,X
TSLZIJO,O,O,O,O,X,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,O,O,X,X
TSLZJOI,O,O,O,O,X,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,O,X,O,O,X
TSLOIZJ,O,O,O,O,O,X
TSLOJIZ,O,O,X,O,O,X
TSLOJZI,X,O,X,O,O,X
TSLOZIJ,O,O,O,O,O,X
TSLOZJI,O,O,O,O,O,X
TSJILZO,X,O,O,O,X,X
TSJILOZ,O,O,X,O,X,X
TSJIZLO,X,O,O,O,X,O
TSJIZOL,X,O,O,O,X,O
TSJIOLZ,X,O,X,X,X,X
TSJIOZL,X,O,X,X,X,X
TSJLIZO,X,O,O,O,X,X
TSJLIOZ,O,O,X,O,X,X
TSJLZIO,X,O,O,O,X,X
TSJLZOI,X,O,O,O,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,X,O,X,O,X,X
TSJZILO,X,O,O,O,X,O
TSJZIOL,X,O,O,O,X,O
TSJZLIO,X,O,O,O,X,O
TSJZLOI,X,O,O,O,X,O
TSJZOIL,X,O,O,O,X,O
TSJZOLI,X,O,O,O,X,O
TSJOILZ,X,O,X,X,X,X
TSJOIZL,X,O,X,X,X,X
TSJOLIZ,O,O,X,O,X,X
TSJOLZI,X,O,X,O,X,X
TSJOZIL,X,O,X,O,X,X
TSJOZLI,X,O,X,O,X,X
TSZILJO,O,O,O,O,X,O
TSZILOJ,O,O,O,O,O,O
TSZIJLO,O,O,O,O,X,O
TSZIJOL,O,O,O,O,X,O
TSZIOLJ,O,O,O,O,O,O
TSZIOJL,O,O,O,X,O,O
TSZLIJO,O,O,O,O,X,O
TSZLIOJ,O,O,O,O,O,O
TSZLJIO,O,O,O,O,X,O
TSZLJOI,O,O,O,O,X,O
TSZLOIJ,O,O,O,O,O,O
TSZLOJI,O,O,O,O,O,O
TSZJILO,O,O,O,O,X,O
TSZJIOL,O,O,O,O,X,O
TSZJLIO,O,O,O,O,X,O
TSZJLOI,O,O,O,O,X,O
TSZJOIL,O,O,O,O,X,O
TSZJOLI,O,O,O,O,X,O
TSZOILJ,O,O,O,O,O,O
TSZOIJL,O,O,O,X,O,O
TSZOLIJ,O,O,O,O,O,O
TSZOLJI,O,O,O,O,O,O
TSZOJIL,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,O
TSOILJZ,X,O,O,X,O,X
TSOILZJ,X,O,O,X,O,X
TSOIJLZ,X,O,O,X,O,X
TSOIJZL,X,O,O,X,O,X
TSOIZLJ,X,O,O,X,O,X
TSOIZJL,X,O,O,X,O,X
TSOLIJZ,O,O,O,O,O,X
TSOLIZJ,O,O,O,O,O,X
TSOLJIZ,O,O,O,O,O,X
TSOLJZI,X,O,O,O,O,X
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,X
TSOJILZ,X,O,O,X,O,X
TSOJIZL,X,O,O,X,O,X
TSOJLIZ,O,O,O,O,O,X
TSOJLZI,X,O,O,O,O,X
TSOJZIL,X,O,O,O,O,X
TSOJZLI,X,O,O,O,O,X
TSOZILJ,O,O,O,O,O,X
TSOZIJL,O,O,O,X,O,X
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,X
TZILJSO,X,O,O,O,X,O
TZILJOS,O,X,O,O,O,O
TZILSJO,O,O,O,O,X,O
TZILSOJ,O,O,O,O,O,O
TZILOJS,O,X,O,O,O,O
TZILOSJ,O,X,O,O,O,O
TZIJLSO,X,O,O,O,X,O
TZIJLOS,O,X,O,O,O,O
TZIJSLO,X,O,O,O,X,O
TZIJSOL,X,O,O,O,X,O
TZIJOLS,X,X,O,O,O,O
TZIJOSL,X,O,O,O,O,O
TZISLJO,O,O,O,O,X,O
TZISLOJ,O,O,O,O,O,O
TZISJLO,O,O,O,O,X,O
TZISJOL,O,O,O,O,X,O
TZISOLJ,O,O,O,O,O,O
TZISOJL,O,O,O,X,O,O
TZIOLJS,X,O,O,O,O,O
TZIOLSJ,X,O,O,O,O,O
TZIOJLS,X,O,O,O,O,O
TZIOJSL,X,O,O,O,O,O
TZIOSLJ,X,O,O,O,O,O
TZIOSJL,X,O,O,X,O,O
TZLIJSO,X,O,O,O,X,O
TZLIJOS,O,X,O,O,O,O
TZLISJO,O,O,O,O,X,O
TZLISOJ,O,O,O,O,O,O
TZLIOJS,O,X,O,O,O,O
TZLIOSJ,O,X,O,O,O,O
TZLJISO,X,O,O,O,X,O
TZLJIOS,O,X,O,O,O,O
TZLJSIO,X,O,O,O,X,O
TZLJSOI,X,O,O,O,X,O
TZLJOIS,O,X,O,O,O,O
TZLJOSI,X,X,O,O,O,O
TZLSIJO,O,O,O,O,X,O
TZLSIOJ,O,O,O,O,O,O
TZLSJIO,O,O,O,O,X,O
TZLSJOI,O,O,O,O,X,O
TZLSOIJ,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O
TZLOIJS,O,X,O,O,O,O
TZLOISJ,O,X,O,O,O,O
TZLOJIS,O,X,O,O,O,O
TZLOJSI,X,X,O,O,O,O
TZLOSIJ,O,X,O,O,O,O
TZLOSJI,O,X,O,O,O,O
TZJILSO,X,O,O,O,X,O
TZJILOS,O,X,O,O,O,O
TZJISLO,X,O,O,O,X,O
TZJISOL,X,O,O,O,X,O
TZJIOLS,X,X,O,O,O,O
TZJIOSL,X,O,O,O,O,O
TZJLISO,X,O,O,O,X,O
TZJLIOS,O,X,O,O,O,O
TZJLSIO,X,O,O,O,X,O
TZJLSOI,X,O,O,O,X,O
TZJLOIS,O,X,O,O,O,O
TZJLOSI,X,X,O,O,O,O
TZJSILO,X,O,O,O,X,O
TZJSIOL,X,O,O,O,X,O
TZJSLIO,X,O,O,O,X,O
TZJSLOI,X,O,O,O,X,O
TZJSOIL,X,O,O,O,X,O
TZJSOLI,X,O,O,O,X,O
TZJOILS,X,X,O,O,O,O
TZJOISL,X,O,O,O,O,O
TZJOLIS,O,X,O,O,O,O
TZJOLSI,X,X,O,O,O,O
TZJOSIL,X,O,O,O,O,O
TZJOSLI,X,O,O,O,O,O
TZSILJO,O,O,O,O,X,O
TZSILOJ,O,O,O,O,O,O
TZSIJLO,O,O,O,O,X,O
TZSIJOL,O,O,O,O,X,O
TZSIOLJ,O,O,O,O,O,O
TZSIOJL,O,O,O,X,O,O
TZSLIJO,O,O,O,O,X,O
TZSLIOJ,O,O,O,O,O,O
TZSLJIO,O,O,O,O,X,O
TZSLJOI,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O
TZSJILO,O,O,O,O,X,O
TZSJIOL,O,O,O,O,X,O
TZSJLIO,O,O,O,O,X,O
TZSJLOI,O,O,O,O,X,O
TZSJOIL,O,O,O,O,X,O
TZSJOLI,O,O,O,O,X,O
TZSOILJ,O,O,O,O,O,O
TZSOIJL,O,O,O,X,O,O
TZSOLIJ,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,O
TZSOJIL,O,O,O,O,O,O
TZSOJLI,O,O,O,O,O,O
TZOILJS,X,O,O,O,O,O
TZOILSJ,X,O,O,O,O,O
TZOIJLS,X,O,O,O,O,O
TZOIJSL,X,O,O,O,O,O
TZOISLJ,X,O,O,O,O,O
TZOISJL,X,O,O,X,O,O
TZOLIJS,O,O,O,O,O,O
TZOLISJ,O,O,O,O,O,O
TZOLJIS,O,O,O,O,O,O
TZOLJSI,X,O,O,O,O,O
TZOLSIJ,O,O,O,O,O,O
TZOLSJI,O,O,O,O,O,O
TZOJILS,X,O,O,O,O,O
TZOJISL,X,O,O,O,O,O
TZOJLIS,O,O,O,O,O,O
TZOJLSI,X,O,O,O,O,O
TZOJSIL,X,O,O,O,O,O
TZOJSLI,X,O,O,O,O,O
TZOSILJ,O,O,O,O,O,O
TZOSIJL,O,O,O,X,O,O
TZOSLIJ,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,O
TZOSJIL,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,O
TOILJSZ,X,X,X,O,O,X
TOILJZS,X,X,X,O,O,X
TOILSJZ,X,O,O,O,O,X
TOILSZJ,X,O,O,O,O,X
TOILZJS,X,O,O,O,O,X
TOILZSJ,X,O,O,O,O,X
TOIJLSZ,X,X,X,O,O,X
TOIJLZS,X,X,X,O,O,X
TOIJSLZ,X,O,O,X,O,X
TOIJSZL,X,O,O,X,O,X
TOIJZLS,X,O,O,O,O,X
TOIJZSL,X,O,O,O,O,X
TOISLJZ,X,O,O,X,O,X
TOISLZJ,X,O,O,X,O,X
TOISJLZ,X,O,O,X,O,X
TOISJZL,X,O,O,X,O,X
TOISZLJ,X,O,O,X,O,X
TOISZJL,X,O,O,X,O,X
TOIZLJS,X,O,O,O,O,X
TOIZLSJ,X,O,O,O,O,X
TOIZJLS,X,O,O,O,O,X
TOIZJSL,X,O,O,O,O,X
TOIZSLJ,X,O,O,O,O,X
TOIZSJL,X,O,O,X,O,X
TOLIJSZ,O,X,X,O,O,X
TOLIJZS,O,X,X,O,O,X
TOLISJZ,O,O,O,O,O,X
TOLISZJ,O,O,O,O,O,X
TOLIZJS,O,O,O,O,O,X
TOLIZSJ,O,O,O,O,O,X
TOLJISZ,O,X,X,O,O,X
TOLJIZS,O,X,X,O,O,X
TOLJSIZ,X,X,X,O,O,X
TOLJSZI,X,X,X,O,O,X
TOLJZIS,X,X,X,O,O,X
TOLJZSI,X,X,X,O,O,X
TOLSIJZ,O,O,O,O,O,X
TOLSIZJ,O,O,O,O,O,X
TOLSJIZ,O,O,O,O,O,X
TOLSJZI,X,O,O,O,O,X
TOLSZIJ,O,O,O,O,O,X
TOLSZJI,O,O,O,O,O,X
TOLZIJS,O,O,O,O,O,X
TOLZISJ,O,O,O,O,O,X
TOLZJIS,O,O,O,O,O,X
TOLZJSI,X,O,O,O,O,X
TOLZSIJ,O,O,O,O,O,X
TOLZSJI,O,O,O,O,O,X
TOJILSZ,X,X,X,O,O,X
TOJILZS,X,X,X,O,O,X
TOJISLZ,X,O,O,X,O,X
TOJISZL,X,O,O,X,O,X
TOJIZLS,X,O,O,O,O,X
TOJIZSL,X,O,O,O,O,X
TOJLISZ,O,X,X,O,O,X
TOJLIZS,O,X,X,O,O,X
TOJLSIZ,X,X,X,O,O,X
TOJLSZI,X,X,X,O,O,X
TOJLZIS,X,X,X,O,O,X
TOJLZSI,X,X,X,O,O,X
TOJSILZ,X,O,O,X,O,X
