sequence,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Je//Iv?hFagB2hBzdB5jBFnBUsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jem6Iv?hFTcBidB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8JeT6Iv?hFegB/hBFdB8iB5jBKsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jey/Iv?hFTcB2iB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jei6Iv?hF/hBFdB5jBzfBOsB8sB
ITLZOJS,X,O,X,O,X
ITLZOSJ,X,O,X,X,X
ITLOJSZ,O,X,X,O,X
ITLOJZS,X,O,X,O,X
ITLOSJZ,O,X,X,O,X
ITLOSZJ,O,O,X,X,X
ITLOZJS,X,O,X,O,X
ITLOZSJ,X,O,X,X,X
ITJLSZO,O,X,O,X,X
ITJLSOZ,O,X,O,O,X
ITJLZSO,X,O,O,X,X
ITJLZOS,X,O,O,O,X
ITJLOSZ,O,X,O,O,X
ITJLOZS,X,O,O,O,X
ITJSLZO,O,X,X,X,X
ITJSLOZ,O,X,X,O,X
ITJSZLO,O,X,X,X,X
ITJSZOL,O,X,X,X,X
ITJSOLZ,O,X,X,O,O
ITJSOZL,O,X,X,X,O
ITJZLSO,X,O,O,X,X
ITJZLOS,X,O,O,O,X
ITJZSLO,O,O,X,X,X
ITJZSOL,O,O,X,X,X
ITJZOLS,X,O,O,O,X
ITJZOSL,O,O,X,X,X
ITJOLSZ,O,X,O,O,O
ITJOLZS,X,O,O,O,X
ITJOSLZ,O,X,X,O,O
ITJOSZL,O,X,X,X,O
ITJOZLS,X,O,O,O,X
ITJOZSL,O,O,X,X,X
ITSLJZO,O,X,X,X,X
ITSLJOZ,O,X,X,O,X
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,X,X,O,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,X,X,X,X
ITSJLOZ,O,X,X,O,X
ITSJZLO,O,X,X,X,X
ITSJZOL,O,X,X,X,X
ITSJOLZ,O,X,X,O,O
ITSJOZL,O,X,X,X,O
ITSZLJO,O,O,X,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,X,X,X
ITSZJOL,O,O,X,X,X
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,X,X,X
ITSOLJZ,O,X,X,O,O
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,X,X,O,O
ITSOJZL,O,X,X,X,O
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,X,X,X
ITZLJSO,X,O,O,X,X
ITZLJOS,X,O,O,O,X
ITZLSJO,X,O,O,X,X
ITZLSOJ,X,O,O,X,X
ITZLOJS,X,O,X,O,X
ITZLOSJ,X,O,X,X,X
ITZJLSO,X,O,O,X,X
ITZJLOS,X,O,O,O,X
ITZJSLO,O,O,X,X,X
ITZJSOL,O,O,X,X,X
ITZJOLS,X,O,O,O,X
ITZJOSL,O,O,X,X,X
ITZSLJO,O,O,X,X,X
ITZSLOJ,O,O,X,X,X
ITZSJLO,O,O,X,X,X
ITZSJOL,O,O,X,X,X
ITZSOLJ,O,O,X,X,X
ITZSOJL,O,O,X,X,X
ITZOLJS,X,O,X,O,X
ITZOLSJ,X,O,X,X,X
ITZOJLS,X,O,X,O,X
ITZOJSL,O,O,X,X,X
ITZOSLJ,O,O,X,X,X
ITZOSJL,O,O,X,X,X
ITOLJSZ,O,X,X,O,O
ITOLJZS,X,O,X,O,X
ITOLSJZ,O,X,X,O,O
ITOLSZJ,O,O,X,X,X
ITOLZJS,X,O,X,O,X
ITOLZSJ,X,O,X,X,X
ITOJLSZ,O,X,X,O,O
ITOJLZS,X,O,X,O,X
ITOJSLZ,O,X,X,O,O
ITOJSZL,O,X,X,X,O
ITOJZLS,X,O,X,O,X
ITOJZSL,O,O,X,X,X
ITOSLJZ,O,X,X,O,O
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,X,X,O,O
ITOSJZL,O,X,X,X,O
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,X,X,X
ITOZLJS,X,O,X,O,X
ITOZLSJ,X,O,X,X,X
ITOZJLS,X,O,X,O,X
ITOZJSL,O,O,X,X,X
ITOZSLJ,O,O,X,X,X
ITOZSJL,O,O,X,X,X
ILTJSZO,O,X,O,X,X
ILTJSOZ,O,X,O,O,X
ILTJZSO,X,O,O,X,X
ILTJZOS,X,O,O,O,X
ILTJOSZ,O,X,O,O,X
ILTJOZS,X,O,O,O,X
ILTSJZO,O,X,O,X,X
ILTSJOZ,O,X,O,O,X
ILTSZJO,O,O,O,X,X
ILTSZOJ,O,O,O,X,X
ILTSOJZ,O,X,X,O,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,X,O,O,X,X
ILTZJOS,X,O,O,O,X
ILTZSJO,X,O,O,X,X
ILTZSOJ,X,O,O,X,X
ILTZOJS,X,O,X,O,X
ILTZOSJ,X,O,X,X,X
ILTOJSZ,O,X,X,O,X
ILTOJZS,X,O,X,O,X
ILTOSJZ,O,X,X,O,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,X,O,X,O,X
ILTOZSJ,X,O,X,X,X
ILJTSZO,X,X,O,X,X
ILJTSOZ,X,X,O,O,X
ILJTZSO,X,X,O,X,X
ILJTZOS,X,X,O,O,X
ILJTOSZ,X,X,O,O,X
ILJTOZS,X,X,O,O,X
ILJSTZO,X,X,O,X,X
ILJSTOZ,O,X,O,X,X
ILJSZTO,X,X,O,X,X
ILJSZOT,O,X,O,X,X
ILJSOTZ,O,X,O,X,O
ILJSOZT,O,X,O,X,O
ILJZTSO,X,X,O,X,X
ILJZTOS,X,X,O,X,X
ILJZSTO,X,X,O,X,X
ILJZSOT,X,X,O,X,X
ILJZOTS,X,X,O,X,X
ILJZOST,X,X,O,X,X
ILJOTSZ,X,X,O,O,O
ILJOTZS,X,X,O,O,X
ILJOSTZ,O,X,O,X,O
ILJOSZT,O,X,O,X,O
ILJOZTS,X,X,O,X,X
ILJOZST,X,X,O,X,O
ILSTJZO,O,X,O,X,X
ILSTJOZ,O,X,O,O,X
ILSTZJO,O,X,O,X,X
ILSTZOJ,O,X,O,X,X
ILSTOJZ,O,X,X,O,X
ILSTOZJ,O,X,X,X,X
ILSJTZO,O,X,O,X,X
ILSJTOZ,O,X,O,X,X
ILSJZTO,X,X,O,X,X
ILSJZOT,O,X,O,X,X
ILSJOTZ,O,X,O,X,O
ILSJOZT,O,X,O,X,O
ILSZTJO,O,X,O,X,X
ILSZTOJ,O,X,O,X,X
ILSZJTO,X,X,O,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,O,X,O,X,X
ILSZOJT,O,X,O,X,X
ILSOTJZ,O,X,X,O,O
ILSOTZJ,O,X,X,X,X
ILSOJTZ,O,X,O,X,O
ILSOJZT,O,X,O,X,O
ILSOZTJ,O,X,O,X,X
ILSOZJT,O,X,O,X,O
ILZTJSO,X,O,O,X,X
ILZTJOS,X,O,O,O,X
ILZTSJO,X,O,O,X,X
ILZTSOJ,X,O,O,X,X
ILZTOJS,X,O,X,O,X
ILZTOSJ,X,O,X,X,X
ILZJTSO,X,O,O,X,X
ILZJTOS,X,O,O,X,X
ILZJSTO,X,X,O,X,X
ILZJSOT,X,X,O,X,X
ILZJOTS,X,O,O,X,X
ILZJOST,X,X,O,X,X
ILZSTJO,X,X,O,X,X
ILZSTOJ,X,X,O,X,X
ILZSJTO,X,X,O,X,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,X,X,O,X,X
ILZSOJT,X,X,O,X,X
ILZOTJS,X,O,X,O,X
ILZOTSJ,X,O,X,X,X
ILZOJTS,X,O,O,X,X
ILZOJST,X,X,O,X,X
ILZOSTJ,X,X,O,X,X
ILZOSJT,X,X,O,X,X
ILOTJSZ,O,X,X,O,O
ILOTJZS,X,O,X,O,X
ILOTSJZ,O,X,X,O,O
ILOTSZJ,O,O,X,X,X
ILOTZJS,X,O,X,O,X
ILOTZSJ,X,O,X,X,X
ILOJTSZ,X,X,O,O,O
ILOJTZS,X,X,O,O,X
ILOJSTZ,O,X,O,X,O
ILOJSZT,O,X,O,X,O
ILOJZTS,X,X,O,X,X
ILOJZST,X,X,O,X,O
ILOSTJZ,O,X,X,O,O
ILOSTZJ,O,X,X,X,X
ILOSJTZ,O,X,O,X,O
ILOSJZT,O,X,O,X,O
ILOSZTJ,O,X,O,X,X
ILOSZJT,O,X,O,X,O
ILOZTJS,X,O,X,O,X
ILOZTSJ,X,O,X,X,X
ILOZJTS,X,O,O,X,X
ILOZJST,X,X,O,X,O
ILOZSTJ,X,X,O,X,X
ILOZSJT,X,X,O,X,O
IJTLSZO,O,X,O,X,X
IJTLSOZ,O,X,O,O,X
IJTLZSO,X,O,O,X,X
IJTLZOS,X,O,O,O,X
IJTLOSZ,O,X,O,O,X
IJTLOZS,X,O,O,O,X
IJTSLZO,O,X,X,X,X
IJTSLOZ,O,X,X,O,X
IJTSZLO,O,X,X,X,X
IJTSZOL,O,X,X,X,X
IJTSOLZ,O,X,X,O,O
IJTSOZL,O,X,X,X,O
IJTZLSO,X,O,O,X,X
IJTZLOS,X,O,O,O,X
IJTZSLO,O,O,X,X,X
IJTZSOL,O,O,X,X,X
IJTZOLS,X,O,O,O,X
IJTZOSL,O,O,X,X,X
IJTOLSZ,O,X,O,O,O
IJTOLZS,X,O,O,O,X
IJTOSLZ,O,X,X,O,O
IJTOSZL,O,X,X,X,O
IJTOZLS,X,O,O,O,X
IJTOZSL,O,O,X,X,X
IJLTSZO,X,X,O,X,X
IJLTSOZ,X,X,O,O,X
IJLTZSO,X,X,O,X,X
IJLTZOS,X,X,O,O,X
IJLTOSZ,X,X,O,O,X
IJLTOZS,X,X,O,O,X
IJLSTZO,X,X,O,X,X
IJLSTOZ,O,X,O,X,X
IJLSZTO,X,X,O,X,X
IJLSZOT,O,X,O,X,X
IJLSOTZ,O,X,O,X,O
IJLSOZT,O,X,O,X,O
IJLZTSO,X,X,O,X,X
IJLZTOS,X,X,O,X,X
IJLZSTO,X,X,O,X,X
IJLZSOT,X,X,O,X,X
IJLZOTS,X,X,O,X,X
IJLZOST,X,X,O,X,X
IJLOTSZ,X,X,O,O,O
IJLOTZS,X,X,O,O,X
IJLOSTZ,O,X,O,X,O
IJLOSZT,O,X,O,X,O
IJLOZTS,X,X,O,X,X
IJLOZST,X,X,O,X,O
IJSTLZO,O,X,X,X,X
IJSTLOZ,O,X,X,X,X
IJSTZLO,O,X,X,X,X
IJSTZOL,O,X,X,X,X
IJSTOLZ,O,X,X,X,O
IJSTOZL,O,X,X,X,O
IJSLTZO,O,X,O,X,X
IJSLTOZ,O,X,O,X,X
IJSLZTO,X,X,O,X,X
IJSLZOT,O,X,O,X,X
IJSLOTZ,O,X,O,X,O
IJSLOZT,O,X,O,X,O
IJSZTLO,X,X,X,X,X
IJSZTOL,X,X,X,X,X
IJSZLTO,X,X,O,X,X
IJSZLOT,O,X,O,X,X
IJSZOTL,X,X,X,X,O
IJSZOLT,O,X,O,X,O
IJSOTLZ,O,X,X,X,O
IJSOTZL,O,X,X,X,O
IJSOLTZ,O,X,O,X,O
IJSOLZT,O,X,O,X,O
IJSOZTL,X,X,X,X,O
IJSOZLT,O,X,O,X,O
IJZTLSO,X,O,O,X,X
IJZTLOS,X,O,O,X,X
IJZTSLO,X,O,X,X,X
IJZTSOL,X,O,X,X,X
IJZTOLS,X,O,O,X,X
IJZTOSL,X,O,X,X,X
IJZLTSO,X,O,O,X,X
IJZLTOS,X,O,O,X,X
IJZLSTO,X,X,O,X,X
IJZLSOT,X,X,O,X,X
IJZLOTS,X,O,O,X,X
IJZLOST,X,X,O,X,X
IJZSTLO,X,O,X,X,X
IJZSTOL,X,O,X,X,X
IJZSLTO,X,X,O,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,X,O,X,X,O
IJZSOLT,O,X,O,X,O
IJZOTLS,X,O,O,X,X
IJZOTSL,X,O,X,X,X
IJZOLTS,X,O,O,X,X
IJZOLST,X,X,O,X,O
IJZOSTL,X,O,X,X,O
IJZOSLT,O,X,O,X,O
IJOTLSZ,O,X,O,O,O
IJOTLZS,X,O,O,O,X
IJOTSLZ,O,X,X,O,O
IJOTSZL,O,X,X,X,O
IJOTZLS,X,O,O,O,X
IJOTZSL,O,O,X,X,X
IJOLTSZ,X,X,O,O,O
IJOLTZS,X,X,O,O,X
IJOLSTZ,O,X,O,X,O
IJOLSZT,O,X,O,X,O
IJOLZTS,X,X,O,X,X
IJOLZST,X,X,O,X,O
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,X,X,X,O
IJOSLTZ,O,X,O,X,O
IJOSLZT,O,X,O,X,O
IJOSZTL,X,X,X,X,O
IJOSZLT,O,X,O,X,O
IJOZTLS,X,O,O,X,X
IJOZTSL,X,O,X,X,X
IJOZLTS,X,O,O,X,X
IJOZLST,X,X,O,X,O
IJOZSTL,X,O,X,X,O
IJOZSLT,O,X,O,X,O
ISTLJZO,O,X,X,X,X
ISTLJOZ,O,X,X,O,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,X,X,O,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,X,X,X,X
ISTJLOZ,O,X,X,O,X
ISTJZLO,O,X,X,X,X
ISTJZOL,O,X,X,X,X
ISTJOLZ,O,X,X,O,O
ISTJOZL,O,X,X,X,O
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,X,X,X
ISTZJOL,O,O,X,X,X
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,X,X,X
ISTOLJZ,O,X,X,O,O
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,X,X,O,O
ISTOJZL,O,X,X,X,O
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,X,X,X
ISLTJZO,O,X,O,X,X
ISLTJOZ,O,X,O,O,X
ISLTZJO,O,X,O,X,X
ISLTZOJ,O,X,O,X,X
ISLTOJZ,O,X,X,O,X
ISLTOZJ,O,X,X,X,X
ISLJTZO,O,X,O,X,X
ISLJTOZ,O,X,O,X,X
ISLJZTO,X,X,O,X,X
ISLJZOT,O,X,O,X,X
ISLJOTZ,O,X,O,X,O
ISLJOZT,O,X,O,X,O
ISLZTJO,O,X,O,X,X
ISLZTOJ,O,X,O,X,X
ISLZJTO,X,X,O,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,O,X,O,X,X
ISLZOJT,O,X,O,X,X
ISLOTJZ,O,X,X,O,O
ISLOTZJ,O,X,X,X,X
ISLOJTZ,O,X,O,X,O
ISLOJZT,O,X,O,X,O
ISLOZTJ,O,X,O,X,X
ISLOZJT,O,X,O,X,O
ISJTLZO,O,X,X,X,X
ISJTLOZ,O,X,X,X,X
ISJTZLO,O,X,X,X,X
ISJTZOL,O,X,X,X,X
ISJTOLZ,O,X,X,X,O
ISJTOZL,O,X,X,X,O
ISJLTZO,O,X,O,X,X
ISJLTOZ,O,X,O,X,X
ISJLZTO,X,X,O,X,X
ISJLZOT,O,X,O,X,X
ISJLOTZ,O,X,O,X,O
ISJLOZT,O,X,O,X,O
ISJZTLO,X,X,X,X,X
ISJZTOL,X,X,X,X,X
ISJZLTO,X,X,O,X,X
ISJZLOT,O,X,O,X,X
ISJZOTL,X,X,X,X,O
ISJZOLT,O,X,O,X,O
ISJOTLZ,O,X,X,X,O
ISJOTZL,O,X,X,X,O
ISJOLTZ,O,X,O,X,O
ISJOLZT,O,X,O,X,O
ISJOZTL,X,X,X,X,O
ISJOZLT,O,X,O,X,O
ISZTLJO,O,O,X,X,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,O,O,X,X,X
ISZTJOL,O,O,X,X,X
ISZTOLJ,O,O,X,X,X
ISZTOJL,O,O,X,X,X
ISZLTJO,O,X,O,X,X
ISZLTOJ,O,X,O,X,X
ISZLJTO,X,X,O,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,O,X,O,X,X
ISZLOJT,O,X,O,X,X
ISZJTLO,X,O,X,X,X
ISZJTOL,X,O,X,X,X
ISZJLTO,X,X,O,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,X,O,X,X,O
ISZJOLT,O,X,O,X,O
ISZOTLJ,O,O,X,X,X
ISZOTJL,O,O,X,X,X
ISZOLTJ,O,X,X,X,X
ISZOLJT,O,X,X,X,O
ISZOJTL,X,O,X,X,O
ISZOJLT,O,X,X,X,O
ISOTLJZ,O,X,X,O,O
ISOTLZJ,O,O,X,X,X
ISOTJLZ,O,X,X,O,O
ISOTJZL,O,X,X,X,O
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,O,X,X,X
ISOLTJZ,O,X,X,O,O
ISOLTZJ,O,X,X,X,X
ISOLJTZ,O,X,X,X,O
ISOLJZT,O,X,X,X,O
ISOLZTJ,O,X,X,X,X
ISOLZJT,O,X,X,X,O
ISOJTLZ,O,X,X,X,O
ISOJTZL,O,X,X,X,O
ISOJLTZ,O,X,X,X,O
ISOJLZT,O,X,X,X,O
ISOJZTL,X,X,X,X,O
ISOJZLT,O,X,X,X,O
ISOZTLJ,O,O,X,X,X
ISOZTJL,O,O,X,X,X
ISOZLTJ,O,X,X,X,X
ISOZLJT,O,X,X,X,O
ISOZJTL,X,O,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,X,O,O,X,X
IZTLJOS,X,O,O,O,X
IZTLSJO,X,O,O,X,X
IZTLSOJ,X,O,O,X,X
IZTLOJS,X,O,X,O,X
IZTLOSJ,X,O,X,X,X
IZTJLSO,X,O,O,X,X
IZTJLOS,X,O,O,O,X
IZTJSLO,O,O,X,X,X
IZTJSOL,O,O,X,X,X
IZTJOLS,X,O,O,O,X
IZTJOSL,O,O,X,X,X
IZTSLJO,O,O,X,X,X
IZTSLOJ,O,O,X,X,X
IZTSJLO,O,O,X,X,X
IZTSJOL,O,O,X,X,X
IZTSOLJ,O,O,X,X,X
IZTSOJL,O,O,X,X,X
IZTOLJS,X,O,X,O,X
IZTOLSJ,X,O,X,X,X
IZTOJLS,X,O,X,O,X
IZTOJSL,O,O,X,X,X
IZTOSLJ,O,O,X,X,X
IZTOSJL,O,O,X,X,X
IZLTJSO,X,O,O,X,X
IZLTJOS,X,O,O,O,X
IZLTSJO,X,O,O,X,X
IZLTSOJ,X,O,O,X,X
IZLTOJS,X,O,X,O,X
IZLTOSJ,X,O,X,X,X
IZLJTSO,X,O,O,X,X
IZLJTOS,X,O,O,X,X
IZLJSTO,X,X,O,X,X
IZLJSOT,X,X,O,X,X
IZLJOTS,X,O,O,X,X
IZLJOST,X,X,O,X,X
IZLSTJO,X,X,O,X,X
IZLSTOJ,X,X,O,X,X
IZLSJTO,X,X,O,X,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,X,X,O,X,X
IZLSOJT,X,X,O,X,X
IZLOTJS,X,O,X,O,X
IZLOTSJ,X,O,X,X,X
IZLOJTS,X,O,O,X,X
IZLOJST,X,X,O,X,X
IZLOSTJ,X,X,O,X,X
IZLOSJT,X,X,O,X,X
IZJTLSO,X,O,O,X,X
IZJTLOS,X,O,O,X,X
IZJTSLO,X,O,X,X,X
IZJTSOL,X,O,X,X,X
IZJTOLS,X,O,O,X,X
IZJTOSL,X,O,X,X,X
IZJLTSO,X,O,O,X,X
IZJLTOS,X,O,O,X,X
IZJLSTO,X,X,O,X,X
IZJLSOT,X,X,O,X,X
IZJLOTS,X,O,O,X,X
IZJLOST,X,X,O,X,X
IZJSTLO,X,O,X,X,X
IZJSTOL,X,O,X,X,X
IZJSLTO,X,X,O,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,X,O,X,X,O
IZJSOLT,O,X,O,X,O
IZJOTLS,X,O,O,X,X
IZJOTSL,X,O,X,X,X
IZJOLTS,X,O,O,X,X
IZJOLST,X,X,O,X,O
IZJOSTL,X,O,X,X,O
IZJOSLT,O,X,O,X,O
IZSTLJO,O,O,X,X,X
IZSTLOJ,O,O,X,X,X
IZSTJLO,O,O,X,X,X
IZSTJOL,O,O,X,X,X
IZSTOLJ,O,O,X,X,X
IZSTOJL,O,O,X,X,X
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,O,X,X
IZSLJTO,X,X,O,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,O,X,O,X,X
IZSLOJT,O,X,O,X,X
IZSJTLO,X,O,X,X,X
IZSJTOL,X,O,X,X,X
IZSJLTO,X,X,O,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,X,O,X,X,O
IZSJOLT,O,X,O,X,O
IZSOTLJ,O,O,X,X,X
IZSOTJL,O,O,X,X,X
IZSOLTJ,O,X,X,X,X
IZSOLJT,O,X,X,X,O
IZSOJTL,X,O,X,X,O
IZSOJLT,O,X,X,X,O
IZOTLJS,X,O,X,O,X
IZOTLSJ,X,O,X,X,X
IZOTJLS,X,O,X,O,X
IZOTJSL,O,O,X,X,X
IZOTSLJ,O,O,X,X,X
IZOTSJL,O,O,X,X,X
IZOLTJS,X,O,X,O,X
IZOLTSJ,X,O,X,X,X
IZOLJTS,X,O,O,X,X
IZOLJST,X,X,O,X,O
IZOLSTJ,X,X,O,X,X
IZOLSJT,X,X,O,X,O
IZOJTLS,X,O,O,X,X
IZOJTSL,X,O,X,X,X
IZOJLTS,X,O,O,X,X
IZOJLST,X,X,O,X,O
IZOJSTL,X,O,X,X,O
IZOJSLT,O,X,O,X,O
IZOSTLJ,O,O,X,X,X
IZOSTJL,O,O,X,X,X
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,O
IZOSJTL,X,O,X,X,O
IZOSJLT,O,X,X,X,O
IOTLJSZ,O,X,X,O,O
IOTLJZS,X,O,X,O,X
IOTLSJZ,O,X,X,O,O
IOTLSZJ,O,O,X,X,X
IOTLZJS,X,O,X,O,X
IOTLZSJ,X,O,X,X,X
IOTJLSZ,O,X,X,O,O
IOTJLZS,X,O,X,O,X
IOTJSLZ,O,X,X,O,O
IOTJSZL,O,X,X,X,O
IOTJZLS,X,O,X,O,X
IOTJZSL,O,O,X,X,X
IOTSLJZ,O,X,X,O,O
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,X,X,O,O
IOTSJZL,O,X,X,X,O
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,X,X,X
IOTZLJS,X,O,X,O,X
IOTZLSJ,X,O,X,X,X
IOTZJLS,X,O,X,O,X
IOTZJSL,O,O,X,X,X
IOTZSLJ,O,O,X,X,X
IOTZSJL,O,O,X,X,X
IOLTJSZ,O,X,X,O,O
IOLTJZS,X,O,X,O,X
IOLTSJZ,O,X,X,O,O
IOLTSZJ,O,O,X,X,X
IOLTZJS,X,O,X,O,X
IOLTZSJ,X,O,X,X,X
IOLJTSZ,X,X,O,O,O
IOLJTZS,X,X,O,O,X
IOLJSTZ,O,X,O,X,O
IOLJSZT,O,X,O,X,O
IOLJZTS,X,X,O,X,X
IOLJZST,X,X,O,X,O
IOLSTJZ,O,X,X,O,O
IOLSTZJ,O,X,X,X,X
IOLSJTZ,O,X,O,X,O
IOLSJZT,O,X,O,X,O
IOLSZTJ,O,X,O,X,X
IOLSZJT,O,X,O,X,O
IOLZTJS,X,O,X,O,X
IOLZTSJ,X,O,X,X,X
IOLZJTS,X,O,O,X,X
IOLZJST,X,X,O,X,O
IOLZSTJ,X,X,O,X,X
IOLZSJT,X,X,O,X,O
IOJTLSZ,O,X,O,O,O
IOJTLZS,X,O,O,O,X
IOJTSLZ,O,X,X,O,O
IOJTSZL,O,X,X,X,O
IOJTZLS,X,O,O,O,X
IOJTZSL,O,O,X,X,X
IOJLTSZ,X,X,O,O,O
IOJLTZS,X,X,O,O,X
IOJLSTZ,O,X,O,X,O
IOJLSZT,O,X,O,X,O
IOJLZTS,X,X,O,X,X
IOJLZST,X,X,O,X,O
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,X,X,X,O
IOJSLTZ,O,X,O,X,O
IOJSLZT,O,X,O,X,O
IOJSZTL,X,X,X,X,O
IOJSZLT,O,X,O,X,O
IOJZTLS,X,O,O,X,X
IOJZTSL,X,O,X,X,X
IOJZLTS,X,O,O,X,X
IOJZLST,X,X,O,X,O
IOJZSTL,X,O,X,X,O
IOJZSLT,O,X,O,X,O
IOSTLJZ,O,X,X,O,O
IOSTLZJ,O,O,X,X,X
IOSTJLZ,O,X,X,O,O
IOSTJZL,O,X,X,X,O
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,O,X,X,X
IOSLTJZ,O,X,X,O,O
IOSLTZJ,O,X,X,X,X
IOSLJTZ,O,X,X,X,O
IOSLJZT,O,X,X,X,O
IOSLZTJ,O,X,X,X,X
IOSLZJT,O,X,X,X,O
IOSJTLZ,O,X,X,X,O
IOSJTZL,O,X,X,X,O
IOSJLTZ,O,X,X,X,O
IOSJLZT,O,X,X,X,O
IOSJZTL,X,X,X,X,O
IOSJZLT,O,X,X,X,O
IOSZTLJ,O,O,X,X,X
IOSZTJL,O,O,X,X,X
IOSZLTJ,O,X,X,X,X
IOSZLJT,O,X,X,X,O
IOSZJTL,X,O,X,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,X,O,X,O,X
IOZTLSJ,X,O,X,X,X
IOZTJLS,X,O,X,O,X
IOZTJSL,O,O,X,X,X
IOZTSLJ,O,O,X,X,X
IOZTSJL,O,O,X,X,X
IOZLTJS,X,O,X,O,X
IOZLTSJ,X,O,X,X,X
IOZLJTS,X,O,O,X,X
IOZLJST,X,X,O,X,O
IOZLSTJ,X,X,O,X,X
IOZLSJT,X,X,O,X,O
IOZJTLS,X,O,O,X,X
IOZJTSL,X,O,X,X,X
IOZJLTS,X,O,O,X,X
IOZJLST,X,X,O,X,O
IOZJSTL,X,O,X,X,O
IOZJSLT,O,X,O,X,O
IOZSTLJ,O,O,X,X,X
IOZSTJL,O,O,X,X,X
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,O
IOZSJTL,X,O,X,X,O
IOZSJLT,O,X,X,X,O
LTIJSZO,O,X,O,X,X
LTIJSOZ,O,X,O,O,X
LTIJZSO,X,O,O,X,X
LTIJZOS,X,O,O,O,X
LTIJOSZ,O,X,O,O,X
LTIJOZS,X,O,O,O,X
LTISJZO,O,X,O,X,X
LTISJOZ,O,X,O,O,X
LTISZJO,O,O,O,X,X
LTISZOJ,O,O,O,X,X
LTISOJZ,O,X,X,O,X
LTISOZJ,O,O,X,X,X
LTIZJSO,X,O,O,X,X
LTIZJOS,X,O,O,O,X
LTIZSJO,X,O,O,X,X
LTIZSOJ,X,O,O,X,X
LTIZOJS,X,O,X,O,X
LTIZOSJ,X,O,X,X,X
LTIOJSZ,O,X,X,O,X
LTIOJZS,X,O,X,O,X
LTIOSJZ,O,X,X,O,X
LTIOSZJ,O,O,X,X,X
LTIOZJS,X,O,X,O,X
LTIOZSJ,X,O,X,X,X
LTJISZO,O,X,O,X,X
LTJISOZ,O,X,O,O,X
LTJIZSO,X,O,O,X,X
LTJIZOS,X,O,O,O,X
LTJIOSZ,O,X,O,O,X
LTJIOZS,X,O,O,O,X
LTJSIZO,O,X,O,X,X
LTJSIOZ,O,X,O,O,X
LTJSZIO,O,X,O,X,X
LTJSZOI,O,X,O,X,X
LTJSOIZ,O,X,O,O,X
LTJSOZI,O,X,O,X,X
LTJZISO,X,O,O,X,X
LTJZIOS,X,O,O,O,X
LTJZSIO,X,O,O,X,X
LTJZSOI,X,O,O,X,X
LTJZOIS,X,O,O,O,X
LTJZOSI,X,O,O,X,X
