sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHX5IcjBTfB+tBTpBiqBlsBRwB,v115@vhH01I/fBTjBKpBFqBGsBTtBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHX5IcjBzfB+tBTpBiqBlsBRwB,v115@vhH01I/fBziBKpBFqBGsBTtBRwB,v115@vhH/CJcjBTfB+tBTpBiqBlsBRwB,v115@vhH//IcgBTjBKpBFqBGsBTtBRwB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhHX+ITfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBTjBWvBFrBSxBTtB,v115@vhH07ITfBZlBfoBTpBWwBFsBSyB,v115@vhHX9I8kB5nBTjB2uBlqBywBTtB,v115@vhH07IZkBzfBfoBzpBWwBFsBSyB,v115@vhHX9I8kBziB5oB2uBlqBywBzsB,v115@vhHX+IzfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBziBWvBFrBSxBTtB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhH02I/gBTfBKqBTpBFrBGtBRxB,v115@vhHX4IciBTjB+sBipBlrBTtBRvB,v115@vhHX4IciB6oBznBTpB2vBlrBxxB,v115@vhH02I/gBOkBzkBFrBSxBTtBxuB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhH/AJchBTfBKqBTpBFrBGtBRxB,v115@vhH/BJciBTjB+sBipBlrBTtBRvB,v115@vhH/BJciB6oBznBTpB2vBlrBxxB,v115@vhH/AJchBOkBzkBFrBSxBTtBxuB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHi1IcfBTeBFlB+tBTpB3qBRsB,v115@vhHG5ITaB/jBKpBlnBRqBUsBTtB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHi1IcfBFlBWsBTpB3qBTtBxwB,v115@vhHG5I/jByqBlnBTpBUsBTtBxvB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHi1IcfBTbBFlB+tBTpB3qBRsB,v115@vhHG5ITdB/jBKpBlnBRqBUsBTtB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHX5IcjBTiBStBTpB2vBlrBxxB,v115@vhH01I/fBTgB2pBFrBSxBTtBxuB,v115@vhHT5IciBXjBStBTpB2vBlrBxxB,v115@vhHT1I/gB0fB2pBFrBSxBTtBxuB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHf9IGeBUjBFnBTpBxqBSxBTtB,v115@vhH87IiaB3fBllBTpB2vBxrBTtB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB,v115@vhHc/ISoBFlBWsBTpB3qBTtBxwB,v115@vhH/DJ2kByqBlnBTpBUsBTtBxvB,v115@vhHc/I5oBFlB+rBatBTpB3qBTsB,v115@vhH/DJZkBupBKrBlnBTqBUsBTtB,v115@vhHZ6IGZB/jBtnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBdlBTpB3qBGsBTtB,v115@vhHT/IulBKqBNrBUnB/tBTpBRxB,v115@vhHaHJTjBcpB3lB9rB+sBTtBRvB,v115@vhHc+ITfB5oB2qBlnBTpB3rByxB,v115@vhH/6IZkBTjBFlBSsBWvBUrBTtB,v115@vhHT/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJTjBKpBNqBUmB/sBTtBRwB,v115@vhHG5IzdBcoBXmBTpBFsBSyBxvB,v115@vhHi1IzaB/kB0mB2uBlqBTtBxwB,v115@vhHz/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJziBKpBNqBUmB/sBTtBRwB,v115@vhH++IUhBFlBSsBToBTpB3qBxxB,v115@vhHK6I3hBTkB2qBlnBUsBTtBxuB,v115@vhHi1IcfBdlBWsBTpB3qBTtBxwB,v115@vhHG5I/jBtnByqBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlBXmB+tBTpBRsB,v115@vhHG5ITdB/jBKpB0mBlnBRqBTtB,v115@vhHT1I/bBifBUlBFmB+tBTpBRsB,v115@vhHc9ITZBGjBKpBlmB3nBRqBTtB,v115@vhHyEJXjBRmB+tBTpBTqB0rBlsB,v115@vhH0/IWoBKpBRmBFqBXrBTsBTtB,v115@vhHZ6IGZB/jBlnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBFlBTpB3qBGsBTtB
comments,2L,2L,O-01/God,O-01M/God,O-02/Shifted God,O-02M/Shifted God,O-03/TSD/OJO,O-03M/TSD/OLO,O-04/Shifted TKI,O-04M/Shifted TKI,O-04/Shifted TKI,O-04M/Shifted TKI,O-04/Shifted TKI,O-04M/Shifted TKI,O-05/God (shifted O tower),O-05M/God (shifted O tower),O-06/Butter,O-06/Butter,O-06M/Butter,O-06M/Butter,O-07/Orange Juice TKI,O-07M/Orange Juice TKI,O-s-01/Reliable Overhang SPC (stacked O),O-s-01M/Reliable Overhang SPC (stacked O),O-08/Fallen Angel,O-08M/Fallen Angel,O-s-02/Reliable Overhang SPC (shifted O),O-s-02M/Reliable Overhang SPC (shifted O),O-s-03/Hold S_tetramino Reliable SPC (stacked O_tetramino),O-s-03M/Hold Z_tetramino Reliable SPC (stacked O_tetramino),O-09/Ajanba TSD,O-09M/Ajanba TSD,O-10/TKI,O-10M/TKI,O-10/TKI,O-10M/TKI,O-10/TKI,O-10M/TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-/Crevice,O-s-04M/Crevice,O-s-05/Centre Crevice,O-s-05M/Centre Crevice,O-s-05/Centre Crevice,O-s-05M/Centre Crevice,O-s-06/Crevice,O-s-06M/Crevice,O-12,O-12M,O-13/Hold O_tetramino Captain Stacking,O-13M/Hold O_tetramino Captain Stacking,O-14,O-14M,O-15/Fonzie,O-15M/Fonzie,O-s-07/Centre Reliable Overhang,O-s-07M/Centre Reliable Overhang,O-s-07M/Centre Reliable Overhang,O-s-07/Centre Reliable Overhang,O-16,O-16M,O-17/Tower Bridge,O-17M/Tower Bridge,O-s-08/Centre Hold Z_tetramino Reliable,O-s-08M/Centre Hold S_tetramino Reliable,O-s-08M/Centre Hold S_tetramino Reliable,O-s-08/Centre Hold Z_tetramino Reliable,O-18,O-18M,O-s-09/Inverted Moonstone Cannon,O-s-09M/Inverted Moonstone Cannon,O-19,O-19M,O-s-10,O-s-10M,O-20,O-20M,O-s-11/Hold O Inverted Moonstone Cannon,O-s-11M/Hold O Inverted Moonstone Cannon,O-21/London Bridge,O-21M/London Bridge,O-22/Pelican,O-22M/Pelican,O-s-12/OSZ Stairs,O-s-12M/OSZ Stairs,O-s-12/OSZ Stairs,O-s-12M/OSZ Stairs,O-23/Flamingo,O-23M/Flamingo,O-s-13/Cyan Bridge,O-s-13M/Cyan Bridge,O-24/Sombrero,O-24M/Sombrero,O-24/Sombrero,O-24M/Sombrero,O-25/Kuruma/Trident/OOJ,O-25M/Kuruma/Trident/OOL,O-25M/Kuruma/Trident,O-25/Kuruma/Trident,O-s-14/Old Faithful,O-s-14M/Old Faithful,O-s-14/Old Faithful,O-s-14M/Old Faithful,O-s-15,O-s-15M,O-s-16,O-s-16M,O-s-17,O-s-17M,O-s-18,O-s-18M,O-s-19,O-s-19M,O-s-20,O-s-20M,O-s-21,O-s-21M,O-s-22,O-s-22M,O-s-23,O-s-23M,O-s-23,O-s-23M,O-s-24,O-s-24M,O-s-25,O-s-25M
score,8620.21,8620.21,5003.452380952381,5003.452380952381,5003.452380952381,5003.452380952381,4988.789682539683,4988.789682539683,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4926.984126984127,4926.984126984127,4890.714285714285,4890.714285714285,4890.714285714285,4890.714285714285,4887.063492063492,4887.063492063492,4881.56746031746,4881.56746031746,4872.996031746032,4872.996031746032,4871.527777777777,4871.527777777777,4855.972222222223,4855.972222222223,4836.269841269841,4836.269841269841,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4808.0952380952385,4808.0952380952385,4806.230158730159,4806.230158730159,4806.230158730159,4806.230158730159,4805.436507936508,4805.436507936508,4798.968253968254,4798.968253968254,4781.0515873015875,4781.0515873015875,4779.186507936508,4779.186507936508,4773.035714285715,4773.035714285715,4768.9682539682535,4768.9682539682535,4768.9682539682535,4768.9682539682535,4739.444444444444,4739.444444444444,4734.3452380952385,4734.3452380952385,4724.007936507936,4724.007936507936,4724.007936507936,4724.007936507936,4706.646825396825,4706.646825396825,4703.273809523809,4703.273809523809,4697.162698412699,4697.162698412699,4693.214285714285,4693.214285714285,4691.0515873015875,4691.0515873015875,4681.369047619048,4681.369047619048,4672.619047619048,4672.619047619048,4656.825396825397,4656.825396825397,4640.31746031746,4640.31746031746,4640.31746031746,4640.31746031746,4639.603174603175,4639.603174603175,4633.035714285715,4633.035714285715,4628.769841269841,4628.769841269841,4628.769841269841,4628.769841269841,4606.984126984127,4606.984126984127,4606.984126984127,4606.984126984127,4588.789682539683,4588.789682539683,4588.789682539683,4588.789682539683,4586.150793650793,4586.150793650793,4574.087301587301,4574.087301587301,4566.369047619048,4566.369047619048,4564.523809523809,4564.523809523809,4550.813492063492,4550.813492063492,4547.380952380952,4547.380952380952,4543.630952380952,4543.630952380952,4529.126984126984,4529.126984126984,4524.186507936508,4524.186507936508,4524.186507936508,4524.186507936508,4523.630952380952,4523.630952380952,4507.202380952381,4507.202380952381
TILJSZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJSOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJZOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TILSJOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
