sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHT5I5oBdtBCnBsqBXlBOpBywB,v115@vhHMBJvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJvhB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhHT1IZkB6tBPtBmmB0lBtpBSwB,v115@vhHT1IZkBGoBimB6qBtpBUtB3rB,v115@vhHT1IZkB6tBPtBsrBOrB6qBtpB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhH01IvfB6tBWrBdqBKpBzsBRwB,v115@vhHX5IMjB+tBtsByrBTkByuBRwB,v115@vhHa+IPoBOkBzkBSyBFsBUrBxuB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhH6IJzhBKtB+sB3lBMpBlrBRvB,v115@vhHTDJanBWtBFmBUlBvpBSwBxxB,v115@vhHPIJymBOkBzkBSyBFsBUrBxuB,v115@vhHzCJ6kB+tB3mBMqBKpBlsBRwB,v115@vhHUDJOkBFnBRlBTtBSxBCrB3pB,v115@vhH6+I0VBvfBToBdqBKpBWyBRwB,v115@vhHTDJPnBylBKpBGtBFrBUqBRxB,v115@vhHzCJPnBylBKpBGtBFrBUqBRxB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhHa9ITjBPnBKpBGtBFrBUqBRxB,v115@vhHa9IziBPnBKpBGtBFrBUqBRxB,v115@vhH++I0VBvfB6tBdqBKpBzsBRwB,v115@vhHX5IKaBMjB+tBtsBTkByuBRwB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhH++IUbBvfB6tBdqBKpBzsBRwB,v115@vhHK6IMjB3dB+tBtsBTkByuBRwB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhHx8IslB+tBtrBzkBKpB3sByvB,v115@vhHx7IPnBCoBdrBKpBTtBWxBUqB,v115@vhHx7IWnBXoBdrBKpBSyBzrBUqB,v115@vhHT5I0VBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhH6+IKjB+sB3lBMpBTtBlrBRvB,v115@vhHT5I6oBKtB+sB3lBMpBlrBRvB,v115@vhH66IKfB+tB3mBMqBlsBTpBRwB,v115@vhHT1I6kB+tB3mBMqBKpBlsBRwB,v115@vhHT5IMoBunBdsBXmBKpBSyBxvB,v115@vhHK6IykB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPnB2pBTtBSxBFrBxuB,v115@vhH5+IejBPnBKpBTtBSxBFrBUqB,v115@vhHa7IqfB+tB3mBMqBlsBTpBRwB,v115@vhHa+IPoBzlBspBOpBSyBFsBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHyCJPmBUoBzmBKpBWyBFqBRwB,v115@vhHqAJPoBzfB2pBSyBFsBUrBxuB,v115@vhHSAJPoBzlBspBOpBSyBFsBxvB,v115@vhHU8IXjBdnBStBuqBTrBipBxxB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHG5IvjBtnBZkBKrBTtBUsBCqB,v115@vhHe9IxbBvsBqrBdrBKpBTtBUqB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhHU9IynBTfB+tBtrB3sBipBRvB,v115@vhHqGJPmBzfBUoBKpBWyBFqBRwB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhHPIJzhB5lBKrB0kBSyBFsB2uB,v115@vhHa+IznBdsBXmBspBOpBSyBxvB,v115@vhHq6IynB+tBTlBMpB3sBlrBRvB,v115@vhHq6IvoB0nBqqBzkBlrB2uBxxB,v115@vhHe+IMkBinBXlBTtBSxBFrBxuB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHqCJukBvsBUmBNqBKpBTtBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhHG3IzbB3hBKkBdsBSyBUrBxuB,v115@vhHT3IqbB3hBZkBdsBSyBUrBWvB,v115@vhHi3IzcB5oBUhBtqByxB3rB2uB,v115@vhHK/IXjBsmB+tBlsBiqBTpBRwB,v115@vhHS+I5oBPlBdtBKrB+qBUsBTpB,v115@vhHPAJKfBsmB+tBlsBiqBTpBRwB,v115@vhHK6IPoBzlBspBOpBSyBFsBxvB,v115@vhHX5IMjBKfB+tBtsBiqBTpBRwB,v115@vhHS8IumBvtBTnBdrBKpBUqBRxB,v115@vhHK/IulBvtBUnBNrBKqBTpBRxB,v115@vhHG5IvjBiaBtnBKpBTtBUsBRqB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHKDJukBvsBUmBNqBKpBTtBRwB,v115@vhH+DJ6kBvsBUmBNqBKpBTtBRwB,v115@vhHM/I5oBmiBdlBSsByxB3qBTpB,v115@vhHS+I5oBPmBdtBaqBUsBWwBTpB,v115@vhH26IsmBZkBznBtpBSyBywB3qB,v115@vhHq6I6tBPtB0mBtqBzkB2uBxwB,v115@vhH++I0VBvfBToBdqBKpBSwBxxB,v115@vhH01IvfB5oBznBdqBKpB2xBSwB,v115@vhH01IvfBSoBdqBKpBTtBGsBRwB,v115@vhHT1ISmBPlBZkBdsBSyBUrBWvB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhH01IvfBTjBWtBdqBKpBSwBxxB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB,v115@vhHx2IUcBtlBvsBqrB2pBTtByvB,v115@vhH28IslBPlBStBtrByvBTpBxxB,v115@vhHM+ISoBPnBZkBNrBTtBSxBWvB,v115@vhHS8IPoB5mB+tBdrBKpBTsBUqB,v115@vhHSAJZkB6tB0nBFmBupB3rBTqB,v115@vhHMAJTfBxnBFmBGtB3rBSvBipB,v115@vhHMAJ6kBxnBFmBKpBGtB3rBTqB,v115@vhH6+IKfB+tB3mBMqBlsBTpBRwB,v115@vhHK6IPjB5oBNnBKpBzsB0rBGqB,v115@vhHG3I3hBKkBznBdsBSyBUrBxuB,v115@vhHi3I5oBUhBtqBzkByxB3rB2uB,v115@vhH6+IqfB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPmBKpBTtBGsBFqBRwB,v115@vhHM+I5oBPmBznBKpB2xBSwBFqB,v115@vhHPIJzhBZkBKrBUlBSyBFsBWvB,v115@vhHK6IziBPnBKpBGtBFrBUqBRxB,v115@vhH01IKfBGoBRmBNqBisBXrBTpB,v115@vhHa+IPoBzhB2pBSyBFsBUrBxuB,v115@vhHa+I0iBPnB2pBTtBSxBFrBxuB,v115@vhHa+I+nBzhBvtBKpBFrBUqBRxB,v115@vhH69IKjB+sB3lBMpBTtBlrBRvB,v115@vhHi1ItkBZkBGoBasBUmBzsBXqB,v115@vhHG5I5oBdoB3mBilBTkB0sBSvB,v115@vhHK6IPoBOlBTkBSyBFsBUrBxuB,v115@vhHK6ITjBPnBKpBGtBFrBUqBRxB,v115@vhHO6IqfBvsBUmBKpBTtBFqBRwB,v115@vhHKDJPmB0fBKpBTtBGsBFqBRwB,v115@vhHZDJPmB0fB+tBKpBTsBSwBFqB,v115@vhHK/IPnB0gBKqBGtBFrBTpBRxB,v115@vhHZ/IPnB0gBKqB+pBTtBSxBFrB,v115@vhHaAJslBTfB+tB3sBlrBipBRvB,v115@vhHz9ISoBPnBKpBGtBFrBUqBRxB,v115@vhH36IslBykBStBlrB2vBTpBxxB,v115@vhHz6IylBZkB+tBqpB3sBlrB0qB,v115@vhHz6IylBvkBStBlrB0qB2uBxxB,v115@vhH5IJPmBzfBetBMsBKpBSwBFqB,v115@vhHKCJMoBXmBmkBSyBFsBTpBxvB,v115@vhHT8IMoBPmBWsBKpBSyBFqBRwB,v115@vhH26IPoBTfBypBSyBFsBUrBxuB,v115@vhHZ6IufBPoBKqBSyBFsBUrBTpB,v115@vhHS+I6oBskBznB3rBlqB2uBxxB,v115@vhHZ6IMoBWnBKqBSyBXsBFrBTpB,v115@vhH5+IMnBWmBKpBTtBSxBXrBFqB
comments,L-s-01/Hydraulic Press,L-s-01M/Hydraulic Press,L-01/STSD,L-s-02/Hydraulic Press,L-s-02M/Hydraulic Press,L-s-03/'BT' SPC,L-s-04/Fjord,L-s-04M/Fjord,L-02/Alt STSD,L-02/Alt STSD,L-02/Alt STSD,L-s-05/Sidewinder,L-s-06/Hydraulic Press,L-s-06M/Hydraulic Press,L-03/Drawbridge,L-s-07/Box SPC,L-s-07M/Box SPC,L-s-07/Box SPC,L-04/Hold O_tetramino L_tetramino Centre TKI,L-05/W DPC,L-06/Black Tea Cannon,L-07/Hold O_tetramino L_tetramino TKI,L-08/Drawbridge,L-s-08/Sidewinder,L-09/Hold L_tetramino Glitter Brooch,L-10/Shifted Hold L_tetramino Glitter Brooch,L-s-09/L_tetramino tower stickspin,L-11/Adorned Brooch,L-12/Shifted Adorned Brooch,L-s-10/Estuary,L-s-10M/Estuary,L-s-11,L-s-12/Quayside,L-s-12M/Quayside,L-s-13/Misdrop SPC,L-13,L-13M,L-13M,L-s-14/Misdrop SPC,L-s-15/L_tetraminoL_tetraminoO_tetramino Box TKI,L-14/Centre Castle Tower,L-14/Centre Castle Tower,L-15/TKI Castle Tower,L-15/TKI Castle Tower,L-s-16/Wedge,L-16/Wedge,L-17,L-17,L-18/Shifted Castle Tower,L-19/Stooge,L-s-17,L-s-17M,L-s-18/Canal,L-s-19,L-20/Shifted Stooge,L-21/Stooge,L-21/Stooge,L-s-20/LST SPC,L-s-21/LST SPC,L-s-22/Domino Stickspin,L-22,L-s-23/Tidal Waves,L-s-24/Canal,L-s-24M/Canal,L-s-24/Canal,L-s-25,L-23/Hold O_tetramino Snail,L-s-26/Diving Board,L-24,L-s-27/Double Hearts TKI,L-25,L-25,L-25M,L-s-28,L-s-29,L-s-29M,L-s-30,L-s-31,L-s-32,L-s-32,L-s-32M,L-26,L-27,L-28,L-29/Stooge Tower,L-s-33,L-30/Fintech,L-s-34,L-s-35,L/Donut,L-s-36/Donut,L-s-37,L-s-38/TKI Castle Top,L-s-39/kzl's stickspin SPC,L-31/Shifted Fintech,L-31M/Shifted Fintech,L-s-40,L-s-41,L-s-42,L-s-42,L-s-43,L-s-44,L-s-45,L-s-46,L-s-47,L-32,L-s-48,L-33,L-34/Orange Butter,L-34/Orange Butter,L-34/Orange Butter,L-35,L-s-49,L-s-50,L-s-50M,L-36,L-37,L-37,L-38,L-39/L_tetramino Tower Shifted Glitter Brooch,L-40,L-41,L-41,L-41,L-42,L-43/Fin Bridge,L-43M/Fin Bridge,L-44/Shifted Glitter Brooch,L-45/L_tetramino Tower Glitter Brooch,L-46,L-47,L-47,L-48,L-48,L-49,L-49M,L-49,L-49,L-49,L-50,L-51,L-52,L-53/JOL Iwamispin,L-53/JOL Iwamispin,L-53M/JOL Iwamispin,L-54,L-55
score,5271.666666666667,5271.666666666667,5161.8849206349205,5131.507936507936,5131.507936507936,5111.289682539683,5108.9484126984125,5108.9484126984125,5102.400793650793,5102.400793650793,5102.400793650793,5057.142857142857,5002.619047619048,5002.619047619048,4983.392857142857,4974.861111111111,4974.861111111111,4974.861111111111,4974.087301587301,4974.087301587301,4965.873015873016,4964.523809523809,4964.523809523809,4957.480158730159,4952.460317460317,4947.380952380952,4942.023809523809,4931.091269841269,4931.091269841269,4929.940476190476,4929.940476190476,4925.119047619048,4906.111111111111,4906.111111111111,4905.376984126984,4894.523809523809,4894.523809523809,4894.523809523809,4890.416666666667,4883.234126984127,4845.337301587301,4845.337301587301,4845.337301587301,4845.337301587301,4839.563492063492,4825.079365079365,4810.992063492064,4810.992063492064,4808.630952380952,4808.1349206349205,4795.376984126984,4795.376984126984,4790.257936507936,4782.896825396825,4780.238095238095,4771.686507936508,4771.686507936508,4763.710317460317,4763.710317460317,4757.678571428572,4751.825396825398,4750.6349206349205,4748.611111111111,4748.611111111111,4748.611111111111,4738.948412698413,4734.3452380952385,4731.646825396825,4728.908730158731,4707.083333333333,4706.09126984127,4706.09126984127,4706.09126984127,4705.0,4697.678571428572,4697.678571428572,4689.880952380952,4688.075396825397,4687.559523809524,4687.559523809524,4687.559523809524,4671.805555555556,4670.93253968254,4668.710317460317,4661.0317460317465,4655.099206349207,4654.603174603175,4653.214285714285,4650.5952380952385,4648.9682539682535,4648.9682539682535,4648.9682539682535,4646.507936507936,4645.396825396825,4638.888888888889,4638.888888888889,4633.174603174603,4631.9047619047615,4630.416666666667,4630.416666666667,4628.234126984127,4626.111111111111,4625.376984126984,4615.436507936508,4615.337301587301,4611.210317460317,4602.936507936508,4600.972222222223,4597.956349206349,4597.956349206349,4597.956349206349,4590.31746031746,4589.146825396825,4586.726190476191,4586.726190476191,4574.444444444444,4568.253968253968,4568.253968253968,4563.9682539682535,4563.809523809524,4563.194444444444,4540.6547619047615,4540.6547619047615,4540.6547619047615,4540.1984126984125,4526.8849206349205,4526.8849206349205,4522.162698412699,4520.119047619048,4517.976190476191,4517.619047619048,4517.619047619048,4517.619047619048,4517.619047619048,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4497.380952380952,4497.361111111111,4493.591269841269,4491.0515873015875,4491.0515873015875,4491.0515873015875,4485.694444444444,4471.25
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
